,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ABBV200228C00070000,2020-02-20 10:22AM EST,70.0,24.1,19.65,21.05,0.0,-,1,53,200.98,1
1,ABBV200228C00075000,2020-02-04 9:36AM EST,75.0,9.24,14.50,16.2,0.0,-,7,7,156.84,1
2,ABBV200228C00076500,2020-02-14 12:14PM EST,76.5,18.0,13.10,14.0,0.0,-,-,8,118.75,1
3,ABBV200228C00077000,2020-02-25 6:48PM EST,77.0,12.55,12.85,13.5,0.0,-,-,4,126.17,1
4,ABBV200228C00077500,2020-02-13 3:07PM EST,77.5,18.05,12.40,13.4,0.0,-,-,11,138.38,1
5,ABBV200228C00078000,2020-02-18 12:06AM EST,78.0,16.5,11.90,12.55,0.0,-,-,1,121.88,1
6,ABBV200228C00078500,2020-02-13 3:11PM EST,78.5,16.95,11.40,11.9,0.0,-,-,2,112.01,1
7,ABBV200228C00080000,2020-02-25 10:43AM EST,80.0,11.0,10.00,10.45,0.0,-,2,23,105.27,1
8,ABBV200228C00081000,2020-02-03 12:31PM EST,81.0,3.25,9.10,9.4,0.0,-,5,6,98.44,1
9,ABBV200228C00082000,2020-02-20 2:41PM EST,82.0,12.0,7.80,8.55,0.0,-,4,42,85.35,1
10,ABBV200228C00083000,2020-02-25 2:58PM EST,83.0,6.2,7.00,7.35,0.0,-,27,50,77.15,1
11,ABBV200228C00083500,2020-02-24 10:19AM EST,83.5,9.85,6.45,7.25,0.0,-,16,23,82.42,1
12,ABBV200228C00084000,2020-02-18 3:15PM EST,84.0,9.93,6.00,6.6,0.0,-,24,23,75.39,1
13,ABBV200228C00084500,2020-02-26 10:15AM EST,84.5,5.9,5.50,5.9,-4.6,-43.81%,1,8,65.82,1
14,ABBV200228C00085000,2020-02-19 9:33AM EST,85.0,6.4,5.00,5.4,0.0,-,10,138,61.52,1
15,ABBV200228C00085500,2020-02-24 10:19AM EST,85.5,7.85,4.65,4.9,0.0,-,10,66,60.64,1
16,ABBV200228C00086000,2020-02-26 9:34AM EST,86.0,4.35,4.25,4.35,-0.5,-10.31%,100,179,57.23,1
17,ABBV200228C00086500,2020-02-25 1:36PM EST,86.5,2.69,3.80,3.95,0.0,-,108,309,55.66,1
18,ABBV200228C00087000,2020-02-26 11:51AM EST,87.0,3.75,3.35,3.45,0.75,+25.00%,406,169,51.66,1
19,ABBV200228C00087500,2020-02-25 11:26AM EST,87.5,3.43,2.79,3.1,0.0,-,6,55,53.81,1
