,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ABBV200228P00070000,2020-02-06 9:56AM EST,70.0,0.12,0.0,0.03,0.0,-,2,0,109.38,1
1,ABBV200228P00075000,2020-02-25 2:39PM EST,75.0,0.01,0.0,0.02,0.0,-,37,40,78.13,1
2,ABBV200228P00076500,2020-02-21 12:30PM EST,76.5,0.02,0.0,0.02,0.0,-,1,3,70.31,1
3,ABBV200228P00077000,2020-02-20 12:32PM EST,77.0,0.05,0.0,0.72,0.0,-,3,13,123.24,1
4,ABBV200228P00077500,2020-02-07 10:00AM EST,77.5,0.13,0.0,0.66,0.0,-,3,20,116.6,1
5,ABBV200228P00078000,2020-02-07 10:25AM EST,78.0,0.01,0.0,0.69,0.0,-,6,15,114.06,1
6,ABBV200228P00078500,2020-02-07 11:07AM EST,78.5,0.09,0.0,0.67,0.0,-,1,5,109.18,1
7,ABBV200228P00079000,2020-02-21 9:30AM EST,79.0,0.05,0.0,0.69,0.0,-,3,20,106.06,1
8,ABBV200228P00080000,2020-02-26 12:53PM EST,80.0,0.03,0.0,0.03,0.0,-,142,76,54.69,1
9,ABBV200228P00081000,2020-02-26 11:36AM EST,81.0,0.02,0.0,0.04,-0.03,-60.00%,55,68,51.56,1
10,ABBV200228P00082000,2020-02-26 11:33AM EST,82.0,0.03,0.0,0.04,-0.05,-62.50%,56,377,51.56,1
11,ABBV200228P00083000,2020-02-25 2:45PM EST,83.0,0.05,0.05,0.06,-0.09,-64.29%,82,124,49.22,1
12,ABBV200228P00083500,2020-02-26 11:26AM EST,83.5,0.04,0.02,0.08,-0.14,-77.78%,96,138,48.63,1
13,ABBV200228P00084000,2020-02-26 11:27AM EST,84.0,0.05,0.03,0.07,-0.12,-70.59%,74,216,44.14,1
14,ABBV200228P00084500,2020-02-26 11:27AM EST,84.5,0.05,0.05,0.07,-0.21,-80.77%,85,218,41.02,1
15,ABBV200228P00085000,2020-02-26 12:53PM EST,85.0,0.08,0.06,0.09,-0.21,-72.41%,99,1526,39.84,1
16,ABBV200228P00085500,2020-02-25 3:44PM EST,85.5,0.29,0.09,0.15,0.0,-,222,59,41.41,1
17,ABBV200228P00086000,2020-02-26 11:03AM EST,86.0,0.11,0.13,0.15,-0.36,-76.60%,1,250,37.7,1
18,ABBV200228P00086500,2020-02-26 12:32PM EST,86.5,0.17,0.15,0.21,-0.63,-78.75%,85,37,37.6,1
19,ABBV200228P00087000,2020-02-26 12:10PM EST,87.0,0.27,0.23,0.26,-0.2,-42.55%,32,246,36.13,1
20,ABBV200228P00087500,2020-02-26 10:22AM EST,87.5,0.28,0.28,0.33,-0.82,-74.55%,30,252,34.96,1
21,ABBV200228P00088000,2020-02-26 12:14PM EST,88.0,0.45,0.37,0.42,-0.55,-55.00%,67,296,33.79,1
22,ABBV200228P00088500,2020-02-26 12:22PM EST,88.5,0.6,0.49,0.52,-0.72,-54.55%,510,73,32.13,1
23,ABBV200228P00089000,2020-02-26 10:57AM EST,89.0,0.8,0.63,0.67,-0.5,-38.46%,113,331,31.35,1
24,ABBV200228P00089500,2020-02-26 11:21AM EST,89.5,0.52,0.8,0.84,-1.62,-75.70%,69,87,30.03,1
25,ABBV200228P00090000,2020-02-26 12:56PM EST,90.0,1.11,1.0,1.06,-0.65,-36.93%,98,1569,29.1,1
26,ABBV200228P00090500,2020-02-26 11:31AM EST,90.5,1.5,1.24,1.3,-0.46,-23.47%,66,77,27.44,1
27,ABBV200228P00091000,2020-02-26 9:54AM EST,91.0,1.08,1.54,1.59,-2.12,-66.25%,8,135,25.78,1
28,ABBV200228P00091500,2020-02-26 10:47AM EST,91.5,1.5,1.84,1.91,-1.11,-42.53%,36,153,23.15,1
29,ABBV200228P00092000,2020-02-26 12:17PM EST,92.0,2.39,2.21,2.27,-0.65,-21.38%,78,290,18.56,1
38,ABBV200228P00097000,2020-02-13 4:44PM EST,97.0,1.86,6.55,7.25,0.0,-,-,1,42.58,1
41,ABBV200228P00100000,2020-02-14 9:33AM EST,100.0,5.4,9.3,10.35,0.0,-,4,21,72.27,1
43,ABBV200228P00104000,2020-02-25 12:50PM EST,104.0,14.1,13.4,14.75,0.0,-,1,1,126.95,1
44,ABBV200228P00108000,2020-02-24 9:32AM EST,108.0,15.0,17.3,18.8,0.0,-,-,1,153.03,1
0,ABBV200306P00070000,2020-02-14 10:49AM EST,70.0,0.01,0.0,0.22,0.0,-,4,30,78.52,8
1,ABBV200306P00075000,2020-02-21 12:36PM EST,75.0,0.02,0.0,0.47,0.0,-,1,15,69.24,8
2,ABBV200306P00076500,2020-01-30 1:59PM EST,76.5,1.02,0.0,0.48,0.0,-,-,1,63.38,8
3,ABBV200306P00077000,2020-01-31 3:21PM EST,77.0,0.96,0.01,0.5,0.0,-,1,1,62.21,8
4,ABBV200306P00078000,2020-02-10 9:43AM EST,78.0,0.02,0.04,0.23,0.0,-,5,21,50.59,8
5,ABBV200306P00078500,2020-02-07 3:08PM EST,78.5,0.1,0.02,0.55,0.0,-,10,30,57.42,8
6,ABBV200306P00079000,2020-01-30 9:51AM EST,79.0,1.5,0.02,0.57,0.0,-,-,1,55.86,8
7,ABBV200306P00080000,2020-02-26 10:20AM EST,80.0,0.15,0.11,0.17,-0.07,-31.82%,20,40,45.31,8
8,ABBV200306P00081000,2020-02-24 1:02PM EST,81.0,0.07,0.14,0.21,0.0,-,4,98,43.46,8
9,ABBV200306P00081500,2020-02-25 2:51PM EST,81.5,0.34,0.16,0.25,-0.02,-5.56%,5,116,43.26,8
10,ABBV200306P00082000,2020-02-24 9:35AM EST,82.0,0.15,0.17,0.28,0.0,-,1,13,42.48,8
11,ABBV200306P00082500,2020-02-10 10:34AM EST,82.5,0.1,0.23,0.3,0.0,-,97,103,41.11,8
12,ABBV200306P00083000,2020-02-26 10:35AM EST,83.0,0.27,0.28,0.33,-0.16,-37.21%,7,62,40.04,8
13,ABBV200306P00083500,2020-02-07 1:18PM EST,83.5,0.45,0.31,0.42,0.0,-,4,7,40.72,8
14,ABBV200306P00084000,2020-02-20 9:48AM EST,84.0,0.23,0.36,0.46,0.0,-,6,19,39.6,8
15,ABBV200306P00084500,2020-02-25 9:51AM EST,84.5,0.17,0.41,0.54,0.0,-,6,14,39.4,8
16,ABBV200306P00085000,2020-02-26 12:41PM EST,85.0,0.54,0.5,0.56,-0.38,-41.30%,4,34,37.4,8
17,ABBV200306P00085500,2020-02-24 1:59PM EST,85.5,1.0,0.56,0.69,0.0,-,4,8,37.99,8
18,ABBV200306P00086000,2020-02-26 12:46PM EST,86.0,0.74,0.68,0.73,-0.31,-29.52%,48,33,36.23,8
19,ABBV200306P00086500,2020-02-26 10:51AM EST,86.5,0.6,0.79,0.83,-0.64,-51.61%,11,24,35.57,8
20,ABBV200306P00087000,2020-02-26 12:46PM EST,87.0,0.96,0.9,0.95,-0.4,-29.41%,44,50,35.06,8
21,ABBV200306P00087500,2020-02-25 2:30PM EST,87.5,1.88,1.01,1.07,0.0,-,8,27,34.3,8
22,ABBV200306P00088000,2020-02-26 10:39AM EST,88.0,1.07,1.17,1.23,-0.77,-41.85%,14,20,33.99,8
23,ABBV200306P00088500,2020-02-26 11:46AM EST,88.5,1.29,1.34,1.45,-0.61,-32.11%,211,54,34.42,8
24,ABBV200306P00089000,2020-02-26 10:08AM EST,89.0,1.69,1.54,1.6,-0.46,-21.40%,144,37,33.3,8
25,ABBV200306P00089500,2020-02-26 11:59AM EST,89.5,1.74,1.73,1.77,-0.66,-27.50%,76,55,32.23,8
26,ABBV200306P00090000,2020-02-26 11:59AM EST,90.0,1.91,1.94,2.01,-0.89,-31.79%,46,282,31.98,8
27,ABBV200306P00090500,2020-02-26 11:46AM EST,90.5,1.99,2.2,2.24,-1.34,-40.24%,12,40,31.2,8
28,ABBV200306P00091000,2020-02-26 11:15AM EST,91.0,2.29,2.45,2.5,-1.16,-33.62%,6,101,30.59,8
29,ABBV200306P00091500,2020-02-26 12:51PM EST,91.5,2.76,2.71,2.82,-0.75,-21.37%,64,72,30.62,8
30,ABBV200306P00092000,2020-02-25 2:20PM EST,92.0,4.38,3.0,3.2,0.16,+3.79%,50,38,31.45,8
31,ABBV200306P00092500,2020-02-26 10:03AM EST,92.5,3.7,3.35,3.5,0.0,-,2,142,30.37,8
32,ABBV200306P00093000,2020-02-26 9:46AM EST,93.0,4.15,3.7,3.85,-0.45,-9.78%,4,80,29.83,8
33,ABBV200306P00093500,2020-02-25 11:59AM EST,93.5,3.63,4.0,4.3,0.0,-,4,37,31.15,8
34,ABBV200306P00094000,2020-02-26 11:15AM EST,94.0,4.3,4.45,4.6,-1.5,-25.86%,3,109,28.52,8
35,ABBV200306P00095000,2020-02-26 11:20AM EST,95.0,4.84,5.2,5.5,-0.91,-15.83%,16,238,29.64,8
36,ABBV200306P00096000,2020-02-24 10:55AM EST,96.0,5.59,6.05,6.3,1.61,+40.45%,1,11,24.71,8
0,ABBV200313P00070000,2020-02-05 3:36PM EST,70.0,0.12,0.0,0.15,0.0,-,122,62,56.64,15
1,ABBV200313P00075000,2020-02-06 3:36PM EST,75.0,0.19,0.01,0.56,0.0,-,1,13,55.47,15
2,ABBV200313P00076500,2020-02-05 12:10PM EST,76.5,0.39,0.02,0.64,0.0,-,-,3,52.34,15
3,ABBV200313P00077500,2020-02-13 12:36PM EST,77.5,0.02,0.05,0.62,0.0,-,-,2,58.11,15
4,ABBV200313P00078500,2020-02-07 1:04PM EST,78.5,0.11,0.09,0.28,0.0,-,5,5,43.85,15
5,ABBV200313P00079000,2020-01-31 12:41PM EST,79.0,2.25,0.1,0.31,0.0,-,1,1,43.36,15
6,ABBV200313P00079500,2020-02-25 2:28PM EST,79.5,0.35,0.2,0.25,0.0,-,153,801,39.55,15
7,ABBV200313P00080000,2020-02-26 11:35AM EST,80.0,0.2,0.23,0.29,-0.17,-45.95%,40,39,39.36,15
8,ABBV200313P00081000,2020-02-21 12:00PM EST,81.0,0.35,0.24,0.39,-0.05,-12.50%,1,5,39.16,15
9,ABBV200313P00081500,2020-01-31 3:24PM EST,81.5,3.07,0.26,0.43,0.0,-,3,3,38.53,15
10,ABBV200313P00082000,2020-02-07 10:19AM EST,82.0,0.44,0.31,0.45,-0.01,-2.22%,1,4,37.31,15
11,ABBV200313P00082500,2020-02-06 12:43PM EST,82.5,1.33,0.37,0.5,0.0,-,-,1,36.77,15
12,ABBV200313P00083000,2020-02-25 1:18PM EST,83.0,0.55,0.42,0.56,0.0,-,1,10,36.28,15
13,ABBV200313P00083500,2020-02-18 10:52AM EST,83.5,0.17,0.48,0.63,0.0,-,-,3,35.89,15
14,ABBV200313P00084000,2020-02-25 2:48PM EST,84.0,0.91,0.54,0.7,0.0,-,2,3,35.35,15
15,ABBV200313P00084500,2020-02-18 12:07AM EST,84.5,0.25,0.61,0.78,0.0,-,-,1,34.86,15
16,ABBV200313P00085000,2020-02-26 11:54AM EST,85.0,0.7,0.75,0.81,-0.49,-41.18%,37,31,33.35,15
17,ABBV200313P00085500,2020-02-25 2:26PM EST,85.5,1.33,0.81,0.97,0.0,-,2,0,33.96,15
18,ABBV200313P00086000,2020-02-25 3:42PM EST,86.0,1.35,0.95,1.01,0.0,-,32,54,32.4,15
19,ABBV200313P00086500,2020-02-26 11:45AM EST,86.5,0.9,1.01,1.23,0.5,+125.00%,22,1,33.5,15
20,ABBV200313P00087000,2020-02-25 3:51PM EST,87.0,1.74,1.18,1.34,0.0,-,4,103,32.69,15
21,ABBV200313P00087500,2020-02-25 11:06AM EST,87.5,1.42,1.35,1.4,0.0,-,65,69,31.03,15
22,ABBV200313P00088000,2020-02-25 2:57PM EST,88.0,2.09,1.5,1.57,0.0,-,35,34,30.76,15
23,ABBV200313P00088500,2020-02-26 10:08AM EST,88.5,1.85,1.66,1.83,1.03,+125.61%,1,3,31.49,15
24,ABBV200313P00089000,2020-02-26 11:16AM EST,89.0,1.56,1.88,1.94,-1.19,-43.27%,4,6,30.01,15
25,ABBV200313P00089500,2020-02-26 12:42PM EST,89.5,2.18,2.09,2.15,0.19,+9.55%,1,21,29.64,15
26,ABBV200313P00090000,2020-02-26 11:33AM EST,90.0,1.95,2.31,2.38,-0.27,-12.16%,13,154,29.32,15
27,ABBV200313P00090500,2020-02-26 12:42PM EST,90.5,2.68,2.53,2.63,-0.9,-25.14%,2,24,29.03,15
28,ABBV200313P00091500,2020-02-25 12:34PM EST,91.5,3.0,3.05,3.25,0.0,-,10,55,29.32,15
29,ABBV200313P00092000,2020-02-26 9:39AM EST,92.0,3.56,3.35,3.55,-1.26,-26.14%,5,240,29.0,15
30,ABBV200313P00092500,2020-02-26 10:50AM EST,92.5,3.27,3.7,3.85,-0.31,-8.66%,2,42,28.44,15
31,ABBV200313P00093000,2020-02-26 11:10AM EST,93.0,3.86,3.95,4.2,0.26,+7.22%,1,71,28.35,15
32,ABBV200313P00093500,2020-02-26 11:03AM EST,93.5,4.12,4.35,4.65,2.25,+120.32%,5,69,29.59,15
33,ABBV200313P00094000,2020-02-26 12:36PM EST,94.0,4.73,4.7,4.9,0.23,+5.11%,10,283,27.39,15
34,ABBV200313P00095000,2020-02-25 11:28AM EST,95.0,6.55,5.5,5.7,0.0,-,51,54,27.1,15
35,ABBV200313P00096000,2020-02-25 10:51AM EST,96.0,5.7,6.25,6.5,0.0,-,10,29,25.59,15
36,ABBV200313P00096500,2020-02-13 3:09PM EST,96.5,3.01,6.7,6.9,0.0,-,-,1,24.02,15
37,ABBV200313P00098000,2020-02-25 6:49PM EST,98.0,8.9,8.0,8.25,0.0,-,-,10,19.92,15
38,ABBV200313P00098500,2020-02-25 6:49PM EST,98.5,6.9,8.4,8.75,0.0,-,-,10,20.9,15
42,ABBV200313P00110000,2020-02-21 3:17PM EST,110.0,15.08,19.5,20.25,0.0,-,1,1,40.63,15
0,ABBV200327P00075000,2020-02-25 3:21PM EST,75.0,0.25,0.12,0.43,0.0,-,2,1,45.31,29
1,ABBV200327P00080000,2020-02-25 2:56PM EST,80.0,0.6,0.44,0.56,0.0,-,9,15,35.06,29
2,ABBV200327P00080500,2020-02-12 12:12PM EST,80.5,0.7,0.48,0.6,0.0,-,-,1,34.42,29
3,ABBV200327P00081000,2020-02-13 9:31AM EST,81.0,0.15,0.52,0.67,0.0,-,-,1,34.28,29
4,ABBV200327P00082000,2020-02-24 10:27AM EST,82.0,1.05,0.61,0.77,0.6,+133.33%,5,2,33.06,29
5,ABBV200327P00082500,2020-02-25 3:33PM EST,82.5,1.1,0.68,0.85,0.0,-,1,1,32.81,29
6,ABBV200327P00084000,2020-02-21 10:20AM EST,84.0,0.42,0.91,1.1,0.0,-,1,1,31.62,29
7,ABBV200327P00084500,2020-02-12 12:17PM EST,84.5,0.34,0.98,1.21,0.0,-,-,1,31.37,29
8,ABBV200327P00085000,2020-02-25 3:06PM EST,85.0,0.95,1.12,1.31,-0.65,-40.62%,1,46,30.91,29
9,ABBV200327P00085500,2020-02-24 11:05AM EST,85.5,0.8,1.21,1.51,0.0,-,1,10,31.47,29
10,ABBV200327P00086000,2020-02-25 1:00PM EST,86.0,1.6,1.35,1.59,0.0,-,5,6,30.57,29
11,ABBV200327P00087000,2020-02-24 12:28PM EST,87.0,1.99,1.64,1.87,0.93,+87.74%,9,17,29.81,29
12,ABBV200327P00087500,2020-02-21 3:52PM EST,87.5,2.48,1.76,2.16,0.0,-,1,3,30.79,29
13,ABBV200327P00088000,2020-02-20 11:39AM EST,88.0,1.0,1.97,2.22,0.0,-,20,32,29.3,29
14,ABBV200327P00088500,2020-02-26 10:19AM EST,88.5,2.25,2.12,2.45,-0.65,-22.41%,3,13,29.42,29
15,ABBV200327P00089000,2020-02-26 11:44AM EST,89.0,2.15,2.44,2.56,-0.82,-27.61%,5,1,28.24,29
16,ABBV200327P00090000,2020-02-26 9:34AM EST,90.0,3.0,2.88,2.99,-0.55,-15.49%,4,78,27.56,29
17,ABBV200327P00090500,2020-02-26 10:02AM EST,90.5,3.5,3.0,3.3,1.49,+74.13%,5,5,27.93,29
18,ABBV200327P00091000,2020-02-14 11:14AM EST,91.0,3.45,3.3,3.55,1.84,+114.29%,2,5,27.6,29
19,ABBV200327P00091500,2020-02-25 12:38PM EST,91.5,3.55,3.6,3.8,0.0,-,1,8,27.12,29
20,ABBV200327P00092000,2020-02-25 1:59PM EST,92.0,4.85,3.85,4.1,0.15,+3.19%,20,2,27.03,29
21,ABBV200327P00092500,2020-02-24 11:32AM EST,92.5,2.66,4.1,4.4,0.0,-,12,21,26.76,29
22,ABBV200327P00093000,2020-02-21 11:27AM EST,93.0,1.9,4.4,4.7,0.0,-,1,2,26.37,29
23,ABBV200327P00093500,2020-02-18 12:07AM EST,93.5,2.68,4.75,5.05,0.0,-,-,2,26.37,29
24,ABBV200327P00094000,2020-02-25 10:49AM EST,94.0,4.7,5.15,5.35,0.0,-,16,39,25.65,29
25,ABBV200327P00095000,2020-02-26 12:04PM EST,95.0,5.87,5.85,6.1,1.61,+37.79%,5,28,25.46,29
26,ABBV200327P00096000,2020-02-25 1:52PM EST,96.0,7.2,6.6,6.85,0.0,-,5,51,24.66,29
27,ABBV200327P00097000,2020-02-13 9:55AM EST,97.0,2.75,7.45,7.75,0.0,-,-,1,25.44,29
28,ABBV200327P00097500,2020-02-20 12:02PM EST,97.5,5.42,7.8,8.15,0.0,-,1,1,24.85,29
29,ABBV200327P00100000,2020-02-26 12:04PM EST,100.0,10.07,10.05,10.3,2.52,+33.38%,4,15,20.51,29
30,ABBV200327P00110000,2020-02-12 3:01PM EST,110.0,12.9,19.6,20.25,0.0,-,-,0,30.08,29
0,ABBV200403P00075000,2020-02-25 10:53AM EST,75.0,0.35,0.2,0.29,0.15,+75.00%,12,13,37.21,36
1,ABBV200403P00080000,2020-02-26 11:43AM EST,80.0,0.5,0.58,0.64,-0.37,-42.53%,6,46,33.01,36
2,ABBV200403P00085000,2020-02-25 1:58PM EST,85.0,1.43,1.38,1.46,-0.24,-14.37%,2,175,29.49,36
