,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ABMD200320C00090000,2020-02-19 10:55AM EST,90.0,79.5,65.1,69.9,0.0,-,-,2,116.11,22
1,ABMD200320C00100000,2019-11-12 10:49AM EST,100.0,125.0,77.5,82.3,0.0,-,1,0,367.43,22
2,ABMD200320C00120000,2020-01-06 10:59AM EST,120.0,58.0,64.9,69.5,0.0,-,1,11,339.17,22
3,ABMD200320C00125000,2020-02-10 12:14AM EST,125.0,47.7,31.0,35.3,0.0,-,-,10,67.72,22
4,ABMD200320C00130000,2020-01-16 12:44PM EST,130.0,53.5,36.1,40.1,0.0,-,1,5,150.89,22
5,ABMD200320C00135000,2020-01-13 10:17AM EST,135.0,28.27,31.2,35.4,0.0,-,-,1,137.43,22
6,ABMD200320C00140000,2020-02-14 12:58PM EST,140.0,25.0,18.8,20.2,0.0,-,1,7,54.81,22
7,ABMD200320C00145000,2020-02-06 1:01PM EST,145.0,43.37,14.7,16.2,0.0,-,1,4,51.84,22
8,ABMD200320C00150000,2020-02-26 12:49PM EST,150.0,12.3,11.6,12.6,-1.2,-8.89%,1,24,51.43,22
9,ABMD200320C00155000,2020-02-26 11:53AM EST,155.0,10.13,8.7,9.6,-0.97,-8.74%,6,69,50.57,22
10,ABMD200320C00160000,2020-02-26 12:32PM EST,160.0,6.7,6.5,6.9,-1.87,-21.82%,28,183,51.07,22
11,ABMD200320C00165000,2020-02-26 11:41AM EST,165.0,5.1,4.6,5.1,-0.8,-13.56%,2,220,51.5,22
12,ABMD200320C00170000,2020-02-26 12:24PM EST,170.0,3.45,3.2,3.5,-0.97,-21.95%,29,169,50.46,22
13,ABMD200320C00175000,2020-02-26 12:40PM EST,175.0,2.3,2.2,2.55,-0.9,-28.13%,25,386,50.07,22
14,ABMD200320C00180000,2020-02-26 12:28PM EST,180.0,1.68,1.5,1.85,-0.44,-20.75%,2,328,50.85,22
15,ABMD200320C00185000,2020-02-25 2:24PM EST,185.0,1.35,1.0,1.3,-0.11,-7.53%,1,327,51.32,22
16,ABMD200320C00190000,2020-02-26 12:28PM EST,190.0,0.92,0.7,1.05,-0.25,-21.37%,1,512,53.22,22
17,ABMD200320C00195000,2020-02-25 3:40PM EST,195.0,0.87,0.5,0.75,0.0,-,3,327,54.2,22
18,ABMD200320C00200000,2020-02-25 12:21PM EST,200.0,0.75,0.35,0.55,0.05,+7.14%,2,3170,55.18,22
19,ABMD200320C00210000,2020-02-26 12:15PM EST,210.0,0.35,0.2,0.45,-0.13,-27.08%,15,340,60.21,22
20,ABMD200320C00220000,2020-02-25 1:26PM EST,220.0,0.3,0.0,0.3,0.1,+50.00%,140,351,60.35,22
21,ABMD200320C00230000,2020-02-25 1:25PM EST,230.0,0.15,0.05,0.95,0.0,-,202,322,80.66,22
22,ABMD200320C00240000,2020-02-21 2:20PM EST,240.0,0.2,0.0,0.9,0.0,-,12,250,86.18,22
23,ABMD200320C00250000,2020-02-14 3:07PM EST,250.0,0.3,0.0,0.9,0.0,-,1,169,92.77,22
24,ABMD200320C00260000,2020-02-06 1:50PM EST,260.0,1.26,0.05,4.4,0.0,-,1,79,134.77,22
25,ABMD200320C00270000,2020-02-14 10:06AM EST,270.0,0.13,0.0,4.9,0.0,-,1,56,145.07,22
26,ABMD200320C00280000,2020-01-21 10:27AM EST,280.0,0.8,0.0,0.35,0.0,-,2,0,96.88,22
27,ABMD200320C00290000,2020-02-05 1:11PM EST,290.0,0.35,0.0,0.1,0.0,-,6,58,88.28,22
28,ABMD200320C00300000,2020-02-06 9:37AM EST,300.0,0.13,0.0,0.2,0.0,-,11,366,99.61,22
29,ABMD200320C00310000,2020-02-04 9:50AM EST,310.0,0.25,0.0,0.15,0.0,-,2,13,100.78,22
30,ABMD200320C00320000,2020-02-13 9:51AM EST,320.0,0.1,0.0,0.15,0.0,-,1,65,104.69,22
31,ABMD200320C00330000,2020-02-19 1:53PM EST,330.0,0.05,0.0,0.15,0.0,-,3,178,108.59,22
32,ABMD200320C00340000,2019-10-08 11:08AM EST,340.0,0.5,0.9,1.15,0.0,-,4,0,158.59,22
33,ABMD200320C00360000,2019-07-30 2:19PM EST,360.0,12.25,0.75,1.35,0.0,-,-,110,168.21,22
34,ABMD200320C00380000,2019-11-08 10:03AM EST,380.0,0.9,0.0,0.65,0.0,-,2,2,149.02,22
35,ABMD200320C00390000,2019-11-18 12:40PM EST,390.0,0.35,0.0,0.3,0.0,-,2,3,139.06,22
0,ABMD200417C00140000,2020-02-25 11:43AM EST,140.0,25.0,21.1,22.5,0.0,-,3,3,50.46,50
1,ABMD200417C00150000,2020-02-25 10:24AM EST,150.0,18.07,14.8,15.8,0.0,-,4,4,51.67,50
2,ABMD200417C00165000,2020-02-26 11:28AM EST,165.0,7.98,7.6,8.2,-0.62,-7.21%,19,18,48.47,50
3,ABMD200417C00170000,2020-02-26 11:12AM EST,170.0,7.2,6.1,6.5,0.09,+1.27%,9,7,48.24,50
4,ABMD200417C00175000,2020-02-25 10:27AM EST,175.0,6.25,4.7,5.1,0.0,-,1,2,48.06,50
5,ABMD200417C00180000,2020-02-26 1:03PM EST,180.0,3.7,3.6,3.9,-0.8,-17.78%,13,6,47.61,50
6,ABMD200417C00185000,2020-02-26 11:38AM EST,185.0,3.2,2.7,3.1,-0.3,-8.57%,3,10,48.13,50
7,ABMD200417C00190000,2020-02-26 11:36AM EST,190.0,2.45,2.0,2.4,-0.3,-10.91%,33,8,48.25,50
8,ABMD200417C00195000,2020-02-25 12:11PM EST,195.0,2.15,1.5,1.9,0.0,-,10,0,48.78,50
9,ABMD200417C00200000,2020-02-24 3:22PM EST,200.0,2.2,1.05,1.5,0.0,-,-,4,49.27,50
10,ABMD200417C00220000,2020-02-25 10:04AM EST,220.0,0.89,0.15,0.75,0.0,-,2,2,53.66,50
0,ABMD200619C00085000,2020-01-15 12:13PM EST,85.0,93.34,80.8,85.5,0.0,-,-,1,141.63,113
1,ABMD200619C00090000,2019-12-02 12:51PM EST,90.0,103.82,77.6,82.1,0.0,-,-,0,140.92,113
2,ABMD200619C00095000,2020-01-15 11:43AM EST,95.0,82.75,71.2,76.0,0.0,-,-,1,125.12,113
3,ABMD200619C00100000,2020-01-29 10:54AM EST,100.0,92.71,57.5,61.8,0.0,-,-,2,66.69,113
4,ABMD200619C00105000,2020-01-15 11:43AM EST,105.0,73.32,61.8,66.5,0.0,-,1,2,110.51,113
5,ABMD200619C00110000,2020-02-12 2:59PM EST,110.0,61.3,48.5,52.8,0.0,-,1,16,61.77,113
6,ABMD200619C00115000,2019-12-16 12:11AM EST,115.0,73.5,67.8,71.2,0.0,-,-,-,154.94,113
7,ABMD200619C00130000,2020-02-07 1:59PM EST,130.0,59.6,33.0,36.5,0.0,-,1,3,56.63,113
8,ABMD200619C00135000,2020-02-20 11:42AM EST,135.0,37.0,29.9,33.0,0.0,-,1,5,56.4,113
9,ABMD200619C00140000,2020-02-24 9:38AM EST,140.0,33.3,26.0,29.5,0.0,-,2,9,54.16,113
10,ABMD200619C00145000,2020-01-17 9:42AM EST,145.0,43.2,31.6,34.6,0.0,-,1,12,79.41,113
11,ABMD200619C00150000,2020-02-26 10:23AM EST,150.0,22.6,20.8,23.7,-4.1,-15.36%,2,17,54.0,113
12,ABMD200619C00155000,2020-02-14 2:57PM EST,155.0,25.3,18.2,21.0,0.0,-,2,8,53.25,113
13,ABMD200619C00160000,2020-02-25 11:47AM EST,160.0,16.72,15.5,18.2,-1.85,-9.96%,1,70,51.65,113
14,ABMD200619C00165000,2020-02-25 10:42AM EST,165.0,15.5,13.3,16.5,0.0,-,1,42,51.74,113
15,ABMD200619C00170000,2020-02-26 11:53AM EST,170.0,13.5,12.2,14.6,0.3,+2.27%,4,132,52.56,113
16,ABMD200619C00175000,2020-02-25 1:52PM EST,175.0,11.67,10.3,12.9,0.0,-,1,26,52.0,113
17,ABMD200619C00180000,2020-02-26 9:56AM EST,180.0,10.2,9.0,11.3,-0.1,-0.97%,2,67,51.94,113
18,ABMD200619C00185000,2020-02-25 1:40PM EST,185.0,9.9,7.4,10.1,0.0,-,7,85,51.54,113
19,ABMD200619C00190000,2020-02-26 12:22PM EST,190.0,7.1,6.5,7.9,-0.8,-10.13%,3,102,50.16,113
20,ABMD200619C00195000,2020-02-19 3:23PM EST,195.0,9.0,5.4,7.7,0.0,-,1,9,51.26,113
21,ABMD200619C00200000,2020-02-26 9:33AM EST,200.0,5.8,4.8,6.6,-0.32,-5.23%,2,279,51.33,113
22,ABMD200619C00210000,2020-02-25 11:47AM EST,210.0,4.27,3.3,5.4,0.0,-,1,26,51.67,113
23,ABMD200619C00220000,2020-02-25 1:30PM EST,220.0,3.0,2.2,4.3,0.0,-,8,79,51.67,113
24,ABMD200619C00230000,2020-02-18 10:30AM EST,230.0,3.2,1.8,3.3,0.0,-,1,74,52.42,113
25,ABMD200619C00240000,2020-02-21 10:08AM EST,240.0,2.1,1.2,2.2,0.0,-,1,55,51.07,113
26,ABMD200619C00250000,2020-02-19 10:42AM EST,250.0,2.29,0.75,2.25,0.0,-,1,219,53.11,113
27,ABMD200619C00260000,2020-02-24 9:58AM EST,260.0,1.2,0.65,1.95,0.0,-,2,17,54.74,113
28,ABMD200619C00270000,2020-01-29 9:40AM EST,270.0,1.55,0.4,1.7,0.0,-,1,14,55.42,113
29,ABMD200619C00280000,2020-01-14 10:00AM EST,280.0,1.17,0.4,4.6,0.0,-,2,4,69.73,113
