,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ABMD200320P00090000,2020-02-25 11:00AM EST,90.0,0.1,0.0,0.2,0.0,-,10,124,93.75,22
1,ABMD200320P00095000,2020-02-14 10:47AM EST,95.0,0.2,0.0,0.2,0.0,-,1,62,85.55,22
2,ABMD200320P00100000,2020-02-04 9:41AM EST,100.0,0.44,0.0,4.5,0.0,-,1,22,140.63,22
3,ABMD200320P00105000,2020-01-27 11:01AM EST,105.0,0.15,0.05,4.5,0.0,-,1,56,128.96,22
4,ABMD200320P00110000,2020-02-25 11:39AM EST,110.0,0.15,0.0,0.45,0.0,-,7,242,70.9,22
5,ABMD200320P00115000,2020-02-04 10:37AM EST,115.0,0.68,0.0,4.6,0.0,-,2,118,106.45,22
6,ABMD200320P00120000,2020-02-25 11:00AM EST,120.0,0.35,0.0,3.9,0.0,-,10,55,90.8,22
7,ABMD200320P00125000,2020-02-18 9:43AM EST,125.0,0.41,0.2,0.6,0.0,-,10,221,54.0,22
8,ABMD200320P00130000,2020-02-26 11:27AM EST,130.0,0.55,0.65,0.9,-0.15,-21.43%,3,165,53.91,22
9,ABMD200320P00135000,2020-02-25 2:30PM EST,135.0,1.3,1.1,1.35,0.0,-,6,89,51.83,22
10,ABMD200320P00140000,2020-02-25 1:29PM EST,140.0,1.7,1.75,2.2,0.0,-,15,111,50.59,22
11,ABMD200320P00145000,2020-02-26 12:01PM EST,145.0,2.57,2.8,3.2,-0.43,-14.33%,5,762,50.53,22
12,ABMD200320P00150000,2020-02-25 3:51PM EST,150.0,4.65,4.3,4.7,-0.34,-6.81%,7,618,49.26,22
13,ABMD200320P00155000,2020-02-26 12:51PM EST,155.0,6.5,6.3,6.8,-0.4,-5.80%,14,592,48.88,22
14,ABMD200320P00160000,2020-02-26 12:07PM EST,160.0,8.8,8.7,9.5,-0.45,-4.86%,9,841,49.08,22
15,ABMD200320P00165000,2020-02-26 10:03AM EST,165.0,11.0,11.8,12.8,-0.7,-5.98%,2,574,50.07,22
16,ABMD200320P00170000,2020-02-25 12:27PM EST,170.0,13.25,14.8,16.3,-0.25,-1.85%,45,1170,49.6,22
17,ABMD200320P00175000,2020-02-25 12:00PM EST,175.0,17.0,19.2,20.3,-2.8,-14.14%,44,610,50.12,22
18,ABMD200320P00180000,2020-02-24 12:30PM EST,180.0,19.73,23.1,24.5,0.0,-,6,266,49.9,22
19,ABMD200320P00185000,2020-02-24 1:47PM EST,185.0,26.18,27.8,29.2,-2.22,-7.82%,1,111,52.93,22
20,ABMD200320P00190000,2020-02-24 12:33PM EST,190.0,28.15,31.6,34.7,0.0,-,2,50,64.62,22
21,ABMD200320P00195000,2020-02-25 3:41PM EST,195.0,36.7,36.2,39.6,0.0,-,1,58,69.31,22
22,ABMD200320P00200000,2020-02-25 1:33PM EST,200.0,41.5,40.9,44.6,0.0,-,15,42,74.8,22
23,ABMD200320P00210000,2020-02-25 2:13PM EST,210.0,50.1,51.3,54.6,-0.9,-1.76%,1,26,85.08,22
24,ABMD200320P00220000,2020-02-25 1:00PM EST,220.0,60.6,60.2,65.0,0.0,-,4,59,99.83,22
26,ABMD200320P00240000,2020-02-25 11:42AM EST,240.0,79.05,80.1,85.0,0.0,-,1,3,117.31,22
27,ABMD200320P00250000,2020-02-04 3:46PM EST,250.0,61.5,90.1,94.9,0.0,-,1,1,123.78,22
28,ABMD200320P00260000,2020-02-10 11:52AM EST,260.0,77.9,100.0,104.8,0.0,-,1,0,129.66,22
0,ABMD200417P00120000,2020-02-25 6:52PM EST,120.0,0.95,0.75,1.15,0.0,-,-,1,50.76,50
1,ABMD200417P00125000,2020-02-25 6:52PM EST,125.0,1.35,1.2,1.65,0.0,-,-,1,51.95,50
2,ABMD200417P00140000,2020-02-24 11:33AM EST,140.0,3.0,3.9,4.4,0.0,-,1,1,48.73,50
3,ABMD200417P00145000,2020-02-26 12:08PM EST,145.0,5.5,5.4,5.8,1.7,+44.74%,4,6,47.49,50
4,ABMD200417P00150000,2020-02-26 12:07PM EST,150.0,7.2,7.2,7.7,0.4,+5.88%,4,13,47.11,50
5,ABMD200417P00155000,2020-02-26 9:58AM EST,155.0,8.38,9.3,9.8,0.08,+0.96%,1,7,46.06,50
6,ABMD200417P00160000,2020-02-25 3:52PM EST,160.0,11.0,11.9,12.4,-0.65,-5.58%,2,267,45.63,50
7,ABMD200417P00165000,2020-02-26 9:35AM EST,165.0,14.26,14.7,15.6,1.36,+10.54%,5,15,46.25,50
8,ABMD200417P00175000,2020-02-25 12:00PM EST,175.0,18.88,21.2,22.5,0.0,-,2,2,45.56,50
0,ABMD200619P00085000,2020-02-10 12:12PM EST,85.0,0.5,0.0,1.2,0.0,-,2,7,61.62,113
1,ABMD200619P00090000,2020-02-06 2:41PM EST,90.0,0.56,0.3,1.5,0.0,-,2,51,61.3,113
2,ABMD200619P00095000,2020-01-15 11:43AM EST,95.0,1.34,0.0,4.9,0.0,-,1,15,71.66,113
3,ABMD200619P00100000,2020-02-12 3:41PM EST,100.0,1.25,0.9,1.9,0.0,-,1,24,56.8,113
4,ABMD200619P00105000,2020-01-15 11:43AM EST,105.0,1.86,0.5,2.6,0.0,-,1,5,53.11,113
5,ABMD200619P00110000,2020-02-24 1:07PM EST,110.0,1.8,1.35,2.85,0.0,-,3,9,52.38,113
6,ABMD200619P00115000,2020-02-26 12:07PM EST,115.0,2.71,2.0,3.5,0.51,+23.18%,1,31,51.44,113
7,ABMD200619P00120000,2020-02-26 12:07PM EST,120.0,3.41,2.5,4.5,0.0,-,1,323,50.29,113
8,ABMD200619P00125000,2020-02-13 2:47PM EST,125.0,3.7,3.5,5.2,0.0,-,1,221,52.71,113
9,ABMD200619P00130000,2020-02-25 2:29PM EST,130.0,5.48,4.6,6.6,0.0,-,4,311,52.55,113
10,ABMD200619P00135000,2020-02-25 2:12PM EST,135.0,7.1,5.7,7.8,0.0,-,2,35,50.88,113
11,ABMD200619P00140000,2020-02-13 12:48PM EST,140.0,6.5,8.1,10.0,0.0,-,8,101,51.98,113
12,ABMD200619P00145000,2020-02-25 2:48PM EST,145.0,10.6,9.9,11.5,0.0,-,1,252,50.03,113
13,ABMD200619P00150000,2020-02-24 2:48PM EST,150.0,9.7,11.9,13.8,0.0,-,9,138,49.93,113
14,ABMD200619P00155000,2020-02-25 2:47PM EST,155.0,15.2,15.1,16.5,0.0,-,6,226,50.32,113
15,ABMD200619P00160000,2020-02-21 10:47AM EST,160.0,13.85,16.8,18.8,0.0,-,1,104,48.9,113
16,ABMD200619P00165000,2020-02-24 3:41PM EST,165.0,20.0,19.6,22.2,0.0,-,2,56,49.99,113
17,ABMD200619P00170000,2020-02-24 3:16PM EST,170.0,21.8,22.7,25.3,0.0,-,7,98,49.65,113
18,ABMD200619P00175000,2020-02-13 1:14PM EST,175.0,22.42,26.0,29.2,0.0,-,9,42,51.08,113
19,ABMD200619P00180000,2020-02-24 9:30AM EST,180.0,26.0,29.6,32.0,0.0,-,2,263,48.73,113
20,ABMD200619P00185000,2020-02-24 2:33PM EST,185.0,30.0,33.4,36.1,0.0,-,1,47,49.79,113
21,ABMD200619P00190000,2020-02-06 3:39PM EST,190.0,35.8,36.5,39.5,0.0,-,7,76,48.13,113
22,ABMD200619P00195000,2020-02-07 2:29PM EST,195.0,24.6,40.5,44.3,0.0,-,3,15,50.7,113
23,ABMD200619P00200000,2020-02-06 9:52AM EST,200.0,33.86,44.6,48.3,0.0,-,2,8,50.19,113
24,ABMD200619P00210000,2020-02-24 12:32PM EST,210.0,49.9,53.1,56.9,0.0,-,1,23,50.15,113
25,ABMD200619P00220000,2020-02-06 2:41PM EST,220.0,36.72,62.1,66.0,0.0,-,4,19,50.89,113
26,ABMD200619P00230000,2020-02-25 2:45PM EST,230.0,72.56,71.5,75.4,0.0,-,5,7,52.08,113
27,ABMD200619P00240000,2020-02-06 3:59PM EST,240.0,49.4,81.0,85.4,0.0,-,1,5,56.03,113
28,ABMD200619P00250000,2020-02-25 2:45PM EST,250.0,91.69,90.7,95.2,0.0,-,5,8,58.51,113
29,ABMD200619P00270000,2020-02-06 9:33AM EST,270.0,97.01,110.3,115.0,0.0,-,1,0,63.88,113
30,ABMD200619P00290000,2020-02-25 2:45PM EST,290.0,131.36,130.1,134.8,0.0,-,5,5,68.37,113
32,ABMD200619P00310000,2020-02-25 2:45PM EST,310.0,151.02,150.1,154.8,0.0,-,5,0,73.74,113
0,ABMD200918P00095000,2020-02-25 3:39PM EST,95.0,2.35,2.1,2.55,0.0,-,5,5,52.77,204
1,ABMD200918P00100000,2020-02-26 12:06PM EST,100.0,3.0,2.7,3.3,0.5,+20.00%,4,27,52.19,204
2,ABMD200918P00105000,2020-02-13 9:53AM EST,105.0,2.85,3.4,4.1,0.0,-,40,60,51.37,204
3,ABMD200918P00110000,2020-02-10 12:13PM EST,110.0,3.0,4.4,5.0,0.0,-,-,1,50.87,204
4,ABMD200918P00115000,2020-02-19 10:47AM EST,115.0,4.0,5.4,6.2,0.0,-,5,6,50.39,204
