,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ACN200228P00180000,2020-01-29 3:54PM EST,180.0,0.33,0.25,0.75,0.0,-,-,4,74.41,1
1,ACN200228P00185000,2020-01-29 11:39AM EST,185.0,0.25,0.2,0.3,0.0,-,-,0,50.2,1
2,ACN200228P00187500,2020-01-30 3:27PM EST,187.5,0.4,0.3,0.4,0.0,-,10,0,45.41,1
3,ACN200228P00190000,2020-02-24 10:07AM EST,190.0,0.38,0.45,0.6,0.0,-,1,0,41.8,1
4,ACN200228P00192500,2020-02-25 3:42PM EST,192.5,1.56,0.7,0.9,0.0,-,9,0,37.82,1
5,ACN200228P00195000,2020-02-25 3:57PM EST,195.0,1.5,1.15,1.35,-0.9,-37.50%,5,0,33.28,1
6,ACN200228P00197500,2020-02-26 12:09PM EST,197.5,2.45,1.95,2.2,-0.95,-27.94%,46,0,30.18,1
7,ACN200228P00200000,2020-02-26 10:36AM EST,200.0,1.88,3.2,3.4,-1.45,-43.54%,7,0,25.29,1
8,ACN200228P00202500,2020-02-26 10:59AM EST,202.5,5.0,4.9,5.2,-1.36,-21.38%,5,51,19.14,1
10,ACN200228P00207500,2020-02-25 2:51PM EST,207.5,10.8,8.4,10.3,0.0,-,4,0,37.21,1
12,ACN200228P00212500,2020-02-24 10:10AM EST,212.5,8.0,13.0,16.0,0.0,-,13,0,73.1,1
13,ACN200228P00215000,2020-02-21 1:16PM EST,215.0,4.17,15.3,18.6,0.0,-,16,0,83.4,1
14,ACN200228P00217500,2020-02-21 1:24PM EST,217.5,6.29,17.8,20.8,0.0,-,3,0,82.42,1
15,ACN200228P00220000,2020-02-21 11:37AM EST,220.0,8.28,20.5,24.1,0.0,-,1,0,111.08,1
0,ACN200306P00182500,2020-02-25 2:42PM EST,182.5,1.0,0.6,0.75,0.0,-,1,0,40.41,8
1,ACN200306P00185000,2020-02-06 3:56PM EST,185.0,0.3,0.8,0.95,0.0,-,1,0,38.11,8
2,ACN200306P00187500,2020-02-25 3:40PM EST,187.5,1.85,1.0,1.25,0.0,-,17,26,36.26,8
3,ACN200306P00190000,2020-02-25 3:47PM EST,190.0,2.05,1.4,1.55,0.0,-,13,0,33.4,8
4,ACN200306P00192500,2020-02-25 3:10PM EST,192.5,1.8,1.9,2.15,-0.55,-23.40%,2,0,32.25,8
5,ACN200306P00195000,2020-02-26 11:56AM EST,195.0,2.45,2.6,2.85,-1.25,-33.78%,4,8,30.4,8
6,ACN200306P00197500,2020-02-26 11:36AM EST,197.5,2.9,3.5,3.7,-1.0,-25.64%,2,50,28.03,8
7,ACN200306P00200000,2020-02-26 11:36AM EST,200.0,3.9,4.6,5.0,1.05,+36.84%,10,0,27.1,8
8,ACN200306P00202500,2020-02-25 10:37AM EST,202.5,3.4,5.8,6.4,0.0,-,1,0,24.54,8
9,ACN200306P00205000,2020-02-26 9:59AM EST,205.0,7.1,7.8,8.1,0.65,+10.08%,5,0,21.22,8
10,ACN200306P00207500,2020-02-25 2:00PM EST,207.5,9.4,9.8,10.6,0.0,-,4,0,25.68,8
11,ACN200306P00210000,2020-02-24 9:58AM EST,210.0,5.5,11.8,12.8,0.0,-,1,0,24.02,8
13,ACN200306P00217500,2020-02-21 9:41AM EST,217.5,6.5,18.7,20.1,0.0,-,-,0,22.27,8
14,ACN200306P00220000,2020-01-27 11:01AM EST,220.0,13.0,21.2,22.6,0.0,-,-,0,24.61,8
0,ACN200313P00180000,2020-02-10 12:01AM EST,180.0,1.12,0.75,0.9,0.0,-,15,30,36.72,15
1,ACN200313P00185000,2020-02-24 11:10AM EST,185.0,0.55,1.2,1.4,0.0,-,-,0,33.57,15
2,ACN200313P00187500,2020-02-12 9:34AM EST,187.5,0.3,1.5,1.75,0.0,-,-,0,31.96,15
3,ACN200313P00190000,2020-02-26 11:26AM EST,190.0,1.56,1.9,2.15,-1.34,-46.21%,1,0,30.03,15
4,ACN200313P00192500,2020-02-25 3:40PM EST,192.5,3.8,2.5,2.75,0.0,-,4,0,28.68,15
5,ACN200313P00195000,2020-02-26 11:13AM EST,195.0,2.85,3.3,3.5,-1.19,-29.46%,7,20,27.27,15
6,ACN200313P00197500,2020-02-26 11:56AM EST,197.5,4.0,4.2,4.4,-1.12,-21.87%,5,0,25.62,15
7,ACN200313P00200000,2020-02-25 2:59PM EST,200.0,5.1,5.2,5.8,-0.8,-13.56%,1,0,25.62,15
8,ACN200313P00202500,2020-02-25 1:42PM EST,202.5,7.1,6.7,7.2,0.0,-,2,0,24.23,15
9,ACN200313P00205000,2020-02-24 2:25PM EST,205.0,4.75,8.5,8.7,0.0,-,4,57,21.61,15
10,ACN200313P00207500,2020-02-24 11:39AM EST,207.5,4.9,10.1,10.7,0.0,-,1,80,20.8,15
11,ACN200313P00210000,2020-02-24 12:08PM EST,210.0,11.2,12.3,12.8,0.0,-,2,0,18.46,15
12,ACN200313P00212500,2020-02-20 2:36PM EST,212.5,2.75,14.0,15.3,0.0,-,5,0,21.14,15
13,ACN200313P00215000,2020-02-20 10:00AM EST,215.0,15.6,16.3,17.9,0.0,-,5,17,25.78,15
14,ACN200313P00217500,2020-02-24 12:12PM EST,217.5,13.2,18.9,20.2,0.0,-,7,0,23.44,15
0,ACN200320P00150000,2020-02-25 10:12AM EST,150.0,0.1,0.15,0.35,0.0,-,1,0,55.47,22
1,ACN200320P00165000,2020-02-05 11:16AM EST,165.0,0.26,0.5,0.65,0.0,-,-,0,46.92,22
2,ACN200320P00170000,2020-02-24 2:08PM EST,170.0,0.45,0.7,0.85,0.0,-,1,0,43.46,22
3,ACN200320P00175000,2020-02-26 9:44AM EST,175.0,0.96,1.0,1.15,-0.51,-34.69%,5,0,40.26,22
4,ACN200320P00180000,2020-02-25 12:06PM EST,180.0,2.07,1.45,1.65,0.0,-,20,0,37.7,22
5,ACN200320P00185000,2020-02-25 3:02PM EST,185.0,2.5,2.15,2.35,0.0,-,24,0,34.97,22
6,ACN200320P00187500,2020-02-26 10:53AM EST,187.5,2.12,2.65,2.8,0.67,+46.21%,2,0,33.57,22
7,ACN200320P00190000,2020-02-26 10:26AM EST,190.0,2.7,3.2,3.5,-0.95,-26.03%,11,0,33.07,22
8,ACN200320P00192500,2020-02-26 10:26AM EST,192.5,3.55,3.9,4.2,-1.45,-29.00%,1,0,31.88,22
9,ACN200320P00195000,2020-02-26 10:55AM EST,195.0,4.0,4.8,5.0,-1.9,-32.20%,3,0,30.55,22
10,ACN200320P00197500,2020-02-25 3:41PM EST,197.5,6.9,5.8,6.1,0.0,-,23,0,29.98,22
11,ACN200320P00200000,2020-02-26 10:42AM EST,200.0,5.8,7.0,7.2,-2.31,-28.48%,3,0,28.61,22
12,ACN200320P00202500,2020-02-24 10:36AM EST,202.5,5.7,8.4,8.7,0.0,-,6,0,28.38,22
13,ACN200320P00205000,2020-02-26 9:39AM EST,205.0,8.76,9.7,10.0,0.36,+4.29%,12,0,26.12,22
14,ACN200320P00207500,2020-02-24 2:06PM EST,207.5,7.3,11.5,11.9,0.0,-,-,21,26.22,22
15,ACN200320P00210000,2020-02-25 11:13AM EST,210.0,12.95,13.4,13.7,-0.95,-6.83%,1,330,24.6,22
16,ACN200320P00212500,2020-02-24 9:34AM EST,212.5,9.1,15.2,15.7,0.0,-,-,2,22.97,22
17,ACN200320P00215000,2020-02-25 11:59AM EST,215.0,15.01,17.4,17.8,1.11,+7.99%,23,0,20.02,22
19,ACN200320P00225000,2020-02-20 1:41PM EST,225.0,12.6,26.4,27.6,0.0,-,1,0,18.75,22
0,ACN200327P00180000,2020-02-24 11:53AM EST,180.0,1.1,1.75,2.0,0.0,-,21,0,35.61,29
1,ACN200327P00185000,2020-02-24 11:53AM EST,185.0,1.48,2.45,2.85,0.0,-,20,25,33.64,29
2,ACN200327P00187500,2020-02-18 11:19AM EST,187.5,0.7,3.1,3.9,0.0,-,-,0,35.26,29
3,ACN200327P00190000,2020-02-24 9:30AM EST,190.0,1.85,3.7,4.0,0.0,-,-,0,31.53,29
4,ACN200327P00192500,2020-02-21 11:28AM EST,192.5,2.8,4.3,4.8,0.0,-,1,0,30.82,29
5,ACN200327P00195000,2020-02-26 11:13AM EST,195.0,5.5,5.3,5.6,1.25,+29.41%,17,0,29.54,29
6,ACN200327P00197500,2020-02-24 10:03AM EST,197.5,3.7,6.3,7.0,0.0,-,21,0,30.31,29
7,ACN200327P00200000,2020-02-25 12:45PM EST,200.0,7.76,7.4,7.8,1.82,+30.64%,10,52,27.81,29
8,ACN200327P00202500,2020-02-24 12:09AM EST,202.5,2.75,8.7,9.2,0.0,-,-,2,27.25,29
9,ACN200327P00205000,2020-02-24 3:30PM EST,205.0,5.99,10.3,10.8,0.0,-,2,0,26.91,29
10,ACN200327P00207500,2020-02-21 9:44AM EST,207.5,3.98,11.7,12.4,0.0,-,8,0,25.79,29
11,ACN200327P00210000,2020-02-21 9:34AM EST,210.0,5.0,13.6,14.6,0.0,-,-,0,27.21,29
12,ACN200327P00212500,2020-02-13 11:18AM EST,212.5,5.7,15.6,16.0,0.0,-,1,0,22.74,29
13,ACN200327P00220000,2020-02-20 11:27AM EST,220.0,8.57,21.9,22.9,0.0,-,-,0,22.97,29
0,ACN200403P00185000,2020-02-24 1:48PM EST,185.0,1.75,2.85,3.2,0.0,-,-,0,32.14,36
1,ACN200403P00187500,2020-02-24 2:25PM EST,187.5,2.1,3.4,3.7,0.0,-,11,0,30.93,36
2,ACN200403P00190000,2020-02-24 11:43AM EST,190.0,2.32,4.0,4.3,0.0,-,11,0,29.79,36
3,ACN200403P00192500,2020-02-21 10:24AM EST,192.5,1.4,4.8,5.1,0.0,-,5,0,29.08,36
