,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
1,AEE200320C00065000,2020-01-17 1:27PM EST,65.0,14.9,19.9,24.5,0.0,-,10,5,99.02,22
2,AEE200320C00070000,2020-01-24 10:01AM EST,70.0,10.7,14.8,18.0,0.0,-,1,0,59.77,22
3,AEE200320C00075000,2020-02-26 9:36AM EST,75.0,10.7,10.6,11.4,-0.09,-0.83%,1,121,43.85,22
4,AEE200320C00080000,2020-02-25 10:30AM EST,80.0,5.23,6.0,6.3,0.02,+0.38%,13,239,25.9,22
5,AEE200320C00085000,2020-02-26 12:17PM EST,85.0,1.45,1.8,2.0,0.45,+45.00%,43,135,17.24,22
6,AEE200320C00090000,2020-02-26 10:06AM EST,90.0,0.15,0.15,0.25,0.0,-,6,289,16.41,22
7,AEE200320C00095000,2020-02-25 3:56PM EST,95.0,0.19,0.0,0.3,0.0,-,2,2,29.74,22
8,AEE200320C00100000,2020-02-25 3:32PM EST,100.0,0.18,0.0,2.9,0.0,-,1,1,63.97,22
0,AEE200619C00065000,2020-01-28 1:58PM EST,65.0,15.45,20.2,22.1,0.0,-,2,4,44.09,113
2,AEE200619C00075000,2020-02-14 2:14PM EST,75.0,11.8,11.3,11.6,0.0,-,5,28,22.17,113
3,AEE200619C00080000,2020-02-21 2:08PM EST,80.0,6.9,6.8,7.2,0.0,-,3,77,18.76,113
4,AEE200619C00085000,2020-02-24 3:59PM EST,85.0,2.6,3.4,3.7,0.0,-,21,158,16.88,113
5,AEE200619C00090000,2020-02-26 11:15AM EST,90.0,1.37,1.25,1.4,0.22,+19.13%,8,15,15.32,113
6,AEE200619C00095000,2020-02-26 10:48AM EST,95.0,0.4,0.3,0.45,0.15,+60.00%,1,25,15.2,113
0,AEE200918C00075000,2020-02-10 11:17AM EST,75.0,10.0,11.60,12.1,0.0,-,-,1,19.96,204
1,AEE200918C00085000,2020-02-25 2:32PM EST,85.0,3.1,4.30,4.6,0.0,-,6,63,16.14,204
2,AEE200918C00090000,2020-02-26 10:54AM EST,90.0,2.3,2.05,2.3,0.73,+46.50%,3,264,15.26,204
3,AEE200918C00115000,2020-02-24 12:00AM EST,115.0,0.35,-,4.8,0.0,-,-,1,50.79,204
