,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AEE200320P00060000,2020-01-21 9:30AM EST,60.0,0.05,0.0,0.0,0.0,-,4,0,25.0,22
1,AEE200320P00065000,2020-02-10 9:30AM EST,65.0,0.05,0.05,0.5,0.0,-,10,56,66.7,22
2,AEE200320P00070000,2020-01-17 3:17PM EST,70.0,0.2,0.0,0.0,0.0,-,5,170,25.0,22
3,AEE200320P00075000,2020-02-25 3:56PM EST,75.0,0.19,0.0,0.25,0.0,-,1,120,36.62,22
4,AEE200320P00080000,2020-02-26 11:28AM EST,80.0,0.3,0.15,0.3,-0.22,-42.31%,12,91,23.68,22
5,AEE200320P00085000,2020-02-26 11:52AM EST,85.0,1.4,1.1,1.3,-1.06,-43.09%,16,136,19.61,22
0,AEE200619P00060000,2019-12-19 2:41PM EST,60.0,0.45,0.0,0.7,0.0,-,5,14,46.14,113
1,AEE200619P00065000,2019-12-17 1:37PM EST,65.0,0.7,0.25,0.35,0.0,-,1,0,32.03,113
2,AEE200619P00070000,2020-01-21 10:00AM EST,70.0,0.57,0.15,0.0,0.0,-,4,0,6.25,113
3,AEE200619P00075000,2020-02-14 12:54PM EST,75.0,0.4,0.5,0.7,0.0,-,1,4,22.19,113
4,AEE200619P00080000,2020-02-24 1:17PM EST,80.0,1.55,1.2,1.4,0.0,-,10,21,19.45,113
0,AEE200918P00065000,2020-01-22 11:06AM EST,65.0,0.56,0.0,0.0,0.0,-,-,0,6.25,204
1,AEE200918P00070000,2020-01-30 3:11PM EST,70.0,0.87,0.6,0.8,0.0,-,-,10,23.23,204
2,AEE200918P00075000,2020-02-12 1:43PM EST,75.0,1.15,1.1,1.3,0.0,-,-,2,20.61,204
3,AEE200918P00080000,2020-02-12 3:52PM EST,80.0,2.2,2.05,2.3,0.0,-,1,3,18.81,204
