,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AGN200228C00190000,2020-02-10 3:18PM EST,190.0,4.74,3.45,7.0,-4.76,-50.11%,25,0,63.01,1
1,AGN200228C00192500,2020-02-07 1:43PM EST,192.5,6.0,0.97,4.9,0.0,-,1,6,54.44,1
2,AGN200228C00195000,2020-02-12 3:54PM EST,195.0,7.57,0.0,3.0,0.0,-,6,8,46.0,1
3,AGN200228C00197500,2020-02-24 9:39AM EST,197.5,1.5,0.0,1.65,0.0,-,1,17,40.97,1
4,AGN200228C00200000,2020-02-25 9:48AM EST,200.0,0.5,0.05,0.27,0.0,-,1,11,25.98,1
5,AGN200228C00202500,2020-02-21 3:38PM EST,202.5,0.25,0.0,0.13,0.0,-,2,4,28.42,1
6,AGN200228C00205000,2020-02-20 11:36AM EST,205.0,0.65,0.0,1.83,0.0,-,1,4,58.89,1
7,AGN200228C00210000,2020-02-07 3:22PM EST,210.0,2.28,0.0,1.78,0.0,-,3,3,74.9,1
0,AGN200306C00190000,2020-01-27 1:55PM EST,190.0,6.85,4.50,7.7,0.0,-,1,1,40.43,8
1,AGN200306C00195000,2020-02-14 10:30AM EST,195.0,5.0,1.01,3.8,0.0,-,-,0,31.42,8
2,AGN200306C00197500,2020-02-25 11:52AM EST,197.5,0.65,0.15,2.41,0.0,-,10,3,28.71,8
3,AGN200306C00200000,2020-02-25 10:14AM EST,200.0,1.4,0.04,1.85,0.0,-,1,24,30.8,8
4,AGN200306C00202500,2020-02-13 3:38PM EST,202.5,1.76,0.00,1.37,0.0,-,-,35,32.15,8
5,AGN200306C00205000,2020-02-21 12:38PM EST,205.0,1.72,0.00,0.9,0.0,-,13,15,32.06,8
6,AGN200306C00210000,2020-02-13 10:36AM EST,210.0,1.83,-,0.5,0.0,-,-,5,34.86,8
0,AGN200313C00195000,2020-02-13 9:31AM EST,195.0,7.8,0.94,4.45,0.0,-,2,0,27.98,15
1,AGN200313C00200000,2020-02-24 10:15AM EST,200.0,2.23,0.0,2.23,0.0,-,1,3,26.18,15
2,AGN200313C00202500,2020-02-13 9:43AM EST,202.5,2.0,0.0,2.16,0.0,-,1,0,30.49,15
3,AGN200313C00205000,2020-02-21 9:30AM EST,205.0,1.47,0.0,0.62,0.0,-,10,10,21.75,15
4,AGN200313C00217500,2020-01-30 12:31PM EST,217.5,2.05,0.0,2.31,0.0,-,-,1,55.35,15
1,AGN200320C00160000,2020-02-06 10:41AM EST,160.0,34.4,33.75,37.2,0.0,-,3,1,55.32,22
2,AGN200320C00165000,2019-12-03 9:39AM EST,165.0,23.0,26.1,29.6,0.0,-,3,0,30.47,22
3,AGN200320C00170000,2020-02-07 9:49AM EST,170.0,30.97,23.95,27.2,0.0,-,2,6,58.04,22
4,AGN200320C00175000,2020-01-06 10:07AM EST,175.0,17.72,21.15,24.8,0.0,-,1,24,55.37,22
5,AGN200320C00180000,2020-02-21 12:13PM EST,180.0,20.5,14.5,17.35,0.0,-,3,159,42.4,22
6,AGN200320C00185000,2020-02-13 1:39PM EST,185.0,16.9,9.95,12.8,0.0,-,5,22,36.32,22
7,AGN200320C00190000,2020-02-25 2:09PM EST,190.0,7.0,5.9,8.6,0.5,+7.69%,1,513,30.92,22
8,AGN200320C00195000,2020-02-26 9:30AM EST,195.0,3.4,2.56,3.5,-0.75,-18.07%,6,280,18.78,22
9,AGN200320C00197500,2020-02-24 12:03PM EST,197.5,3.65,0.51,3.55,0.0,-,-,25,24.44,22
10,AGN200320C00200000,2020-02-25 3:59PM EST,200.0,0.93,0.75,1.6,0.0,-,22,1082,18.42,22
11,AGN200320C00210000,2020-02-24 12:04PM EST,210.0,0.22,0.1,0.2,-0.02,-8.33%,1,373,18.21,22
12,AGN200320C00220000,2020-02-11 10:11AM EST,220.0,0.3,0.0,0.28,0.0,-,3,44,28.37,22
13,AGN200320C00230000,2020-02-14 2:55PM EST,230.0,0.05,0.0,0.07,0.0,-,55,120,29.2,22
14,AGN200320C00240000,2020-01-27 2:35PM EST,240.0,0.05,0.0,0.05,0.0,-,-,1,33.99,22
0,AGN200403C00197500,2020-02-24 10:04AM EST,197.5,5.45,0.90,3.85,0.0,-,1,2,20.64,36
1,AGN200403C00200000,2020-02-20 9:31AM EST,200.0,3.46,0.05,2.95,0.0,-,1,2,20.66,36
2,AGN200403C00205000,2020-02-18 12:10AM EST,205.0,1.71,0.00,1.73,0.0,-,-,2,21.17,36
3,AGN200403C00207500,2020-02-20 12:45PM EST,207.5,0.8,0.00,1.59,0.0,-,-,5,23.07,36
4,AGN200403C00225000,2020-02-13 4:45PM EST,225.0,0.55,-,1.8,0.0,-,-,1,40.36,36
0,AGN200417C00200000,2020-02-25 11:57AM EST,200.0,2.91,2.32,3.1,0.0,-,2,7,18.21,50
1,AGN200417C00210000,2020-02-25 11:22AM EST,210.0,0.44,0.01,0.84,0.0,-,6,11,17.68,50
1,AGN200515C00145000,2020-02-12 3:41PM EST,145.0,55.9,48.95,52.15,0.0,-,5,3,54.48,78
2,AGN200515C00150000,2020-02-12 3:39PM EST,150.0,53.45,44.05,47.2,0.0,-,100,70,50.06,78
3,AGN200515C00160000,2020-02-12 3:39PM EST,160.0,43.45,34.25,37.5,0.0,-,100,100,42.35,78
4,AGN200515C00165000,2020-02-12 3:41PM EST,165.0,38.65,29.35,32.75,0.0,-,7,6,38.86,78
5,AGN200515C00170000,2019-12-19 12:47PM EST,170.0,23.23,22.70,26.4,0.0,-,4,4,28.03,78
6,AGN200515C00175000,2020-02-21 11:06AM EST,175.0,25.75,20.00,23.4,0.0,-,4,12,31.93,78
7,AGN200515C00180000,2020-02-21 1:39PM EST,180.0,21.7,15.40,19.0,0.0,-,500,610,29.0,78
8,AGN200515C00185000,2020-01-09 10:44AM EST,185.0,11.72,12.70,16.0,0.0,-,1,57,29.85,78
9,AGN200515C00190000,2020-02-18 1:29PM EST,190.0,10.15,7.25,10.2,0.0,-,8,110,21.55,78
10,AGN200515C00195000,2020-02-26 11:57AM EST,195.0,5.0,3.95,6.0,-3.5,-41.18%,12,1445,17.16,78
11,AGN200515C00200000,2020-02-25 1:34PM EST,200.0,2.48,2.25,2.85,0.0,-,58,770,13.94,78
12,AGN200515C00210000,2020-02-13 3:59PM EST,210.0,0.31,0.31,1.2,0.0,-,117,224,15.97,78
13,AGN200515C00220000,2020-02-21 10:38AM EST,220.0,0.46,0.00,0.82,0.0,-,20,56,19.79,78
14,AGN200515C00230000,2020-02-10 11:51AM EST,230.0,0.09,-,0.48,0.0,-,-,5,22.05,78
15,AGN200515C00240000,2020-02-11 1:50PM EST,240.0,0.05,0.00,0.33,0.0,-,5,19,24.56,78
0,AGN200619C00130000,2020-02-12 3:49PM EST,130.0,72.5,64.0,67.2,0.0,-,60,0,58.14,113
1,AGN200619C00135000,2020-02-12 3:49PM EST,135.0,69.15,59.0,62.2,0.0,-,80,55,53.88,113
2,AGN200619C00140000,2020-02-12 3:48PM EST,140.0,61.85,54.0,57.3,0.0,-,290,101,50.28,113
3,AGN200619C00145000,2020-02-12 3:38PM EST,145.0,54.7,49.1,52.4,0.0,-,70,91,46.72,113
4,AGN200619C00150000,2020-02-12 3:38PM EST,150.0,49.7,44.15,47.4,0.0,-,70,50,42.71,113
5,AGN200619C00155000,2020-02-13 1:17PM EST,155.0,45.3,39.25,42.8,0.0,-,60,177,40.52,113
6,AGN200619C00160000,2020-02-13 2:29PM EST,160.0,41.0,34.45,37.8,0.0,-,1,102,36.53,113
7,AGN200619C00165000,2020-02-20 11:41AM EST,165.0,34.0,29.6,33.0,0.0,-,1,243,33.33,113
