,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AIG200228P00041000,2020-02-25 9:30AM EST,41.0,0.02,0.0,0.04,0.0,-,2,3,53.91,1
1,AIG200228P00042500,2020-02-25 1:27PM EST,42.5,0.03,0.03,0.05,0.0,-,5,0,43.75,1
2,AIG200228P00043500,2020-02-26 10:40AM EST,43.5,0.06,0.09,0.12,-0.05,-45.45%,9,15,38.67,1
3,AIG200228P00044000,2020-02-26 11:53AM EST,44.0,0.08,0.16,0.18,-0.08,-50.00%,1,10,35.55,1
4,AIG200228P00044500,2020-02-26 10:47AM EST,44.5,0.2,0.28,0.3,-0.19,-48.72%,31,83,34.08,1
5,AIG200228P00045000,2020-02-26 12:27PM EST,45.0,0.42,0.43,0.46,-0.13,-23.64%,84,135,31.45,1
6,AIG200228P00045500,2020-02-26 12:07PM EST,45.5,0.58,0.7,0.73,-0.18,-23.68%,106,176,31.25,1
7,AIG200228P00046000,2020-02-26 11:38AM EST,46.0,0.54,1.03,1.07,-0.1,-15.62%,2,326,30.66,1
8,AIG200228P00046500,2020-02-25 3:22PM EST,46.5,1.22,1.33,1.45,0.0,-,3,27,27.34,1
9,AIG200228P00047000,2020-02-25 1:21PM EST,47.0,1.78,1.78,1.91,0.53,+42.40%,2,260,26.56,1
11,AIG200228P00048000,2020-02-25 1:47PM EST,48.0,2.08,2.66,2.89,0.0,-,71,235,25.0,1
12,AIG200228P00048500,2020-02-24 10:58AM EST,48.5,2.62,3.2,3.4,0.0,-,39,229,37.5,1
13,AIG200228P00049000,2020-02-24 1:12PM EST,49.0,2.97,3.75,3.9,0.0,-,3,487,42.19,1
14,AIG200228P00049500,2020-02-24 9:46AM EST,49.5,1.95,4.2,4.4,0.0,-,1,126,46.88,1
15,AIG200228P00050000,2020-02-26 11:41AM EST,50.0,4.0,4.7,4.9,0.04,+1.01%,8,484,51.56,1
16,AIG200228P00050500,2020-02-24 2:51PM EST,50.5,4.59,5.2,5.55,0.0,-,22,47,91.8,1
17,AIG200228P00051000,2020-02-19 11:45AM EST,51.0,1.57,5.75,5.95,0.0,-,7,53,78.91,1
18,AIG200228P00052000,2020-02-24 1:12PM EST,52.0,6.4,6.7,6.95,0.0,-,2,80,88.67,1
19,AIG200228P00053000,2020-02-13 12:12PM EST,53.0,1.18,6.5,8.4,0.0,-,90,74,163.67,1
20,AIG200228P00054000,2020-02-13 12:31PM EST,54.0,1.5,6.8,10.5,0.0,-,31,31,269.34,1
21,AIG200228P00055000,2020-02-12 12:05PM EST,55.0,1.59,7.7,11.25,0.0,-,9,0,264.26,1
22,AIG200228P00056000,2020-02-14 9:55AM EST,56.0,6.3,8.85,12.7,0.0,-,3,0,312.11,1
0,AIG200306P00042500,2020-02-24 2:17PM EST,42.5,0.23,0.21,0.22,0.03,+15.00%,9,1,36.13,8
1,AIG200306P00043000,2020-02-26 10:41AM EST,43.0,0.22,0.29,0.31,0.04,+22.22%,3,1,35.84,8
2,AIG200306P00044000,2020-02-26 12:27PM EST,44.0,0.51,0.5,0.53,0.44,+628.57%,41,7,33.59,8
3,AIG200306P00044500,2020-02-26 12:26PM EST,44.5,0.65,0.68,0.7,-0.06,-8.45%,29,51,32.96,8
4,AIG200306P00045000,2020-02-26 12:38PM EST,45.0,0.84,0.88,0.9,-0.1,-10.64%,7257,52,32.08,8
5,AIG200306P00045500,2020-02-26 12:41PM EST,45.5,1.04,1.12,1.15,-0.16,-13.33%,31,46,31.49,8
6,AIG200306P00046000,2020-02-26 11:05AM EST,46.0,1.15,1.38,1.41,0.02,+1.77%,14,113,29.79,8
