,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AKAM200228C00085000,2020-01-17 10:49AM EST,85.0,10.8,13.35,17.8,0.0,-,-,3,333.3,1
1,AKAM200228C00088000,2020-02-12 10:48AM EST,88.0,11.27,5.05,7.45,0.0,-,5,110,75.98,1
2,AKAM200228C00088500,2020-01-27 9:49AM EST,88.5,7.15,4.9,7.5,0.0,-,-,30,89.99,1
3,AKAM200228C00091500,2020-01-28 3:05PM EST,91.5,5.7,2.49,2.74,0.0,-,5,3,42.97,1
4,AKAM200228C00092500,2020-01-16 12:09PM EST,92.5,5.4,5.3,9.65,0.0,-,3,3,205.32,1
5,AKAM200228C00093500,2020-02-12 10:12AM EST,93.5,7.93,1.16,1.34,0.0,-,1,1,37.79,1
6,AKAM200228C00094000,2020-02-25 2:47PM EST,94.0,1.8,0.94,1.08,0.0,-,10,17,37.16,1
7,AKAM200228C00094500,2020-02-26 11:32AM EST,94.5,1.18,0.71,0.86,-5.42,-82.12%,1,1,36.77,1
8,AKAM200228C00095000,2020-02-26 11:47AM EST,95.0,0.89,0.54,0.63,-0.16,-15.24%,2,12,35.06,1
9,AKAM200228C00095500,2020-02-12 1:56PM EST,95.5,0.89,0.38,0.5,-2.46,-73.43%,7,11,35.55,1
10,AKAM200228C00096000,2020-02-24 1:43PM EST,96.0,2.4,0.26,0.37,0.0,-,2,19,35.11,1
11,AKAM200228C00096500,2020-02-24 10:25AM EST,96.5,0.37,0.19,0.26,-1.55,-80.73%,3,27,34.38,1
12,AKAM200228C00097000,2020-02-25 3:54PM EST,97.0,0.37,0.11,0.19,0.0,-,20,60,34.47,1
13,AKAM200228C00097500,2020-02-24 10:26AM EST,97.5,0.24,0.07,0.13,-0.33,-57.89%,2,29,34.08,1
14,AKAM200228C00098000,2020-02-25 3:23PM EST,98.0,0.25,0.01,0.11,0.0,-,30,225,35.65,1
15,AKAM200228C00099000,2020-02-25 2:47PM EST,99.0,0.12,0.0,0.1,0.0,-,11,27,40.63,1
16,AKAM200228C00100000,2020-02-25 3:18PM EST,100.0,0.07,0.0,0.11,0.0,-,8,74,47.07,1
17,AKAM200228C00101000,2020-02-26 10:51AM EST,101.0,0.03,0.0,0.05,-0.02,-40.00%,3,244,45.31,1
18,AKAM200228C00102000,2020-02-25 10:32AM EST,102.0,0.05,0.0,0.74,0.0,-,7,222,77.54,1
19,AKAM200228C00103000,2020-02-24 1:32PM EST,103.0,0.01,0.0,0.03,0.0,-,1,48,50.39,1
20,AKAM200228C00104000,2020-02-25 9:30AM EST,104.0,0.03,0.0,0.05,-0.18,-85.71%,10,100,53.13,1
21,AKAM200228C00105000,2020-02-21 2:34PM EST,105.0,0.22,0.0,0.01,0.0,-,66,157,51.56,1
22,AKAM200228C00106000,2020-02-24 3:47PM EST,106.0,0.04,0.0,0.05,0.0,-,1,12,61.72,1
23,AKAM200228C00107000,2020-02-20 12:52PM EST,107.0,0.09,0.0,0.75,0.0,-,-,0,107.03,1
24,AKAM200228C00108000,2020-02-20 10:49AM EST,108.0,0.1,0.0,0.05,0.0,-,-,3,69.53,1
25,AKAM200228C00110000,2020-02-25 9:30AM EST,110.0,0.14,0.0,0.01,0.0,-,2,10,64.06,1
26,AKAM200228C00115000,2020-02-25 9:30AM EST,115.0,0.21,0.0,0.75,0.0,-,1,1,147.85,1
0,AKAM200306C00090000,2020-01-28 3:46PM EST,90.0,7.12,4.0,4.75,0.0,-,4,0,41.9,8
1,AKAM200306C00091500,2020-02-14 12:30PM EST,91.5,7.77,3.3,3.55,0.0,-,-,2,38.28,8
2,AKAM200306C00092000,2020-02-12 11:33AM EST,92.0,8.34,2.88,3.25,0.0,-,1,3,38.38,8
3,AKAM200306C00093000,2020-02-07 12:52PM EST,93.0,6.0,2.31,2.52,0.0,-,1,5,35.65,8
4,AKAM200306C00094000,2020-02-24 12:01PM EST,94.0,2.58,1.81,1.96,0.0,-,3,1,34.62,8
5,AKAM200306C00094500,2020-02-25 2:13PM EST,94.5,2.26,1.58,1.71,0.0,-,4,4,34.16,8
6,AKAM200306C00095000,2020-02-25 1:52PM EST,95.0,1.95,1.35,1.49,-0.13,-6.25%,1,5,33.86,8
7,AKAM200306C00095500,2020-02-25 11:11AM EST,95.5,2.14,1.17,1.27,0.0,-,2,3,33.25,8
8,AKAM200306C00096000,2020-02-20 10:57AM EST,96.0,7.5,0.99,1.1,0.0,-,2,3,33.18,8
9,AKAM200306C00096500,2020-02-18 9:35AM EST,96.5,3.94,0.84,0.96,0.0,-,3,6,33.35,8
10,AKAM200306C00097000,2020-02-13 12:49PM EST,97.0,4.82,0.71,0.83,0.0,-,2,22,33.4,8
11,AKAM200306C00097500,2020-02-25 12:51PM EST,97.5,1.1,0.6,0.72,0.0,-,4,10,33.59,8
12,AKAM200306C00098000,2020-02-25 12:51PM EST,98.0,0.94,0.51,0.59,0.0,-,12,12,33.01,8
13,AKAM200306C00098500,2020-02-21 1:36PM EST,98.5,3.0,0.43,0.52,0.0,-,3,13,33.55,8
14,AKAM200306C00099000,2020-02-14 12:40PM EST,99.0,2.14,0.35,0.45,0.0,-,5,0,33.79,8
15,AKAM200306C00099500,2020-02-25 12:49PM EST,99.5,0.57,0.3,0.38,0.0,-,11,11,33.84,8
16,AKAM200306C00100000,2020-02-25 2:13PM EST,100.0,0.47,0.25,0.33,0.0,-,11,34,34.18,8
17,AKAM200306C00101000,2020-02-25 10:23AM EST,101.0,0.32,0.19,0.25,0.0,-,2,81,34.96,8
18,AKAM200306C00102000,2020-02-25 9:47AM EST,102.0,0.16,0.14,0.2,-0.33,-67.35%,10,215,36.18,8
19,AKAM200306C00103000,2020-02-26 12:33PM EST,103.0,0.12,0.12,0.13,-0.02,-14.29%,82,249,35.74,8
20,AKAM200306C00104000,2020-02-26 9:43AM EST,104.0,0.06,0.02,0.12,-0.28,-82.35%,2,102,37.89,8
21,AKAM200306C00105000,2020-02-24 3:44PM EST,105.0,0.23,0.0,0.15,0.0,-,6,115,42.48,8
22,AKAM200306C00106000,2020-02-24 9:37AM EST,106.0,0.2,0.0,0.13,0.0,-,4,105,43.95,8
23,AKAM200306C00107000,2020-02-24 2:24PM EST,107.0,0.19,0.0,0.75,0.0,-,3,6,58.64,8
24,AKAM200306C00108000,2020-02-19 1:36PM EST,108.0,0.23,0.0,0.75,0.0,-,-,100,61.62,8
25,AKAM200306C00110000,2020-02-12 10:28AM EST,110.0,0.1,0.0,0.38,0.0,-,-,5,58.2,8
26,AKAM200306C00115000,2020-02-11 3:59PM EST,115.0,0.33,0.0,0.54,0.0,-,-,0,75.49,8
0,AKAM200313C00090000,2020-02-10 12:04AM EST,90.0,6.93,4.55,5.0,0.0,-,-,0,35.79,15
1,AKAM200313C00091000,2020-02-14 3:32PM EST,91.0,9.05,3.85,4.35,0.0,-,3,3,35.86,15
2,AKAM200313C00093000,2020-02-12 1:14PM EST,93.0,6.44,2.73,2.97,0.0,-,4,0,32.96,15
3,AKAM200313C00094000,2020-02-12 1:14PM EST,94.0,3.45,2.19,2.36,-1.91,-35.63%,3,4,31.52,15
4,AKAM200313C00094500,2020-02-18 9:58AM EST,94.5,5.95,1.95,2.14,0.0,-,12,6,31.57,15
5,AKAM200313C00095000,2020-02-12 9:43AM EST,95.0,7.45,1.75,1.92,0.0,-,1,1,31.42,15
6,AKAM200313C00095500,2020-02-11 3:52PM EST,95.5,4.33,1.5,1.71,0.0,-,-,1,31.2,15
7,AKAM200313C00096000,2020-02-12 10:06AM EST,96.0,6.5,1.33,1.51,0.0,-,-,0,30.91,15
8,AKAM200313C00096500,2020-02-12 10:12AM EST,96.5,5.9,1.15,1.37,0.0,-,2,2,31.23,15
9,AKAM200313C00098500,2020-02-13 12:43PM EST,98.5,3.1,0.64,0.79,0.0,-,-,1,30.37,15
10,AKAM200313C00099500,2020-02-24 9:30AM EST,99.5,1.41,0.48,0.61,0.0,-,10,11,30.52,15
11,AKAM200313C00100000,2020-02-24 1:38PM EST,100.0,1.32,0.42,0.54,0.0,-,7,317,30.71,15
