,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AKAM200228P00080000,2020-01-16 2:36PM EST,80.0,0.28,0.0,0.75,0.0,-,5,5,125.39,1
1,AKAM200228P00085000,2020-02-24 1:46PM EST,85.0,0.07,0.0,0.08,0.0,-,1,14,53.91,1
2,AKAM200228P00085500,2020-01-30 1:42PM EST,85.5,0.85,0.0,0.75,0.0,-,-,1,83.11,1
3,AKAM200228P00086000,2020-02-11 1:55PM EST,86.0,0.48,0.01,0.75,0.0,-,-,0,79.49,1
4,AKAM200228P00086500,2020-01-31 10:25AM EST,86.5,1.06,0.07,0.75,0.0,-,1,0,77.34,1
5,AKAM200228P00087000,2020-02-12 9:30AM EST,87.0,0.58,0.0,0.75,0.0,-,1,11,71.39,1
6,AKAM200228P00087500,2020-01-30 1:42PM EST,87.5,1.25,0.0,0.75,0.0,-,-,1,67.38,1
7,AKAM200228P00088000,2020-02-25 3:33PM EST,88.0,0.2,0.03,0.64,0.0,-,1,12,61.23,1
8,AKAM200228P00089000,2020-02-24 9:35AM EST,89.0,0.15,0.09,0.19,0.0,-,4,23,44.92,1
9,AKAM200228P00089500,2020-02-11 10:21AM EST,89.5,1.03,0.13,0.23,0.0,-,1,11,43.56,1
10,AKAM200228P00090000,2020-02-13 12:38PM EST,90.0,0.33,0.18,0.28,0.0,-,7,0,42.38,1
11,AKAM200228P00090500,2020-02-13 11:22AM EST,90.5,0.11,0.24,0.36,0.0,-,5,0,42.09,1
12,AKAM200228P00091000,2020-02-25 10:56AM EST,91.0,0.2,0.32,0.41,0.0,-,1,32,39.84,1
13,AKAM200228P00091500,2020-01-16 12:12PM EST,91.5,2.03,0.06,0.15,0.0,-,8,8,23.93,1
14,AKAM200228P00092000,2020-02-24 10:19AM EST,92.0,0.2,0.53,0.65,0.0,-,2,3,38.82,1
15,AKAM200228P00092500,2020-02-12 9:49AM EST,92.5,0.41,0.64,0.82,0.0,-,4,5,38.77,1
16,AKAM200228P00093000,2020-02-13 3:51PM EST,93.0,1.26,0.85,1.0,0.0,-,1,22,38.14,1
17,AKAM200228P00093500,2020-02-25 10:37AM EST,93.5,0.44,1.01,1.22,0.0,-,6,11,37.79,1
18,AKAM200228P00094000,2020-02-25 10:37AM EST,94.0,0.92,1.24,1.45,0.38,+70.37%,1,2,36.87,1
19,AKAM200228P00094500,2020-02-26 10:21AM EST,94.5,1.12,1.51,1.74,0.16,+16.67%,4,15,36.77,1
20,AKAM200228P00095000,2020-02-25 12:05PM EST,95.0,1.06,1.85,2.06,0.0,-,7,42,36.67,1
21,AKAM200228P00095500,2020-02-24 10:25AM EST,95.5,0.75,2.13,2.44,0.0,-,4,7,37.65,1
22,AKAM200228P00096000,2020-02-25 2:45PM EST,96.0,2.45,2.57,2.78,0.0,-,20,20,36.33,1
23,AKAM200228P00096500,2020-02-18 3:38PM EST,96.5,2.06,2.97,3.25,1.06,+106.00%,10,12,39.21,1
24,AKAM200228P00097000,2020-02-25 10:24AM EST,97.0,2.95,3.35,3.75,0.0,-,16,113,43.16,1
25,AKAM200228P00097500,2020-02-24 11:43AM EST,97.5,1.57,3.7,4.2,0.0,-,5,0,44.63,1
26,AKAM200228P00098000,2020-02-26 10:18AM EST,98.0,3.42,4.25,4.65,-0.72,-17.39%,3,14,45.7,1
27,AKAM200228P00099000,2020-02-21 10:47AM EST,99.0,5.4,5.1,5.6,4.26,+373.68%,5,21,49.41,1
28,AKAM200228P00100000,2020-02-26 9:44AM EST,100.0,5.52,6.15,6.6,1.92,+53.33%,8,189,55.66,1
29,AKAM200228P00101000,2020-02-24 11:55AM EST,101.0,4.6,6.95,8.1,0.0,-,5,103,55.86,1
30,AKAM200228P00102000,2020-02-26 9:44AM EST,102.0,7.52,7.55,8.7,2.73,+56.99%,8,41,74.41,1
31,AKAM200228P00103000,2020-02-20 11:00AM EST,103.0,1.17,7.0,11.35,0.0,-,-,3,152.54,1
0,AKAM200306P00080000,2020-02-21 12:50PM EST,80.0,0.14,0.0,0.75,0.0,-,1,1,68.75,8
1,AKAM200306P00085000,2020-02-24 10:48AM EST,85.0,0.1,0.14,0.24,0.0,-,1,2,42.29,8
2,AKAM200306P00089000,2020-01-28 12:02PM EST,89.0,1.49,0.56,0.67,0.0,-,-,14,37.67,8
3,AKAM200306P00089500,2020-02-04 2:21PM EST,89.5,1.64,0.64,0.76,0.0,-,-,0,37.11,8
4,AKAM200306P00090000,2020-02-11 3:24PM EST,90.0,0.65,0.79,0.87,-0.43,-39.81%,14,11,36.77,8
5,AKAM200306P00091000,2020-02-04 11:55AM EST,91.0,2.08,0.99,1.12,0.0,-,-,0,35.84,8
6,AKAM200306P00093500,2020-02-25 3:24PM EST,93.5,2.03,1.88,2.05,0.0,-,1,4,34.16,8
7,AKAM200306P00094000,2020-02-25 3:24PM EST,94.0,2.25,2.14,2.27,0.0,-,17,19,33.5,8
8,AKAM200306P00094500,2020-02-25 2:18PM EST,94.5,2.4,2.21,2.6,0.0,-,2,6,34.33,8
9,AKAM200306P00095000,2020-02-25 3:03PM EST,95.0,2.6,2.63,2.79,0.23,+9.70%,1,19,32.52,8
10,AKAM200306P00096500,2020-02-18 11:14AM EST,96.5,0.75,3.45,3.8,0.0,-,8,19,32.59,8
11,AKAM200306P00097000,2020-02-24 12:58PM EST,97.0,2.43,2.54,4.4,0.0,-,5,7,37.04,8
12,AKAM200306P00097500,2020-02-24 12:58PM EST,97.5,2.72,4.2,4.5,0.0,-,5,12,31.49,8
13,AKAM200306P00099500,2020-02-24 10:32AM EST,99.5,3.4,5.9,6.5,0.0,-,2,1,40.04,8
14,AKAM200306P00100000,2020-02-20 10:14AM EST,100.0,0.74,6.4,6.9,0.0,-,1,169,39.55,8
15,AKAM200306P00101000,2020-02-20 10:14AM EST,101.0,0.99,7.15,8.0,0.0,-,1,2,46.0,8
16,AKAM200306P00102000,2020-02-26 12:12PM EST,102.0,8.26,8.25,8.7,3.11,+60.39%,10,11,40.82,8
17,AKAM200306P00105000,2020-02-12 9:46AM EST,105.0,5.4,10.85,12.15,0.0,-,-,0,64.7,8
