,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
4,ALLE200320C00105000,2019-12-31 1:25PM EST,105.0,19.7,22.6,27.5,0.0,-,1,0,122.16,22
5,ALLE200320C00110000,2019-12-30 1:46PM EST,110.0,15.8,18.8,23.0,0.0,-,4,0,112.09,22
6,ALLE200320C00115000,2020-01-14 12:06PM EST,115.0,11.36,22.3,26.8,0.0,-,1,24,167.31,22
7,ALLE200320C00120000,2020-01-31 3:48PM EST,120.0,11.1,5.2,5.8,0.0,-,1,20,32.45,22
8,ALLE200320C00125000,2020-02-24 10:43AM EST,125.0,4.28,2.3,2.8,0.0,-,2,14,28.78,22
9,ALLE200320C00130000,2020-02-25 11:14AM EST,130.0,1.9,0.8,1.15,0.0,-,1,53,27.66,22
10,ALLE200320C00135000,2020-02-26 12:23PM EST,135.0,0.24,0.2,0.35,-0.21,-46.67%,2,37,26.37,22
11,ALLE200320C00140000,2020-02-26 12:23PM EST,140.0,0.08,0.0,0.2,-0.17,-68.00%,9,575,29.98,22
12,ALLE200320C00145000,2020-02-21 9:30AM EST,145.0,1.03,0.0,0.6,0.0,-,1,7,46.05,22
13,ALLE200320C00150000,2020-02-19 9:56AM EST,150.0,0.04,0.0,0.55,0.0,-,1,5,51.88,22
0,ALLE200619C00090000,2020-02-10 11:39AM EST,90.0,46.2,31.8,36.1,0.0,-,1,1,57.42,113
1,ALLE200619C00095000,2020-02-19 12:24PM EST,95.0,36.1,28.3,30.2,0.0,-,-,2,44.31,113
2,ALLE200619C00105000,2020-02-06 12:50PM EST,105.0,28.56,19.3,20.2,0.0,-,1,0,31.76,113
3,ALLE200619C00115000,2020-02-25 9:30AM EST,115.0,15.25,11.7,12.3,0.0,-,5,61,28.3,113
4,ALLE200619C00120000,2020-01-09 3:14PM EST,120.0,8.8,15.7,17.2,0.0,-,1,1,54.66,113
5,ALLE200619C00125000,2020-02-25 9:30AM EST,125.0,8.25,5.2,6.3,0.0,-,5,12,25.89,113
6,ALLE200619C00130000,2020-02-21 11:00AM EST,130.0,5.5,3.6,4.1,0.0,-,1,32,24.72,113
7,ALLE200619C00135000,2020-02-25 2:04PM EST,135.0,2.89,2.0,2.45,0.0,-,1,29,23.54,113
8,ALLE200619C00140000,2020-02-14 1:18PM EST,140.0,5.94,1.1,1.5,0.0,-,1,4,23.4,113
9,ALLE200619C00145000,2020-02-19 12:36PM EST,145.0,1.6,0.5,0.9,0.0,-,-,1,23.41,113
10,ALLE200619C00150000,2020-02-25 2:08PM EST,150.0,0.43,0.2,0.55,0.0,-,9,177,23.71,113
11,ALLE200619C00155000,2020-02-26 11:46AM EST,155.0,0.25,0.0,0.45,0.0,-,20,53,25.49,113
0,ALLE200918C00105000,2020-02-06 12:50PM EST,105.0,29.45,20.6,21.5,0.0,-,-,1,29.03,204
1,ALLE200918C00130000,2020-01-27 12:07AM EST,130.0,8.7,0.0,0.0,0.0,-,-,0,1.56,204
2,ALLE200918C00135000,2020-02-25 9:36AM EST,135.0,4.99,3.6,4.6,0.0,-,2,3,24.23,204
3,ALLE200918C00140000,2020-02-13 1:48PM EST,140.0,8.0,2.1,3.2,0.0,-,2,1,23.63,204
4,ALLE200918C00145000,2020-02-14 2:31PM EST,145.0,6.5,1.5,2.0,0.0,-,26,187,22.49,204
5,ALLE200918C00150000,2020-02-05 1:30PM EST,150.0,3.2,0.9,1.45,0.0,-,-,90,22.85,204
6,ALLE200918C00155000,2020-02-18 12:06AM EST,155.0,3.1,0.4,1.0,0.0,-,-,1,22.91,204
7,ALLE200918C00170000,2020-02-18 12:06AM EST,170.0,0.85,0.0,1.55,0.0,-,-,1,32.6,204
