,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ALLE200320P00090000,2019-09-20 8:52AM EST,90.0,2.15,0.55,0.75,0.0,-,4,8,81.74,22
1,ALLE200320P00095000,2019-09-12 9:17AM EST,95.0,4.2,3.2,3.9,0.0,-,3,0,118.31,22
2,ALLE200320P00100000,2020-02-26 11:56AM EST,100.0,0.31,0.0,0.45,-0.39,-55.71%,1,0,54.1,22
3,ALLE200320P00105000,2020-02-26 11:56AM EST,105.0,0.42,0.05,0.35,-0.28,-40.00%,1,0,41.36,22
4,ALLE200320P00110000,2020-02-25 2:46PM EST,110.0,0.4,0.3,0.5,0.0,-,2,26,34.62,22
5,ALLE200320P00115000,2020-02-25 1:36PM EST,115.0,0.67,0.8,1.05,0.0,-,1,13,31.37,22
6,ALLE200320P00120000,2020-02-20 1:01PM EST,120.0,0.69,1.95,2.3,0.0,-,3,40,29.44,22
7,ALLE200320P00125000,2020-02-25 10:24AM EST,125.0,3.65,4.0,4.8,1.05,+40.38%,1,26,29.96,22
8,ALLE200320P00130000,2020-02-21 10:12AM EST,130.0,4.35,7.3,8.3,0.0,-,1,7,30.64,22
9,ALLE200320P00135000,2020-02-18 11:23AM EST,135.0,4.9,11.5,12.6,0.0,-,21,15,32.69,22
10,ALLE200320P00140000,2020-01-30 11:26PM EST,140.0,11.1,16.5,17.4,0.0,-,-,4,37.7,22
0,ALLE200619P00095000,2020-02-10 3:29PM EST,95.0,0.25,0.1,2.65,0.0,-,-,1,48.41,113
1,ALLE200619P00100000,2019-11-19 10:24AM EST,100.0,2.05,0.85,1.4,0.0,-,4,0,33.45,113
2,ALLE200619P00105000,2019-12-06 12:00PM EST,105.0,2.12,1.25,1.4,0.0,-,4,0,27.7,113
3,ALLE200619P00110000,2020-02-21 10:14AM EST,110.0,1.55,1.9,2.3,0.0,-,2,2,26.85,113
4,ALLE200619P00115000,2020-01-27 2:40PM EST,115.0,2.14,3.1,3.4,0.0,-,4,3,25.16,113
5,ALLE200619P00120000,2020-02-21 10:14AM EST,120.0,3.25,4.7,5.3,0.0,-,2,6,24.84,113
6,ALLE200619P00125000,2020-02-21 10:59AM EST,125.0,4.7,7.0,7.6,0.0,-,1,35,23.9,113
7,ALLE200619P00130000,2020-02-10 3:29PM EST,130.0,4.25,9.9,10.5,0.0,-,1,10,22.99,113
0,ALLE200918P00095000,2020-02-20 10:06AM EST,95.0,0.91,0.85,1.15,0.0,-,-,1,27.76,204
1,ALLE200918P00110000,2020-02-20 10:06AM EST,110.0,2.33,3.2,3.8,0.0,-,-,11,25.45,204
2,ALLE200918P00115000,2020-02-04 12:57PM EST,115.0,2.18,4.6,5.6,0.0,-,4,14,25.55,204
3,ALLE200918P00120000,2020-02-20 10:06AM EST,120.0,4.33,6.5,7.2,0.0,-,1,5,23.87,204
4,ALLE200918P00125000,2020-02-24 2:39PM EST,125.0,7.7,8.6,9.4,0.0,-,1,34,22.74,204
5,ALLE200918P00130000,2020-02-18 9:33AM EST,130.0,7.8,11.6,12.4,0.0,-,20,24,22.55,204
6,ALLE200918P00135000,2020-02-25 9:36AM EST,135.0,13.15,14.8,15.8,0.0,-,2,3,22.3,204
