,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ALL200320P00085000,2020-02-26 12:29PM EST,85.0,0.07,0.0,0.11,-0.04,-36.36%,2,2,54.88,22
1,ALL200320P00100000,2020-02-13 9:33AM EST,100.0,0.03,0.09,0.43,0.0,-,1,2,43.6,22
2,ALL200320P00105000,2020-02-25 2:08PM EST,105.0,0.34,0.31,0.33,0.0,-,76,25,30.76,22
3,ALL200320P00110000,2020-02-25 3:23PM EST,110.0,0.85,0.73,0.77,0.0,-,9,50,26.88,22
4,ALL200320P00115000,2020-02-26 1:06PM EST,115.0,1.92,1.88,1.92,-0.16,-7.69%,29,824,24.1,22
5,ALL200320P00120000,2020-02-25 1:34PM EST,120.0,3.72,4.4,4.55,-0.1,-2.62%,2,1244,23.85,22
6,ALL200320P00125000,2020-02-24 9:30AM EST,125.0,8.15,8.15,8.65,0.0,-,3,34,26.98,22
7,ALL200320P00130000,2020-02-21 2:25PM EST,130.0,6.85,12.9,13.5,0.0,-,7,32,34.35,22
0,ALL200417P00065000,2019-09-04 9:44AM EST,65.0,0.46,0.0,1.57,0.0,-,-,0,98.83,50
1,ALL200417P00075000,2019-10-13 11:06PM EST,75.0,0.47,0.0,0.0,0.0,-,-,0,25.0,50
2,ALL200417P00080000,2020-01-21 10:12AM EST,80.0,0.05,0.0,0.09,0.0,-,3,0,46.48,50
3,ALL200417P00085000,2020-02-26 12:29PM EST,85.0,0.23,0.03,0.12,0.17,+283.33%,2,6,41.7,50
4,ALL200417P00090000,2019-12-23 10:16AM EST,90.0,0.33,0.02,0.23,0.0,-,3,29,39.31,50
5,ALL200417P00095000,2020-01-07 1:53PM EST,95.0,0.44,0.01,0.2,0.0,-,3,34,31.59,50
6,ALL200417P00097500,2020-02-25 2:11PM EST,97.5,0.35,0.3,0.34,0.0,-,7,23,31.54,50
7,ALL200417P00100000,2020-02-26 11:13AM EST,100.0,0.37,0.41,0.44,-0.05,-11.90%,2,66,29.79,50
8,ALL200417P00105000,2020-02-26 1:03PM EST,105.0,0.74,0.75,0.79,-0.1,-11.90%,9,436,26.71,50
9,ALL200417P00110000,2020-02-26 1:00PM EST,110.0,1.44,1.44,1.51,-0.09,-5.88%,8,184,24.2,50
10,ALL200417P00115000,2020-02-26 1:02PM EST,115.0,2.73,2.82,2.88,-0.25,-8.39%,42,474,22.05,50
11,ALL200417P00120000,2020-02-26 11:37AM EST,120.0,5.25,5.15,5.4,1.2,+29.63%,3,351,21.27,50
12,ALL200417P00125000,2020-02-20 12:12PM EST,125.0,4.15,8.6,8.95,0.0,-,10,987,20.76,50
13,ALL200417P00130000,2020-02-20 10:34AM EST,130.0,6.85,12.65,14.0,0.0,-,7,9,28.15,50
14,ALL200417P00145000,2020-02-13 3:38PM EST,145.0,20.85,28.15,28.5,0.0,-,-,10,39.06,50
0,ALL200717P00080000,2020-02-21 9:30AM EST,80.0,0.18,0.07,0.57,0.0,-,-,10,38.62,141
1,ALL200717P00085000,2020-01-31 10:55AM EST,85.0,0.33,0.43,0.53,0.0,-,6,37,32.96,141
2,ALL200717P00090000,2020-02-26 11:47AM EST,90.0,0.56,0.61,0.71,0.03,+5.66%,1,6,30.1,141
3,ALL200717P00095000,2020-02-24 3:20PM EST,95.0,0.68,0.92,0.99,0.0,-,1,122,27.56,141
4,ALL200717P00100000,2020-02-26 1:04PM EST,100.0,1.42,1.42,1.46,0.31,+27.93%,5,16,25.49,141
5,ALL200717P00105000,2020-02-26 1:02PM EST,105.0,2.14,2.13,2.19,1.07,+100.00%,2,22,23.65,141
6,ALL200717P00110000,2020-02-26 1:02PM EST,110.0,3.25,3.35,3.4,0.79,+32.11%,3,111,22.38,141
7,ALL200717P00115000,2020-02-26 1:07PM EST,115.0,5.05,5.05,5.15,2.42,+92.02%,2,171,21.27,141
8,ALL200717P00120000,2020-02-24 1:37PM EST,120.0,5.63,7.3,7.6,0.0,-,13,24,20.48,141
