,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ALXN200228C00090000,2020-01-30 10:13AM EST,90.0,12.9,4.2,7.9,0.0,-,-,10,125.83,1
1,ALXN200228C00094000,2020-02-26 11:15AM EST,94.0,2.62,2.5,2.7,-0.33,-11.19%,5,5,43.07,1
2,ALXN200228C00095000,2020-02-26 12:37PM EST,95.0,1.95,1.75,2.5,0.05,+2.63%,1,4,56.45,1
3,ALXN200228C00098000,2020-02-26 12:42PM EST,98.0,0.6,0.45,1.15,-0.1,-14.29%,90,10,56.64,1
4,ALXN200228C00099000,2020-02-26 11:40AM EST,99.0,0.54,0.25,0.55,0.09,+20.00%,10,0,46.09,1
5,ALXN200228C00099500,2020-02-26 12:47PM EST,99.5,0.25,0.2,0.45,-0.25,-50.00%,395,11,46.24,1
6,ALXN200228C00100000,2020-02-26 12:50PM EST,100.0,0.2,0.05,0.35,-0.12,-37.50%,125,60,45.7,1
7,ALXN200228C00101000,2020-02-24 2:00PM EST,101.0,1.0,0.0,0.25,0.0,-,10,40,47.46,1
8,ALXN200228C00102000,2020-02-26 11:24AM EST,102.0,0.24,0.0,0.2,0.03,+14.29%,15,60,50.68,1
9,ALXN200228C00103000,2020-02-25 10:01AM EST,103.0,0.35,0.0,0.15,0.0,-,3,50,52.73,1
10,ALXN200228C00104000,2020-02-24 2:24PM EST,104.0,0.22,0.05,1.95,0.0,-,4,37,102.34,1
11,ALXN200228C00105000,2020-02-26 11:40AM EST,105.0,0.17,0.0,0.3,0.06,+54.55%,5,389,63.48,1
12,ALXN200228C00106000,2020-02-24 11:10AM EST,106.0,0.1,0.0,2.25,0.0,-,6,35,121.78,1
13,ALXN200228C00107000,2020-02-24 1:16PM EST,107.0,0.07,0.0,0.65,0.0,-,47,62,87.99,1
14,ALXN200228C00108000,2020-02-25 2:37PM EST,108.0,0.1,0.05,1.3,0.0,-,2,81,114.36,1
15,ALXN200228C00109000,2020-02-18 12:10PM EST,109.0,0.21,0.0,1.25,0.0,-,5,80,117.68,1
16,ALXN200228C00110000,2020-02-24 10:50AM EST,110.0,0.2,0.0,0.05,0.13,+185.71%,5,93,66.41,1
17,ALXN200228C00111000,2020-02-21 3:38PM EST,111.0,0.13,0.0,1.35,0.0,-,85,91,131.93,1
18,ALXN200228C00112000,2020-02-21 10:02AM EST,112.0,0.2,0.0,0.05,0.0,-,2,43,73.44,1
19,ALXN200228C00113000,2020-02-13 10:58AM EST,113.0,0.4,0.0,2.1,0.0,-,1,9,162.99,1
20,ALXN200228C00114000,2020-02-11 2:33PM EST,114.0,0.1,0.0,2.15,0.0,-,1,78,170.02,1
21,ALXN200228C00115000,2020-02-18 10:01AM EST,115.0,0.09,0.0,2.15,0.0,-,50,102,175.78,1
22,ALXN200228C00117000,2020-02-04 12:51PM EST,117.0,0.15,0.0,2.15,0.0,-,1,7,186.82,1
23,ALXN200228C00118000,2020-02-12 9:32AM EST,118.0,0.1,0.0,1.35,0.0,-,1,10,169.14,1
24,ALXN200228C00119000,2020-01-17 11:53AM EST,119.0,3.0,0.0,0.15,0.0,-,4,21,113.67,1
25,ALXN200228C00120000,2020-01-23 11:07AM EST,120.0,1.34,0.0,1.9,0.0,-,6,0,195.9,1
26,ALXN200228C00121000,2020-01-17 1:28PM EST,121.0,2.45,0.45,0.15,0.0,-,17,17,153.52,1
27,ALXN200228C00122000,2020-01-21 12:09AM EST,122.0,2.15,0.3,0.0,0.0,-,-,0,139.06,1
28,ALXN200228C00124000,2020-01-21 12:09AM EST,124.0,1.5,0.2,0.0,0.0,-,-,0,137.5,1
29,ALXN200228C00125000,2020-01-29 12:55PM EST,125.0,0.35,0.0,0.25,0.0,-,1,16,146.09,1
0,ALXN200306C00090000,2020-02-25 12:49PM EST,90.0,6.4,6.4,7.0,0.0,-,50,15,50.68,8
1,ALXN200306C00095000,2020-02-25 12:41PM EST,95.0,3.3,2.95,3.4,0.0,-,10,37,45.41,8
2,ALXN200306C00096000,2020-02-26 11:36AM EST,96.0,2.7,2.55,2.85,-0.9,-25.00%,2,0,44.85,8
3,ALXN200306C00097000,2020-02-25 1:54PM EST,97.0,2.65,2.0,2.4,0.0,-,1,1,44.97,8
4,ALXN200306C00097500,2020-02-25 1:37PM EST,97.5,2.1,1.85,2.15,0.0,-,3,3,44.31,8
5,ALXN200306C00098000,2020-02-26 10:35AM EST,98.0,1.85,1.65,1.9,0.37,+25.00%,4,19,43.41,8
6,ALXN200306C00098500,2020-02-26 10:18AM EST,98.5,1.6,1.45,1.75,-0.73,-31.33%,3,8,43.92,8
7,ALXN200306C00099000,2020-02-25 12:40PM EST,99.0,1.45,1.2,1.6,0.0,-,2,4,44.24,8
8,ALXN200306C00100000,2020-02-26 12:00PM EST,100.0,1.05,0.95,1.25,-0.2,-16.00%,7,33,43.34,8
9,ALXN200306C00101000,2020-02-25 1:56PM EST,101.0,0.95,0.7,1.0,0.0,-,1,4,43.36,8
10,ALXN200306C00102000,2020-02-26 9:33AM EST,102.0,1.0,0.5,0.75,-0.25,-20.00%,6,40,42.43,8
11,ALXN200306C00103000,2020-02-25 11:58AM EST,103.0,0.82,0.35,0.55,0.0,-,9,24,41.6,8
12,ALXN200306C00104000,2020-02-24 11:16AM EST,104.0,0.9,0.25,0.45,0.0,-,1,48,42.53,8
13,ALXN200306C00105000,2020-02-25 1:53PM EST,105.0,0.3,0.15,0.3,-0.07,-18.92%,10,235,41.07,8
14,ALXN200306C00106000,2020-02-26 12:42PM EST,106.0,0.17,0.1,0.25,-0.05,-22.73%,10,15,42.24,8
15,ALXN200306C00107000,2020-02-21 2:53PM EST,107.0,1.1,0.0,0.2,0.0,-,12,16,42.97,8
16,ALXN200306C00108000,2020-02-25 3:59PM EST,108.0,0.18,0.0,0.25,0.0,-,2,13,48.15,8
17,ALXN200306C00109000,2020-02-21 12:00PM EST,109.0,0.7,0.0,0.25,0.0,-,10,11,50.98,8
18,ALXN200306C00110000,2020-02-21 10:28AM EST,110.0,0.6,0.0,0.6,0.0,-,1,42,55.96,8
19,ALXN200306C00111000,2020-02-19 11:32AM EST,111.0,0.05,0.0,0.4,0.0,-,1,1,53.81,8
