,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AMAT200228P00045000,2020-02-24 9:31AM EST,45.0,0.05,0.0,0.03,0.0,-,10,18,131.25,1
1,AMAT200228P00050000,2020-02-25 3:40PM EST,50.0,0.04,0.0,0.02,0.0,-,2,691,84.38,1
2,AMAT200228P00052000,2020-02-25 3:58PM EST,52.0,0.09,0.0,0.03,0.0,-,10,10,71.09,1
3,AMAT200228P00053000,2020-02-26 12:18PM EST,53.0,0.03,0.0,0.03,-0.12,-80.00%,2,203,62.5,1
4,AMAT200228P00053500,2020-02-25 1:56PM EST,53.5,0.02,0.02,0.03,-0.11,-84.62%,1,238,63.28,1
5,AMAT200228P00054000,2020-02-25 11:48AM EST,54.0,0.11,0.04,0.05,0.0,-,10,56,65.23,1
6,AMAT200228P00054500,2020-02-25 3:16PM EST,54.5,0.26,0.0,0.06,0.0,-,1,1,56.25,1
7,AMAT200228P00055000,2020-02-25 3:40PM EST,55.0,0.4,0.04,0.08,0.0,-,15,119,58.98,1
8,AMAT200228P00055500,2020-02-26 10:20AM EST,55.5,0.1,0.09,0.1,-0.35,-77.78%,1,1216,59.77,1
9,AMAT200228P00056000,2020-02-26 11:24AM EST,56.0,0.07,0.12,0.13,-0.44,-86.27%,5,178,58.4,1
10,AMAT200228P00056500,2020-02-26 12:44PM EST,56.5,0.19,0.17,0.18,-0.43,-69.35%,12,185,58.01,1
11,AMAT200228P00057000,2020-02-26 12:35PM EST,57.0,0.23,0.22,0.24,-0.55,-70.51%,21,128,56.84,1
12,AMAT200228P00057500,2020-02-26 1:05PM EST,57.5,0.29,0.3,0.31,-0.44,-60.27%,6,76,55.86,1
13,AMAT200228P00058000,2020-02-26 12:15PM EST,58.0,0.54,0.38,0.39,-0.46,-46.00%,59,84,54.1,1
14,AMAT200228P00058500,2020-02-26 1:05PM EST,58.5,0.48,0.49,0.5,-0.76,-61.29%,58,407,52.83,1
15,AMAT200228P00059000,2020-02-26 12:35PM EST,59.0,0.64,0.62,0.62,-0.83,-56.46%,240,97,51.07,1
16,AMAT200228P00059500,2020-02-26 1:05PM EST,59.5,0.77,0.8,0.82,-0.82,-51.57%,324,113,51.07,1
17,AMAT200228P00060000,2020-02-26 12:56PM EST,60.0,1.07,1.0,1.02,-0.95,-47.03%,304,417,50.29,1
18,AMAT200228P00060500,2020-02-26 12:56PM EST,60.5,1.31,1.19,1.22,-1.03,-44.02%,26,190,47.46,1
19,AMAT200228P00061000,2020-02-25 3:16PM EST,61.0,1.39,1.53,1.56,-1.03,-42.56%,140,269,49.41,1
20,AMAT200228P00061500,2020-02-26 12:56PM EST,61.5,1.96,1.81,1.84,-1.29,-39.69%,36,166,46.68,1
21,AMAT200228P00062000,2020-02-26 10:00AM EST,62.0,2.1,2.18,2.21,-1.2,-36.36%,20,220,46.68,1
22,AMAT200228P00062500,2020-02-26 9:38AM EST,62.5,2.51,2.56,2.61,-0.59,-19.03%,14,323,46.88,1
23,AMAT200228P00063000,2020-02-26 10:09AM EST,63.0,3.15,2.99,3.05,-0.75,-19.23%,6,293,48.24,1
24,AMAT200228P00063500,2020-02-25 3:53PM EST,63.5,3.75,3.4,3.5,-0.9,-19.35%,2,265,49.22,1
25,AMAT200228P00064000,2020-02-25 2:42PM EST,64.0,4.97,3.95,4.05,0.0,-,71,1184,54.1,1
26,AMAT200228P00064500,2020-02-25 3:12PM EST,64.5,4.17,4.45,4.55,-1.78,-29.92%,21,570,58.98,1
27,AMAT200228P00065000,2020-02-26 11:59AM EST,65.0,4.95,4.85,4.95,-1.41,-22.17%,69,574,50.0,1
28,AMAT200228P00065500,2020-02-25 12:46PM EST,65.5,6.05,5.3,5.45,0.4,+7.08%,3,288,62.11,1
29,AMAT200228P00066000,2020-02-26 12:56PM EST,66.0,6.05,5.85,6.0,-0.8,-11.68%,7,393,62.5,1
30,AMAT200228P00066500,2020-02-25 1:41PM EST,66.5,6.55,6.35,6.45,-0.53,-7.49%,2,367,61.33,1
31,AMAT200228P00067000,2020-02-25 2:23PM EST,67.0,8.23,6.8,6.9,0.0,-,5,295,65.23,1
32,AMAT200228P00067500,2020-02-25 12:21PM EST,67.5,7.05,7.35,7.4,-0.5,-6.62%,3,197,61.72,1
33,AMAT200228P00068000,2020-02-26 12:25PM EST,68.0,8.28,7.8,7.9,-0.92,-10.00%,5,363,72.27,1
34,AMAT200228P00068500,2020-02-25 9:49AM EST,68.5,7.75,8.25,8.45,0.0,-,3,100,86.33,1
35,AMAT200228P00069000,2020-02-25 11:10AM EST,69.0,9.1,8.8,8.95,0.0,-,3,90,71.09,1
36,AMAT200228P00069500,2020-02-25 11:10AM EST,69.5,9.05,9.25,9.45,-0.55,-5.73%,3,19,50.0,1
37,AMAT200228P00070000,2020-02-25 1:36PM EST,70.0,9.45,9.8,9.95,-2.0,-17.47%,25,171,77.34,1
38,AMAT200228P00070500,2020-02-24 10:39AM EST,70.5,9.85,10.3,10.45,0.0,-,2,6,80.47,1
39,AMAT200228P00071000,2020-02-24 9:42AM EST,71.0,10.5,10.8,10.95,0.37,+3.65%,1,3,83.59,1
40,AMAT200228P00071500,2020-02-25 11:10AM EST,71.5,11.6,11.35,11.5,0.0,-,3,3,102.73,1
41,AMAT200228P00072000,2020-02-20 2:27PM EST,72.0,5.7,11.8,11.95,0.0,-,-,4,89.84,1
42,AMAT200228P00072500,2020-02-25 11:10AM EST,72.5,12.6,12.25,12.45,0.0,-,3,44,50.0,1
43,AMAT200228P00073000,2020-02-25 11:10AM EST,73.0,13.1,12.75,12.95,0.0,-,3,68,50.0,1
44,AMAT200228P00073500,2020-02-18 10:20AM EST,73.5,13.65,13.3,13.45,0.0,-,1,52,98.44,1
45,AMAT200228P00074000,2020-02-18 5:55PM EST,74.0,7.75,13.75,13.95,0.0,-,1,16,50.0,1
46,AMAT200228P00075000,2020-02-18 9:31AM EST,75.0,14.45,14.75,15.0,4.15,+40.29%,6,0,106.25,1
0,AMAT200306P00045000,2020-02-25 10:17AM EST,45.0,0.17,0.03,0.04,0.14,+466.67%,1,8,80.47,8
1,AMAT200306P00050000,2020-02-24 11:40AM EST,50.0,0.09,0.13,0.14,0.0,-,1619,627,68.56,8
2,AMAT200306P00052000,2020-02-26 1:04PM EST,52.0,0.23,0.23,0.24,-0.21,-47.73%,2,3,64.36,8
3,AMAT200306P00052500,2020-02-25 6:47PM EST,52.5,0.54,0.26,0.27,0.0,-,-,2,63.09,8
4,AMAT200306P00053000,2020-02-25 12:48PM EST,53.0,0.37,0.3,0.31,0.0,-,10,38,62.11,8
5,AMAT200306P00053500,2020-02-26 10:00AM EST,53.5,0.32,0.33,0.35,-0.23,-41.82%,10,9,60.55,8
6,AMAT200306P00054000,2020-02-26 9:35AM EST,54.0,0.35,0.38,0.4,-0.35,-50.00%,18,73,59.57,8
7,AMAT200306P00054500,2020-02-26 9:31AM EST,54.5,0.59,0.44,0.46,-0.28,-32.18%,10,4,58.69,8
8,AMAT200306P00055000,2020-02-26 10:37AM EST,55.0,0.42,0.5,0.51,-0.42,-50.00%,34,108,57.32,8
9,AMAT200306P00055500,2020-02-25 2:14PM EST,55.5,1.02,0.57,0.58,0.0,-,134,5,56.2,8
10,AMAT200306P00056000,2020-02-26 12:06PM EST,56.0,0.72,0.66,0.67,-0.51,-41.46%,15,122,55.47,8
11,AMAT200306P00056500,2020-02-26 12:35PM EST,56.5,0.77,0.76,0.77,-0.61,-44.20%,1,377,54.69,8
12,AMAT200306P00057000,2020-02-26 12:32PM EST,57.0,0.9,0.85,0.86,-0.51,-36.17%,30,131,53.22,8
13,AMAT200306P00057500,2020-02-25 3:51PM EST,57.5,0.83,0.97,0.98,-0.79,-48.77%,45,70,52.3,8
14,AMAT200306P00058000,2020-02-26 11:01AM EST,58.0,1.02,1.08,1.1,-0.79,-43.65%,20,104,50.83,8
15,AMAT200306P00058500,2020-02-26 12:44PM EST,58.5,1.33,1.26,1.28,-0.51,-27.72%,24,468,50.73,8
16,AMAT200306P00059000,2020-02-26 12:20PM EST,59.0,1.56,1.4,1.42,-0.48,-23.53%,148,88,49.37,8
17,AMAT200306P00059500,2020-02-26 12:20PM EST,59.5,1.76,1.61,1.63,-0.72,-29.03%,55,180,49.07,8
18,AMAT200306P00060000,2020-02-26 9:49AM EST,60.0,1.9,1.8,1.82,-0.85,-30.91%,56,432,47.75,8
19,AMAT200306P00060500,2020-02-26 9:48AM EST,60.5,1.88,2.03,2.05,-1.17,-38.36%,36,226,46.97,8
20,AMAT200306P00061000,2020-02-26 9:35AM EST,61.0,2.4,2.27,2.29,-0.85,-26.15%,16,267,45.85,8
21,AMAT200306P00061500,2020-02-26 9:35AM EST,61.5,2.42,2.55,2.57,-1.03,-29.86%,7,137,45.22,8
22,AMAT200306P00062000,2020-02-25 3:35PM EST,62.0,2.65,2.87,2.9,-1.54,-36.75%,1,80,45.36,8
23,AMAT200306P00062500,2020-02-26 11:11AM EST,62.5,3.2,3.15,3.2,-0.91,-22.14%,41,86,44.09,8
24,AMAT200306P00063000,2020-02-26 10:33AM EST,63.0,3.45,3.55,3.6,-1.28,-27.06%,8,104,45.12,8
25,AMAT200306P00063500,2020-02-26 12:04PM EST,63.5,4.14,3.9,3.95,-0.91,-18.02%,4,139,44.14,8
26,AMAT200306P00064000,2020-02-26 11:38AM EST,64.0,4.03,4.35,4.4,-1.32,-24.67%,1,111,45.9,8
27,AMAT200306P00064500,2020-02-25 9:44AM EST,64.5,4.5,4.7,4.8,0.4,+9.76%,12,30,45.61,8
28,AMAT200306P00065000,2020-02-26 11:59AM EST,65.0,5.15,5.15,5.25,-0.8,-13.45%,10,122,46.68,8
29,AMAT200306P00065500,2020-02-25 12:46PM EST,65.5,5.86,5.6,5.7,0.0,-,13,67,47.56,8
30,AMAT200306P00066000,2020-02-25 3:06PM EST,66.0,6.84,6.0,6.1,0.0,-,1,43,45.61,8
31,AMAT200306P00066500,2020-02-25 3:06PM EST,66.5,7.32,6.4,6.55,0.0,-,1,11,45.41,8
32,AMAT200306P00067000,2020-02-21 2:26PM EST,67.0,3.85,6.9,7.1,0.0,-,7,54,50.68,8
33,AMAT200306P00067500,2020-02-21 10:02AM EST,67.5,5.7,7.35,7.5,0.0,-,3,42,46.88,8
34,AMAT200306P00068000,2020-02-26 12:25PM EST,68.0,8.31,7.85,8.05,1.02,+13.99%,2,51,52.64,8
35,AMAT200306P00068500,2020-02-14 3:26PM EST,68.5,3.0,8.3,8.55,0.0,-,-,4,54.88,8
36,AMAT200306P00069000,2020-02-14 3:59PM EST,69.0,3.17,8.85,9.0,0.0,-,-,7,53.61,8
37,AMAT200306P00069500,2020-02-13 12:08PM EST,69.5,5.5,9.25,9.45,0.0,-,1,3,51.37,8
38,AMAT200306P00070000,2020-02-18 9:47AM EST,70.0,4.8,9.8,10.05,0.0,-,1,2,50.59,8
39,AMAT200306P00071000,2020-02-21 10:10AM EST,71.0,7.3,10.75,10.95,0.0,-,1,1,57.23,8
40,AMAT200306P00072500,2020-02-25 2:54PM EST,72.5,13.45,12.35,12.5,0.0,-,14,10,59.77,8
41,AMAT200306P00073000,2020-02-25 10:58AM EST,73.0,14.2,12.75,12.95,0.0,-,25,25,64.84,8
42,AMAT200306P00074000,2020-02-25 10:28AM EST,74.0,13.65,13.75,13.9,0.0,-,14,14,60.94,8
43,AMAT200306P00075000,2020-02-25 6:47PM EST,75.0,16.15,14.75,14.95,0.0,-,-,3,72.07,8
44,AMAT200306P00076000,2020-02-25 6:47PM EST,76.0,17.15,15.85,16.0,0.0,-,-,5,71.88,8
0,AMAT200313P00045000,2020-02-24 9:30AM EST,45.0,0.1,0.03,0.21,0.0,-,1,2,74.8,15
1,AMAT200313P00050000,2020-02-24 3:19PM EST,50.0,0.21,0.22,0.27,0.0,-,200,223,59.96,15
2,AMAT200313P00053000,2020-02-10 1:53PM EST,53.0,0.37,0.45,0.5,0.0,-,10,198,54.39,15
3,AMAT200313P00053500,2020-02-24 3:19PM EST,53.5,0.41,0.49,0.56,0.0,-,200,201,53.32,15
4,AMAT200313P00054000,2020-02-12 3:08PM EST,54.0,0.26,0.56,0.61,0.0,-,1,59,52.39,15
5,AMAT200313P00054500,2020-01-31 11:59AM EST,54.5,1.7,0.62,0.68,0.0,-,100,100,51.42,15
6,AMAT200313P00055000,2020-02-26 10:05AM EST,55.0,0.68,0.72,0.76,-0.01,-1.45%,22,123,50.93,15
7,AMAT200313P00055500,2020-01-30 11:36AM EST,55.5,1.87,0.79,0.86,0.0,-,2,11,50.05,15
8,AMAT200313P00056000,2020-02-24 11:17AM EST,56.0,0.74,0.88,0.95,0.0,-,1,45,49.95,15
9,AMAT200313P00056500,2020-02-25 10:13AM EST,56.5,0.97,1.0,1.06,0.04,+4.30%,10,33,49.17,15
10,AMAT200313P00057000,2020-02-24 2:39PM EST,57.0,1.32,1.11,1.21,0.0,-,1,159,49.07,15
11,AMAT200313P00057500,2020-02-26 10:05AM EST,57.5,1.28,1.24,1.33,0.27,+26.73%,20,35,48.0,15
12,AMAT200313P00058000,2020-02-25 3:45PM EST,58.0,2.02,1.38,1.5,0.0,-,1,125,47.71,15
13,AMAT200313P00058500,2020-02-24 10:16AM EST,58.5,1.27,1.54,1.68,0.0,-,1,59,47.31,15
14,AMAT200313P00059000,2020-02-25 3:18PM EST,59.0,1.7,1.77,1.81,-0.7,-29.17%,3,75,45.65,15
15,AMAT200313P00059500,2020-02-25 1:36PM EST,59.5,2.33,1.94,2.1,0.0,-,2,78,46.83,15
16,AMAT200313P00060000,2020-02-26 11:42AM EST,60.0,2.01,2.19,2.24,-0.99,-33.00%,21,245,44.78,15
17,AMAT200313P00060500,2020-02-26 9:45AM EST,60.5,2.33,2.39,2.57,-0.2,-7.91%,16,29,46.05,15
18,AMAT200313P00061000,2020-02-26 10:09AM EST,61.0,2.79,2.59,2.83,0.69,+32.86%,5,110,45.68,15
19,AMAT200313P00061500,2020-02-25 3:51PM EST,61.5,3.97,2.87,3.05,0.0,-,10,75,44.19,15
20,AMAT200313P00062000,2020-02-24 11:12AM EST,62.0,3.43,3.2,3.3,0.73,+27.04%,5,116,42.92,15
21,AMAT200313P00062500,2020-02-25 3:46PM EST,62.5,3.51,3.5,3.65,-0.89,-20.23%,4,140,43.31,15
22,AMAT200313P00063000,2020-02-24 12:29PM EST,63.0,3.4,3.8,3.95,0.0,-,16,183,42.33,15
23,AMAT200313P00063500,2020-02-24 10:39AM EST,63.5,4.0,4.1,4.35,0.0,-,1,158,43.16,15
24,AMAT200313P00064000,2020-02-25 2:33PM EST,64.0,5.75,4.5,4.8,0.0,-,15,126,44.92,15
25,AMAT200313P00064500,2020-02-20 12:00PM EST,64.5,1.63,4.9,5.1,0.0,-,12,20,42.87,15
26,AMAT200313P00065000,2020-02-24 11:12AM EST,65.0,4.62,5.35,5.5,0.0,-,2,116,42.87,15
27,AMAT200313P00065500,2020-02-25 3:23PM EST,65.5,7.1,5.7,5.95,0.0,-,5,43,43.99,15
28,AMAT200313P00066000,2020-02-20 2:05PM EST,66.0,1.99,6.15,6.35,0.0,-,13,38,43.41,15
29,AMAT200313P00066500,2020-02-25 1:41PM EST,66.5,6.84,6.55,6.8,-0.49,-6.68%,4,31,44.04,15
30,AMAT200313P00067000,2020-02-19 3:17PM EST,67.0,2.02,7.0,7.15,0.0,-,19,31,40.92,15
31,AMAT200313P00067500,2020-02-20 11:53AM EST,67.5,3.02,7.45,7.7,0.0,-,1,15,44.78,15
32,AMAT200313P00068000,2020-02-25 10:22AM EST,68.0,8.22,7.95,8.1,0.54,+7.03%,3,28,42.68,15
33,AMAT200313P00069000,2020-02-24 11:52AM EST,69.0,8.16,8.9,9.1,0.0,-,8,73,46.29,15
34,AMAT200313P00070000,2020-02-13 3:59PM EST,70.0,3.95,9.85,10.1,0.0,-,-,1,49.81,15
35,AMAT200313P00072500,2020-02-13 9:48AM EST,72.5,5.9,12.3,12.5,0.0,-,-,10,52.15,15
0,AMAT200320P00045000,2020-02-26 10:01AM EST,45.0,0.11,0.11,0.13,-0.08,-42.11%,1,1278,62.89,22
1,AMAT200320P00047500,2020-02-26 12:08PM EST,47.5,0.22,0.18,0.2,0.01,+4.76%,4,1641,58.01,22
2,AMAT200320P00050000,2020-02-26 12:06PM EST,50.0,0.35,0.32,0.33,-0.22,-38.60%,4,736,54.2,22
3,AMAT200320P00052500,2020-02-26 12:08PM EST,52.5,0.63,0.55,0.57,-0.22,-25.88%,31,1170,50.83,22
4,AMAT200320P00055000,2020-02-26 12:08PM EST,55.0,1.08,0.93,0.94,-0.29,-21.17%,24,827,47.46,22
5,AMAT200320P00056000,2020-02-25 1:59PM EST,56.0,1.08,1.14,1.16,-0.42,-28.00%,2,29,46.36,22
6,AMAT200320P00057000,2020-02-25 1:58PM EST,57.0,1.93,1.39,1.4,0.0,-,16,33,44.87,22
7,AMAT200320P00057500,2020-02-26 10:54AM EST,57.5,1.43,1.53,1.55,-0.71,-33.18%,8,1829,44.39,22
8,AMAT200320P00058000,2020-02-26 9:35AM EST,58.0,1.8,1.69,1.72,-0.57,-24.05%,8,35,43.99,22
9,AMAT200320P00058500,2020-02-26 12:08PM EST,58.5,2.13,1.86,1.87,-0.63,-22.83%,42,91,43.07,22
10,AMAT200320P00059000,2020-02-26 9:45AM EST,59.0,2.01,2.03,2.05,-0.64,-24.15%,13,15,42.43,22
11,AMAT200320P00059500,2020-02-26 10:45AM EST,59.5,2.04,2.26,2.28,-0.88,-30.14%,68,19,42.38,22
12,AMAT200320P00060000,2020-02-26 11:35AM EST,60.0,2.31,2.49,2.52,-0.99,-30.00%,241,4350,42.24,22
13,AMAT200320P00060500,2020-02-26 11:54AM EST,60.5,2.69,2.73,2.76,-1.06,-28.27%,39,292,41.85,22
14,AMAT200320P00061000,2020-02-26 11:53AM EST,61.0,2.94,2.97,3.0,-0.26,-8.12%,26,267,41.21,22
15,AMAT200320P00061500,2020-02-24 3:13PM EST,61.5,4.2,3.2,3.25,0.0,-,3,43,40.48,22
16,AMAT200320P00062000,2020-02-26 10:00AM EST,62.0,3.33,3.5,3.6,0.52,+18.51%,8,4,41.16,22
17,AMAT200320P00062500,2020-02-26 11:09AM EST,62.5,3.72,3.8,3.9,-1.08,-22.50%,20,937,40.75,22
18,AMAT200320P00063000,2020-02-25 12:12PM EST,63.0,4.2,4.15,4.2,0.2,+5.00%,1,143,40.09,22
19,AMAT200320P00063500,2020-02-25 3:53PM EST,63.5,5.5,4.4,4.5,0.0,-,3,149,39.11,22
20,AMAT200320P00064000,2020-02-25 9:33AM EST,64.0,3.8,4.8,4.9,0.0,-,4,131,39.75,22
21,AMAT200320P00064500,2020-02-24 10:19AM EST,64.5,4.2,5.2,5.25,0.0,-,15,24,39.16,22
22,AMAT200320P00065000,2020-02-26 11:42AM EST,65.0,5.29,5.55,5.65,-1.36,-20.45%,22,1639,39.36,22
23,AMAT200320P00065500,2020-02-25 10:36AM EST,65.5,6.05,5.9,6.05,0.0,-,1,1,39.31,22
24,AMAT200320P00067000,2020-02-26 9:30AM EST,67.0,7.93,7.15,7.3,1.42,+21.81%,1,1,38.92,22
25,AMAT200320P00067500,2020-02-25 2:29PM EST,67.5,7.74,7.6,7.7,-1.42,-15.50%,2,1183,37.7,22
26,AMAT200320P00068000,2020-02-25 2:42PM EST,68.0,9.55,8.1,8.25,0.0,-,2,2,40.92,22
27,AMAT200320P00069000,2020-02-25 9:59AM EST,69.0,8.25,8.95,9.1,0.0,-,1,1,38.97,22
28,AMAT200320P00070000,2020-02-25 2:25PM EST,70.0,11.45,9.9,10.05,0.0,-,4,61,39.84,22
29,AMAT200320P00072500,2020-02-21 11:55AM EST,72.5,8.16,12.35,12.65,0.0,-,1,21,51.17,22
30,AMAT200320P00075000,2020-02-21 11:21AM EST,75.0,10.54,14.8,15.0,0.0,-,1,8,50.1,22
31,AMAT200320P00080000,2020-02-12 11:09AM EST,80.0,15.15,19.75,19.95,0.0,-,-,0,57.23,22
32,AMAT200320P00085000,2020-02-12 11:09AM EST,85.0,20.05,24.8,25.1,0.0,-,1,0,66.99,22
0,AMAT200327P00045000,2020-02-18 10:31AM EST,45.0,0.07,0.11,0.3,0.0,-,-,1,61.43,29
1,AMAT200327P00050000,2020-02-24 1:16PM EST,50.0,0.46,0.45,0.51,0.0,-,5,122,53.08,29
2,AMAT200327P00055000,2020-02-26 12:06PM EST,55.0,1.26,1.16,1.21,-0.47,-27.17%,152,177,46.9,29
3,AMAT200327P00056000,2020-02-24 2:27PM EST,56.0,1.15,1.36,1.5,0.0,-,15,25,46.7,29
4,AMAT200327P00056500,2020-02-07 9:41AM EST,56.5,1.05,1.5,1.59,0.0,-,33,33,45.41,29
