,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AME200320P00050000,2020-02-12 10:58AM EST,50.0,0.2,-,2.15,0.0,-,-,1,206.35,22
1,AME200320P00060000,2019-11-27 9:30AM EST,60.0,0.05,0.00,0.2,0.0,-,-,6,80.08,22
2,AME200320P00065000,2019-12-11 9:31AM EST,65.0,0.05,0.00,0.35,0.0,-,4,0,73.05,22
3,AME200320P00075000,2019-12-27 10:52AM EST,75.0,0.08,0.00,0.45,0.0,-,3,9,57.57,22
4,AME200320P00080000,2020-02-12 11:01AM EST,80.0,0.2,0.20,0.35,0.0,-,1,4,40.48,22
5,AME200320P00085000,2020-02-25 11:28AM EST,85.0,0.42,0.60,0.75,0.0,-,5,15,34.38,22
6,AME200320P00090000,2020-02-25 3:39PM EST,90.0,1.5,1.75,1.9,-0.65,-30.23%,4,20,30.81,22
7,AME200320P00095000,2020-02-25 2:54PM EST,95.0,4.1,4.10,4.3,0.0,-,10,29,27.97,22
8,AME200320P00100000,2020-02-24 9:30AM EST,100.0,8.2,8.00,8.3,0.0,-,2,40,29.2,22
9,AME200320P00105000,2020-02-21 3:28PM EST,105.0,6.22,12.70,13.0,0.0,-,10,16,32.52,22
0,AME200417P00085000,2020-02-25 10:53AM EST,85.0,0.85,1.15,1.25,0.0,-,2,2,28.66,50
1,AME200417P00090000,2020-02-25 3:31PM EST,90.0,2.73,2.45,2.6,0.0,-,30,0,26.25,50
2,AME200417P00095000,2020-02-25 10:33AM EST,95.0,3.4,4.8,5.0,0.0,-,10,18,24.32,50
0,AME200619P00055000,2019-12-26 1:36PM EST,55.0,0.1,0.0,0.6,0.0,-,-,1,51.47,113
1,AME200619P00070000,2019-12-04 9:43AM EST,70.0,0.5,0.0,0.3,0.0,-,-,0,30.27,113
2,AME200619P00075000,2020-01-13 10:42AM EST,75.0,0.37,0.0,0.0,0.0,-,-,8,6.25,113
3,AME200619P00080000,2020-01-16 9:47AM EST,80.0,0.55,0.25,0.45,0.0,-,2,3,19.75,113
4,AME200619P00085000,2020-01-13 10:42AM EST,85.0,1.05,0.55,0.75,0.0,-,4,6,15.71,113
5,AME200619P00090000,2020-02-24 10:24AM EST,90.0,2.55,3.7,3.9,0.0,-,2,126,24.17,113
6,AME200619P00095000,2020-02-24 10:21AM EST,95.0,5.7,6.0,6.3,0.0,-,1,23,22.82,113
7,AME200619P00100000,2020-02-06 3:37PM EST,100.0,4.9,9.2,9.4,0.0,-,20,30,20.79,113
8,AME200619P00105000,2020-02-13 2:42PM EST,105.0,6.0,13.3,13.5,0.0,-,10,28,20.33,113
0,AME200918P00080000,2020-02-25 2:08PM EST,80.0,2.05,2.0,2.2,0.0,-,51,50,25.59,204
1,AME200918P00085000,2020-02-26 10:19AM EST,85.0,3.2,3.2,3.4,0.0,-,12,24,24.02,204
2,AME200918P00090000,2020-02-24 9:56AM EST,90.0,3.7,4.9,5.2,0.0,-,1,98,22.9,204
3,AME200918P00095000,2020-02-12 2:54PM EST,95.0,3.3,7.2,7.5,0.0,-,-,15,21.43,204
4,AME200918P00105000,2020-02-25 6:50PM EST,105.0,14.0,14.0,14.3,0.0,-,-,2,19.67,204
5,AME200918P00110000,2020-02-25 6:50PM EST,110.0,18.3,18.2,18.5,0.0,-,-,2,18.78,204
