,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AMGN200228C00202500,2020-02-25 10:54AM EST,202.5,12.1,13.7,14.45,0.3,+2.54%,5,5,57.13,1
1,AMGN200228C00205000,2020-02-25 12:15PM EST,205.0,6.9,11.2,11.9,0.0,-,17,0,47.85,1
2,AMGN200228C00207500,2020-02-26 11:15AM EST,207.5,7.5,9.1,9.45,2.65,+54.64%,20,45,41.11,1
3,AMGN200228C00210000,2020-02-26 11:32AM EST,210.0,6.4,7.0,7.3,3.15,+96.92%,142,6,39.7,1
4,AMGN200228C00212500,2020-02-26 12:17PM EST,212.5,3.9,4.95,5.1,1.24,+46.62%,70,141,34.57,1
5,AMGN200228C00215000,2020-02-26 1:03PM EST,215.0,3.45,3.2,3.3,1.94,+128.48%,109,108,32.23,1
6,AMGN200228C00217500,2020-02-26 12:46PM EST,217.5,1.9,1.78,1.88,1.06,+126.19%,305,338,30.23,1
7,AMGN200228C00220000,2020-02-26 1:01PM EST,220.0,0.92,0.84,0.91,0.61,+196.77%,113,225,28.61,1
8,AMGN200228C00222500,2020-02-26 12:31PM EST,222.5,0.28,0.29,0.34,0.17,+154.55%,28,278,26.81,1
9,AMGN200228C00225000,2020-02-26 12:21PM EST,225.0,0.08,0.04,0.13,-0.01,-11.11%,98,482,26.95,1
10,AMGN200228C00227500,2020-02-26 12:52PM EST,227.5,0.14,0.0,0.13,0.1,+250.00%,3,298,32.91,1
11,AMGN200228C00230000,2020-02-26 1:06PM EST,230.0,0.03,0.02,0.04,-0.01,-25.00%,14,476,31.64,1
12,AMGN200228C00232500,2020-02-26 12:01PM EST,232.5,0.01,0.0,0.03,-0.02,-66.67%,1,359,35.16,1
13,AMGN200228C00235000,2020-02-25 9:56AM EST,235.0,0.05,0.0,0.05,0.0,-,1,103,42.38,1
14,AMGN200228C00237500,2020-02-21 12:34PM EST,237.5,0.01,0.0,0.03,0.0,-,10,37,43.75,1
15,AMGN200228C00240000,2020-02-25 10:19AM EST,240.0,0.16,0.0,0.21,0.0,-,1,103,57.42,1
16,AMGN200228C00242500,2020-02-11 1:53PM EST,242.5,0.24,0.1,0.68,0.0,-,10,24,78.91,1
17,AMGN200228C00245000,2020-02-10 9:37AM EST,245.0,0.25,0.02,0.07,0.0,-,2,100,59.38,1
18,AMGN200228C00247500,2020-02-06 10:47AM EST,247.5,0.4,0.0,0.68,0.0,-,10,21,87.3,1
19,AMGN200228C00250000,2020-02-05 3:47PM EST,250.0,0.46,0.0,0.27,0.0,-,2,32,78.91,1
20,AMGN200228C00252500,2020-01-24 3:00PM EST,252.5,0.24,0.0,0.0,0.0,-,2,0,50.0,1
21,AMGN200228C00255000,2020-02-04 10:37AM EST,255.0,0.13,0.0,0.69,0.0,-,1,18,102.73,1
22,AMGN200228C00257500,2020-01-24 10:13AM EST,257.5,0.16,0.0,0.0,0.0,-,40,0,50.0,1
23,AMGN200228C00260000,2020-01-23 11:47AM EST,260.0,0.28,0.0,0.0,0.0,-,-,0,50.0,1
24,AMGN200228C00262500,2020-01-28 1:51PM EST,262.5,0.07,0.0,0.01,0.0,-,3,10,68.75,1
0,AMGN200306C00195000,2020-02-12 3:40PM EST,195.0,32.58,21.1,22.5,0.0,-,24,10,53.39,8
1,AMGN200306C00197500,2020-02-12 3:43PM EST,197.5,29.94,18.75,20.25,0.0,-,22,1,52.0,8
2,AMGN200306C00200000,2020-02-25 3:53PM EST,200.0,12.55,16.15,17.8,0.0,-,2,2,47.61,8
3,AMGN200306C00202500,2020-02-25 3:50PM EST,202.5,10.25,14.5,15.1,0.0,-,12,11,40.21,8
4,AMGN200306C00207500,2020-02-26 10:23AM EST,207.5,8.55,10.15,10.8,0.8,+10.32%,8,5,36.73,8
