,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AMP200320C00095000,2020-02-12 3:24PM EST,95.0,83.75,62.00,64.7,0.0,-,-,-,91.8,22
1,AMP200320C00100000,2020-02-12 3:24PM EST,100.0,78.75,57.00,59.5,0.0,-,9,0,73.05,22
2,AMP200320C00105000,2020-02-12 3:56PM EST,105.0,73.75,52.70,54.2,0.0,-,-,-,81.64,22
3,AMP200320C00110000,2020-02-12 3:56PM EST,110.0,68.75,47.70,49.2,0.0,-,25,7,73.44,22
4,AMP200320C00120000,2020-02-12 3:24PM EST,120.0,58.76,38.00,39.3,0.0,-,5,0,64.75,22
5,AMP200320C00125000,2020-02-12 3:56PM EST,125.0,53.74,33.20,34.4,0.0,-,20,5,60.33,22
6,AMP200320C00130000,2020-02-12 3:33PM EST,130.0,47.8,28.10,29.3,0.0,-,225,121,50.05,22
7,AMP200320C00135000,2020-02-12 3:33PM EST,135.0,23.3,23.40,24.6,0.0,-,2,1,55.74,22
8,AMP200320C00140000,2020-02-12 3:32PM EST,140.0,40.6,19.40,19.7,0.0,-,18,8,47.56,22
9,AMP200320C00145000,2020-02-12 3:33PM EST,145.0,35.6,14.80,15.1,0.0,-,22,12,41.77,22
10,AMP200320C00150000,2020-02-12 3:33PM EST,150.0,27.8,11.00,11.4,0.0,-,251,70,41.24,22
11,AMP200320C00155000,2020-02-12 3:33PM EST,155.0,23.1,7.60,7.8,0.0,-,116,68,37.9,22
12,AMP200320C00160000,2020-02-25 1:25PM EST,160.0,5.29,4.60,5.0,-0.16,-2.94%,1,95,36.0,22
13,AMP200320C00165000,2020-02-26 11:39AM EST,165.0,3.2,2.70,2.85,-0.24,-6.98%,16,82,33.94,22
14,AMP200320C00170000,2020-02-26 12:37PM EST,170.0,1.34,1.25,1.4,-0.6,-30.93%,7,202,31.92,22
15,AMP200320C00175000,2020-02-25 3:03PM EST,175.0,0.8,0.50,0.7,0.0,-,16,423,31.76,22
16,AMP200320C00180000,2020-02-26 12:37PM EST,180.0,0.27,0.20,0.35,-0.08,-22.86%,2,130,32.15,22
17,AMP200320C00185000,2020-02-25 9:50AM EST,185.0,0.1,0.00,0.2,-0.13,-56.52%,4,189,33.55,22
18,AMP200320C00190000,2020-02-26 10:16AM EST,190.0,0.26,0.00,0.5,-0.34,-56.67%,2,24,45.41,22
19,AMP200320C00195000,2020-02-24 10:35AM EST,195.0,0.48,0.00,0.5,0.0,-,4,13,50.29,22
20,AMP200320C00210000,2020-02-10 12:00AM EST,210.0,0.05,-,0.25,0.0,-,-,10,56.45,22
0,AMP200417C00155000,2020-02-25 2:54PM EST,155.0,9.4,9.5,9.8,0.0,-,45,31,34.38,50
1,AMP200417C00160000,2020-02-24 3:46PM EST,160.0,7.15,6.6,6.9,-3.35,-31.90%,1,10,32.45,50
2,AMP200417C00165000,2020-02-24 3:01PM EST,165.0,7.7,4.4,4.7,0.0,-,-,10,31.35,50
3,AMP200417C00170000,2020-02-25 3:01PM EST,170.0,3.1,2.8,3.1,0.0,-,1,2,30.73,50
4,AMP200417C00175000,2020-02-25 2:51PM EST,175.0,1.8,1.6,1.85,0.0,-,43,43,29.58,50
5,AMP200417C00180000,2020-02-26 9:30AM EST,180.0,0.85,0.65,1.25,-0.3,-26.09%,4,7,30.31,50
6,AMP200417C00185000,2020-02-24 10:35AM EST,185.0,2.22,0.15,0.85,0.0,-,-,4,31.1,50
0,AMP200619C00120000,2019-12-02 2:41PM EST,120.0,45.62,45.8,49.2,0.0,-,-,0,77.02,113
1,AMP200619C00130000,2020-01-09 3:32PM EST,130.0,40.0,44.5,47.0,0.0,-,1,3,92.86,113
2,AMP200619C00135000,2020-02-25 2:50PM EST,135.0,25.8,25.9,26.5,0.0,-,5,0,34.58,113
3,AMP200619C00140000,2020-02-26 12:37PM EST,140.0,22.5,22.1,22.6,-16.9,-42.89%,3,10,33.73,113
4,AMP200619C00145000,2020-02-18 11:15AM EST,145.0,34.19,18.2,18.7,0.0,-,1,6,32.01,113
