,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AMT200228C00200000,2020-02-13 1:01PM EST,200.0,56.77,41.20,44.9,0.0,-,-,6,107.81,1
1,AMT200228C00205000,2020-02-11 12:35PM EST,205.0,48.6,36.20,39.8,0.0,-,50,45,91.41,1
2,AMT200228C00207500,2020-01-29 11:09AM EST,207.5,27.26,33.60,37.0,0.0,-,-,1,144.39,1
3,AMT200228C00210000,2020-02-10 9:55AM EST,210.0,29.95,31.20,34.6,0.0,-,4,3,67.19,1
4,AMT200228C00220000,2020-02-26 10:41AM EST,220.0,25.47,22.10,24.5,-4.23,-14.24%,50,59,72.46,1
5,AMT200228C00222500,2020-02-24 1:25PM EST,222.5,22.3,19.50,21.7,0.0,-,3,14,57.81,1
6,AMT200228C00225000,2020-02-26 10:01AM EST,225.0,19.35,17.70,19.0,4.64,+31.54%,1,4,60.89,1
7,AMT200228C00227500,2020-02-24 12:06PM EST,227.5,18.6,14.90,16.7,0.0,-,10,24,52.64,1
8,AMT200228C00230000,2020-02-25 3:30PM EST,230.0,16.99,12.50,14.4,0.0,-,52,31,68.51,1
9,AMT200228C00232500,2020-02-24 12:33PM EST,232.5,13.45,9.50,12.4,0.0,-,4,43,67.58,1
10,AMT200228C00235000,2020-02-26 10:01AM EST,235.0,9.85,8.20,8.9,-2.61,-20.95%,2,65,43.07,1
11,AMT200228C00237500,2020-02-24 3:45PM EST,237.5,9.61,6.10,6.6,0.0,-,1,12,37.28,1
12,AMT200228C00240000,2020-02-26 12:56PM EST,240.0,4.26,4.10,5.0,-8.02,-65.31%,3,100,38.7,1
13,AMT200228C00242500,2020-02-25 2:06PM EST,242.5,3.67,2.55,3.0,-1.93,-34.46%,2,50,32.08,1
14,AMT200228C00245000,2020-02-26 12:31PM EST,245.0,1.77,1.35,1.8,-2.63,-59.77%,25,246,31.03,1
15,AMT200228C00247500,2020-02-26 12:55PM EST,247.5,0.85,0.75,1.05,-2.45,-74.24%,36,158,31.3,1
16,AMT200228C00250000,2020-02-26 12:03PM EST,250.0,0.48,0.35,0.55,-1.27,-72.57%,12,359,31.1,1
17,AMT200228C00252500,2020-02-26 12:16PM EST,252.5,0.25,0.15,0.3,-0.75,-75.00%,17,297,32.03,1
18,AMT200228C00255000,2020-02-26 12:08PM EST,255.0,0.1,0.05,0.15,-0.75,-88.24%,243,354,32.52,1
19,AMT200228C00257500,2020-02-26 11:51AM EST,257.5,0.02,0.00,0.2,-0.28,-93.33%,28,935,39.84,1
20,AMT200228C00260000,2020-02-26 11:09AM EST,260.0,0.08,0.00,0.05,-0.07,-46.67%,16,191,35.55,1
21,AMT200228C00262500,2020-02-25 3:48PM EST,262.5,0.08,0.00,0.15,-0.12,-60.00%,2,46,47.36,1
22,AMT200228C00265000,2020-02-26 10:03AM EST,265.0,0.13,0.00,0.3,0.08,+160.00%,5,294,51.95,1
23,AMT200228C00267500,2020-02-25 10:53AM EST,267.5,0.08,0.00,0.05,0.0,-,3,23,47.85,1
24,AMT200228C00270000,2020-02-25 9:30AM EST,270.0,0.35,0.00,0.6,0.0,-,11,49,69.14,1
25,AMT200228C00272500,2020-02-18 9:32AM EST,272.5,0.1,0.00,0.5,0.0,-,20,21,71.39,1
26,AMT200228C00275000,2020-02-25 9:39AM EST,275.0,0.05,0.00,0.65,0.0,-,1,10,79.69,1
27,AMT200228C00277500,2020-02-18 5:46PM EST,277.5,0.24,-,2.05,0.0,-,-,1,131.59,1
28,AMT200228C00282500,2020-02-18 9:32AM EST,282.5,0.35,0.00,0.35,0.0,-,-,20,83.98,1
29,AMT200228C00285000,2020-02-18 2:11PM EST,285.0,0.13,0.00,0.2,0.0,-,-,10,81.05,1
0,AMT200306C00200000,2020-02-18 9:32AM EST,200.0,55.0,42.0,44.1,0.0,-,1,1,59.08,8
1,AMT200306C00217500,2020-01-27 1:02PM EST,217.5,21.58,25.3,26.8,0.0,-,-,1,58.84,8
2,AMT200306C00227500,2020-02-03 9:54AM EST,227.5,9.9,16.0,16.7,0.0,-,-,1,40.11,8
3,AMT200306C00230000,2020-02-20 1:18PM EST,230.0,17.85,13.8,14.6,0.0,-,1,5,39.37,8
4,AMT200306C00232500,2020-02-20 10:03AM EST,232.5,16.0,11.6,12.3,0.0,-,1,1,36.19,8
5,AMT200306C00235000,2020-02-24 2:38PM EST,235.0,13.2,9.4,10.0,0.0,-,1,6,32.59,8
6,AMT200306C00237500,2020-02-11 11:36AM EST,237.5,17.7,7.7,8.2,0.0,-,5,7,32.01,8
7,AMT200306C00240000,2020-02-25 9:35AM EST,240.0,14.0,5.9,6.3,0.0,-,6,45,29.69,8
8,AMT200306C00242500,2020-02-12 2:50PM EST,242.5,15.6,4.5,4.8,0.0,-,1,1,28.82,8
9,AMT200306C00245000,2020-02-26 1:02PM EST,245.0,3.6,3.3,3.6,-3.9,-52.00%,10,20,28.5,8
10,AMT200306C00247500,2020-02-26 11:48AM EST,247.5,2.65,2.3,2.5,-0.85,-24.29%,2,13,27.42,8
11,AMT200306C00250000,2020-02-26 10:16AM EST,250.0,2.5,1.55,1.85,-2.27,-47.59%,21,30,28.02,8
12,AMT200306C00252500,2020-02-26 12:42PM EST,252.5,1.0,1.0,1.25,-2.0,-66.67%,37,71,27.69,8
13,AMT200306C00255000,2020-02-26 12:52PM EST,255.0,0.7,0.6,0.9,-1.2,-63.16%,8,100,28.32,8
14,AMT200306C00257500,2020-02-26 11:42AM EST,257.5,0.6,0.35,0.6,-0.58,-49.15%,17,27,28.39,8
15,AMT200306C00260000,2020-02-26 9:30AM EST,260.0,0.32,0.2,0.4,-0.51,-61.45%,43,102,28.61,8
16,AMT200306C00262500,2020-02-26 12:33PM EST,262.5,0.26,0.1,0.3,-0.34,-56.67%,15,25,29.69,8
17,AMT200306C00265000,2020-02-25 12:54PM EST,265.0,0.45,0.05,0.25,0.0,-,3,24,31.3,8
18,AMT200306C00267500,2020-02-25 10:20AM EST,267.5,0.35,0.0,0.2,0.0,-,2,2,32.57,8
19,AMT200306C00270000,2020-02-25 2:26PM EST,270.0,0.1,0.0,0.25,0.0,-,25,21,36.57,8
20,AMT200306C00272500,2020-02-18 9:30AM EST,272.5,0.67,0.0,0.15,0.0,-,-,1,35.79,8
21,AMT200306C00290000,2020-02-24 2:03PM EST,290.0,0.1,0.0,0.15,0.0,-,-,2,51.27,8
0,AMT200313C00200000,2020-02-10 11:28AM EST,200.0,41.6,42.3,44.6,0.0,-,1,0,55.62,15
1,AMT200313C00210000,2020-02-06 9:47AM EST,210.0,28.5,32.7,35.0,0.0,-,-,0,62.12,15
2,AMT200313C00225000,2020-02-21 10:11AM EST,225.0,24.0,18.8,19.9,0.0,-,4,10,39.69,15
3,AMT200313C00227500,2020-02-24 11:05AM EST,227.5,21.14,16.5,17.4,0.0,-,1,1,35.99,15
4,AMT200313C00235000,2020-02-14 1:35PM EST,235.0,23.18,10.3,11.0,0.0,-,5,10,30.66,15
5,AMT200313C00237500,2020-01-31 3:17PM EST,237.5,4.45,8.5,9.1,0.0,-,1,1,29.24,15
6,AMT200313C00240000,2020-02-24 3:59PM EST,240.0,10.32,6.8,7.5,0.32,+3.20%,1,4,28.68,15
7,AMT200313C00242500,2020-02-11 9:44AM EST,242.5,14.0,5.5,5.9,0.0,-,-,2,27.37,15
8,AMT200313C00245000,2020-02-26 1:04PM EST,245.0,4.6,4.2,4.8,-1.3,-22.03%,7,30,27.65,15
9,AMT200313C00247500,2020-02-25 9:47AM EST,247.5,3.79,3.2,3.7,-4.2,-52.57%,7,76,27.11,15
