,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AMT200228P00190000,2020-02-12 1:16PM EST,190.0,0.06,-,0.7,0.0,-,1,1,166.21,1
1,AMT200228P00195000,2020-01-14 9:45AM EST,195.0,0.25,0.05,0.15,0.0,-,-,0,109.18,1
2,AMT200228P00200000,2020-02-03 11:22AM EST,200.0,0.38,0.00,0.9,0.0,-,1,1,125.49,1
3,AMT200228P00205000,2020-02-04 9:55AM EST,205.0,0.25,0.00,0.95,0.0,-,1,0,113.38,1
4,AMT200228P00210000,2020-02-24 9:34AM EST,210.0,0.01,0.00,1.6,0.0,-,1,20,112.6,1
5,AMT200228P00212500,2020-02-25 2:40PM EST,212.5,0.1,0.00,1.7,0.0,-,2,9,107.03,1
6,AMT200228P00215000,2020-01-21 3:54PM EST,215.0,0.88,0.00,0.0,0.0,-,1,0,25.0,1
7,AMT200228P00217500,2020-02-24 3:55PM EST,217.5,0.2,0.00,0.1,0.0,-,2,3,54.3,1
8,AMT200228P00220000,2020-02-24 2:55PM EST,220.0,0.26,0.00,0.15,0.0,-,106,114,52.34,1
9,AMT200228P00222500,2020-02-25 10:25AM EST,222.5,0.12,0.00,0.25,0.0,-,5,23,51.37,1
10,AMT200228P00225000,2020-02-26 1:07PM EST,225.0,0.05,0.00,0.45,-0.15,-75.00%,1,57,51.17,1
11,AMT200228P00227500,2020-02-26 10:42AM EST,227.5,0.25,0.00,0.2,0.0,-,13,300,44.04,1
12,AMT200228P00230000,2020-02-26 10:06AM EST,230.0,0.1,0.10,0.3,-0.23,-69.70%,6,466,41.7,1
13,AMT200228P00232500,2020-02-26 9:53AM EST,232.5,0.23,0.15,0.45,-0.22,-48.89%,1,174,39.26,1
14,AMT200228P00235000,2020-02-26 11:21AM EST,235.0,0.29,0.30,0.6,-0.21,-42.00%,32,342,35.23,1
15,AMT200228P00237500,2020-02-25 3:45PM EST,237.5,0.77,0.60,1.0,-0.18,-18.95%,2,36,33.77,1
16,AMT200228P00240000,2020-02-26 12:06PM EST,240.0,0.96,1.05,1.5,-0.64,-40.00%,29,124,30.84,1
17,AMT200228P00242500,2020-02-26 12:11PM EST,242.5,2.08,1.90,2.5,-0.37,-15.10%,4,64,30.49,1
18,AMT200228P00245000,2020-02-26 12:08PM EST,245.0,3.37,3.20,3.9,0.12,+3.69%,20,154,30.57,1
19,AMT200228P00247500,2020-02-25 2:32PM EST,247.5,3.58,5.00,5.7,-1.32,-26.94%,1,117,31.42,1
20,AMT200228P00250000,2020-02-25 10:38AM EST,250.0,3.37,7.10,7.8,0.0,-,11,100,33.15,1
21,AMT200228P00252500,2020-02-25 9:52AM EST,252.5,7.1,8.30,10.1,3.67,+107.00%,2,20,35.99,1
22,AMT200228P00255000,2020-02-24 2:14PM EST,255.0,9.3,11.10,12.7,-1.4,-13.08%,14,35,44.68,1
23,AMT200228P00257500,2020-02-24 3:09PM EST,257.5,12.16,13.10,15.9,0.0,-,8,8,65.31,1
24,AMT200228P00270000,2020-02-24 3:44PM EST,270.0,24.71,25.20,27.4,0.0,-,-,2,67.29,1
0,AMT200306P00205000,2020-02-26 12:35PM EST,205.0,0.1,0.0,0.15,-0.2,-66.67%,2,14,50.68,8
1,AMT200306P00207500,2020-02-05 11:48AM EST,207.5,0.53,0.0,0.25,0.0,-,-,1,51.76,8
2,AMT200306P00210000,2020-02-19 10:19AM EST,210.0,0.3,0.1,0.2,0.0,-,1,7,46.58,8
3,AMT200306P00212500,2020-02-07 2:21PM EST,212.5,0.51,0.1,0.25,0.0,-,2,2,45.12,8
4,AMT200306P00215000,2020-02-24 3:44PM EST,215.0,0.45,0.15,0.25,0.0,-,31,11,41.85,8
5,AMT200306P00217500,2020-02-10 1:00PM EST,217.5,0.6,0.2,0.35,0.0,-,10,11,41.21,8
6,AMT200306P00220000,2020-02-24 3:41PM EST,220.0,0.5,0.25,0.4,0.0,-,25,32,38.87,8
7,AMT200306P00222500,2020-02-26 11:28AM EST,222.5,0.25,0.35,0.5,-2.25,-90.00%,37,1,37.21,8
8,AMT200306P00225000,2020-02-20 9:32AM EST,225.0,0.55,0.45,0.6,0.0,-,20,49,35.11,8
9,AMT200306P00227500,2020-02-24 3:15PM EST,227.5,1.09,0.6,0.85,0.0,-,5,10,34.6,8
10,AMT200306P00230000,2020-02-24 3:35PM EST,230.0,1.15,0.85,1.05,0.61,+112.96%,35,19,32.64,8
11,AMT200306P00232500,2020-02-24 3:15PM EST,232.5,1.62,1.1,1.4,0.0,-,6,6,31.53,8
12,AMT200306P00235000,2020-02-26 12:12PM EST,235.0,1.68,1.55,1.9,-0.12,-6.67%,11,17,30.75,8
13,AMT200306P00237500,2020-02-24 3:03PM EST,237.5,2.75,2.1,2.45,0.0,-,2,3,29.3,8
14,AMT200306P00240000,2020-02-26 12:16PM EST,240.0,3.2,2.95,3.3,1.76,+122.22%,7,36,28.78,8
15,AMT200306P00242500,2020-02-25 9:30AM EST,242.5,2.25,3.8,4.3,0.0,-,1,26,27.94,8
16,AMT200306P00245000,2020-02-26 10:59AM EST,245.0,5.46,5.0,5.6,0.36,+7.06%,11,64,27.63,8
17,AMT200306P00247500,2020-02-25 2:36PM EST,247.5,6.9,6.6,7.1,0.0,-,10,30,27.16,8
18,AMT200306P00250000,2020-02-25 2:36PM EST,250.0,8.72,8.2,8.9,0.31,+3.69%,1,22,27.34,8
19,AMT200306P00252500,2020-02-20 9:52AM EST,252.5,7.7,10.0,10.8,0.0,-,1,62,26.91,8
20,AMT200306P00255000,2020-02-19 3:39PM EST,255.0,8.72,11.9,13.0,0.0,-,13,18,27.91,8
21,AMT200306P00257500,2020-02-19 3:30PM EST,257.5,10.56,13.7,15.7,0.0,-,-,0,33.74,8
0,AMT200313P00200000,2020-02-20 10:56AM EST,200.0,0.23,0.05,0.2,0.0,-,1,0,45.7,15
1,AMT200313P00205000,2020-02-11 9:35AM EST,205.0,0.25,0.1,0.4,0.0,-,2,1,46.05,15
2,AMT200313P00207500,2020-02-06 1:37PM EST,207.5,0.5,0.15,0.3,0.0,-,-,5,41.02,15
3,AMT200313P00210000,2020-02-05 11:23AM EST,210.0,0.82,0.15,0.7,0.0,-,-,1,45.83,15
4,AMT200313P00217500,2020-02-05 11:23AM EST,217.5,1.46,0.4,0.55,0.0,-,-,3,34.91,15
5,AMT200313P00220000,2020-02-25 11:23AM EST,220.0,0.6,0.55,0.7,0.0,-,5,6,34.03,15
6,AMT200313P00222500,2020-02-25 2:12PM EST,222.5,1.05,0.6,0.85,0.0,-,26,25,32.74,15
7,AMT200313P00225000,2020-02-26 1:08PM EST,225.0,0.9,0.85,1.05,0.0,-,2,-,31.59,15
8,AMT200313P00227500,2020-02-10 1:02PM EST,227.5,1.8,1.0,1.3,0.0,-,-,1,30.45,15
9,AMT200313P00230000,2020-02-25 9:42AM EST,230.0,1.28,1.35,1.6,0.0,-,28,28,29.21,15
10,AMT200313P00232500,2020-02-26 11:01AM EST,232.5,1.5,1.75,2.3,0.05,+3.45%,148,149,30.01,15
11,AMT200313P00235000,2020-02-20 10:53AM EST,235.0,1.6,2.3,2.65,0.0,-,2,159,27.93,15
12,AMT200313P00237500,2020-02-24 11:05AM EST,237.5,2.75,2.95,3.3,0.0,-,1,7,26.97,15
13,AMT200313P00240000,2020-02-26 11:43AM EST,240.0,3.24,3.8,4.1,0.87,+36.71%,3,14,26.03,15
14,AMT200313P00242500,2020-02-25 3:32PM EST,242.5,4.1,4.7,5.4,0.0,-,100,100,26.7,15
15,AMT200313P00245000,2020-02-26 9:33AM EST,245.0,4.75,5.7,6.6,-0.35,-6.86%,7,131,26.02,15
16,AMT200313P00247500,2020-02-21 3:30PM EST,247.5,5.7,7.1,7.9,0.0,-,2,13,24.92,15
17,AMT200313P00250000,2020-02-19 10:50AM EST,250.0,5.8,8.5,9.6,0.0,-,-,10,24.89,15
18,AMT200313P00252500,2020-02-24 12:32PM EST,252.5,10.5,10.5,11.4,0.0,-,1,44,24.51,15
19,AMT200313P00255000,2020-02-24 12:47PM EST,255.0,10.1,12.6,13.4,0.0,-,5,14,24.45,15
20,AMT200313P00257500,2020-02-18 12:00AM EST,257.5,6.6,14.5,15.5,0.0,-,-,1,24.22,15
21,AMT200313P00262500,2020-02-12 3:41PM EST,262.5,9.8,19.0,20.2,0.0,-,-,100,26.29,15
0,AMT200320P00185000,2020-02-11 12:11PM EST,185.0,0.14,0.0,0.15,0.0,-,3,4,49.32,22
1,AMT200320P00190000,2020-02-19 3:51PM EST,190.0,0.15,0.0,0.25,0.0,-,-,3,48.73,22
2,AMT200320P00195000,2020-02-07 10:32AM EST,195.0,0.23,0.05,0.2,0.0,-,10,12,42.73,22
3,AMT200320P00200000,2020-02-19 1:08PM EST,200.0,0.53,0.1,0.25,0.0,-,3,74,39.89,22
4,AMT200320P00210000,2020-02-26 12:11PM EST,210.0,0.48,0.35,0.5,0.15,+45.45%,1,107,35.79,22
5,AMT200320P00220000,2020-02-26 9:35AM EST,220.0,0.92,0.8,0.95,0.12,+15.00%,11,126,31.08,22
6,AMT200320P00225000,2020-02-25 3:29PM EST,225.0,1.19,1.25,1.45,0.0,-,13,30,29.53,22
