,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ANET200228C00190000,2020-02-10 10:22AM EST,190.0,45.64,14.60,17.5,0.0,-,-,1,86.67,1
1,ANET200228C00195000,2020-02-10 10:44AM EST,195.0,39.3,11.00,12.0,0.0,-,1,1,55.91,1
2,ANET200228C00200000,2020-02-18 10:49AM EST,200.0,24.7,6.90,7.7,0.0,-,13,12,50.59,1
3,ANET200228C00202500,2020-02-25 11:08AM EST,202.5,7.3,5.10,5.7,0.0,-,2,2,46.8,1
4,ANET200228C00205000,2020-02-26 12:21PM EST,205.0,3.6,3.60,4.2,0.1,+2.86%,1,15,47.07,1
5,ANET200228C00207500,2020-02-26 1:00PM EST,207.5,2.6,2.40,2.75,-1.1,-29.73%,20,16,44.19,1
6,ANET200228C00210000,2020-02-26 12:13PM EST,210.0,1.35,1.45,1.75,-0.9,-40.00%,5,21,43.38,1
7,ANET200228C00212500,2020-02-26 10:47AM EST,212.5,0.95,0.70,1.0,-0.54,-36.24%,30,16,41.99,1
8,ANET200228C00215000,2020-02-26 12:16PM EST,215.0,0.32,0.30,0.6,-0.52,-61.90%,51,230,42.73,1
9,ANET200228C00217500,2020-02-26 1:09PM EST,217.5,0.18,0.15,0.25,-0.4,-68.97%,81,116,40.04,1
10,ANET200228C00220000,2020-02-25 2:37PM EST,220.0,0.2,0.05,0.2,0.05,+33.33%,10,140,44.34,1
11,ANET200228C00222500,2020-02-25 2:07PM EST,222.5,0.17,0.00,0.25,0.0,-,80,110,52.73,1
12,ANET200228C00225000,2020-02-26 9:37AM EST,225.0,0.1,0.00,0.1,0.04,+66.67%,1,207,49.61,1
13,ANET200228C00227500,2020-02-25 9:35AM EST,227.5,0.3,0.00,0.1,0.0,-,1,206,54.88,1
14,ANET200228C00230000,2020-02-25 1:52PM EST,230.0,0.1,0.00,0.1,-0.1,-50.00%,3,242,54.1,1
15,ANET200228C00232500,2020-02-24 10:50AM EST,232.5,0.11,0.00,1.95,0.0,-,10,169,103.08,1
16,ANET200228C00235000,2020-02-25 11:53AM EST,235.0,0.03,0.00,0.05,0.0,-,8,215,57.81,1
17,ANET200228C00237500,2020-02-21 10:53AM EST,237.5,0.2,0.00,2.25,0.0,-,8,62,120.41,1
18,ANET200228C00240000,2020-02-24 9:55AM EST,240.0,0.01,0.00,0.05,0.0,-,5,244,66.41,1
19,ANET200228C00242500,2020-02-20 11:11AM EST,242.5,0.16,0.00,1.1,0.0,-,1,20,112.5,1
20,ANET200228C00245000,2020-02-21 11:15AM EST,245.0,0.09,0.00,4.8,0.0,-,1,16,172.17,1
21,ANET200228C00247500,2020-02-13 3:57PM EST,247.5,0.4,0.00,4.4,0.0,-,1,8,174.17,1
22,ANET200228C00250000,2020-02-19 12:54PM EST,250.0,0.1,0.00,0.05,0.0,-,29,57,81.64,1
23,ANET200228C00252500,2020-02-14 10:07AM EST,252.5,0.2,0.00,4.7,0.0,-,1,5,190.58,1
24,ANET200228C00255000,2020-02-14 3:09PM EST,255.0,0.15,0.00,0.3,0.0,-,3,9,111.33,1
25,ANET200228C00257500,2020-02-12 10:11AM EST,257.5,4.2,-,4.8,0.0,-,-,2,255.37,1
26,ANET200228C00260000,2020-02-21 1:59PM EST,260.0,0.08,0.00,2.3,0.0,-,2,10,173.83,1
27,ANET200228C00262500,2020-02-18 12:01AM EST,262.5,0.1,-,2.35,0.0,-,-,1,214.8,1
28,ANET200228C00265000,2020-02-13 3:52PM EST,265.0,0.16,0.00,4.8,0.0,-,1,14,221.88,1
