,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ANSS200320C00240000,2020-02-25 2:49PM EST,240.0,32.0,32.00,34.2,0.0,-,2,2,55.06,22
1,ANSS200320C00250000,2020-02-25 3:47PM EST,250.0,27.5,23.20,25.3,5.0,+22.22%,1,3,48.0,22
2,ANSS200320C00260000,2020-02-21 10:55AM EST,260.0,31.81,16.70,17.5,0.0,-,2,3,43.24,22
3,ANSS200320C00270000,2020-02-26 12:58PM EST,270.0,10.8,10.50,11.3,0.4,+3.85%,16,17,40.61,22
4,ANSS200320C00280000,2020-02-26 12:33PM EST,280.0,6.8,6.30,6.7,-0.3,-4.23%,9,41,38.82,22
5,ANSS200320C00290000,2020-02-26 1:03PM EST,290.0,3.57,3.40,3.8,-1.56,-30.41%,15,50,38.36,22
6,ANSS200320C00300000,2020-02-26 1:03PM EST,300.0,1.84,1.65,1.95,-0.46,-20.00%,35,106,37.7,22
7,ANSS200320C00310000,2020-02-26 12:23PM EST,310.0,0.95,0.85,1.05,-0.15,-13.64%,15,64,38.38,22
8,ANSS200320C00320000,2020-02-26 12:13PM EST,320.0,0.45,0.35,0.6,0.0,-,1,181,39.72,22
9,ANSS200320C00330000,2020-02-26 11:38AM EST,330.0,0.26,0.20,0.35,-0.24,-48.00%,20,28,41.11,22
10,ANSS200320C00340000,2020-02-19 3:54PM EST,340.0,0.55,0.00,4.8,0.0,-,1,3,68.71,22
11,ANSS200320C00350000,2020-02-24 10:51AM EST,350.0,0.05,0.00,4.9,0.0,-,1,1,75.15,22
12,ANSS200320C00360000,2020-02-12 9:37AM EST,360.0,0.14,-,4.9,0.0,-,-,1,97.89,22
13,ANSS200320C00380000,2020-02-24 12:09AM EST,380.0,1.0,-,4.9,0.0,-,-,1,109.74,22
2,ANSS200417C00145000,2020-02-19 1:16PM EST,145.0,150.0,123.3,127.9,0.0,-,1,1,80.03,50
5,ANSS200417C00200000,2020-01-02 11:19AM EST,200.0,61.0,73.5,78.4,0.0,-,1,0,79.65,50
6,ANSS200417C00210000,2020-01-27 3:39PM EST,210.0,62.9,60.2,64.3,0.0,-,1,3,51.23,50
7,ANSS200417C00220000,2020-02-05 9:45AM EST,220.0,69.44,50.5,54.7,0.0,-,2,13,56.07,50
8,ANSS200417C00230000,2020-02-14 10:56AM EST,230.0,42.5,42.7,44.0,0.0,-,1,24,44.76,50
9,ANSS200417C00240000,2020-02-25 12:07PM EST,240.0,37.73,34.0,36.1,0.0,-,1,138,44.1,50
10,ANSS200417C00250000,2020-02-26 9:53AM EST,250.0,28.6,26.4,27.3,-4.1,-12.54%,2,32,38.66,50
11,ANSS200417C00260000,2020-02-25 2:01PM EST,260.0,20.0,19.3,20.5,0.0,-,1,43,37.27,50
12,ANSS200417C00270000,2020-02-26 10:26AM EST,270.0,15.7,13.8,14.3,2.8,+21.71%,2,77,34.97,50
13,ANSS200417C00280000,2020-02-26 11:50AM EST,280.0,10.1,9.3,9.8,0.53,+5.54%,1,36,34.25,50
14,ANSS200417C00290000,2020-02-25 2:41PM EST,290.0,5.8,6.0,6.3,0.0,-,32,28,33.33,50
15,ANSS200417C00300000,2020-02-25 3:34PM EST,300.0,4.45,3.6,4.0,0.92,+26.06%,2,44,33.13,50
16,ANSS200417C00310000,2020-02-25 10:18AM EST,310.0,3.0,2.15,2.5,0.0,-,7,17,33.2,50
17,ANSS200417C00320000,2020-02-24 3:27PM EST,320.0,2.2,1.3,1.5,0.0,-,1,8,33.19,50
18,ANSS200417C00330000,2020-02-24 11:30AM EST,330.0,1.2,0.7,0.95,0.0,-,7,8,33.78,50
19,ANSS200417C00340000,2020-02-25 10:19AM EST,340.0,0.75,0.35,1.35,0.0,-,14,14,40.55,50
20,ANSS200417C00350000,2020-02-25 11:05AM EST,350.0,0.45,0.0,4.4,0.0,-,1,0,60.14,50
0,ANSS200717C00165000,2020-02-24 1:20PM EST,165.0,113.0,105.0,109.9,0.0,-,5,10,54.02,141
1,ANSS200717C00180000,2020-01-14 10:07AM EST,180.0,85.25,111.5,116.5,0.0,-,-,10,106.78,141
2,ANSS200717C00200000,2020-01-06 2:52PM EST,200.0,59.13,85.7,90.4,0.0,-,1,1,76.98,141
4,ANSS200717C00220000,2020-01-24 2:26PM EST,220.0,60.85,69.4,73.3,0.0,-,1,0,68.62,141
5,ANSS200717C00230000,2019-12-27 2:20PM EST,230.0,38.5,49.3,51.9,0.0,-,1,2,43.82,141
6,ANSS200717C00240000,2020-02-24 3:50PM EST,240.0,47.61,39.3,40.7,0.0,-,1,8,35.37,141
7,ANSS200717C00250000,2020-02-18 10:36AM EST,250.0,47.0,32.0,34.0,0.0,-,5,17,34.71,141
8,ANSS200717C00260000,2020-02-12 3:40PM EST,260.0,41.26,26.0,27.8,0.0,-,1,96,33.82,141
9,ANSS200717C00270000,2020-02-26 10:24AM EST,270.0,22.8,20.8,21.9,1.86,+8.88%,4,13,32.4,141
10,ANSS200717C00280000,2020-02-26 11:11AM EST,280.0,18.0,15.7,17.0,1.9,+11.80%,140,41,31.43,141
11,ANSS200717C00290000,2020-02-26 12:32PM EST,290.0,12.78,12.3,12.9,0.18,+1.43%,5,44,30.6,141
12,ANSS200717C00300000,2020-02-26 12:39PM EST,300.0,9.5,9.0,9.5,-7.65,-44.61%,40,110,29.78,141
13,ANSS200717C00310000,2020-02-24 12:31PM EST,310.0,8.29,6.7,7.3,0.0,-,1,3,29.94,141
14,ANSS200717C00320000,2020-02-18 3:54PM EST,320.0,8.6,4.4,5.3,0.0,-,6,16,29.55,141
15,ANSS200717C00330000,2020-01-14 11:38AM EST,330.0,1.9,6.4,6.9,0.0,-,-,1,36.03,141
16,ANSS200717C00340000,2020-02-25 3:55PM EST,340.0,2.55,2.6,2.85,0.0,-,15,26,29.49,141
