,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ANTM200228C00210000,2020-02-20 3:49PM EST,210.0,84.32,56.15,60.25,0.0,-,-,1,175.1,1
1,ANTM200228C00235000,2020-02-14 3:35PM EST,235.0,61.66,32.05,35.4,0.0,-,-,2,119.73,1
2,ANTM200228C00240000,2020-02-26 11:40AM EST,240.0,29.7,26.25,30.1,3.75,+14.45%,1,4,93.02,1
3,ANTM200228C00245000,2020-02-25 3:01PM EST,245.0,23.05,23.05,25.55,0.0,-,4,4,100.93,1
4,ANTM200228C00247500,2020-02-25 2:55PM EST,247.5,20.45,20.7,22.8,0.0,-,5,0,92.29,1
5,ANTM200228C00250000,2020-02-25 2:56PM EST,250.0,18.25,18.75,19.4,0.0,-,5,5,81.64,1
6,ANTM200228C00252500,2020-02-25 3:01PM EST,252.5,16.6,16.4,17.0,0.0,-,9,8,75.66,1
7,ANTM200228C00255000,2020-02-25 12:01PM EST,255.0,13.7,14.3,15.0,-5.3,-27.89%,1,4,73.73,1
8,ANTM200228C00257500,2020-02-26 12:44PM EST,257.5,12.15,12.15,13.2,0.65,+5.65%,3,50,71.63,1
9,ANTM200228C00260000,2020-02-25 1:12PM EST,260.0,12.2,10.3,10.55,2.7,+28.42%,15,14,65.19,1
10,ANTM200228C00262500,2020-02-25 2:56PM EST,262.5,11.25,8.45,8.85,2.85,+33.93%,1,11,63.16,1
11,ANTM200228C00265000,2020-02-25 2:49PM EST,265.0,8.2,6.7,7.1,1.55,+23.31%,13,25,59.94,1
12,ANTM200228C00267500,2020-02-26 12:12PM EST,267.5,4.9,5.25,5.55,-0.45,-8.41%,42,8,57.69,1
13,ANTM200228C00270000,2020-02-26 1:10PM EST,270.0,4.05,3.95,4.2,0.35,+9.46%,12,18,55.44,1
14,ANTM200228C00272500,2020-02-26 12:55PM EST,272.5,2.99,2.75,3.05,-0.22,-6.85%,3,10,52.69,1
15,ANTM200228C00275000,2020-02-26 12:15PM EST,275.0,1.75,1.93,2.35,-0.85,-32.69%,17,48,52.47,1
16,ANTM200228C00277500,2020-02-26 12:56PM EST,277.5,1.4,1.29,1.49,-0.04,-2.78%,6,101,50.1,1
17,ANTM200228C00280000,2020-02-26 12:59PM EST,280.0,0.96,0.86,1.0,0.07,+7.87%,19,78,50.66,1
18,ANTM200228C00282500,2020-02-25 2:55PM EST,282.5,0.5,0.53,0.66,-0.31,-38.27%,25,54,50.17,1
19,ANTM200228C00285000,2020-02-26 12:20PM EST,285.0,0.33,0.31,0.43,-0.16,-32.65%,5,61,49.95,1
20,ANTM200228C00287500,2020-02-26 10:11AM EST,287.5,0.35,0.19,0.28,0.03,+9.38%,56,62,50.1,1
21,ANTM200228C00290000,2020-02-26 11:26AM EST,290.0,0.18,0.0,0.21,-0.26,-59.09%,51,79,51.66,1
22,ANTM200228C00292500,2020-02-26 12:13PM EST,292.5,0.15,0.05,0.12,-0.2,-57.14%,9,96,50.88,1
23,ANTM200228C00295000,2020-02-25 3:27PM EST,295.0,0.07,0.0,0.13,0.0,-,11,96,50.0,1
24,ANTM200228C00297500,2020-02-24 3:18PM EST,297.5,0.39,0.05,0.24,0.0,-,62,113,60.55,1
25,ANTM200228C00300000,2020-02-25 2:04PM EST,300.0,0.08,0.0,0.33,0.0,-,17,128,65.72,1
26,ANTM200228C00302500,2020-02-25 2:22PM EST,302.5,0.03,0.0,0.26,0.0,-,2,321,66.99,1
27,ANTM200228C00305000,2020-02-25 12:33PM EST,305.0,0.05,0.0,0.08,0.03,+150.00%,1,296,60.55,1
28,ANTM200228C00307500,2020-02-25 10:26AM EST,307.5,0.01,0.0,0.07,0.0,-,2,45,62.5,1
29,ANTM200228C00310000,2020-02-24 2:53PM EST,310.0,0.1,0.0,0.05,0.07,+233.33%,10,432,63.28,1
30,ANTM200228C00312500,2020-02-25 12:23PM EST,312.5,0.06,0.0,0.06,0.0,-,2,357,67.97,1
31,ANTM200228C00315000,2020-02-24 9:31AM EST,315.0,0.1,0.0,0.8,0.0,-,1,18,101.95,1
32,ANTM200228C00317500,2020-02-25 1:20PM EST,317.5,0.06,0.0,0.16,0.0,-,2,27,82.81,1
33,ANTM200228C00320000,2020-02-24 9:54AM EST,320.0,0.04,0.0,0.32,0.0,-,1,36,94.63,1
34,ANTM200228C00322500,2020-02-25 12:23PM EST,322.5,0.15,0.0,1.73,0.0,-,2,7,131.93,1
35,ANTM200228C00325000,2020-01-15 1:41PM EST,325.0,0.38,0.0,0.17,0.0,-,-,7,92.97,1
36,ANTM200228C00327500,2020-02-19 3:45PM EST,327.5,0.24,0.0,1.64,0.0,-,-,13,138.57,1
37,ANTM200228C00330000,2020-02-19 3:48PM EST,330.0,0.05,0.0,0.14,0.0,-,1,6,96.88,1
38,ANTM200228C00332500,2020-01-28 2:23PM EST,332.5,0.62,0.0,2.02,0.0,-,-,2,152.98,1
39,ANTM200228C00335000,2020-02-19 3:55PM EST,335.0,0.09,0.0,0.38,0.0,-,-,54,117.38,1
40,ANTM200228C00340000,2020-01-22 9:50AM EST,340.0,0.48,0.0,0.0,0.0,-,-,0,50.0,1
41,ANTM200228C00345000,2020-01-15 3:05PM EST,345.0,0.5,0.0,0.05,0.0,-,-,10,102.34,1
42,ANTM200228C00350000,2020-02-12 10:37AM EST,350.0,0.07,0.0,0.08,0.0,-,1,13,112.89,1
0,ANTM200306C00230000,2020-01-31 10:22AM EST,230.0,40.0,37.45,40.0,0.0,-,1,0,73.46,8
1,ANTM200306C00235000,2020-02-25 3:00PM EST,235.0,33.7,34.15,35.2,0.0,-,1,0,76.05,8
2,ANTM200306C00240000,2020-01-30 10:02AM EST,240.0,30.98,29.35,30.8,0.0,-,-,1,71.12,8
3,ANTM200306C00247500,2020-02-25 3:28PM EST,247.5,22.25,23.4,24.25,0.0,-,10,0,67.26,8
4,ANTM200306C00260000,2020-02-04 11:27AM EST,260.0,19.0,13.45,15.2,0.0,-,5,7,59.58,8
5,ANTM200306C00262500,2020-02-12 1:32PM EST,262.5,13.45,12.75,13.35,-17.95,-57.17%,11,13,60.46,8
6,ANTM200306C00265000,2020-02-25 9:48AM EST,265.0,15.3,11.15,11.6,0.0,-,2,4,58.47,8
7,ANTM200306C00267500,2020-02-26 10:55AM EST,267.5,10.9,9.6,11.15,1.5,+15.96%,5,6,59.81,8
8,ANTM200306C00270000,2020-02-26 11:51AM EST,270.0,8.65,8.55,9.25,-5.25,-37.77%,11,23,57.91,8
9,ANTM200306C00272500,2020-02-26 11:01AM EST,272.5,7.95,7.4,8.1,-2.12,-21.05%,5,21,57.31,8
10,ANTM200306C00275000,2020-02-26 10:55AM EST,275.0,7.1,6.25,6.75,0.64,+9.91%,22,41,55.55,8
11,ANTM200306C00277500,2020-02-26 9:30AM EST,277.5,6.02,5.4,5.8,1.42,+30.87%,33,15,55.26,8
12,ANTM200306C00280000,2020-02-25 3:25PM EST,280.0,6.31,4.45,5.0,1.9,+43.08%,12,20,54.54,8
13,ANTM200306C00282500,2020-02-25 1:13PM EST,282.5,5.38,3.7,4.8,1.61,+42.71%,10,30,55.86,8
14,ANTM200306C00285000,2020-02-26 9:41AM EST,285.0,5.0,2.97,3.95,-0.75,-13.04%,2,29,54.57,8
15,ANTM200306C00287500,2020-02-25 10:28AM EST,287.5,3.0,2.38,2.94,0.0,-,3,11,52.42,8
16,ANTM200306C00290000,2020-02-26 10:48AM EST,290.0,2.41,2.11,2.55,-0.38,-13.62%,4,522,53.31,8
17,ANTM200306C00292500,2020-02-25 10:01AM EST,292.5,1.82,1.58,2.71,-0.84,-31.58%,3,19,55.1,8
18,ANTM200306C00295000,2020-02-26 10:04AM EST,295.0,1.43,1.27,1.65,-0.03,-2.05%,2,144,51.66,8
19,ANTM200306C00297500,2020-02-25 3:38PM EST,297.5,1.72,0.9,1.74,0.72,+72.00%,2,38,53.1,8
20,ANTM200306C00300000,2020-02-26 11:35AM EST,300.0,0.96,0.85,1.1,-0.35,-26.72%,7,23,51.66,8
21,ANTM200306C00302500,2020-02-25 12:39PM EST,302.5,0.66,0.45,1.28,0.0,-,2,95,52.78,8
22,ANTM200306C00305000,2020-02-24 3:32PM EST,305.0,1.26,0.34,0.9,0.0,-,107,113,51.37,8
23,ANTM200306C00307500,2020-02-25 12:23PM EST,307.5,0.41,0.24,0.9,0.0,-,3,3,52.83,8
24,ANTM200306C00310000,2020-02-25 1:20PM EST,310.0,0.25,0.05,1.1,0.0,-,1,10,55.27,8
25,ANTM200306C00312500,2020-02-20 2:09PM EST,312.5,1.96,0.03,1.18,0.0,-,3,25,58.2,8
26,ANTM200306C00315000,2020-02-24 10:17AM EST,315.0,0.62,0.02,0.49,0.0,-,1,1,51.66,8
27,ANTM200306C00317500,2020-02-20 2:09PM EST,317.5,1.2,0.01,0.71,0.0,-,1,5,56.93,8
28,ANTM200306C00320000,2020-02-26 11:35AM EST,320.0,0.1,0.01,0.25,-0.02,-16.67%,1,11,50.29,8
29,ANTM200306C00322500,2020-02-25 12:23PM EST,322.5,0.22,0.0,0.17,0.0,-,3,3,54.2,8
30,ANTM200306C00325000,2020-02-26 11:35AM EST,325.0,0.07,0.0,0.63,0.0,-,1,2,61.67,8
31,ANTM200306C00330000,2020-02-19 11:37AM EST,330.0,0.41,0.0,0.16,0.0,-,1,2,53.91,8
32,ANTM200306C00345000,2020-02-12 3:59PM EST,345.0,0.16,0.0,0.25,0.0,-,1,1,67.29,8
0,ANTM200313C00240000,2020-02-12 3:07PM EST,240.0,55.59,30.4,32.6,0.0,-,10,10,63.87,15
1,ANTM200313C00250000,2020-02-25 6:55PM EST,250.0,22.55,22.2,23.7,0.0,-,-,1,56.48,15
2,ANTM200313C00255000,2020-02-03 1:25PM EST,255.0,17.45,18.3,21.15,0.0,-,-,2,56.75,15
3,ANTM200313C00257500,2020-02-12 9:36AM EST,257.5,34.29,16.9,18.05,0.0,-,2,2,53.37,15
4,ANTM200313C00260000,2020-02-12 3:17PM EST,260.0,37.57,15.15,16.5,0.0,-,2,1,52.54,15
5,ANTM200313C00262500,2020-02-03 3:31PM EST,262.5,14.05,13.7,16.2,0.0,-,-,2,54.82,15
6,ANTM200313C00265000,2020-02-03 3:31PM EST,265.0,12.6,12.05,13.8,0.0,-,-,3,51.64,15
7,ANTM200313C00267500,2020-02-12 9:54AM EST,267.5,26.18,9.9,11.85,0.0,-,2,2,52.29,15
8,ANTM200313C00270000,2020-02-26 11:01AM EST,270.0,10.54,9.6,10.6,-0.29,-2.68%,3,8,51.82,15
9,ANTM200313C00272500,2020-02-25 1:11PM EST,272.5,8.63,8.45,10.8,0.0,-,1,1,52.19,15
10,ANTM200313C00275000,2020-02-25 2:19PM EST,275.0,6.95,7.25,8.2,0.0,-,5,2,50.21,15
11,ANTM200313C00277500,2020-02-25 10:23AM EST,277.5,8.58,6.4,7.15,0.0,-,1,2,49.51,15
12,ANTM200313C00280000,2020-02-25 2:19PM EST,280.0,5.25,5.15,6.3,0.0,-,4,5,49.34,15
13,ANTM200313C00282500,2020-02-04 10:27AM EST,282.5,7.6,4.5,5.5,0.0,-,-,3,49.05,15
14,ANTM200313C00285000,2020-02-25 1:40PM EST,285.0,3.47,3.85,4.7,0.0,-,2,6,48.38,15
15,ANTM200313C00287500,2020-02-25 3:29PM EST,287.5,3.1,3.3,4.05,0.0,-,40,173,48.07,15
16,ANTM200313C00290000,2020-02-25 3:16PM EST,290.0,3.0,2.58,3.6,0.0,-,11,1,48.52,15
17,ANTM200313C00292500,2020-02-12 3:39PM EST,292.5,11.9,2.27,2.91,0.0,-,1,3,47.21,15
18,ANTM200313C00295000,2020-02-13 11:11AM EST,295.0,11.78,1.43,2.42,0.0,-,6,33,46.66,15
19,ANTM200313C00297500,2020-02-18 9:48AM EST,297.5,13.15,1.55,2.77,0.0,-,5,8,51.51,15
20,ANTM200313C00300000,2020-02-24 9:31AM EST,300.0,2.89,1.26,1.7,0.0,-,1,33,46.17,15
21,ANTM200313C00302500,2020-02-12 3:45PM EST,302.5,7.15,1.01,1.83,0.0,-,1,1,49.48,15
22,ANTM200313C00307500,2020-02-20 12:08PM EST,307.5,3.7,0.64,1.35,0.0,-,4,6,49.56,15
23,ANTM200313C00310000,2020-02-14 11:46AM EST,310.0,4.6,0.51,1.69,0.0,-,1,12,54.8,15
24,ANTM200313C00312500,2020-02-21 2:32PM EST,312.5,2.69,0.3,1.53,0.0,-,1,0,55.37,15
25,ANTM200313C00315000,2020-02-24 2:55PM EST,315.0,0.66,0.07,1.41,0.0,-,7,9,56.2,15
26,ANTM200313C00320000,2020-02-21 2:32PM EST,320.0,1.4,0.04,0.83,0.0,-,2,5,53.17,15
27,ANTM200313C00322500,2020-02-25 1:47PM EST,322.5,0.15,0.05,0.76,0.0,-,30,14,53.93,15
28,ANTM200313C00325000,2020-02-21 11:38AM EST,325.0,0.8,0.0,0.84,0.0,-,2,2,56.81,15
1,ANTM200320C00190000,2020-02-13 10:19AM EST,190.0,106.85,76.30,80.2,0.0,-,1,4,83.03,22
2,ANTM200320C00200000,2020-02-19 11:47AM EST,200.0,101.3,66.35,70.85,0.0,-,15,26,77.25,22
3,ANTM200320C00210000,2020-01-17 3:10PM EST,210.0,94.91,88.55,93.05,0.0,-,3,5,241.75,22
4,ANTM200320C00220000,2019-11-01 9:08AM EST,220.0,58.27,66.20,69.3,0.0,-,4,3,161.45,22
5,ANTM200320C00230000,2020-02-25 2:55PM EST,230.0,39.35,40.10,40.75,0.0,-,1,8,59.66,22
6,ANTM200320C00235000,2020-02-25 2:56PM EST,235.0,35.05,35.05,36.2,0.0,-,1,1,54.99,22
7,ANTM200320C00240000,2020-02-25 2:57PM EST,240.0,30.55,31.25,31.9,0.0,-,5,27,54.14,22
8,ANTM200320C00245000,2020-02-25 6:55PM EST,245.0,27.05,27.15,27.85,0.0,-,-,4,52.26,22
9,ANTM200320C00250000,2020-02-12 10:40AM EST,250.0,45.46,23.30,23.95,0.0,-,3,67,50.48,22
10,ANTM200320C00255000,2020-02-25 6:55PM EST,255.0,19.6,19.05,20.25,0.0,-,-,5,49.87,22
11,ANTM200320C00260000,2020-02-26 12:19PM EST,260.0,16.75,16.25,16.95,0.71,+4.43%,5,543,48.51,22
12,ANTM200320C00270000,2020-02-26 1:07PM EST,270.0,10.8,10.55,11.15,0.2,+1.89%,27,173,45.62,22
13,ANTM200320C00272500,2020-02-25 11:11AM EST,272.5,10.45,9.25,10.55,0.0,-,24,24,47.33,22
14,ANTM200320C00275000,2020-02-26 11:38AM EST,275.0,8.97,8.25,8.8,1.08,+13.69%,1,105,44.5,22
15,ANTM200320C00280000,2020-02-25 1:50PM EST,280.0,6.63,6.20,6.75,0.0,-,3,752,43.3,22
16,ANTM200320C00282500,2020-02-25 3:25PM EST,282.5,5.19,5.40,5.9,0.0,-,1,7,42.91,22
17,ANTM200320C00285000,2020-02-26 11:20AM EST,285.0,4.99,4.65,5.05,0.24,+5.05%,2,8,42.21,22
18,ANTM200320C00287500,2020-02-25 11:24AM EST,287.5,4.12,3.95,4.35,0.0,-,1,51,41.81,22
19,ANTM200320C00290000,2020-02-26 9:56AM EST,290.0,4.42,3.35,3.65,0.71,+19.14%,4,453,41.08,22
20,ANTM200320C00292500,2020-02-24 1:38PM EST,292.5,5.4,2.72,3.15,0.0,-,-,9,40.97,22
21,ANTM200320C00295000,2020-02-25 3:21PM EST,295.0,2.55,2.37,2.67,0.0,-,50,50,40.66,22
22,ANTM200320C00297500,2020-02-25 1:38PM EST,297.5,2.03,1.98,2.43,0.28,+16.00%,1,4,41.42,22
23,ANTM200320C00300000,2020-02-26 11:52AM EST,300.0,1.82,1.63,1.85,0.09,+5.20%,12,2254,39.86,22
24,ANTM200320C00302500,2020-02-25 12:45PM EST,302.5,1.4,1.37,1.59,0.26,+22.81%,1,10,39.97,22
25,ANTM200320C00305000,2020-02-26 10:39AM EST,305.0,1.25,1.10,1.26,0.07,+5.93%,2,14,39.25,22
26,ANTM200320C00307500,2020-02-25 1:58PM EST,307.5,0.75,0.91,1.08,0.0,-,20,20,39.42,22
27,ANTM200320C00310000,2020-02-26 12:43PM EST,310.0,0.9,0.72,0.86,0.24,+36.36%,134,2097,38.94,22
28,ANTM200320C00312500,2020-02-25 10:29AM EST,312.5,0.66,0.57,0.72,0.0,-,2,2,38.97,22
29,ANTM200320C00315000,2020-02-25 2:31PM EST,315.0,0.8,0.49,0.61,0.0,-,2,1,39.11,22
30,ANTM200320C00320000,2020-02-26 11:20AM EST,320.0,0.37,0.33,0.4,-0.04,-9.76%,21,3257,38.82,22
31,ANTM200320C00330000,2020-02-26 10:39AM EST,330.0,0.17,0.10,0.24,-0.24,-58.54%,20,931,40.53,22
32,ANTM200320C00340000,2020-02-25 10:05AM EST,340.0,0.09,0.00,0.17,0.0,-,1,132,43.07,22
33,ANTM200320C00350000,2020-02-25 12:36PM EST,350.0,0.04,0.00,0.2,0.0,-,1,121,48.49,22
34,ANTM200320C00360000,2020-02-12 11:06AM EST,360.0,0.15,0.00,0.21,0.0,-,1,6,53.03,22
35,ANTM200320C00370000,2019-11-18 9:32AM EST,370.0,1.31,0.39,0.81,0.0,-,10,13,66.97,22
36,ANTM200320C00380000,2019-11-21 9:49AM EST,380.0,0.3,0.11,0.55,0.0,-,2,0,65.04,22
37,ANTM200320C00430000,2020-02-12 10:28AM EST,430.0,0.05,-,0.09,0.0,-,-,10,71.29,22
0,ANTM200327C00240000,2020-02-12 10:43AM EST,240.0,53.94,31.65,33.2,0.0,-,-,1,51.45,29
1,ANTM200327C00245000,2020-02-25 6:56PM EST,245.0,27.7,27.7,29.9,0.0,-,-,1,51.26,29
2,ANTM200327C00250000,2020-02-25 3:01PM EST,250.0,24.15,23.9,25.45,0.0,-,2,2,51.24,29
3,ANTM200327C00255000,2020-02-13 12:13PM EST,255.0,45.62,19.45,21.7,0.0,-,-,2,48.96,29
4,ANTM200327C00260000,2020-02-13 1:22PM EST,260.0,41.3,17.25,18.6,0.0,-,-,2,48.19,29
5,ANTM200327C00267500,2020-02-13 12:28PM EST,267.5,34.56,12.95,14.1,0.0,-,-,1,45.97,29
6,ANTM200327C00270000,2020-02-26 11:34AM EST,270.0,12.59,11.8,13.3,-20.08,-61.46%,1,1,47.06,29
7,ANTM200327C00272500,2020-02-24 11:05AM EST,272.5,15.45,10.45,12.15,0.0,-,-,1,46.81,29
8,ANTM200327C00275000,2020-02-25 12:02PM EST,275.0,10.58,9.35,10.3,0.0,-,2,1,44.06,29
9,ANTM200327C00277500,2020-02-13 11:05AM EST,277.5,25.0,7.6,9.4,0.0,-,-,1,44.17,29
10,ANTM200327C00280000,2020-02-25 2:58PM EST,280.0,5.96,6.8,8.4,0.0,-,1,5,43.71,29
11,ANTM200327C00282500,2020-02-19 11:55AM EST,282.5,23.51,6.45,8.2,0.0,-,-,4,45.78,29
12,ANTM200327C00285000,2020-02-25 12:02PM EST,285.0,6.28,5.6,6.6,0.0,-,4,2,42.79,29
13,ANTM200327C00290000,2020-02-25 1:46PM EST,290.0,5.4,4.2,5.05,1.74,+47.54%,3,34,41.77,29
14,ANTM200327C00292500,2020-02-12 3:17PM EST,292.5,13.85,3.1,5.0,0.0,-,-,-,43.79,29
15,ANTM200327C00295000,2020-02-12 9:58AM EST,295.0,10.65,3.1,3.85,0.0,-,-,1,41.14,29
16,ANTM200327C00297500,2020-02-12 10:19AM EST,297.5,10.1,2.46,3.65,0.0,-,-,1,42.25,29
17,ANTM200327C00300000,2020-02-26 10:31AM EST,300.0,2.8,1.7,2.84,0.92,+48.94%,2,14,40.33,29
18,ANTM200327C00302500,2020-02-19 12:37PM EST,302.5,10.46,1.9,2.39,0.0,-,-,1,39.8,29
19,ANTM200327C00310000,2020-02-26 10:31AM EST,310.0,1.77,1.12,1.61,0.68,+62.39%,1,180,40.04,29
20,ANTM200327C00312500,2020-02-25 11:32AM EST,312.5,0.95,0.95,1.62,0.0,-,4,55,41.64,29
21,ANTM200327C00315000,2020-02-25 11:32AM EST,315.0,0.88,0.78,1.05,0.0,-,2,67,38.73,29
22,ANTM200327C00317500,2020-02-21 11:23AM EST,317.5,2.67,0.55,0.95,0.0,-,20,27,39.21,29
23,ANTM200327C00320000,2020-02-25 12:06PM EST,320.0,0.67,0.4,1.56,0.0,-,4,4,45.62,29
24,ANTM200327C00325000,2020-02-26 12:32PM EST,325.0,0.52,0.05,1.32,-1.31,-71.58%,1,26,46.51,29
25,ANTM200327C00330000,2020-02-25 12:06PM EST,330.0,0.37,0.07,1.03,0.0,-,4,4,46.53,29
26,ANTM200327C00335000,2020-02-13 3:02PM EST,335.0,1.52,0.05,0.74,0.0,-,-,11,45.85,29
27,ANTM200327C00340000,2020-02-14 11:05AM EST,340.0,0.65,0.01,0.61,0.0,-,-,10,46.46,29
0,ANTM200403C00235000,2020-02-25 1:37PM EST,235.0,36.66,36.55,37.8,0.0,-,4,4,50.58,36
1,ANTM200403C00262500,2020-02-18 3:44PM EST,262.5,41.62,16.5,18.0,0.0,-,3,4,45.72,36
2,ANTM200403C00265000,2020-02-18 3:44PM EST,265.0,39.39,15.1,16.15,0.0,-,-,1,43.99,36
3,ANTM200403C00267500,2020-02-26 9:38AM EST,267.5,16.05,13.25,15.2,3.05,+23.46%,1,3,44.73,36
4,ANTM200403C00275000,2020-02-25 4:00PM EST,275.0,10.5,9.6,11.6,0.0,-,3,10,43.62,36
5,ANTM200403C00280000,2020-02-24 3:28PM EST,280.0,10.0,8.1,8.9,-2.45,-19.68%,1,9,41.0,36
6,ANTM200403C00287500,2020-02-25 6:56PM EST,287.5,7.3,5.75,6.35,0.0,-,-,1,40.05,36
7,ANTM200403C00290000,2020-02-25 3:21PM EST,290.0,5.28,4.9,6.2,0.0,-,1,1,41.68,36
8,ANTM200403C00295000,2020-02-21 9:46AM EST,295.0,9.03,3.6,4.3,0.0,-,2,2,38.89,36
9,ANTM200403C00297500,2020-02-21 12:28PM EST,297.5,9.94,3.3,3.9,0.0,-,5,15,39.16,36
10,ANTM200403C00300000,2020-02-25 3:21PM EST,300.0,3.3,2.76,3.3,0.0,-,3,27,38.44,36
11,ANTM200403C00302500,2020-02-24 1:52PM EST,302.5,4.2,2.36,3.0,0.0,-,4,4,38.79,36
12,ANTM200403C00305000,2020-02-25 10:15AM EST,305.0,2.9,2.02,2.51,0.0,-,2,7,38.1,36
13,ANTM200403C00307500,2020-02-19 9:31AM EST,307.5,9.15,1.71,2.24,0.0,-,-,10,38.26,36
14,ANTM200403C00310000,2020-02-19 9:48AM EST,310.0,7.77,1.42,2.23,0.0,-,2,3,39.69,36
15,ANTM200403C00312500,2020-02-21 12:28PM EST,312.5,4.22,1.17,1.71,0.0,-,5,5,38.16,36
16,ANTM200403C00315000,2020-02-25 11:18AM EST,315.0,1.0,0.99,1.55,0.0,-,10,526,38.51,36
17,ANTM200403C00325000,2020-02-24 3:11PM EST,325.0,0.74,0.39,1.4,0.0,-,10,10,42.6,36
18,ANTM200403C00327500,2020-02-25 12:03PM EST,327.5,0.52,0.52,1.35,0.0,-,6,6,43.46,36
19,ANTM200403C00350000,2020-02-20 2:43PM EST,350.0,0.05,0.0,0.4,0.0,-,-,6,42.77,36
0,ANTM200417C00220000,2020-02-25 3:01PM EST,220.0,50.4,50.35,51.3,0.0,-,1,1,50.39,50
1,ANTM200417C00230000,2020-02-25 11:59AM EST,230.0,41.3,41.8,42.3,0.0,-,9,9,48.07,50
2,ANTM200417C00240000,2020-02-25 3:00PM EST,240.0,33.25,33.6,34.2,0.0,-,3,3,45.56,50
3,ANTM200417C00250000,2020-02-24 9:52AM EST,250.0,25.95,26.1,26.75,0.0,-,6,8,43.23,50
4,ANTM200417C00260000,2020-02-25 12:51PM EST,260.0,19.6,19.4,20.05,0.0,-,5,5,40.93,50
5,ANTM200417C00270000,2020-02-26 12:12PM EST,270.0,13.7,13.9,14.4,0.45,+3.40%,10,15,39.08,50
6,ANTM200417C00280000,2020-02-26 1:08PM EST,280.0,9.65,9.65,9.95,0.42,+4.55%,1,50,37.76,50
7,ANTM200417C00290000,2020-02-26 12:58PM EST,290.0,6.3,6.0,6.4,0.1,+1.61%,2,27,36.21,50
8,ANTM200417C00300000,2020-02-26 12:59PM EST,300.0,3.85,3.65,3.9,-0.3,-7.23%,5,8,34.99,50
9,ANTM200417C00310000,2020-02-26 1:07PM EST,310.0,2.2,2.05,2.26,0.05,+2.33%,8,27,34.06,50
10,ANTM200417C00320000,2020-02-26 12:43PM EST,320.0,1.24,1.14,1.34,0.11,+9.73%,2,9,33.91,50
0,ANTM200619C00140000,2020-01-15 9:47AM EST,140.0,163.0,155.5,160.3,0.0,-,1,1,186.24,113
1,ANTM200619C00180000,2019-10-27 11:02PM EST,180.0,89.2,108.0,112.5,0.0,-,-,1,115.85,113
2,ANTM200619C00195000,2020-02-03 3:26PM EST,195.0,74.3,74.2,77.85,0.0,-,-,1,55.31,113
3,ANTM200619C00210000,2020-02-25 2:56PM EST,210.0,61.35,60.55,63.75,0.0,-,2,2,48.43,113
4,ANTM200619C00220000,2020-02-05 9:47AM EST,220.0,53.05,53.6,55.25,0.0,-,2,4,45.91,113
