,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ANTM200228P00230000,2020-02-25 12:44PM EST,230.0,0.09,0.07,0.2,0.0,-,3,6,80.66,1
1,ANTM200228P00235000,2020-02-04 9:41AM EST,235.0,1.13,0.12,0.3,0.0,-,1,1,75.98,1
2,ANTM200228P00240000,2020-01-30 2:48PM EST,240.0,2.05,0.26,0.42,0.0,-,-,5,71.68,1
3,ANTM200228P00242500,2020-02-25 1:59PM EST,242.5,0.41,0.4,0.51,-0.2,-32.79%,1,1,70.26,1
4,ANTM200228P00245000,2020-02-24 1:32PM EST,245.0,0.28,0.51,0.65,0.0,-,12,20,68.16,1
5,ANTM200228P00247500,2020-02-25 2:40PM EST,247.5,1.55,0.66,0.83,0.0,-,1,3,66.21,1
6,ANTM200228P00250000,2020-02-26 10:11AM EST,250.0,1.12,0.84,1.09,0.57,+103.64%,13,161,64.4,1
7,ANTM200228P00252500,2020-02-25 12:54PM EST,252.5,1.0,1.11,1.47,0.0,-,10,20,63.4,1
8,ANTM200228P00255000,2020-02-26 11:40AM EST,255.0,1.3,1.39,1.6,-1.2,-48.00%,1,111,59.2,1
9,ANTM200228P00257500,2020-02-25 12:51PM EST,257.5,1.5,1.82,2.26,0.0,-,41,60,58.89,1
10,ANTM200228P00260000,2020-02-26 11:48AM EST,260.0,2.32,2.17,2.55,-1.03,-30.75%,6,53,54.18,1
11,ANTM200228P00262500,2020-02-26 11:48AM EST,262.5,2.91,2.86,3.1,-1.05,-26.52%,4,54,51.78,1
12,ANTM200228P00265000,2020-02-26 10:18AM EST,265.0,3.48,3.75,4.0,-1.47,-29.70%,4,95,50.61,1
13,ANTM200228P00267500,2020-02-26 12:53PM EST,267.5,4.89,4.65,4.9,4.53,"+1,258.33%",24,82,48.8,1
14,ANTM200228P00270000,2020-02-26 1:08PM EST,270.0,5.9,5.9,6.1,-1.4,-19.18%,62,269,46.61,1
15,ANTM200228P00272500,2020-02-26 12:52PM EST,272.5,7.31,7.15,7.45,-1.59,-17.87%,8,81,43.48,1
16,ANTM200228P00275000,2020-02-26 12:27PM EST,275.0,9.34,8.9,9.2,-1.26,-11.89%,16,299,42.19,1
17,ANTM200228P00277500,2020-02-26 12:25PM EST,277.5,11.27,10.6,10.9,-1.03,-8.37%,17,79,36.13,1
18,ANTM200228P00280000,2020-02-26 12:27PM EST,280.0,12.96,12.55,13.05,-1.19,-8.41%,4,59,32.52,1
20,ANTM200228P00285000,2020-02-25 3:16PM EST,285.0,16.14,17.1,17.95,-2.86,-15.05%,5,407,36.72,1
21,ANTM200228P00287500,2020-02-26 10:57AM EST,287.5,18.61,19.2,21.45,-0.94,-4.81%,6,66,70.26,1
22,ANTM200228P00290000,2020-02-25 1:37PM EST,290.0,22.62,21.75,24.25,0.57,+2.59%,15,59,81.69,1
23,ANTM200228P00292500,2020-02-25 2:04PM EST,292.5,26.2,24.2,26.8,0.0,-,15,115,52.15,1
24,ANTM200228P00295000,2020-02-25 1:43PM EST,295.0,24.75,26.6,28.7,-3.85,-13.46%,25,298,80.96,1
25,ANTM200228P00297500,2020-02-25 10:37AM EST,297.5,23.85,29.05,31.5,0.0,-,6,402,93.09,1
26,ANTM200228P00300000,2020-02-26 12:40PM EST,300.0,32.05,31.45,34.3,23.88,+292.29%,8,76,104.74,1
27,ANTM200228P00302500,2020-02-24 10:01AM EST,302.5,24.5,32.55,36.55,0.0,-,1,14,104.4,1
28,ANTM200228P00305000,2020-02-21 10:26AM EST,305.0,30.1,36.2,38.25,0.0,-,1,155,85.35,1
29,ANTM200228P00307500,2020-02-21 11:38AM EST,307.5,13.0,37.1,41.4,0.0,-,3,32,110.45,1
30,ANTM200228P00310000,2020-02-20 10:27AM EST,310.0,13.75,40.05,43.7,0.0,-,2,11,109.57,1
31,ANTM200228P00312500,2020-02-19 10:01AM EST,312.5,13.5,42.45,46.5,0.0,-,3,6,122.41,1
32,ANTM200228P00320000,2020-02-12 9:46AM EST,320.0,30.32,49.8,54.2,0.0,-,-,0,141.21,1
0,ANTM200306P00210000,2020-02-24 2:13PM EST,210.0,0.4,0.07,0.42,0.0,-,10,14,72.85,8
1,ANTM200306P00225000,2020-02-26 11:35AM EST,225.0,0.68,0.72,0.91,-0.21,-23.60%,1,12,69.02,8
2,ANTM200306P00230000,2020-02-26 11:35AM EST,230.0,0.99,0.78,1.18,-0.59,-37.34%,8,3,64.75,8
3,ANTM200306P00235000,2020-02-25 2:02PM EST,235.0,1.12,1.21,1.66,-0.76,-40.43%,1,1,63.72,8
4,ANTM200306P00240000,2020-02-26 9:30AM EST,240.0,1.98,1.81,2.4,1.14,+135.71%,2,43,63.2,8
5,ANTM200306P00242500,2020-02-10 10:24AM EST,242.5,1.35,2.12,2.78,0.0,-,-,4,62.27,8
6,ANTM200306P00245000,2020-02-26 9:30AM EST,245.0,1.37,2.62,2.92,-1.45,-51.42%,2,5,60.72,8
7,ANTM200306P00247500,2020-02-24 1:15PM EST,247.5,1.38,3.05,3.3,0.0,-,3,7,59.5,8
8,ANTM200306P00250000,2020-02-25 3:25PM EST,250.0,4.1,3.15,3.9,0.0,-,1,15,57.45,8
9,ANTM200306P00252500,2020-02-26 10:19AM EST,252.5,3.83,4.15,4.45,3.11,+431.94%,8,5,58.06,8
10,ANTM200306P00255000,2020-02-24 2:03PM EST,255.0,1.98,4.25,5.5,0.0,-,1,8,56.69,8
11,ANTM200306P00257500,2020-02-26 10:03AM EST,257.5,4.79,5.45,5.75,-2.21,-31.57%,7,14,55.82,8
12,ANTM200306P00260000,2020-02-26 9:44AM EST,260.0,6.7,6.25,6.75,-0.8,-10.67%,17,56,55.48,8
13,ANTM200306P00262500,2020-02-26 10:21AM EST,262.5,6.33,7.2,7.75,-1.87,-22.80%,1,10,55.02,8
14,ANTM200306P00265000,2020-02-26 11:25AM EST,265.0,7.45,7.95,9.45,-1.55,-17.22%,2,22,55.42,8
