,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AON200320P00180000,2020-01-23 11:50AM EST,180.0,0.56,0.0,0.65,0.0,-,-,0,53.44,22
1,AON200320P00200000,2020-02-14 10:12AM EST,200.0,0.25,0.6,0.75,0.0,-,2,5,32.91,22
2,AON200320P00210000,2020-02-25 3:04PM EST,210.0,1.85,1.4,1.55,0.0,-,1,810,27.76,22
3,AON200320P00220000,2020-02-25 3:56PM EST,220.0,3.8,3.5,3.9,-0.9,-19.15%,11,852,24.82,22
4,AON200320P00230000,2020-02-25 3:01PM EST,230.0,9.1,8.1,8.9,0.0,-,5,314,22.81,22
5,AON200320P00240000,2020-02-25 3:56PM EST,240.0,17.91,15.8,16.8,0.0,-,1,3,22.05,22
6,AON200320P00270000,2020-01-31 11:49AM EST,270.0,48.0,43.7,48.3,0.0,-,1,1,61.21,22
0,AON200417P00110000,2019-10-02 8:30AM EST,110.0,0.85,0.0,1.1,0.0,-,20,30,96.63,50
1,AON200417P00115000,2019-10-06 11:13PM EST,115.0,0.9,0.0,4.8,0.0,-,-,10,122.05,50
2,AON200417P00120000,2019-10-30 12:12PM EST,120.0,0.47,0.15,0.65,0.0,-,30,40,81.69,50
3,AON200417P00125000,2019-09-06 6:47PM EST,125.0,0.95,0.05,4.8,0.0,-,-,0,109.33,50
4,AON200417P00130000,2019-10-11 8:33AM EST,130.0,0.95,0.45,0.0,0.0,-,-,0,66.31,50
5,AON200417P00135000,2019-10-11 10:09AM EST,135.0,1.2,0.0,0.0,0.0,-,6,0,25.0,50
6,AON200417P00140000,2019-09-05 11:02AM EST,140.0,1.34,1.05,3.8,0.0,-,10,30,91.5,50
7,AON200417P00145000,2019-10-30 12:12PM EST,145.0,1.07,0.5,1.0,0.0,-,-,10,66.31,50
8,AON200417P00150000,2019-12-02 3:01PM EST,150.0,0.85,0.25,1.0,0.0,-,-,0,59.77,50
9,AON200417P00160000,2019-10-08 2:18PM EST,160.0,3.9,1.85,2.5,0.0,-,40,0,68.15,50
10,AON200417P00165000,2019-12-03 10:33AM EST,165.0,1.85,0.65,0.95,0.0,-,-,0,51.76,50
11,AON200417P00170000,2019-12-23 2:00PM EST,170.0,1.11,0.25,1.4,0.0,-,10,645,52.09,50
12,AON200417P00175000,2019-12-17 11:58AM EST,175.0,1.55,0.55,1.0,0.0,-,3,0,44.02,50
13,AON200417P00180000,2020-01-22 1:36PM EST,180.0,0.82,0.05,0.75,0.0,-,5,0,37.45,50
14,AON200417P00185000,2020-02-26 12:44PM EST,185.0,0.67,0.6,1.7,-1.63,-70.87%,13,21,41.37,50
15,AON200417P00190000,2020-02-25 3:35PM EST,190.0,1.11,0.8,0.9,0.0,-,23,47,31.19,50
16,AON200417P00195000,2020-01-30 2:02PM EST,195.0,1.6,0.95,1.2,0.0,-,2,40,29.52,50
17,AON200417P00200000,2020-02-24 3:24PM EST,200.0,1.8,1.4,1.55,0.0,-,6,91,27.53,50
18,AON200417P00210000,2020-02-26 11:47AM EST,210.0,2.5,2.8,3.2,-0.5,-16.67%,7,60,25.66,50
19,AON200417P00220000,2020-02-26 12:01PM EST,220.0,5.2,5.4,5.7,-0.7,-11.86%,4,84,22.41,50
20,AON200417P00230000,2020-02-25 2:09PM EST,230.0,10.8,10.0,10.4,0.0,-,13,125,20.26,50
21,AON200417P00240000,2020-02-25 3:00PM EST,240.0,17.8,16.8,17.6,0.0,-,1,45,19.11,50
22,AON200417P00250000,2020-02-25 3:01PM EST,250.0,26.5,25.3,26.9,0.0,-,5,2,21.67,50
0,AON200717P00115000,2020-01-09 11:39AM EST,115.0,0.25,0.0,1.2,0.0,-,2,12,55.81,141
1,AON200717P00120000,2019-12-23 12:00AM EST,120.0,1.2,0.05,0.8,0.0,-,-,10,55.35,141
2,AON200717P00125000,2019-12-09 12:10AM EST,125.0,1.25,0.2,0.9,0.0,-,-,0,53.3,141
3,AON200717P00130000,2019-12-02 2:58PM EST,130.0,1.3,0.0,4.9,0.0,-,-,0,62.38,141
4,AON200717P00135000,2019-12-23 12:00AM EST,135.0,1.2,0.35,1.5,0.0,-,-,10,52.39,141
5,AON200717P00140000,2019-12-05 3:25PM EST,140.0,1.23,0.0,4.7,0.0,-,10,0,54.75,141
6,AON200717P00145000,2019-12-18 9:30AM EST,145.0,1.05,0.0,2.6,0.0,-,-,11,52.78,141
7,AON200717P00150000,2020-02-06 12:09PM EST,150.0,0.4,0.35,0.85,0.0,-,2,12,38.23,141
8,AON200717P00160000,2019-11-19 9:30AM EST,160.0,2.55,1.3,1.85,0.0,-,-,20,39.42,141
9,AON200717P00165000,2020-01-21 12:27PM EST,165.0,1.07,0.0,0.0,0.0,-,2,0,12.5,141
10,AON200717P00170000,2019-12-27 11:18AM EST,170.0,2.55,0.9,1.55,0.0,-,2,2,32.22,141
11,AON200717P00175000,2019-11-21 12:18PM EST,175.0,4.72,2.35,2.95,0.0,-,-,5,35.49,141
12,AON200717P00185000,2019-12-16 9:59AM EST,185.0,4.94,2.75,3.4,0.0,-,1,0,31.05,141
13,AON200717P00190000,2020-02-21 3:05PM EST,190.0,1.5,2.45,2.6,0.0,-,5,11,25.53,141
14,AON200717P00195000,2020-02-26 12:19PM EST,195.0,3.2,2.95,3.2,1.28,+66.67%,5,54,24.48,141
15,AON200717P00200000,2020-02-20 9:31AM EST,200.0,1.65,3.8,3.9,0.0,-,1,11,23.36,141
16,AON200717P00210000,2020-02-26 10:15AM EST,210.0,5.7,6.0,6.2,0.2,+3.64%,2,83,21.95,141
17,AON200717P00220000,2020-02-26 9:36AM EST,220.0,9.85,9.3,9.7,-0.32,-3.15%,2,19,20.85,141
18,AON200717P00230000,2020-02-25 2:55PM EST,230.0,14.5,13.8,14.3,0.0,-,5,8,19.39,141
19,AON200717P00240000,2020-02-19 10:48AM EST,240.0,20.7,19.9,20.5,0.0,-,6,25,18.24,141
20,AON200717P00250000,2020-02-25 2:56PM EST,250.0,28.4,27.0,28.2,0.0,-,6,0,17.41,141
0,AON201016P00240000,2020-02-25 3:00PM EST,240.0,22.9,21.9,23.1,0.0,-,3,3,18.33,232
