,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
2,APD200320C00170000,2020-02-07 10:06AM EST,170.0,81.0,65.7,70.1,0.0,-,1,1,68.75,22
5,APD200320C00185000,2019-10-22 8:51AM EST,185.0,32.4,52.1,56.0,0.0,-,1,4,71.73,22
7,APD200320C00195000,2020-02-06 2:38PM EST,195.0,56.6,41.7,45.2,0.0,-,1,8,52.83,22
8,APD200320C00200000,2020-02-05 3:49PM EST,200.0,55.0,36.5,40.3,0.0,-,4,13,64.61,22
9,APD200320C00210000,2020-02-24 2:14PM EST,210.0,28.0,28.0,30.2,-7.8,-21.79%,10,53,50.85,22
10,APD200320C00220000,2020-02-12 10:35AM EST,220.0,33.75,18.8,20.1,0.0,-,1,74,37.12,22
11,APD200320C00230000,2020-02-25 1:49PM EST,230.0,12.2,10.7,11.8,0.0,-,15,388,31.18,22
12,APD200320C00240000,2020-02-26 11:39AM EST,240.0,6.0,4.8,5.2,1.59,+36.05%,10,817,26.08,22
13,APD200320C00250000,2020-02-26 12:07PM EST,250.0,1.41,1.4,1.65,0.08,+6.02%,11,626,23.72,22
14,APD200320C00260000,2020-02-26 9:40AM EST,260.0,0.4,0.3,0.4,-0.15,-27.27%,98,428,23.05,22
15,APD200320C00270000,2020-02-26 12:25PM EST,270.0,0.1,0.0,0.3,-0.1,-50.00%,3,107,28.57,22
16,APD200320C00280000,2020-02-24 11:20AM EST,280.0,0.15,0.0,0.15,0.0,-,7,20,31.2,22
17,APD200320C00300000,2020-02-04 3:29PM EST,300.0,0.05,0.0,0.1,0.0,-,-,4,39.65,22
18,APD200320C00310000,2020-02-06 11:01AM EST,310.0,0.05,0.0,0.05,0.0,-,-,3,40.82,22
0,APD200417C00240000,2020-02-26 12:30PM EST,240.0,6.57,6.5,6.9,0.62,+10.42%,14,19,22.5,50
1,APD200417C00250000,2020-02-26 12:57PM EST,250.0,2.85,2.65,3.0,-1.28,-30.99%,3,9,20.95,50
2,APD200417C00260000,2020-02-26 1:06PM EST,260.0,1.05,0.95,1.2,-0.6,-36.36%,13,10,20.78,50
3,APD200417C00270000,2020-02-24 3:18PM EST,270.0,0.85,0.25,0.5,0.0,-,-,6,21.5,50
1,APD200619C00160000,2019-10-31 11:06AM EST,160.0,55.76,74.9,79.2,0.0,-,15,15,48.27,113
2,APD200619C00165000,2020-01-10 10:15AM EST,165.0,70.8,89.0,93.5,0.0,-,1,0,105.22,113
3,APD200619C00170000,2019-12-30 3:03PM EST,170.0,65.33,67.4,72.0,0.0,-,2,0,55.5,113
4,APD200619C00195000,2020-01-30 10:36AM EST,195.0,43.94,43.5,46.6,0.0,-,1,2,37.02,113
5,APD200619C00200000,2020-01-28 11:33AM EST,200.0,37.6,39.2,41.1,0.0,-,3,8,32.2,113
6,APD200619C00210000,2020-01-27 11:06AM EST,210.0,29.2,30.9,32.2,0.0,-,3,11,28.95,113
7,APD200619C00220000,2020-02-21 12:48PM EST,220.0,37.15,22.3,24.1,0.0,-,7,82,26.56,113
8,APD200619C00230000,2020-02-13 12:21PM EST,230.0,16.5,16.0,17.0,-12.58,-43.26%,1,86,24.66,113
9,APD200619C00240000,2020-02-26 12:47PM EST,240.0,11.2,10.4,11.2,0.1,+0.90%,296,183,23.22,113
10,APD200619C00250000,2020-02-26 12:44PM EST,250.0,6.2,6.1,6.8,-0.6,-8.82%,1,214,22.05,113
11,APD200619C00260000,2020-02-26 12:46PM EST,260.0,3.5,3.4,3.8,-0.4,-10.26%,8,380,21.18,113
12,APD200619C00270000,2020-02-26 12:44PM EST,270.0,1.8,1.75,2.05,-0.35,-16.28%,18,153,20.85,113
13,APD200619C00280000,2020-02-25 2:27PM EST,280.0,0.92,0.8,1.05,0.0,-,30,97,20.66,113
14,APD200619C00290000,2020-02-19 2:29PM EST,290.0,1.34,0.2,0.65,0.0,-,1,29,21.53,113
15,APD200619C00300000,2020-01-31 9:54AM EST,300.0,0.15,0.4,0.7,0.0,-,5,0,24.7,113
16,APD200619C00310000,2020-02-05 2:33PM EST,310.0,0.05,0.0,0.45,0.0,-,1,1,25.27,113
17,APD200619C00320000,2019-11-18 12:13AM EST,320.0,0.3,0.0,0.25,0.0,-,-,1,25.24,113
0,APD200918C00170000,2020-02-03 9:36AM EST,170.0,70.0,68.0,70.4,0.0,-,1,3,36.29,204
1,APD200918C00195000,2020-01-27 2:25PM EST,195.0,43.4,44.3,47.7,0.0,-,-,8,30.26,204
2,APD200918C00200000,2020-01-30 10:36AM EST,200.0,40.64,41.1,42.4,0.0,-,-,8,27.05,204
3,APD200918C00210000,2020-01-27 11:01AM EST,210.0,44.75,33.3,34.7,0.0,-,1,9,26.37,204
4,APD200918C00220000,2020-02-21 12:48PM EST,220.0,39.08,25.6,27.0,0.0,-,3,13,24.57,204
5,APD200918C00230000,2020-02-21 12:46PM EST,230.0,30.87,19.6,20.3,0.0,-,4,5,23.26,204
6,APD200918C00240000,2020-02-26 11:12AM EST,240.0,14.25,14.0,14.7,0.85,+6.34%,1,2,22.26,204
7,APD200918C00250000,2020-02-25 3:42PM EST,250.0,9.38,9.4,10.3,0.0,-,3,453,21.6,204
8,APD200918C00260000,2020-02-26 12:22PM EST,260.0,6.2,6.3,6.9,-2.8,-31.11%,1,126,21.01,204
9,APD200918C00270000,2020-02-25 1:49PM EST,270.0,4.01,3.9,4.5,-0.09,-2.20%,16,53,20.65,204
10,APD200918C00280000,2020-02-24 11:20AM EST,280.0,3.75,2.45,2.95,0.0,-,23,45,20.63,204
11,APD200918C00300000,2020-02-18 11:38AM EST,300.0,2.05,0.85,1.15,0.0,-,1,17,20.47,204
12,APD200918C00320000,2020-01-23 12:54PM EST,320.0,0.25,0.55,0.8,0.0,-,-,0,22.91,204
13,APD200918C00350000,2020-01-23 12:24PM EST,350.0,0.09,0.0,0.45,0.0,-,-,0,25.61,204
