,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,APH200320P00080000,2020-02-25 3:20PM EST,80.0,0.32,0.2,0.4,0.0,-,6,10,51.61,22
1,APH200320P00085000,2020-02-25 3:20PM EST,85.0,0.62,0.4,0.5,0.0,-,6,8,40.77,22
2,APH200320P00090000,2020-02-25 9:43AM EST,90.0,1.25,0.85,1.05,0.0,-,5,20,35.5,22
3,APH200320P00095000,2020-02-26 11:40AM EST,95.0,1.86,2.1,2.25,-1.04,-35.86%,8,83,30.64,22
4,APH200320P00100000,2020-02-26 10:48AM EST,100.0,4.0,4.5,4.9,-1.3,-24.53%,6,43,29.1,22
5,APH200320P00105000,2020-02-25 2:47PM EST,105.0,9.4,8.5,8.9,0.0,-,8,223,29.91,22
6,APH200320P00110000,2020-02-05 11:00AM EST,110.0,6.18,12.8,13.9,0.0,-,-,9,40.6,22
7,APH200320P00115000,2020-01-29 2:33PM EST,115.0,11.0,15.9,20.2,0.0,-,3,1,72.66,22
0,APH200417P00045000,2019-09-06 2:39PM EST,45.0,0.15,0.0,0.85,0.0,-,2,2,114.16,50
1,APH200417P00070000,2019-12-02 9:30AM EST,70.0,0.2,0.0,4.5,0.0,-,2,0,86.23,50
2,APH200417P00075000,2020-02-14 12:51PM EST,75.0,0.1,0.1,2.2,0.0,-,3,21,58.25,50
3,APH200417P00080000,2019-10-07 10:05AM EST,80.0,1.67,0.75,0.95,0.0,-,4,0,44.34,50
4,APH200417P00085000,2020-02-24 11:44AM EST,85.0,0.9,0.8,0.85,0.0,-,1232,1208,32.57,50
5,APH200417P00090000,2020-02-26 1:07PM EST,90.0,1.6,1.6,1.7,-0.3,-15.79%,8,11,30.04,50
6,APH200417P00095000,2020-02-26 1:03PM EST,95.0,3.0,2.9,3.1,-0.5,-14.29%,30,29,26.83,50
7,APH200417P00100000,2020-02-25 3:22PM EST,100.0,6.4,5.4,5.8,0.0,-,14,169,26.34,50
8,APH200417P00105000,2020-02-19 2:26PM EST,105.0,9.6,8.8,9.3,0.0,-,5,79,24.59,50
0,APH200717P00075000,2020-02-10 12:06AM EST,75.0,0.5,0.9,1.15,0.0,-,-,1,35.13,141
1,APH200717P00090000,2020-01-31 12:24PM EST,90.0,2.1,3.4,3.6,0.0,-,21,25,27.43,141
2,APH200717P00095000,2020-02-26 1:03PM EST,95.0,5.1,4.9,5.4,1.8,+54.55%,2,9,25.9,141
3,APH200717P00100000,2020-02-26 11:41AM EST,100.0,7.1,7.5,7.9,-0.9,-11.25%,16,332,24.79,141
4,APH200717P00105000,2020-02-12 10:20AM EST,105.0,6.3,10.4,10.9,0.0,-,5,5,23.06,141
5,APH200717P00110000,2020-02-24 9:31AM EST,110.0,12.3,14.1,14.8,0.0,-,10,11,22.78,141
6,APH200717P00115000,2020-01-28 10:43AM EST,115.0,11.96,18.6,19.2,0.0,-,-,10,23.13,141
0,APH201016P00085000,2020-02-25 9:49AM EST,85.0,2.7,3.0,3.3,0.0,-,10,10,26.9,232
1,APH201016P00095000,2020-02-25 6:57PM EST,95.0,6.7,6.2,6.7,0.0,-,-,5,24.54,232
2,APH201016P00105000,2020-02-25 2:54PM EST,105.0,12.4,11.6,12.2,0.0,-,1,1,22.65,232
3,APH201016P00115000,2020-02-25 3:01PM EST,115.0,20.0,19.1,20.1,0.0,-,9,0,22.83,232
4,APH201016P00120000,2020-02-25 2:31PM EST,120.0,24.0,22.9,24.2,0.0,-,10,10,21.08,232
