,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,APTV200320P00070000,2020-02-25 3:45PM EST,70.0,0.4,0.2,0.35,0.0,-,12,19,44.73,22
1,APTV200320P00075000,2020-02-26 11:36AM EST,75.0,0.6,0.75,0.9,-0.3,-33.33%,9,6560,40.14,22
2,APTV200320P00077500,2020-02-26 11:09AM EST,77.5,1.21,1.3,1.5,0.36,+42.35%,41,1,39.23,22
3,APTV200320P00080000,2020-02-26 11:09AM EST,80.0,1.95,2.15,2.3,-0.65,-25.00%,11,1130,37.6,22
4,APTV200320P00082500,2020-02-26 12:26PM EST,82.5,3.34,3.3,3.5,-1.26,-27.39%,17,1206,37.23,22
5,APTV200320P00085000,2020-02-24 12:47PM EST,85.0,3.44,4.7,5.0,0.0,-,24,82,36.72,22
6,APTV200320P00087500,2020-02-24 9:30AM EST,87.5,3.48,6.4,6.8,0.0,-,1,47,36.38,22
7,APTV200320P00090000,2020-02-26 10:44AM EST,90.0,7.7,8.4,8.8,1.7,+28.33%,8,47,35.35,22
8,APTV200320P00092500,2020-02-26 10:44AM EST,92.5,9.84,10.6,11.1,0.79,+8.73%,1,8,37.11,22
0,APTV200417P00075000,2020-02-26 10:55AM EST,75.0,1.5,1.65,1.85,-0.7,-31.82%,3,3,37.67,50
1,APTV200417P00077500,2020-02-25 2:54PM EST,77.5,3.0,2.4,2.6,0.0,-,18,18,36.84,50
2,APTV200417P00080000,2020-02-25 2:54PM EST,80.0,3.0,3.3,3.5,-1.0,-25.00%,2,16,35.6,50
3,APTV200417P00082500,2020-02-24 11:04AM EST,82.5,3.2,4.4,4.6,0.0,-,-,7,34.23,50
4,APTV200417P00085000,2020-02-24 10:54AM EST,85.0,4.7,5.7,6.1,0.0,-,-,11,34.28,50
0,APTV200515P00065000,2020-02-25 10:48AM EST,65.0,0.67,0.8,0.95,0.0,-,1,18,43.36,78
1,APTV200515P00075000,2020-02-25 2:13PM EST,75.0,2.5,2.6,2.75,-0.4,-13.79%,14,41,37.57,78
2,APTV200515P00077500,2020-01-31 11:08AM EST,77.5,2.3,3.4,3.6,0.0,-,20,23,36.9,78
3,APTV200515P00080000,2020-02-26 9:44AM EST,80.0,4.2,4.3,4.5,-0.6,-12.50%,10,372,35.44,78
4,APTV200515P00082500,2020-02-26 11:20AM EST,82.5,5.1,5.5,5.8,0.9,+21.43%,5,31,35.49,78
5,APTV200515P00085000,2020-02-25 10:48AM EST,85.0,6.08,6.8,7.2,0.0,-,1,58,35.01,78
6,APTV200515P00087500,2020-02-21 9:30AM EST,87.5,3.85,8.4,8.7,0.0,-,1,55,34.02,78
7,APTV200515P00090000,2020-02-20 11:05AM EST,90.0,4.1,10.2,10.4,0.0,-,2,44,33.22,78
8,APTV200515P00092500,2020-02-24 2:42PM EST,92.5,10.39,12.0,12.3,0.0,-,1,44,32.74,78
0,APTV200821P00055000,2020-02-24 12:14PM EST,55.0,0.75,0.75,0.9,0.0,-,1,1,43.41,176
1,APTV200821P00060000,2020-02-05 10:25AM EST,60.0,0.4,1.2,1.4,0.0,-,-,0,40.85,176
