,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ARNC200228P00025000,2020-01-23 11:27AM EST,25.0,0.2,0.0,0.53,0.0,-,-,0,217.19,1
1,ARNC200228P00026500,2020-01-10 3:05PM EST,26.5,0.37,0.0,0.2,0.0,-,31,31,139.06,1
2,ARNC200228P00027000,2020-02-24 9:46AM EST,27.0,0.02,0.0,2.1,0.0,-,1,0,275.98,1
3,ARNC200228P00027500,2020-02-05 2:01PM EST,27.5,0.08,0.0,2.11,0.0,-,-,0,259.38,1
4,ARNC200228P00028000,2020-02-05 2:11PM EST,28.0,0.12,0.0,2.1,0.0,-,1,5,241.8,1
5,ARNC200228P00028500,2020-01-28 10:05AM EST,28.5,0.2,0.0,2.11,0.0,-,8,0,225.39,1
6,ARNC200228P00029000,2020-02-10 9:43AM EST,29.0,0.18,0.0,2.08,0.0,-,1,11,206.64,1
7,ARNC200228P00029500,2020-02-07 11:21AM EST,29.5,0.3,0.0,2.14,0.0,-,7,7,192.58,1
8,ARNC200228P00030000,2020-02-26 10:58AM EST,30.0,2.02,0.0,1.73,1.87,"+1,246.67%",1,96,154.49,1
9,ARNC200228P00030500,2020-02-25 10:08AM EST,30.5,0.1,0.04,1.3,0.0,-,156,96,118.36,1
10,ARNC200228P00031000,2020-02-24 10:19AM EST,31.0,0.26,0.09,0.28,0.0,-,1,145,51.95,1
11,ARNC200228P00031500,2020-02-25 10:08AM EST,31.5,0.39,0.17,0.44,0.0,-,3,83,50.0,1
12,ARNC200228P00032000,2020-02-26 11:20AM EST,32.0,0.29,0.4,0.62,-0.03,-9.38%,10,143,50.59,1
13,ARNC200228P00032500,2020-02-26 11:25AM EST,32.5,0.51,0.61,0.95,0.02,+4.08%,27,738,50.78,1
14,ARNC200228P00033000,2020-02-25 10:21AM EST,33.0,0.59,0.98,1.29,0.0,-,12,271,53.32,1
15,ARNC200228P00033500,2020-02-25 10:18AM EST,33.5,0.82,1.23,2.34,0.0,-,1,177,81.84,1
16,ARNC200228P00034500,2020-02-19 12:09PM EST,34.5,1.01,1.53,3.1,0.0,-,-,23,139.26,1
0,ARNC200306P00024000,2020-01-27 9:59AM EST,24.0,4.4,0.0,0.21,0.0,-,-,200,107.81,8
1,ARNC200306P00026500,2020-01-24 3:45PM EST,26.5,0.49,0.0,0.0,0.0,-,-,0,25.0,8
2,ARNC200306P00027500,2020-01-30 3:12PM EST,27.5,0.35,0.0,2.21,0.0,-,-,4,145.31,8
3,ARNC200306P00028000,2020-01-30 1:03PM EST,28.0,0.44,0.0,0.94,0.0,-,-,0,93.55,8
4,ARNC200306P00028500,2020-01-30 1:03PM EST,28.5,0.56,0.0,1.68,0.0,-,-,4,110.35,8
5,ARNC200306P00029000,2020-02-25 2:40PM EST,29.0,0.31,0.06,0.71,0.0,-,10,9,71.88,8
6,ARNC200306P00029500,2020-01-30 2:15PM EST,29.5,0.79,0.09,1.8,0.0,-,-,0,98.44,8
7,ARNC200306P00030000,2020-02-10 10:57AM EST,30.0,0.29,0.16,1.71,0.0,-,4,24,88.48,8
8,ARNC200306P00030500,2020-02-25 2:38PM EST,30.5,0.6,0.19,1.05,0.0,-,13,72,62.01,8
9,ARNC200306P00031000,2020-02-18 12:07AM EST,31.0,0.45,0.39,0.58,0.0,-,-,0,50.88,8
10,ARNC200306P00031500,2020-02-13 10:37AM EST,31.5,0.36,0.47,0.81,0.0,-,-,2,52.73,8
11,ARNC200306P00032000,2020-02-25 2:39PM EST,32.0,1.25,0.66,1.03,0.0,-,3,49,52.34,8
12,ARNC200306P00032500,2020-02-24 12:14AM EST,32.5,0.45,0.91,1.29,0.0,-,-,0,52.05,8
13,ARNC200306P00033000,2020-02-21 1:40PM EST,33.0,1.44,1.18,2.51,0.0,-,2,2,64.36,8
0,ARNC200313P00028000,2020-02-03 12:02AM EST,28.0,0.66,0.0,2.2,0.0,-,-,10,104.0,15
1,ARNC200313P00028500,2020-02-03 12:02AM EST,28.5,0.78,0.01,2.15,0.0,-,-,0,95.8,15
2,ARNC200313P00029000,2020-02-03 12:02AM EST,29.0,0.98,0.01,2.2,0.0,-,-,10,89.65,15
3,ARNC200313P00029500,2020-02-03 12:02AM EST,29.5,1.1,0.03,2.27,0.0,-,-,1,84.28,15
4,ARNC200313P00030000,2020-02-14 9:41AM EST,30.0,0.25,0.11,2.38,0.0,-,1,1,80.66,15
5,ARNC200313P00030500,2020-02-18 2:38PM EST,30.5,0.19,0.23,2.45,0.0,-,-,2,76.66,15
6,ARNC200313P00031000,2020-02-11 10:09AM EST,31.0,0.49,0.37,2.52,0.0,-,1,0,72.56,15
7,ARNC200313P00031500,2020-02-25 2:53PM EST,31.5,1.05,0.53,2.51,0.0,-,12,6,66.89,15
8,ARNC200313P00032000,2020-02-24 11:57AM EST,32.0,0.9,0.79,1.54,0.0,-,1,2,58.64,15
9,ARNC200313P00032500,2020-02-25 1:33PM EST,32.5,1.28,0.95,2.67,0.0,-,6,6,58.79,15
0,ARNC200320P00023000,2020-01-22 9:43AM EST,23.0,0.14,0.0,0.0,0.0,-,-,0,25.0,22
1,ARNC200320P00024000,2020-01-27 9:59AM EST,24.0,4.42,0.0,0.14,0.0,-,-,200,64.45,22
2,ARNC200320P00025000,2020-02-25 9:47AM EST,25.0,0.08,0.01,0.09,0.0,-,1,24,53.52,22
3,ARNC200320P00026000,2020-01-27 3:36PM EST,26.0,0.19,0.04,0.18,0.0,-,-,0,54.3,22
4,ARNC200320P00027000,2020-02-24 1:20PM EST,27.0,0.08,0.08,0.13,0.0,-,14,89,48.24,22
5,ARNC200320P00028000,2020-02-24 1:20PM EST,28.0,0.15,0.15,0.22,0.0,-,13,102,46.68,22
6,ARNC200320P00029000,2020-02-21 9:59AM EST,29.0,0.19,0.25,0.33,0.0,-,1,46,43.75,22
7,ARNC200320P00030000,2020-02-26 12:46PM EST,30.0,0.45,0.4,0.54,0.11,+32.35%,1,250,42.68,22
8,ARNC200320P00031000,2020-02-25 10:49AM EST,31.0,0.63,0.65,0.8,0.0,-,50,176,40.23,22
9,ARNC200320P00032000,2020-02-26 10:52AM EST,32.0,0.92,1.06,1.16,-0.52,-36.11%,18,21,37.74,22
10,ARNC200320P00032500,2020-02-25 12:15PM EST,32.5,1.09,1.3,1.51,0.0,-,79,77,40.33,22
11,ARNC200320P00033000,2020-02-25 1:38PM EST,33.0,1.76,1.57,1.72,0.0,-,93,88,37.7,22
12,ARNC200320P00033500,2020-02-25 1:17PM EST,33.5,1.85,1.87,2.09,0.0,-,9,14,39.11,22
13,ARNC200320P00034000,2020-02-19 10:47AM EST,34.0,1.14,2.16,2.43,0.0,-,-,3,38.72,22
14,ARNC200320P00035000,2020-02-18 12:46PM EST,35.0,2.35,2.89,3.3,0.0,-,20,30,42.58,22
15,ARNC200320P00036000,2020-02-19 9:36AM EST,36.0,2.7,3.6,4.2,0.0,-,-,1,45.9,22
0,ARNC200327P00028500,2020-02-20 3:44PM EST,28.5,0.24,0.11,1.85,0.0,-,-,1,67.53,29
1,ARNC200327P00030500,2020-02-20 3:44PM EST,30.5,0.37,0.58,1.04,0.0,-,-,1,48.0,29
2,ARNC200327P00032000,2020-02-19 11:14AM EST,32.0,0.8,1.1,1.68,0.0,-,-,2,47.22,29
3,ARNC200327P00033500,2020-02-13 10:40AM EST,33.5,1.31,1.92,2.6,0.0,-,-,0,48.63,29
4,ARNC200327P00034000,2020-02-25 11:01AM EST,34.0,2.37,2.15,2.99,0.0,-,1,1,50.29,29
0,ARNC200403P00028500,2020-02-25 11:32AM EST,28.5,0.4,0.22,2.29,0.0,-,2,2,69.39,36
1,ARNC200403P00032000,2020-02-25 6:46PM EST,32.0,0.96,0.85,1.86,0.0,-,-,-,47.02,36
2,ARNC200403P00033500,2020-02-18 12:07AM EST,33.5,1.52,0.92,2.91,0.0,-,-,1,51.51,36
3,ARNC200403P00034000,2020-02-19 12:22PM EST,34.0,1.39,1.29,3.05,0.0,-,-,6,46.97,36
4,ARNC200403P00034500,2020-02-19 11:21AM EST,34.5,1.52,1.53,3.3,0.0,-,-,3,44.48,36
0,ARNC200417P00014000,2019-11-18 12:02AM EST,14.0,0.02,0.0,0.02,0.0,-,-,16,84.38,50
1,ARNC200417P00015000,2019-12-02 10:00AM EST,15.0,0.02,0.0,0.11,0.0,-,8,0,97.27,50
2,ARNC200417P00017000,2019-10-25 12:53PM EST,17.0,0.09,0.0,0.11,0.0,-,2,4,82.81,50
3,ARNC200417P00018000,2019-10-23 8:30AM EST,18.0,0.14,0.0,0.32,0.0,-,2,12,91.8,50
4,ARNC200417P00019000,2019-10-30 11:33AM EST,19.0,0.21,0.0,0.15,0.0,-,20,32,73.44,50
5,ARNC200417P00020000,2020-01-03 11:58AM EST,20.0,0.04,0.0,0.04,0.0,-,100,235,54.69,50
6,ARNC200417P00021000,2019-11-04 9:43AM EST,21.0,0.09,0.0,0.24,0.0,-,16,16,66.6,50
7,ARNC200417P00022000,2020-02-10 9:30AM EST,22.0,0.04,0.0,0.15,0.0,-,4,0,55.27,50
8,ARNC200417P00023000,2020-01-30 10:23AM EST,23.0,0.1,0.02,0.13,0.0,-,72,0,55.27,50
9,ARNC200417P00024000,2020-02-06 10:18AM EST,24.0,0.09,0.04,0.2,0.0,-,4,94,54.59,50
10,ARNC200417P00025000,2020-02-10 11:27AM EST,25.0,0.12,0.12,0.17,0.0,-,5,131,46.58,50
11,ARNC200417P00026000,2020-02-11 10:29AM EST,26.0,0.13,0.17,0.23,0.0,-,4,150,44.14,50
12,ARNC200417P00027000,2020-02-05 2:08PM EST,27.0,0.3,0.26,0.32,0.0,-,2,163,42.09,50
13,ARNC200417P00028000,2020-02-24 3:58PM EST,28.0,0.29,0.36,0.45,0.0,-,38,89,40.33,50
14,ARNC200417P00029000,2020-02-25 10:01AM EST,29.0,0.68,0.52,0.63,0.0,-,2,236,38.77,50
15,ARNC200417P00030000,2020-02-25 12:05PM EST,30.0,0.65,0.75,0.87,0.0,-,5,326,37.26,50
16,ARNC200417P00031000,2020-02-26 12:46PM EST,31.0,1.12,1.08,1.35,0.47,+72.31%,14,65,39.45,50
17,ARNC200417P00032000,2020-02-26 12:36PM EST,32.0,1.46,1.48,1.56,0.13,+9.77%,13,55,33.94,50
18,ARNC200417P00033000,2020-02-26 12:36PM EST,33.0,1.94,1.96,2.47,0.22,+12.79%,13,51,41.26,50
19,ARNC200417P00034000,2020-02-25 9:45AM EST,34.0,2.48,2.53,2.74,0.51,+25.89%,5,43,33.35,50
20,ARNC200417P00035000,2020-02-24 2:13PM EST,35.0,2.66,3.2,3.5,0.0,-,2,20,34.08,50
21,ARNC200417P00036000,2020-02-18 12:07AM EST,36.0,3.25,4.0,4.3,0.0,-,-,1,34.13,50
22,ARNC200417P00037000,2020-02-18 12:07AM EST,37.0,4.25,4.8,5.15,0.0,-,-,1,34.08,50
0,ARNC200717P00020000,2019-11-25 12:02AM EST,20.0,0.24,0.0,0.28,0.0,-,-,1,52.83,141
