,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AVGO200228C00250000,2020-02-20 10:06AM EST,250.0,65.7,35.8,39.5,0.0,-,2,1,119.78,1
1,AVGO200228C00265000,2020-02-25 3:40PM EST,265.0,18.6,20.8,24.6,0.0,-,10,10,83.3,1
2,AVGO200228C00270000,2020-02-26 1:07PM EST,270.0,18.2,17.8,18.2,4.05,+28.62%,4,11,12.5,1
3,AVGO200228C00275000,2020-02-26 10:54AM EST,275.0,11.0,13.3,13.6,1.1,+11.11%,6,23,38.28,1
4,AVGO200228C00280000,2020-02-26 1:07PM EST,280.0,9.3,9.1,9.4,2.22,+31.36%,15,345,39.36,1
5,AVGO200228C00282500,2020-02-26 1:07PM EST,282.5,7.4,6.9,7.4,1.56,+26.71%,9,52,37.84,1
6,AVGO200228C00285000,2020-02-26 12:39PM EST,285.0,5.1,5.4,5.7,0.4,+8.51%,66,18,37.55,1
7,AVGO200228C00287500,2020-02-26 12:52PM EST,287.5,4.0,4.0,4.2,0.79,+24.61%,172,145,36.89,1
8,AVGO200228C00290000,2020-02-26 1:11PM EST,290.0,2.78,2.8,2.95,0.38,+15.83%,279,72,36.17,1
9,AVGO200228C00292500,2020-02-26 12:57PM EST,292.5,1.74,1.85,1.95,0.3,+20.83%,147,228,35.33,1
10,AVGO200228C00295000,2020-02-26 12:48PM EST,295.0,1.25,1.15,1.25,0.15,+13.64%,226,199,35.06,1
11,AVGO200228C00297500,2020-02-26 12:48PM EST,297.5,0.75,0.65,0.75,0.0,-,35,130,34.64,1
12,AVGO200228C00300000,2020-02-26 12:47PM EST,300.0,0.4,0.35,0.4,-0.1,-20.00%,241,534,33.74,1
13,AVGO200228C00302500,2020-02-26 12:47PM EST,302.5,0.2,0.2,0.25,-0.14,-41.18%,97,242,34.77,1
14,AVGO200228C00305000,2020-02-26 12:31PM EST,305.0,0.1,0.05,0.15,-0.05,-33.33%,56,361,35.45,1
15,AVGO200228C00307500,2020-02-26 11:51AM EST,307.5,0.05,0.0,0.15,-0.1,-66.67%,12,223,39.55,1
16,AVGO200228C00310000,2020-02-26 12:58PM EST,310.0,0.08,0.0,0.15,-0.04,-33.33%,33,599,43.56,1
17,AVGO200228C00312500,2020-02-26 10:37AM EST,312.5,0.05,0.0,0.1,0.0,-,6,323,44.43,1
18,AVGO200228C00315000,2020-02-25 1:51PM EST,315.0,0.09,0.0,0.05,-0.06,-40.00%,22,328,43.56,1
19,AVGO200228C00317500,2020-02-25 9:41AM EST,317.5,0.05,0.0,0.05,0.0,-,5,230,46.88,1
20,AVGO200228C00320000,2020-02-26 11:39AM EST,320.0,0.03,0.0,0.05,-0.02,-40.00%,14,437,50.0,1
21,AVGO200228C00322500,2020-02-25 3:31PM EST,322.5,0.05,0.0,0.05,0.0,-,5,249,53.32,1
22,AVGO200228C00325000,2020-02-25 3:40PM EST,325.0,0.2,0.0,0.15,0.0,-,15,575,59.57,1
23,AVGO200228C00327500,2020-02-26 9:45AM EST,327.5,0.05,0.0,0.1,0.0,-,3,170,59.57,1
24,AVGO200228C00330000,2020-02-24 11:38AM EST,330.0,0.23,0.0,0.1,0.14,+155.56%,18,342,62.7,1
25,AVGO200228C00332500,2020-02-25 3:28PM EST,332.5,0.18,0.0,0.15,0.03,+20.00%,20,138,69.14,1
26,AVGO200228C00335000,2020-02-24 12:56PM EST,335.0,0.06,0.0,0.05,0.0,-,27,84,63.28,1
27,AVGO200228C00337500,2020-02-25 12:54PM EST,337.5,0.05,0.0,0.1,0.0,-,7,62,71.48,1
28,AVGO200228C00340000,2020-02-24 10:48AM EST,340.0,0.03,0.0,0.35,0.0,-,3,189,88.09,1
29,AVGO200228C00342500,2020-02-19 11:18AM EST,342.5,0.1,0.0,0.3,0.0,-,1,23,89.26,1
30,AVGO200228C00345000,2020-02-24 12:59PM EST,345.0,0.02,0.0,0.15,0.0,-,5,26,84.38,1
31,AVGO200228C00347500,2020-02-14 9:36AM EST,347.5,0.35,0.0,0.2,0.0,-,1,6,90.43,1
32,AVGO200228C00350000,2020-02-13 2:27PM EST,350.0,0.35,0.0,0.25,0.0,-,2,43,96.29,1
33,AVGO200228C00352500,2020-02-06 3:49PM EST,352.5,0.45,0.0,0.2,0.0,-,-,11,96.29,1
34,AVGO200228C00355000,2020-02-18 2:18PM EST,355.0,0.13,0.0,0.25,0.0,-,1,10,102.15,1
35,AVGO200228C00360000,2020-02-10 3:05PM EST,360.0,0.2,0.0,0.25,0.0,-,5,37,108.01,1
0,AVGO200306C00250000,2020-02-18 10:41AM EST,250.0,61.46,37.4,39.6,0.0,-,-,1,66.92,8
1,AVGO200306C00265000,2020-02-25 3:54PM EST,265.0,21.0,24.1,24.4,0.0,-,25,35,43.53,8
2,AVGO200306C00270000,2020-02-26 11:30AM EST,270.0,18.8,19.8,20.1,1.1,+6.21%,5,132,42.71,8
3,AVGO200306C00275000,2020-02-25 2:13PM EST,275.0,14.7,15.7,16.0,0.27,+1.87%,3,38,41.19,8
4,AVGO200306C00280000,2020-02-26 12:32PM EST,280.0,11.63,11.9,12.2,1.43,+14.02%,2,29,39.38,8
5,AVGO200306C00285000,2020-02-26 11:50AM EST,285.0,8.5,8.6,8.9,1.15,+15.65%,37,54,37.98,8
6,AVGO200306C00287500,2020-02-26 1:03PM EST,287.5,7.53,7.3,7.5,0.53,+7.57%,39,152,37.59,8
7,AVGO200306C00290000,2020-02-26 12:46PM EST,290.0,6.2,6.0,6.3,0.99,+19.00%,43,50,37.53,8
8,AVGO200306C00292500,2020-02-26 1:03PM EST,292.5,5.08,5.0,5.2,0.68,+15.45%,13,33,37.27,8
9,AVGO200306C00295000,2020-02-26 11:54AM EST,295.0,3.6,4.0,4.2,0.43,+13.56%,40,85,36.81,8
10,AVGO200306C00297500,2020-02-26 12:07PM EST,297.5,2.55,3.1,3.3,0.05,+2.00%,39,36,36.15,8
11,AVGO200306C00300000,2020-02-26 11:58AM EST,300.0,2.5,2.4,2.55,0.44,+21.36%,43,107,35.56,8
12,AVGO200306C00302500,2020-02-25 3:34PM EST,302.5,2.0,1.85,2.0,0.45,+29.03%,6,62,35.51,8
13,AVGO200306C00305000,2020-02-26 12:58PM EST,305.0,1.43,1.4,1.5,0.18,+14.40%,56,130,35.07,8
14,AVGO200306C00307500,2020-02-26 1:02PM EST,307.5,1.13,1.05,1.2,0.23,+25.56%,52,71,35.57,8
15,AVGO200306C00310000,2020-02-26 11:39AM EST,310.0,0.86,0.8,0.85,0.02,+2.38%,50,177,34.89,8
16,AVGO200306C00312500,2020-02-26 9:46AM EST,312.5,0.55,0.6,0.65,-0.04,-6.78%,17,41,35.11,8
17,AVGO200306C00315000,2020-02-26 1:04PM EST,315.0,0.46,0.4,0.5,-0.04,-8.00%,42,113,35.45,8
18,AVGO200306C00317500,2020-02-26 10:56AM EST,317.5,0.32,0.3,0.4,-0.01,-3.03%,6,117,36.08,8
19,AVGO200306C00320000,2020-02-26 9:59AM EST,320.0,0.25,0.2,0.3,-0.1,-28.57%,2,232,36.28,8
20,AVGO200306C00322500,2020-02-26 10:53AM EST,322.5,0.19,0.1,0.45,0.0,-,13,170,41.58,8
21,AVGO200306C00325000,2020-02-26 11:06AM EST,325.0,0.25,0.05,0.35,0.1,+66.67%,1,124,41.7,8
22,AVGO200306C00327500,2020-02-26 9:45AM EST,327.5,0.11,0.0,0.6,-0.04,-26.67%,3,66,48.78,8
23,AVGO200306C00330000,2020-02-26 10:05AM EST,330.0,0.45,0.0,0.15,0.35,+350.00%,1,404,39.84,8
24,AVGO200306C00332500,2020-02-26 9:51AM EST,332.5,0.27,0.0,0.35,0.02,+8.00%,5,29,47.95,8
25,AVGO200306C00335000,2020-02-24 1:19PM EST,335.0,0.15,0.0,0.15,0.0,-,1,129,43.56,8
26,AVGO200306C00337500,2020-02-25 11:03AM EST,337.5,0.1,0.0,0.4,0.0,-,2,24,53.22,8
27,AVGO200306C00340000,2020-02-21 3:23PM EST,340.0,0.27,0.0,0.15,0.0,-,3,68,47.17,8
