,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AVGO200228P00250000,2020-02-25 3:45PM EST,250.0,0.2,0.0,0.15,-0.15,-42.86%,1,33,70.12,1
1,AVGO200228P00255000,2020-02-25 3:58PM EST,255.0,0.5,0.0,0.25,0.0,-,4,8,66.21,1
2,AVGO200228P00260000,2020-02-26 1:01PM EST,260.0,0.14,0.15,0.25,-0.51,-78.46%,35,28,61.91,1
3,AVGO200228P00265000,2020-02-26 11:55AM EST,265.0,0.25,0.2,0.35,-0.9,-78.26%,48,68,55.47,1
4,AVGO200228P00270000,2020-02-26 12:52PM EST,270.0,0.45,0.4,0.5,-1.39,-75.54%,20,101,50.68,1
5,AVGO200228P00275000,2020-02-26 11:30AM EST,275.0,1.4,0.75,0.9,-1.25,-47.17%,61,150,48.36,1
6,AVGO200228P00280000,2020-02-26 1:01PM EST,280.0,1.65,1.55,1.65,-2.55,-60.71%,90,219,45.19,1
7,AVGO200228P00282500,2020-02-26 12:47PM EST,282.5,2.1,2.15,2.3,-3.15,-60.00%,66,107,44.56,1
8,AVGO200228P00285000,2020-02-26 1:04PM EST,285.0,2.95,2.9,3.1,-3.27,-52.57%,285,267,43.63,1
9,AVGO200228P00287500,2020-02-26 11:45AM EST,287.5,5.7,4.0,4.3,0.17,+3.07%,48,287,44.58,1
10,AVGO200228P00290000,2020-02-26 1:12PM EST,290.0,5.48,5.2,5.4,-4.52,-45.20%,67,290,42.48,1
11,AVGO200228P00292500,2020-02-26 12:47PM EST,292.5,6.6,6.6,6.8,-4.4,-40.00%,53,253,41.08,1
12,AVGO200228P00295000,2020-02-26 12:34PM EST,295.0,8.96,8.7,9.0,-3.94,-30.54%,41,757,46.12,1
13,AVGO200228P00297500,2020-02-26 12:39PM EST,297.5,11.1,10.7,11.1,-5.6,-33.53%,3,136,48.85,1
14,AVGO200228P00300000,2020-02-26 12:46PM EST,300.0,12.75,12.6,13.0,-4.74,-27.10%,39,308,47.51,1
15,AVGO200228P00302500,2020-02-26 10:37AM EST,302.5,15.1,15.1,15.3,-6.2,-29.11%,26,225,50.39,1
16,AVGO200228P00305000,2020-02-26 12:31PM EST,305.0,18.5,17.4,18.0,-4.62,-19.98%,16,234,54.22,1
17,AVGO200228P00307500,2020-02-26 12:44PM EST,307.5,20.26,19.7,20.3,-3.42,-14.44%,25,322,55.52,1
18,AVGO200228P00310000,2020-02-26 11:09AM EST,310.0,25.13,22.4,23.1,-3.67,-12.74%,44,454,65.72,1
19,AVGO200228P00312500,2020-02-26 10:13AM EST,312.5,26.5,24.6,25.4,0.35,+1.34%,2,96,65.33,1
20,AVGO200228P00315000,2020-02-26 11:12AM EST,315.0,30.36,27.2,27.9,-1.24,-3.92%,5,67,71.24,1
21,AVGO200228P00317500,2020-02-25 10:47AM EST,317.5,28.29,29.8,30.5,0.0,-,9,79,78.27,1
22,AVGO200228P00320000,2020-02-25 1:00PM EST,320.0,38.0,32.3,32.9,0.0,-,11,35,81.69,1
23,AVGO200228P00322500,2020-02-20 12:43PM EST,322.5,33.31,33.2,37.2,0.0,-,1,29,88.67,1
24,AVGO200228P00325000,2020-02-20 2:37PM EST,325.0,16.6,35.7,39.7,0.0,-,10,7,93.16,1
25,AVGO200228P00327500,2020-02-18 12:29PM EST,327.5,17.83,38.2,42.2,0.0,-,1,6,97.56,1
26,AVGO200228P00330000,2020-02-18 2:18PM EST,330.0,19.69,40.8,44.3,0.0,-,1,0,97.75,1
