,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AVY200320C00115000,2020-02-18 5:45PM EST,115.0,10.79,8.3,8.6,0.0,-,1,1,32.94,22
1,AVY200320C00120000,2020-02-25 11:23AM EST,120.0,6.5,4.6,5.2,0.0,-,12,12,32.23,22
2,AVY200320C00125000,2020-02-25 12:05PM EST,125.0,3.3,2.3,2.75,0.0,-,11,14,31.53,22
3,AVY200320C00130000,2020-02-25 2:49PM EST,130.0,1.3,1.1,1.3,0.0,-,10,21,31.47,22
4,AVY200320C00135000,2020-02-26 10:20AM EST,135.0,0.65,0.45,0.6,0.03,+4.84%,2,30,32.37,22
5,AVY200320C00140000,2020-02-26 12:26PM EST,140.0,0.25,0.2,0.3,-0.05,-16.67%,1,424,34.18,22
6,AVY200320C00145000,2020-02-25 12:28PM EST,145.0,0.05,0.0,0.6,0.0,-,2,192,47.71,22
7,AVY200320C00150000,2020-02-20 3:48PM EST,150.0,0.33,0.0,0.2,0.0,-,1,484,43.65,22
8,AVY200320C00155000,2020-02-14 3:38PM EST,155.0,0.3,0.0,0.35,0.0,-,-,95,54.49,22
0,AVY200417C00120000,2020-02-25 10:22AM EST,120.0,8.6,5.9,6.7,0.0,-,1,16,30.27,50
1,AVY200417C00125000,2020-02-26 11:40AM EST,125.0,4.6,3.8,4.1,-2.1,-31.34%,10,19,28.89,50
2,AVY200417C00130000,2020-02-26 10:30AM EST,130.0,2.4,2.1,2.35,-0.31,-11.44%,5,99,28.28,50
3,AVY200417C00135000,2020-02-26 11:29AM EST,135.0,1.4,1.0,1.25,0.3,+27.27%,2,26,27.89,50
4,AVY200417C00140000,2020-02-24 9:56AM EST,140.0,0.55,0.45,0.65,-1.5,-73.17%,1,54,28.0,50
5,AVY200417C00145000,2020-02-25 3:59PM EST,145.0,0.3,0.2,0.35,0.0,-,2,38,28.66,50
6,AVY200417C00150000,2020-02-20 10:40AM EST,150.0,0.7,0.0,0.45,0.0,-,1,33,34.72,50
7,AVY200417C00155000,2020-02-12 3:49PM EST,155.0,0.54,0.0,0.5,0.0,-,2,2,39.8,50
0,AVY200717C00115000,2020-01-29 10:36AM EST,115.0,21.75,12.1,13.1,0.0,-,-,1,30.55,141
1,AVY200717C00120000,2020-02-19 10:09AM EST,120.0,19.27,9.1,9.8,0.0,-,1,5,28.61,141
2,AVY200717C00125000,2020-02-24 3:51PM EST,125.0,9.5,6.7,7.2,0.0,-,8,12,27.63,141
3,AVY200717C00130000,2020-02-12 3:52PM EST,130.0,14.15,4.6,5.2,0.0,-,13,32,27.12,141
4,AVY200717C00135000,2020-02-24 10:44AM EST,135.0,5.0,3.1,3.5,0.0,-,1,63,26.16,141
5,AVY200717C00140000,2020-02-18 11:47AM EST,140.0,6.1,1.9,2.25,0.0,-,1,14,25.33,141
6,AVY200717C00145000,2020-02-21 3:57PM EST,145.0,3.5,1.15,1.55,0.0,-,11,25,25.54,141
7,AVY200717C00150000,2020-02-21 2:49PM EST,150.0,2.35,0.65,0.85,0.0,-,10,11,24.32,141
8,AVY200717C00155000,2020-02-26 12:51PM EST,155.0,0.46,0.35,0.5,-0.99,-68.28%,1,8,24.0,141
9,AVY200717C00160000,2020-02-21 3:55PM EST,160.0,0.9,0.0,0.75,0.0,-,3,4,28.83,141
10,AVY200717C00175000,2020-01-07 11:56AM EST,175.0,0.25,0.05,0.55,0.0,-,-,1,33.59,141
