,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AWK200320P00070000,2019-09-18 6:44PM EST,70.0,0.2,0.1,0.75,0.0,-,-,2,137.31,22
1,AWK200320P00075000,2019-12-04 9:36AM EST,75.0,0.1,0.0,0.55,0.0,-,1,0,115.53,22
2,AWK200320P00090000,2019-12-27 11:24AM EST,90.0,0.14,0.0,0.3,0.0,-,2,10,75.39,22
3,AWK200320P00095000,2020-01-23 12:53PM EST,95.0,0.1,0.0,0.0,0.0,-,1,0,25.0,22
4,AWK200320P00100000,2020-02-24 9:30AM EST,100.0,0.65,0.0,0.4,0.0,-,1,384,60.55,22
5,AWK200320P00105000,2020-02-10 11:17AM EST,105.0,0.1,0.0,0.15,0.0,-,7,714,49.41,22
6,AWK200320P00110000,2020-02-25 12:02PM EST,110.0,0.05,0.05,0.1,0.0,-,5,491,38.67,22
7,AWK200320P00115000,2020-02-24 10:16AM EST,115.0,0.13,0.05,0.15,0.0,-,1,343,33.4,22
8,AWK200320P00120000,2020-02-25 2:28PM EST,120.0,0.26,0.15,0.25,0.0,-,3,461,28.47,22
9,AWK200320P00125000,2020-02-25 3:33PM EST,125.0,0.7,0.4,0.6,0.0,-,105,574,25.59,22
10,AWK200320P00130000,2020-02-26 12:01PM EST,130.0,1.1,1.05,1.25,-0.6,-35.29%,55,673,21.35,22
11,AWK200320P00135000,2020-02-25 3:49PM EST,135.0,2.7,2.7,3.0,-0.81,-23.08%,17,557,18.86,22
12,AWK200320P00140000,2020-02-26 9:30AM EST,140.0,6.1,6.0,6.4,0.4,+7.02%,2,37,18.09,22
13,AWK200320P00145000,2020-02-18 10:59AM EST,145.0,5.7,9.8,11.9,0.0,-,1,101,32.69,22
14,AWK200320P00150000,2020-02-21 2:50PM EST,150.0,12.24,13.8,18.0,0.0,-,1,1,52.86,22
0,AWK200417P00125000,2020-02-26 1:05PM EST,125.0,1.0,1.0,1.1,-0.37,-27.01%,3,26,21.51,50
1,AWK200417P00130000,2020-02-26 11:46AM EST,130.0,2.13,1.95,2.2,-0.43,-16.80%,12,12,19.92,50
2,AWK200417P00135000,2020-02-26 11:52AM EST,135.0,3.8,3.8,4.1,0.7,+22.58%,3,47,18.27,50
3,AWK200417P00140000,2020-02-25 6:52PM EST,140.0,7.2,6.7,7.1,0.0,-,-,-,16.87,50
0,AWK200619P00085000,2019-10-23 11:51AM EST,85.0,0.85,0.55,0.7,0.0,-,-,3,50.83,113
1,AWK200619P00090000,2020-01-16 11:25AM EST,90.0,0.2,0.05,0.3,0.0,-,2,18,38.57,113
2,AWK200619P00095000,2020-01-02 3:19PM EST,95.0,0.6,0.0,0.75,0.0,-,-,0,40.94,113
3,AWK200619P00100000,2020-02-10 2:36PM EST,100.0,0.28,0.25,0.5,0.0,-,1,11,32.86,113
4,AWK200619P00105000,2020-02-25 12:17PM EST,105.0,0.35,0.4,0.65,0.0,-,8,17,30.09,113
5,AWK200619P00110000,2020-02-24 10:02AM EST,110.0,0.6,0.65,0.8,0.0,-,1,19,26.89,113
6,AWK200619P00115000,2020-02-26 1:12PM EST,115.0,1.1,1.05,1.15,0.34,+44.74%,1,26,24.73,113
7,AWK200619P00120000,2020-02-26 12:52PM EST,120.0,1.6,1.45,1.75,0.4,+33.33%,4,213,23.05,113
