,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
1,AXP200228C00110000,2020-02-25 10:57AM EST,110.0,14.85,10.05,10.25,0.0,-,5,7,25.0,1
2,AXP200228C00114000,2020-02-25 3:32PM EST,114.0,7.0,8.05,8.25,0.0,-,-,-,102.15,1
3,AXP200228C00115000,2020-02-25 3:26PM EST,115.0,6.45,7.1,7.3,0.0,-,-,-,95.12,1
4,AXP200228C00116000,2020-02-24 3:48PM EST,116.0,5.35,4.5,4.6,0.0,-,11,0,39.55,1
5,AXP200228C00117000,2020-02-26 9:31AM EST,117.0,3.8,3.7,3.8,-0.9,-19.15%,13,0,39.75,1
6,AXP200228C00118000,2020-02-25 3:43PM EST,118.0,4.1,4.4,4.5,0.0,-,-,-,74.27,1
7,AXP200228C00119000,2020-02-26 12:21PM EST,119.0,2.33,2.23,2.27,-1.07,-31.47%,30,13,36.18,1
8,AXP200228C00120000,2020-02-26 1:12PM EST,120.0,1.62,1.61,1.65,-1.08,-40.00%,51,0,35.01,1
9,AXP200228C00121000,2020-02-26 1:08PM EST,121.0,1.23,1.12,1.15,-0.89,-41.98%,293,145,34.28,1
10,AXP200228C00122000,2020-02-26 12:26PM EST,122.0,0.79,0.72,0.74,-0.8,-50.31%,321,177,33.11,1
11,AXP200228C00123000,2020-02-26 12:27PM EST,123.0,0.46,0.43,0.45,-0.71,-60.68%,446,22,32.32,1
12,AXP200228C00124000,2020-02-26 12:15PM EST,124.0,0.27,0.24,0.26,-0.62,-69.66%,53,0,31.84,1
13,AXP200228C00125000,2020-02-26 11:46AM EST,125.0,0.15,0.13,0.14,-0.48,-76.19%,109,150,31.45,1
14,AXP200228C00126000,2020-02-26 10:23AM EST,126.0,0.19,0.06,0.08,-0.18,-48.65%,44,0,31.84,1
15,AXP200228C00127000,2020-02-26 12:01PM EST,127.0,0.04,0.0,0.05,-0.16,-80.00%,129,90,33.01,1
16,AXP200228C00128000,2020-02-26 9:57AM EST,128.0,0.03,0.0,0.03,-0.1,-76.92%,23,0,33.99,1
17,AXP200228C00129000,2020-02-26 9:57AM EST,129.0,0.06,0.0,0.03,-0.03,-33.33%,26,373,37.5,1
18,AXP200228C00130000,2020-02-25 1:02PM EST,130.0,0.03,0.0,0.03,-0.02,-40.00%,23,0,41.02,1
19,AXP200228C00131000,2020-02-26 11:14AM EST,131.0,0.01,0.0,0.03,-0.02,-66.67%,9,288,44.53,1
20,AXP200228C00132000,2020-02-24 3:48PM EST,132.0,0.03,0.0,0.02,0.0,-,57,0,45.31,1
21,AXP200228C00133000,2020-02-25 11:32AM EST,133.0,0.04,0.0,0.03,0.0,-,70,164,50.78,1
