,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,AZO200228P00920000,2020-02-24 11:23AM EST,920.0,0.4,0.05,3.9,0.0,-,11,11,78.05,1
1,AZO200228P00930000,2020-02-25 3:56PM EST,930.0,0.8,0.35,1.4,0.0,-,27,29,60.6,1
2,AZO200228P00940000,2020-02-07 11:34AM EST,940.0,1.69,0.05,4.2,0.0,-,1,1,66.66,1
3,AZO200228P00950000,2020-02-26 1:02PM EST,950.0,1.0,0.6,1.95,0.0,-,2,8,53.44,1
4,AZO200228P00955000,2020-02-24 12:13PM EST,955.0,0.96,0.4,1.65,0.0,-,-,-,53.55,1
5,AZO200228P00960000,2020-02-24 2:25PM EST,960.0,1.35,1.05,1.35,0.25,+22.73%,6,0,48.08,1
6,AZO200228P00965000,2020-02-26 9:30AM EST,965.0,1.4,1.25,1.7,0.25,+21.74%,1,10,47.66,1
7,AZO200228P00970000,2020-02-24 10:01AM EST,970.0,1.4,1.55,2.25,0.0,-,1,24,47.96,1
8,AZO200228P00975000,2020-02-24 3:30PM EST,975.0,0.94,1.85,2.45,0.0,-,2,0,45.72,1
9,AZO200228P00980000,2020-02-24 11:28AM EST,980.0,1.35,2.25,2.8,0.4,+42.11%,3,0,44.07,1
10,AZO200228P00985000,2020-02-24 3:47PM EST,985.0,1.35,1.95,3.4,0.0,-,-,3,43.24,1
11,AZO200228P00990000,2020-02-26 12:54PM EST,990.0,3.4,3.4,4.1,-1.2,-26.09%,14,52,42.35,1
12,AZO200228P00995000,2020-02-26 12:41PM EST,995.0,3.6,4.0,5.5,2.7,+300.00%,15,0,43.48,1
13,AZO200228P01000000,2020-02-26 10:55AM EST,1000.0,2.66,4.9,5.9,-1.24,-31.79%,6,31,40.47,1
14,AZO200228P01005000,2020-02-26 12:54PM EST,1005.0,6.45,5.9,7.9,0.75,+13.16%,8,10,42.14,1
15,AZO200228P01010000,2020-02-26 12:07PM EST,1010.0,7.26,7.7,9.7,6.16,+560.00%,7,18,42.34,1
16,AZO200228P01015000,2020-02-26 12:05PM EST,1015.0,6.56,9.0,12.0,0.1,+1.55%,1,9,43.24,1
17,AZO200228P01017500,2020-02-26 12:05PM EST,1017.5,7.12,9.8,13.0,0.11,+1.57%,1,0,43.0,1
18,AZO200228P01020000,2020-02-24 10:16AM EST,1020.0,8.0,10.8,13.9,0.0,-,31,0,42.33,1
19,AZO200228P01022500,2020-02-25 12:12PM EST,1022.5,5.5,12.0,15.5,0.0,-,3,14,43.38,1
20,AZO200228P01025000,2020-02-25 12:57PM EST,1025.0,6.9,12.7,15.8,0.0,-,5,21,40.75,1
21,AZO200228P01027500,2020-02-26 12:54PM EST,1027.5,15.34,13.8,17.4,8.54,+125.59%,2,28,41.47,1
22,AZO200228P01030000,2020-02-26 12:54PM EST,1030.0,16.68,15.5,19.0,3.68,+28.31%,14,48,42.01,1
23,AZO200228P01032500,2020-02-25 3:55PM EST,1032.5,11.1,16.2,20.5,-5.9,-34.71%,2,25,42.11,1
24,AZO200228P01035000,2020-02-25 3:55PM EST,1035.0,18.1,17.3,21.8,0.0,-,12,0,41.49,1
25,AZO200228P01037500,2020-02-25 2:57PM EST,1037.5,10.4,18.8,23.0,-2.9,-21.80%,2,0,40.38,1
26,AZO200228P01040000,2020-02-26 1:12PM EST,1040.0,22.77,20.2,25.4,5.87,+34.73%,6,47,42.56,1
27,AZO200228P01045000,2020-02-26 11:19AM EST,1045.0,13.25,23.7,29.0,-3.25,-19.70%,1,34,43.04,1
28,AZO200228P01047500,2020-02-25 1:53PM EST,1047.5,15.47,25.5,31.0,0.0,-,20,17,43.68,1
29,AZO200228P01050000,2020-02-25 2:35PM EST,1050.0,27.01,27.9,33.0,3.23,+13.58%,2,58,44.2,1
30,AZO200228P01052500,2020-02-25 12:37PM EST,1052.5,13.6,29.4,34.5,0.0,-,3,0,42.9,1
31,AZO200228P01055000,2020-02-25 12:53PM EST,1055.0,17.0,31.6,36.9,0.0,-,5,7,44.51,1
32,AZO200228P01057500,2020-02-24 3:05PM EST,1057.5,24.2,32.6,38.5,10.58,+77.68%,1,1,43.14,1
33,AZO200228P01060000,2020-02-25 1:29PM EST,1060.0,17.78,35.1,41.0,0.0,-,25,32,44.98,1
34,AZO200228P01062500,2020-02-24 12:26PM EST,1062.5,25.35,37.5,43.0,0.0,-,1,4,44.8,1
35,AZO200228P01065000,2020-02-25 9:54AM EST,1065.0,18.44,39.0,45.0,0.0,-,20,39,44.45,1
36,AZO200228P01067500,2020-02-24 12:26PM EST,1067.5,32.55,40.4,48.8,3.5,+12.05%,1,0,51.53,1
37,AZO200228P01070000,2020-02-24 1:32PM EST,1070.0,28.03,42.6,50.8,0.0,-,2,9,51.23,1
38,AZO200228P01072500,2020-02-21 1:09PM EST,1072.5,21.2,44.1,52.2,0.0,-,1,0,48.05,1
39,AZO200228P01075000,2020-02-21 1:09PM EST,1075.0,14.8,47.6,55.8,0.0,-,4,5,54.61,1
40,AZO200228P01077500,2020-02-20 1:17PM EST,1077.5,16.0,49.8,57.8,0.0,-,2,0,54.04,1
41,AZO200228P01080000,2020-02-26 9:58AM EST,1080.0,43.55,52.4,60.0,24.25,+125.65%,1,97,54.25,1
42,AZO200228P01082500,2020-02-03 3:49PM EST,1082.5,43.0,54.7,62.5,0.0,-,-,1,55.81,1
43,AZO200228P01087500,2020-02-20 2:31PM EST,1087.5,16.3,58.2,66.9,0.0,-,-,0,55.81,1
44,AZO200228P01090000,2020-02-19 1:23PM EST,1090.0,22.36,62.3,70.5,0.0,-,1,14,62.9,1
45,AZO200228P01092500,2020-02-20 3:57PM EST,1092.5,19.1,64.7,72.4,0.0,-,-,2,61.43,1
46,AZO200228P01095000,2020-02-21 11:39AM EST,1095.0,26.2,67.2,74.9,0.0,-,1,1,62.92,1
47,AZO200228P01100000,2020-02-24 9:47AM EST,1100.0,48.85,70.9,79.3,0.0,-,2,0,62.5,1
48,AZO200228P01105000,2020-02-06 1:19PM EST,1105.0,44.4,76.5,84.3,0.0,-,1,0,65.32,1
49,AZO200228P01107500,2020-02-06 1:18PM EST,1107.5,69.5,79.8,86.9,29.0,+71.60%,-,0,67.31,1
50,AZO200228P01110000,2020-02-24 9:47AM EST,1110.0,57.95,81.1,89.2,0.0,-,2,0,67.47,1
51,AZO200228P01115000,2020-02-06 1:18PM EST,1115.0,53.17,86.9,94.8,0.0,-,1,0,73.85,1
52,AZO200228P01117500,2020-02-05 11:10AM EST,1117.5,63.24,89.4,97.3,0.0,-,1,0,75.23,1
53,AZO200228P01120000,2020-02-11 3:08PM EST,1120.0,71.38,92.1,99.8,0.0,-,10,12,76.61,1
54,AZO200228P01122500,2020-02-07 12:21PM EST,1122.5,60.0,94.4,102.3,0.0,-,1,0,77.98,1
55,AZO200228P01125000,2020-01-29 12:36PM EST,1125.0,39.1,96.9,104.8,0.0,-,-,0,79.33,1
56,AZO200228P01127500,2020-02-06 3:19PM EST,1127.5,65.15,99.4,107.3,0.0,-,1,0,80.69,1
57,AZO200228P01130000,2020-02-03 10:59AM EST,1130.0,73.95,101.8,109.8,0.0,-,10,21,82.02,1
58,AZO200228P01132500,2020-02-24 12:11PM EST,1132.5,83.28,104.4,112.3,0.0,-,5,0,83.36,1
59,AZO200228P01135000,2020-02-24 12:11PM EST,1135.0,85.76,105.5,114.2,0.0,-,5,0,80.7,1
61,AZO200228P01140000,2020-02-11 3:08PM EST,1140.0,90.38,111.6,119.8,0.0,-,10,0,87.3,1
63,AZO200228P01145000,2020-02-20 1:15PM EST,1145.0,65.3,116.9,125.7,0.0,-,1,0,95.5,1
67,AZO200228P01155000,2020-01-31 9:58AM EST,1155.0,86.54,126.0,134.7,0.0,-,10,0,94.31,1
69,AZO200228P01165000,2020-02-10 2:19PM EST,1165.0,125.9,136.9,145.7,15.5,+14.04%,1,0,105.96,1
71,AZO200228P01180000,2020-02-24 12:05AM EST,1180.0,107.1,152.1,160.6,0.0,-,-,1,112.87,1
72,AZO200228P01240000,2020-02-11 9:34AM EST,1240.0,189.6,212.1,220.5,0.0,-,-,-,140.26,1
73,AZO200228P01320000,2020-02-10 9:32AM EST,1320.0,265.7,291.9,300.5,0.0,-,-,-,173.85,1
0,AZO200306P00880000,2020-02-25 2:28PM EST,880.0,4.4,3.4,3.9,0.0,-,-,-,64.8,8
1,AZO200306P00890000,2020-02-25 1:58PM EST,890.0,2.8,4.0,4.8,0.0,-,-,-,63.99,8
2,AZO200306P00900000,2020-02-14 2:47PM EST,900.0,2.4,6.2,6.9,0.0,-,3,0,67.26,8
3,AZO200306P00910000,2020-02-26 9:56AM EST,910.0,6.05,5.1,6.7,2.75,+83.33%,1,-,61.11,8
4,AZO200306P00920000,2020-02-21 1:21PM EST,920.0,2.5,8.1,9.0,0.0,-,1,8,64.29,8
