,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,A200320P00065000,2020-02-20 12:12PM EST,65.0,0.08,0.03,0.47,0.0,-,-,5,50.2,22
1,A200320P00070000,2020-02-26 12:33PM EST,70.0,0.41,0.36,0.42,-0.16,-28.07%,1,233,39.84,22
2,A200320P00072500,2020-02-26 12:08PM EST,72.5,0.7,0.63,0.67,-0.32,-31.37%,108,-,36.77,22
3,A200320P00075000,2020-02-26 10:48AM EST,75.0,0.88,1.02,1.07,-0.68,-43.59%,38,637,33.72,22
4,A200320P00077500,2020-02-25 2:41PM EST,77.5,2.14,1.66,1.7,0.0,-,1129,979,30.64,22
5,A200320P00080000,2020-02-26 11:53AM EST,80.0,2.5,2.66,2.72,-1.2,-32.43%,20,829,28.2,22
6,A200320P00082500,2020-02-26 11:46AM EST,82.5,4.22,4.0,4.15,-0.83,-16.44%,20,1254,25.34,22
7,A200320P00085000,2020-02-25 3:24PM EST,85.0,7.5,5.9,6.05,0.0,-,39,266,22.36,22
8,A200320P00087500,2020-02-24 12:44PM EST,87.5,9.05,8.05,8.45,2.07,+29.66%,1,107,25.29,22
0,A200417P00065000,2020-02-25 11:18AM EST,65.0,0.4,0.37,0.45,0.0,-,1,2,39.26,50
1,A200417P00070000,2020-02-26 12:59PM EST,70.0,0.83,0.8,0.85,-0.02,-2.35%,2,21,33.94,50
2,A200417P00075000,2020-02-26 12:58PM EST,75.0,1.7,1.65,1.73,0.26,+18.06%,1,5,29.54,50
3,A200417P00077500,2020-02-26 12:57PM EST,77.5,2.47,2.39,2.5,-0.84,-25.38%,86,22,27.81,50
4,A200417P00080000,2020-02-26 11:47AM EST,80.0,3.25,3.4,3.6,0.05,+1.56%,42,309,26.56,50
5,A200417P00082500,2020-02-24 12:06PM EST,82.5,4.3,4.65,5.05,0.0,-,-,20,25.68,50
0,A200515P00045000,2019-12-23 3:54PM EST,45.0,0.1,0.0,0.05,0.0,-,-,2,51.95,78
1,A200515P00050000,2020-01-17 9:52AM EST,50.0,0.05,0.0,0.12,0.0,-,5,5,49.02,78
2,A200515P00055000,2019-11-19 9:35AM EST,55.0,0.48,0.08,0.35,0.0,-,-,3,48.73,78
3,A200515P00060000,2020-02-19 3:50PM EST,60.0,0.08,0.37,0.5,0.0,-,10,54,42.38,78
4,A200515P00065000,2020-01-13 10:34AM EST,65.0,0.31,0.0,0.66,0.0,-,1,351,35.16,78
5,A200515P00067500,2020-02-24 3:21PM EST,67.5,0.91,0.89,1.08,0.0,-,3,38,35.43,78
6,A200515P00070000,2020-02-25 3:53PM EST,70.0,1.53,1.11,1.36,0.0,-,556,574,32.76,78
7,A200515P00072500,2020-02-25 3:53PM EST,72.5,2.33,1.63,1.84,0.0,-,755,350,31.12,78
8,A200515P00075000,2020-02-25 2:29PM EST,75.0,2.9,2.14,2.45,0.0,-,10,388,29.35,78
9,A200515P00077500,2020-02-25 12:57PM EST,77.5,3.3,3.05,3.25,0.0,-,1004,1055,27.64,78
10,A200515P00080000,2020-02-26 12:16PM EST,80.0,4.5,4.1,4.35,0.5,+12.50%,2,281,26.49,78
11,A200515P00082500,2020-02-25 12:57PM EST,82.5,6.0,5.4,5.8,0.0,-,507,405,26.04,78
12,A200515P00085000,2020-02-24 9:31AM EST,85.0,5.5,7.05,7.45,0.0,-,2,232,25.32,78
13,A200515P00087500,2020-02-18 3:42PM EST,87.5,5.8,8.9,9.3,0.0,-,110,90,24.34,78
14,A200515P00090000,2020-02-25 1:31PM EST,90.0,11.55,10.95,11.3,0.0,-,5,31,22.66,78
16,A200515P00095000,2020-02-25 1:36PM EST,95.0,16.3,15.5,15.9,0.0,-,2,4,20.66,78
0,A200821P00060000,2020-02-24 10:37AM EST,60.0,0.77,0.93,1.09,0.0,-,2,3,35.18,176
1,A200821P00065000,2020-02-20 11:59AM EST,65.0,1.61,1.55,1.68,0.76,+89.41%,6,78,32.22,176
2,A200821P00070000,2020-02-19 10:14AM EST,70.0,1.41,2.46,2.63,0.0,-,1,44,29.77,176
3,A200821P00072500,2020-02-25 12:33PM EST,72.5,3.06,3.1,3.3,0.0,-,1,1,28.8,176
