,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,BKR200320C00015000,2020-02-04 3:45PM EST,15.0,6.7,3.00,3.2,0.0,-,-,0,59.77,22
1,BKR200320C00017000,2020-02-25 10:49AM EST,17.0,2.39,1.45,1.6,0.0,-,10,59,54.69,22
2,BKR200320C00018000,2020-02-26 12:51PM EST,18.0,0.91,0.85,0.95,-0.34,-27.20%,47,0,50.29,22
3,BKR200320C00019000,2020-02-26 12:51PM EST,19.0,0.5,0.40,0.5,-0.25,-33.33%,6,53,49.41,22
4,BKR200320C00020000,2020-02-24 2:59PM EST,20.0,0.36,0.15,0.3,-0.08,-18.18%,11,0,52.15,22
5,BKR200320C00021000,2020-02-25 12:34PM EST,21.0,0.14,0.05,0.15,-0.04,-22.22%,1,0,51.76,22
6,BKR200320C00022000,2020-02-24 3:48PM EST,22.0,0.07,0.00,0.1,-0.03,-30.00%,1,0,55.86,22
7,BKR200320C00023000,2020-02-25 11:09AM EST,23.0,0.1,0.00,0.05,0.0,-,1,154,55.86,22
8,BKR200320C00024000,2020-02-26 1:13PM EST,24.0,0.1,0.00,0.15,0.05,+100.00%,2,146,68.75,22
9,BKR200320C00025000,2020-02-19 11:25AM EST,25.0,0.1,0.00,0.15,0.0,-,3,0,75.78,22
10,BKR200320C00026000,2020-02-18 9:31AM EST,26.0,0.05,0.00,0.1,0.0,-,1,25,76.95,22
11,BKR200320C00027000,2020-02-07 3:51PM EST,27.0,0.05,0.00,0.15,0.0,-,10,10,89.45,22
12,BKR200320C00030000,2020-02-07 3:51PM EST,30.0,0.05,0.00,0.15,0.0,-,5,5,107.03,22
13,BKR200320C00032000,2020-02-12 2:18PM EST,32.0,0.08,-,0.15,0.0,-,-,10,133.2,22
0,BKR200417C00015000,2020-01-08 1:58PM EST,15.0,9.81,7.3,8.0,0.0,-,1,0,254.39,50
1,BKR200417C00016000,2020-02-25 3:01PM EST,16.0,3.2,2.4,2.5,0.0,-,1,1,50.98,50
2,BKR200417C00017000,2020-02-26 1:09PM EST,17.0,1.75,1.7,1.8,-0.5,-22.22%,7,8,48.29,50
3,BKR200417C00018000,2020-02-26 12:16PM EST,18.0,1.2,1.1,1.2,-2.55,-68.00%,1,0,45.31,50
4,BKR200417C00019000,2020-02-26 10:55AM EST,19.0,0.88,0.7,0.8,-0.07,-7.37%,1,126,45.22,50
5,BKR200417C00020000,2020-02-26 9:57AM EST,20.0,0.49,0.4,0.5,-0.01,-2.00%,41,79,44.53,50
6,BKR200417C00021000,2020-02-26 12:42PM EST,21.0,0.25,0.2,0.3,-0.14,-35.90%,12,196,44.14,50
7,BKR200417C00022000,2020-02-24 1:13PM EST,22.0,0.2,0.05,0.2,0.0,-,53,0,45.7,50
8,BKR200417C00023000,2020-02-26 10:32AM EST,23.0,0.1,0.0,0.1,-0.05,-33.33%,10,151,43.95,50
9,BKR200417C00024000,2020-02-24 10:17AM EST,24.0,0.1,0.0,0.1,0.04,+66.67%,7,0,49.61,50
10,BKR200417C00025000,2020-02-24 10:09AM EST,25.0,0.13,0.0,0.15,0.0,-,1,373,51.56,50
11,BKR200417C00026000,2020-01-31 2:12PM EST,26.0,0.2,0.0,0.15,0.0,-,1,0,56.25,50
12,BKR200417C00027000,2020-02-19 9:39AM EST,27.0,0.04,0.0,0.15,0.0,-,4,0,60.74,50
13,BKR200417C00028000,2020-02-20 1:55PM EST,28.0,0.05,0.0,0.15,0.0,-,5,0,64.84,50
14,BKR200417C00029000,2020-01-23 1:52PM EST,29.0,0.04,0.0,0.1,0.0,-,2,17,64.45,50
15,BKR200417C00030000,2020-01-02 2:16PM EST,30.0,0.35,0.0,0.1,0.0,-,50,1099,67.97,50
16,BKR200417C00032000,2020-01-02 2:15PM EST,32.0,0.16,0.0,0.1,0.0,-,250,0,75.0,50
0,BKR200717C00015000,2020-02-25 11:15AM EST,15.0,4.5,3.5,3.6,0.0,-,3,110,42.33,141
1,BKR200717C00017000,2020-01-06 10:14AM EST,17.0,8.7,5.3,6.0,0.0,-,-,4,121.0,141
2,BKR200717C00018000,2020-02-19 12:03PM EST,18.0,3.3,1.6,1.7,0.0,-,-,0,38.38,141
3,BKR200717C00019000,2020-02-25 1:38PM EST,19.0,1.55,1.15,1.25,0.0,-,81,86,37.35,141
4,BKR200717C00020000,2020-02-24 10:16AM EST,20.0,1.12,0.8,0.9,0.0,-,3,0,36.67,141
5,BKR200717C00021000,2020-02-25 1:33PM EST,21.0,0.75,0.55,0.65,0.0,-,5,153,36.52,141
6,BKR200717C00022000,2020-02-26 12:26PM EST,22.0,0.45,0.35,0.45,-0.12,-21.05%,22,107,36.04,141
7,BKR200717C00023000,2020-02-19 2:20PM EST,23.0,0.35,0.2,0.35,0.0,-,29,0,37.26,141
8,BKR200717C00024000,2020-02-18 3:45PM EST,24.0,0.55,0.15,0.3,0.0,-,7,517,39.36,141
9,BKR200717C00025000,2020-02-25 1:19PM EST,25.0,0.15,0.1,0.2,0.0,-,106,0,38.57,141
10,BKR200717C00026000,2020-02-21 9:34AM EST,26.0,0.2,0.0,0.2,0.0,-,1,0,41.8,141
11,BKR200717C00027000,2020-02-21 2:49PM EST,27.0,0.1,0.0,0.2,0.0,-,2,0,44.82,141
12,BKR200717C00028000,2020-02-18 9:34AM EST,28.0,0.15,0.0,0.15,0.0,-,6,469,44.73,141
13,BKR200717C00029000,2020-01-29 3:39PM EST,29.0,0.1,0.0,0.15,0.0,-,2,19,47.36,141
14,BKR200717C00030000,2020-02-25 1:26PM EST,30.0,0.05,0.05,0.15,0.0,-,1,129,49.81,141
15,BKR200717C00031000,2020-01-21 10:34AM EST,31.0,0.1,0.0,0.15,0.0,-,5,11,52.15,141
0,BKR201016C00019000,2020-02-24 11:26AM EST,19.0,2.25,1.6,1.75,0.0,-,-,-,37.94,232
1,BKR201016C00022000,2020-02-25 2:18PM EST,22.0,0.85,0.7,0.8,0.0,-,-,-,35.84,232
2,BKR201016C00024000,2020-02-24 1:15PM EST,24.0,0.5,0.35,0.5,0.0,-,-,-,36.23,232
0,BKR210115C00013000,2020-02-26 12:25PM EST,13.0,5.5,5.40,5.6,-2.47,-30.99%,1,0,40.67,323
1,BKR210115C00015000,2020-02-19 12:03PM EST,15.0,4.2,3.90,4.1,-1.9,-31.15%,1,71,37.94,323
2,BKR210115C00018000,2020-01-31 12:37PM EST,18.0,4.54,2.25,2.4,0.0,-,5,375,35.99,323
3,BKR210115C00020000,2020-02-25 1:23PM EST,20.0,1.82,1.45,1.6,0.0,-,27,0,35.06,323
4,BKR210115C00023000,2020-02-25 10:07AM EST,23.0,1.06,0.70,0.85,0.0,-,10,2562,34.6,323
5,BKR210115C00025000,2020-02-26 11:53AM EST,25.0,0.46,0.40,0.55,-0.09,-16.36%,30,851,34.47,323
6,BKR210115C00028000,2020-02-25 1:18PM EST,28.0,0.28,0.15,0.3,0.0,-,17,0,34.91,323
7,BKR210115C00030000,2020-02-18 2:29PM EST,30.0,0.16,0.10,0.2,-0.01,-5.88%,5,0,35.16,323
