,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,BLL200320C00060000,2020-02-06 12:29PM EST,60.0,16.04,15.5,16.3,0.0,-,2,5,57.91,22
1,BLL200320C00062500,2020-02-26 11:26AM EST,62.5,14.28,13.2,13.7,2.47,+20.91%,5,241,44.34,22
2,BLL200320C00065000,2020-02-25 1:18PM EST,65.0,10.47,10.8,11.2,0.0,-,6,32,36.91,22
3,BLL200320C00067500,2020-02-20 2:12PM EST,67.5,9.27,8.4,8.7,1.97,+26.99%,1,3,29.59,22
4,BLL200320C00070000,2020-02-25 12:24PM EST,70.0,6.16,6.2,6.6,0.0,-,4,17,33.06,22
5,BLL200320C00072500,2020-02-25 3:47PM EST,72.5,4.6,4.3,4.6,1.03,+28.85%,6,135,31.71,22
6,BLL200320C00075000,2020-02-26 12:14PM EST,75.0,2.75,2.65,2.8,0.7,+34.15%,9,0,28.83,22
7,BLL200320C00077500,2020-02-26 11:47AM EST,77.5,1.45,1.4,1.6,0.43,+42.16%,10,0,28.59,22
8,BLL200320C00080000,2020-02-26 11:59AM EST,80.0,0.78,0.6,0.75,0.31,+65.96%,6,1198,27.25,22
9,BLL200320C00085000,2020-02-25 12:33PM EST,85.0,0.1,0.0,0.1,0.0,-,1,58,25.68,22
10,BLL200320C00090000,2020-02-21 3:48PM EST,90.0,0.05,0.0,0.1,0.0,-,3,0,35.84,22
11,BLL200320C00095000,2020-02-05 3:42PM EST,95.0,0.1,0.0,0.05,0.0,-,-,1,40.43,22
0,BLL200417C00065000,2020-02-25 11:41AM EST,65.0,11.33,11.2,11.5,0.0,-,1,1,33.06,50
1,BLL200417C00070000,2020-02-24 3:53PM EST,70.0,7.55,7.1,7.7,0.0,-,-,-,35.94,50
2,BLL200417C00077500,2020-02-26 11:48AM EST,77.5,2.65,2.3,2.4,0.45,+20.45%,2,61,26.51,50
3,BLL200417C00080000,2020-02-26 12:22PM EST,80.0,1.32,1.4,1.5,0.17,+14.78%,11,2,26.18,50
4,BLL200417C00085000,2020-02-24 11:01AM EST,85.0,0.45,0.3,0.5,0.0,-,-,-,25.88,50
0,BLL200515C00045000,2020-01-06 9:40AM EST,45.0,20.6,31.70,32.9,0.0,-,1,1,89.99,78
1,BLL200515C00047500,2020-01-09 12:17PM EST,47.5,19.35,29.00,31.4,0.0,-,1,5,89.75,78
3,BLL200515C00060000,2020-02-18 10:32AM EST,60.0,17.5,15.90,16.6,0.0,-,2,0,38.57,78
4,BLL200515C00062500,2020-02-18 9:52AM EST,62.5,15.43,13.90,14.3,0.0,-,1,9,36.62,78
5,BLL200515C00065000,2020-02-25 1:18PM EST,65.0,11.3,11.70,12.0,0.0,-,4,0,33.81,78
