,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,BMY200228C00055000,2020-02-05 9:47AM EST,55.0,10.6,7.30,7.8,0.0,-,-,1,92.97,1
1,BMY200228C00057000,2020-02-06 9:46AM EST,57.0,10.25,5.50,5.7,0.0,-,1,0,53.91,1
4,BMY200228C00059500,2020-02-25 6:56PM EST,59.5,3.26,3.35,3.55,0.0,-,-,-,58.4,1
5,BMY200228C00060000,2020-02-26 10:00AM EST,60.0,2.96,2.62,2.71,0.65,+28.14%,28,32,30.08,1
6,BMY200228C00061000,2020-02-25 2:39PM EST,61.0,2.03,1.74,1.79,0.7,+52.63%,3,0,28.32,1
7,BMY200228C00061500,2020-02-26 10:41AM EST,61.5,1.65,1.36,1.39,0.46,+38.66%,1,17,28.61,1
8,BMY200228C00062000,2020-02-26 11:41AM EST,62.0,1.09,1.02,1.04,0.34,+45.33%,67,0,28.91,1
9,BMY200228C00062500,2020-02-26 9:57AM EST,62.5,0.74,0.71,0.73,-0.02,-2.63%,30,0,28.32,1
10,BMY200228C00063000,2020-02-26 11:57AM EST,63.0,0.51,0.47,0.49,0.1,+24.39%,318,220,28.22,1
11,BMY200228C00063500,2020-02-26 10:35AM EST,63.5,0.43,0.38,0.41,0.07,+19.44%,94,-,33.01,1
12,BMY200228C00064000,2020-02-26 11:07AM EST,64.0,0.2,0.18,0.19,-0.03,-13.04%,404,0,28.32,1
13,BMY200228C00064500,2020-02-26 10:21AM EST,64.5,0.11,0.11,0.11,-0.04,-26.67%,25,358,28.52,1
14,BMY200228C00065000,2020-02-26 1:13PM EST,65.0,0.07,0.06,0.07,-0.03,-30.00%,255,0,29.69,1
15,BMY200228C00065500,2020-02-26 12:58PM EST,65.5,0.04,0.03,0.04,-0.03,-42.86%,112,536,30.27,1
16,BMY200228C00066000,2020-02-26 12:35PM EST,66.0,0.02,0.02,0.03,-0.02,-50.00%,99,0,32.42,1
17,BMY200228C00066500,2020-02-25 2:54PM EST,66.5,0.05,0.01,0.03,0.02,+66.67%,2,0,36.33,1
18,BMY200228C00067000,2020-02-25 3:37PM EST,67.0,0.02,0.00,0.04,0.0,-,9,0,42.19,1
19,BMY200228C00067500,2020-02-25 10:15AM EST,67.5,0.02,0.00,0.02,-0.01,-33.33%,20,0,40.63,1
20,BMY200228C00068000,2020-02-24 3:15PM EST,68.0,0.02,0.00,0.02,-0.01,-33.33%,2,0,44.14,1
21,BMY200228C00068500,2020-02-21 1:23PM EST,68.5,0.07,0.00,0.03,0.0,-,1,19,50.78,1
22,BMY200228C00069000,2020-02-25 9:52AM EST,69.0,0.02,0.00,0.02,0.0,-,5,483,50.78,1
23,BMY200228C00069500,2020-02-18 12:28PM EST,69.5,0.1,0.00,0.03,0.0,-,-,0,51.56,1
24,BMY200228C00070000,2020-02-26 1:00PM EST,70.0,0.02,0.00,0.03,-0.01,-33.33%,44,354,54.69,1
25,BMY200228C00070500,2020-02-24 9:54AM EST,70.5,0.02,0.00,0.03,0.0,-,-,2,57.81,1
26,BMY200228C00071000,2020-02-25 3:14PM EST,71.0,0.01,0.00,0.02,0.0,-,124,346,57.81,1
27,BMY200228C00071500,2020-02-18 9:34AM EST,71.5,0.04,0.00,0.03,0.0,-,-,5,64.06,1
28,BMY200228C00072000,2020-02-20 10:26AM EST,72.0,0.01,0.00,0.02,0.0,-,1,0,64.06,1
29,BMY200228C00073000,2020-02-14 3:20PM EST,73.0,0.01,0.00,0.03,0.0,-,7,0,71.88,1
30,BMY200228C00075000,2020-02-12 10:13AM EST,75.0,0.04,0.00,0.03,0.0,-,5,52,82.81,1
31,BMY200228C00080000,2020-02-13 4:53PM EST,80.0,0.02,-,0.03,0.0,-,-,70,118.75,1
0,BMY200306C00056500,2020-02-25 2:28PM EST,56.5,5.45,6.3,6.5,0.0,-,-,-,54.3,8
1,BMY200306C00058500,2020-02-25 6:56PM EST,58.5,3.95,4.25,4.4,0.0,-,-,45,36.43,8
2,BMY200306C00059000,2020-02-04 10:26AM EST,59.0,5.9,3.75,3.9,0.0,-,-,0,33.2,8
3,BMY200306C00060000,2020-02-07 1:10PM EST,60.0,3.3,2.96,3.05,-3.05,-48.03%,22,0,32.13,8
4,BMY200306C00060500,2020-02-25 2:28PM EST,60.5,2.26,2.59,2.62,0.0,-,2,1,30.66,8
5,BMY200306C00061000,2020-02-25 3:56PM EST,61.0,2.03,2.26,2.29,0.0,-,1,0,31.49,8
6,BMY200306C00061500,2020-02-25 6:56PM EST,61.5,2.2,1.88,1.91,-0.3,-12.00%,7,1,30.18,8
7,BMY200306C00062000,2020-02-25 3:30PM EST,62.0,1.87,1.58,1.62,0.47,+33.57%,8,72,30.52,8
8,BMY200306C00062500,2020-02-25 2:06PM EST,62.5,1.57,1.29,1.31,0.42,+36.52%,22,0,29.59,8
9,BMY200306C00063000,2020-02-26 1:12PM EST,63.0,1.05,1.04,1.06,0.11,+11.70%,32,105,29.35,8
10,BMY200306C00063500,2020-02-26 10:11AM EST,63.5,0.81,0.94,0.97,0.03,+3.85%,10,-,32.28,8
11,BMY200306C00064000,2020-02-26 1:01PM EST,64.0,0.67,0.66,0.68,-0.01,-1.47%,128,280,29.49,8
12,BMY200306C00064500,2020-02-26 11:34AM EST,64.5,0.7,0.5,0.51,0.22,+45.83%,12,0,28.86,8
13,BMY200306C00065000,2020-02-26 1:13PM EST,65.0,0.38,0.39,0.41,-0.03,-7.32%,89,228,29.49,8
14,BMY200306C00065500,2020-02-26 9:47AM EST,65.5,0.42,0.28,0.3,0.13,+44.83%,27,0,29.1,8
15,BMY200306C00066000,2020-02-26 10:57AM EST,66.0,0.28,0.22,0.23,0.02,+7.69%,56,389,29.4,8
16,BMY200306C00066500,2020-02-26 12:46PM EST,66.5,0.17,0.16,0.17,-0.03,-15.00%,14,0,29.4,8
17,BMY200306C00067000,2020-02-26 10:04AM EST,67.0,0.17,0.12,0.13,0.05,+41.67%,5,0,29.88,8
18,BMY200306C00067500,2020-02-25 1:24PM EST,67.5,0.11,0.08,0.1,0.0,-,22,124,30.27,8
19,BMY200306C00068000,2020-02-26 10:09AM EST,68.0,0.08,0.06,0.08,0.0,-,1,518,31.06,8
20,BMY200306C00068500,2020-02-21 2:27PM EST,68.5,0.08,0.04,0.08,0.0,-,100,0,33.2,8
21,BMY200306C00069000,2020-02-26 9:33AM EST,69.0,0.06,0.03,0.07,0.0,-,11,271,34.38,8
22,BMY200306C00070000,2020-02-25 12:30PM EST,70.0,0.03,0.01,0.05,0.0,-,19,0,36.13,8
