,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CAG200228P00025000,2020-02-24 9:30AM EST,25.0,0.1,-,0.1,0.0,-,-,-,84.38,1
1,CAG200228P00027500,2020-02-26 1:11PM EST,27.5,0.4,0.35,0.4,0.25,+166.67%,3,5,41.21,1
2,CAG200228P00028000,2020-02-26 11:03AM EST,28.0,0.29,0.65,0.7,-0.15,-34.09%,2,2,41.41,1
3,CAG200228P00028500,2020-02-25 1:59PM EST,28.5,0.56,1.05,1.1,0.0,-,6,5,44.53,1
4,CAG200228P00029000,2020-02-25 1:25PM EST,29.0,1.1,1.45,1.6,0.0,-,2,447,57.23,1
5,CAG200228P00029500,2020-02-21 3:15PM EST,29.5,1.39,1.95,2.05,0.0,-,1,0,58.98,1
6,CAG200228P00030000,2020-02-25 11:29AM EST,30.0,1.7,2.45,2.55,0.0,-,6,3191,53.13,1
7,CAG200228P00030500,2020-02-24 2:50PM EST,30.5,1.35,2.95,3.1,0.0,-,5,35,71.48,1
8,CAG200228P00031000,2020-02-20 3:04PM EST,31.0,1.35,3.50,3.6,0.0,-,1,0,88.28,1
9,CAG200228P00031500,2020-02-24 2:50PM EST,31.5,2.33,3.90,4.1,0.0,-,3,0,76.56,1
10,CAG200228P00032000,2020-02-14 2:49PM EST,32.0,1.5,4.40,4.6,0.0,-,1,0,84.38,1
11,CAG200228P00032500,2020-02-21 12:16PM EST,32.5,2.75,4.90,5.1,0.0,-,5,45,90.63,1
12,CAG200228P00033000,2020-02-24 11:22AM EST,33.0,3.95,5.40,5.6,0.0,-,3,9,98.44,1
13,CAG200228P00033500,2020-02-04 12:02PM EST,33.5,1.45,5.90,6.0,0.0,-,-,0,104.69,1
16,CAG200228P00035000,2020-01-28 12:49PM EST,35.0,2.39,7.20,7.5,0.0,-,-,0,123.44,1
0,CAG200306P00027000,2020-02-25 9:30AM EST,27.0,0.05,0.2,0.3,0.0,-,-,-,28.81,8
1,CAG200306P00028000,2020-02-26 11:05AM EST,28.0,0.6,0.95,1.0,0.0,-,1,0,40.14,8
2,CAG200306P00028500,2020-02-25 12:45PM EST,28.5,1.1,1.25,1.35,0.2,+22.22%,7,0,41.21,8
3,CAG200306P00029000,2020-02-24 10:52AM EST,29.0,0.62,1.6,1.75,0.0,-,633,813,42.97,8
4,CAG200306P00029500,2020-02-25 2:32PM EST,29.5,1.75,2.05,2.15,0.0,-,2,1,42.38,8
5,CAG200306P00030000,2020-02-21 2:50PM EST,30.0,1.0,2.45,2.65,0.0,-,1,325,48.83,8
6,CAG200306P00030500,2020-02-24 9:30AM EST,30.5,1.5,2.95,3.1,0.0,-,1,53,49.61,8
7,CAG200306P00031000,2020-02-20 9:38AM EST,31.0,1.4,3.4,3.6,0.0,-,-,2,55.08,8
8,CAG200306P00031500,2020-02-26 11:54AM EST,31.5,3.49,3.9,4.1,0.19,+5.76%,5,9,60.35,8
9,CAG200306P00032000,2020-02-10 1:39PM EST,32.0,0.9,4.4,4.6,0.0,-,1,2,65.43,8
