,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CBRE200320P00040000,2020-01-28 10:55AM EST,40.0,0.08,0.05,0.2,0.0,-,2,0,77.93,22
1,CBRE200320P00045000,2020-02-21 3:41PM EST,45.0,0.1,0.0,0.2,0.0,-,1,0,53.91,22
2,CBRE200320P00050000,2020-02-11 11:24AM EST,50.0,0.3,0.25,0.35,0.18,+150.00%,3,0,46.29,22
3,CBRE200320P00055000,2020-02-26 10:27AM EST,55.0,0.85,0.85,1.0,-0.15,-15.00%,2,233,36.23,22
4,CBRE200320P00060000,2020-02-25 9:46AM EST,60.0,1.65,2.95,3.2,0.0,-,3,740,30.71,22
5,CBRE200320P00065000,2020-02-24 3:45PM EST,65.0,6.7,6.9,8.2,0.0,-,3,756,54.25,22
0,CBRE200619P00030000,2020-02-21 9:32AM EST,30.0,0.05,0.0,0.25,0.0,-,10,133,59.18,113
1,CBRE200619P00040000,2019-12-09 3:36PM EST,40.0,0.43,0.0,0.65,0.0,-,10,0,51.07,113
2,CBRE200619P00045000,2020-02-24 11:30AM EST,45.0,0.3,0.4,0.5,0.0,-,4,83,35.28,113
3,CBRE200619P00050000,2020-01-28 10:55AM EST,50.0,0.52,0.85,1.05,0.0,-,2,0,30.76,113
4,CBRE200619P00055000,2020-02-25 1:26PM EST,55.0,1.8,1.95,2.2,0.0,-,3,162,26.91,113
5,CBRE200619P00060000,2020-02-24 2:42PM EST,60.0,2.97,4.2,4.4,0.0,-,3,0,23.82,113
6,CBRE200619P00065000,2020-02-25 2:57PM EST,65.0,7.2,7.7,8.0,0.0,-,1,13,22.61,113
0,CBRE200918P00055000,2020-02-25 1:49PM EST,55.0,2.5,2.7,2.95,0.0,-,23,36,24.76,204
1,CBRE200918P00060000,2020-01-22 3:47PM EST,60.0,3.4,2.65,2.85,0.0,-,-,0,8.18,204
2,CBRE200918P00065000,2020-02-13 11:29AM EST,65.0,4.69,8.1,8.4,0.0,-,3,0,20.06,204
