,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CB200320C00145000,2020-01-23 1:50PM EST,145.0,9.1,16.60,21.4,0.0,-,-,3,73.78,22
1,CB200320C00150000,2020-02-19 12:31PM EST,150.0,14.0,8.20,11.2,0.0,-,1,161,41.3,22
2,CB200320C00155000,2020-02-24 3:58PM EST,155.0,6.76,4.90,5.5,0.0,-,10,81,24.23,22
3,CB200320C00160000,2020-02-26 12:34PM EST,160.0,2.65,2.05,2.7,0.25,+10.42%,1,628,22.47,22
4,CB200320C00165000,2020-02-26 12:35PM EST,165.0,0.85,0.65,0.85,0.03,+3.66%,2,0,19.58,22
5,CB200320C00170000,2020-02-25 10:30AM EST,170.0,0.3,0.15,0.3,0.05,+20.00%,1,0,20.29,22
6,CB200320C00175000,2020-02-24 11:32AM EST,175.0,0.36,0.00,0.2,0.0,-,30,0,23.98,22
7,CB200320C00180000,2020-02-04 3:57PM EST,180.0,0.1,0.00,0.5,0.0,-,-,2,35.25,22
8,CB200320C00185000,2020-02-10 12:06AM EST,185.0,0.2,-,0.2,0.0,-,-,0,33.89,22
0,CB200417C00160000,2020-02-26 12:55PM EST,160.0,3.6,3.5,3.8,0.1,+2.86%,9,0,19.96,50
1,CB200417C00165000,2020-02-26 1:01PM EST,165.0,1.85,1.7,1.85,-0.25,-11.90%,9,20,18.7,50
2,CB200417C00170000,2020-02-25 11:57AM EST,170.0,0.95,0.75,0.85,0.0,-,21,29,18.48,50
3,CB200417C00175000,2020-02-24 11:27AM EST,175.0,0.55,0.25,0.35,0.0,-,-,4,18.36,50
1,CB200515C00115000,2020-02-05 9:35AM EST,115.0,46.0,41.1,44.7,0.0,-,1,0,54.86,78
3,CB200515C00135000,2019-11-18 12:12AM EST,135.0,19.06,21.6,23.4,0.0,-,-,2,22.88,78
4,CB200515C00140000,2020-02-11 11:02AM EST,140.0,24.56,18.7,19.4,0.0,-,5,5,25.76,78
6,CB200515C00150000,2020-02-20 10:08AM EST,150.0,15.01,10.5,11.1,0.0,-,1,0,22.22,78
7,CB200515C00155000,2020-02-21 3:20PM EST,155.0,9.5,7.0,7.7,0.0,-,1,633,21.02,78
8,CB200515C00160000,2020-02-25 12:29PM EST,160.0,5.1,4.6,4.9,0.0,-,3,0,19.84,78
9,CB200515C00165000,2020-02-26 11:09AM EST,165.0,2.75,2.65,2.85,0.05,+1.85%,26,0,18.95,78
10,CB200515C00170000,2020-02-26 12:31PM EST,170.0,1.42,1.4,1.55,-0.08,-5.33%,21,524,18.48,78
11,CB200515C00175000,2020-02-26 11:10AM EST,175.0,0.64,0.6,0.8,-0.15,-18.99%,17,563,18.31,78
12,CB200515C00180000,2020-02-25 2:28PM EST,180.0,0.32,0.3,0.45,0.0,-,7,132,18.82,78
13,CB200515C00185000,2020-01-08 2:37PM EST,185.0,0.01,0.2,0.45,0.0,-,2,3,21.77,78
0,CB200821C00110000,2020-02-18 12:03AM EST,110.0,53.6,46.7,50.8,0.0,-,-,1,46.8,176
1,CB200821C00140000,2020-01-10 3:11PM EST,140.0,14.5,25.1,26.8,0.0,-,1,0,39.47,176
2,CB200821C00145000,2020-02-21 2:21PM EST,145.0,21.13,16.3,17.1,0.0,-,5,0,21.96,176
3,CB200821C00150000,2020-02-03 9:33AM EST,150.0,11.0,13.0,13.5,0.0,-,17,0,21.01,176
4,CB200821C00155000,2020-02-24 3:24PM EST,155.0,11.75,9.8,10.2,0.0,-,509,119,19.9,176
5,CB200821C00160000,2020-02-25 3:44PM EST,160.0,7.3,7.0,7.5,0.0,-,117,808,19.22,176
6,CB200821C00165000,2020-02-25 1:35PM EST,165.0,5.15,4.8,5.4,0.0,-,9,70,18.87,176
7,CB200821C00170000,2020-02-20 3:54PM EST,170.0,3.83,3.2,3.6,0.56,+17.13%,3,0,18.15,176
8,CB200821C00175000,2020-02-26 11:42AM EST,175.0,2.26,2.05,2.3,0.14,+6.60%,1,0,17.6,176
9,CB200821C00180000,2020-02-14 3:46PM EST,180.0,1.05,1.2,1.45,-0.35,-25.00%,8,0,17.33,176
10,CB200821C00185000,2020-02-20 1:30PM EST,185.0,0.88,0.7,0.9,0.0,-,3,5,17.21,176
11,CB200821C00190000,2020-02-18 12:03AM EST,190.0,0.49,0.35,0.55,0.0,-,-,0,17.16,176
1,CB210115C00135000,2019-06-07 10:07AM EST,135.0,12.5,17.5,27.5,0.0,-,0,20,23.58,323
2,CB210115C00140000,2019-06-09 11:12PM EST,140.0,9.04,14.1,24.0,0.0,-,10,10,23.53,323
3,CB210115C00145000,2019-06-07 10:07AM EST,145.0,8.0,11.2,21.0,0.0,-,15,15,23.88,323
4,CB210115C00150000,2020-02-05 11:56AM EST,150.0,17.5,15.5,17.0,0.0,-,130,0,21.88,323
5,CB210115C00155000,2020-02-24 3:24PM EST,155.0,14.05,12.0,13.7,0.0,-,508,0,20.73,323
6,CB210115C00160000,2020-02-24 2:53PM EST,160.0,10.3,9.9,10.9,0.0,-,4,0,19.94,323
7,CB210115C00165000,2020-02-25 2:02PM EST,165.0,8.0,7.7,8.8,0.0,-,15,0,19.79,323
8,CB210115C00170000,2020-02-25 10:17AM EST,170.0,6.1,5.6,6.7,0.0,-,4,0,19.1,323
9,CB210115C00175000,2020-02-24 10:59AM EST,175.0,5.5,4.2,5.0,0.0,-,2,0,18.54,323
10,CB210115C00180000,2020-02-21 12:14PM EST,180.0,3.94,2.95,3.7,0.0,-,2,0,18.18,323
11,CB210115C00185000,2020-02-13 1:39PM EST,185.0,3.3,1.7,2.85,0.0,-,5,0,18.26,323
12,CB210115C00190000,2020-02-13 9:57AM EST,190.0,1.95,1.4,1.85,0.0,-,1,0,17.41,323
13,CB210115C00195000,2020-02-25 1:44PM EST,195.0,1.1,0.95,1.3,0.0,-,2,0,17.22,323
