,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CCI200320C00100000,2020-02-21 10:13AM EST,100.0,68.2,63.5,64.8,0.0,-,1,0,88.48,22
1,CCI200320C00115000,2020-02-07 11:44AM EST,115.0,36.1,48.6,49.7,0.0,-,2,0,65.82,22
2,CCI200320C00125000,2020-02-06 2:30PM EST,125.0,26.25,38.6,39.9,0.0,-,-,2,56.69,22
3,CCI200320C00130000,2020-02-05 3:53PM EST,130.0,19.95,33.5,35.0,0.0,-,-,0,66.68,22
4,CCI200320C00135000,2020-02-21 12:28PM EST,135.0,32.65,28.6,29.9,0.0,-,1,0,56.59,22
5,CCI200320C00140000,2020-02-14 2:46PM EST,140.0,25.99,23.5,25.1,0.0,-,3,0,51.15,22
6,CCI200320C00145000,2020-02-19 3:49PM EST,145.0,21.5,18.7,19.7,0.0,-,2,0,37.45,22
7,CCI200320C00150000,2020-02-24 9:45AM EST,150.0,15.7,13.9,15.2,2.1,+15.44%,13,0,35.14,22
8,CCI200320C00155000,2020-02-26 11:37AM EST,155.0,10.8,9.9,10.4,0.89,+8.98%,5,0,27.91,22
9,CCI200320C00160000,2020-02-26 11:47AM EST,160.0,6.8,6.0,6.5,0.5,+7.94%,8,0,25.34,22
10,CCI200320C00165000,2020-02-26 11:49AM EST,165.0,3.3,3.2,3.5,-0.07,-2.08%,20,0,23.65,22
11,CCI200320C00170000,2020-02-26 1:13PM EST,170.0,1.5,1.35,1.6,0.22,+17.19%,130,0,22.74,22
12,CCI200320C00175000,2020-02-26 1:14PM EST,175.0,0.55,0.45,0.65,0.01,+1.85%,2322,0,22.63,22
13,CCI200320C00180000,2020-02-26 1:09PM EST,180.0,0.2,0.15,0.3,0.05,+33.33%,18,0,23.98,22
14,CCI200320C00185000,2020-02-25 3:58PM EST,185.0,0.15,0.05,0.2,0.02,+15.38%,1,0,27.0,22
15,CCI200320C00190000,2020-02-21 12:06PM EST,190.0,0.15,0.0,0.25,0.0,-,6,0,33.06,22
0,CCI200417C00095000,2020-01-10 11:03AM EST,95.0,46.1,70.0,72.2,0.0,-,1,0,107.5,50
1,CCI200417C00110000,2020-02-12 2:18PM EST,110.0,53.1,53.5,54.8,0.0,-,3,0,65.87,50
2,CCI200417C00115000,2020-02-13 10:44AM EST,115.0,48.55,48.6,49.5,0.0,-,1,0,53.98,50
3,CCI200417C00120000,2020-02-11 3:02PM EST,120.0,40.53,43.4,44.9,0.0,-,14,0,55.27,50
4,CCI200417C00125000,2020-02-18 10:26AM EST,125.0,41.07,38.6,39.9,0.0,-,1,0,49.39,50
5,CCI200417C00130000,2020-02-20 1:26PM EST,130.0,39.0,33.5,35.1,0.0,-,1,0,46.0,50
6,CCI200417C00135000,2020-02-20 1:26PM EST,135.0,34.0,28.7,30.2,0.0,-,2,166,41.16,50
7,CCI200417C00140000,2020-02-25 10:54AM EST,140.0,25.31,23.9,24.7,0.0,-,8,0,30.34,50
8,CCI200417C00145000,2020-02-25 12:58PM EST,145.0,20.19,19.1,19.8,0.0,-,5,0,26.05,50
9,CCI200417C00150000,2020-02-25 1:31PM EST,150.0,15.5,14.4,15.2,-0.1,-0.64%,1,0,23.63,50
10,CCI200417C00155000,2020-02-25 12:48PM EST,155.0,11.5,10.5,11.0,0.0,-,16,0,22.06,50
11,CCI200417C00160000,2020-02-25 1:11PM EST,160.0,7.49,7.1,7.5,0.79,+11.79%,1,206,21.45,50
12,CCI200417C00165000,2020-02-26 11:44AM EST,165.0,4.42,4.5,4.7,0.02,+0.45%,12,0,20.85,50
13,CCI200417C00170000,2020-02-26 12:14PM EST,170.0,2.45,2.55,2.7,-0.1,-3.92%,11,0,20.44,50
14,CCI200417C00175000,2020-02-26 12:52PM EST,175.0,1.3,1.25,1.4,0.09,+7.44%,35,0,20.06,50
15,CCI200417C00180000,2020-02-25 10:28AM EST,180.0,0.71,0.6,0.75,0.0,-,57,0,20.53,50
16,CCI200417C00185000,2020-02-26 11:44AM EST,185.0,0.3,0.2,0.4,-0.07,-18.92%,3,0,21.12,50
0,CCI200717C00100000,2020-02-19 2:34PM EST,100.0,65.4,63.4,64.9,0.0,-,-,0,48.78,141
1,CCI200717C00110000,2020-02-26 10:02AM EST,110.0,53.3,53.1,55.0,20.6,+63.00%,4,0,41.75,141
3,CCI200717C00120000,2020-02-11 11:40AM EST,120.0,41.73,42.8,45.8,0.0,-,1,0,39.89,141
4,CCI200717C00125000,2020-02-14 9:33AM EST,125.0,39.69,37.5,41.4,0.0,-,1,2,39.16,141
5,CCI200717C00130000,2020-02-20 12:07PM EST,130.0,38.02,33.7,35.5,0.0,-,2,0,30.23,141
6,CCI200717C00135000,2020-02-25 2:39PM EST,135.0,29.09,28.9,31.0,0.0,-,2,0,29.04,141
7,CCI200717C00140000,2020-02-26 11:39AM EST,140.0,26.2,25.2,25.9,1.7,+6.94%,5,0,24.7,141
8,CCI200717C00145000,2020-02-26 11:45AM EST,145.0,21.89,20.9,21.5,1.59,+7.83%,10,0,23.18,141
9,CCI200717C00150000,2020-02-26 10:22AM EST,150.0,17.87,16.6,17.6,-0.83,-4.44%,3,0,22.64,141
10,CCI200717C00155000,2020-02-25 1:21PM EST,155.0,14.1,13.3,13.8,0.0,-,2,0,21.42,141
11,CCI200717C00160000,2020-02-26 12:16PM EST,160.0,10.12,10.1,10.7,-0.18,-1.75%,5,0,21.09,141
12,CCI200717C00165000,2020-02-26 12:52PM EST,165.0,7.74,7.6,8.0,-0.06,-0.77%,13,0,20.63,141
13,CCI200717C00170000,2020-02-25 3:32PM EST,170.0,5.4,5.5,5.8,0.0,-,135,0,20.26,141
14,CCI200717C00175000,2020-02-26 12:55PM EST,175.0,3.72,3.8,4.0,-0.67,-15.26%,1,0,19.77,141
0,CCI201016C00155000,2020-02-25 9:46AM EST,155.0,17.75,15.6,16.1,0.0,-,-,-,21.6,232
1,CCI201016C00160000,2020-02-26 9:30AM EST,160.0,12.8,12.6,13.1,-0.99,-7.18%,5,-,21.2,232
2,CCI201016C00180000,2020-02-25 9:54AM EST,180.0,5.1,4.2,4.6,0.0,-,-,-,19.59,232
