,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
1,CCL200228P00035000,2020-02-26 1:17PM EST,35.0,2.4,2.05,2.45,1.54,+179.07%,891,0,80.66,1
5,CCL200228P00037000,2020-02-26 1:06PM EST,37.0,3.97,3.7,5.2,2.17,+120.56%,719,0,146.29,1
6,CCL200228P00037500,2020-02-26 12:52PM EST,37.5,4.2,4.1,5.5,2.15,+104.88%,117,0,137.89,1
7,CCL200228P00038000,2020-02-26 1:10PM EST,38.0,4.8,4.4,5.0,2.4,+100.00%,112,0,92.58,1
8,CCL200228P00038500,2020-02-26 1:06PM EST,38.5,4.9,5.0,6.7,2.1,+75.00%,122,0,162.5,1
9,CCL200228P00039000,2020-02-26 1:14PM EST,39.0,6.19,5.3,6.9,2.99,+93.44%,71,0,131.25,1
10,CCL200228P00039500,2020-02-26 10:11AM EST,39.5,4.2,5.9,7.6,0.4,+10.53%,4,0,165.23,1
11,CCL200228P00040000,2020-02-26 12:33PM EST,40.0,5.7,6.4,8.3,1.5,+35.71%,67,1326,188.09,1
12,CCL200228P00040500,2020-02-26 10:42AM EST,40.5,5.1,5.6,8.7,0.5,+10.87%,21,0,295.31,1
13,CCL200228P00041000,2020-02-25 3:58PM EST,41.0,5.6,7.3,8.5,0.4,+7.69%,39,0,225.0,1
14,CCL200228P00041500,2020-02-25 12:59PM EST,41.5,5.3,7.7,10.2,0.0,-,9,0,226.17,1
15,CCL200228P00042000,2020-02-26 11:46AM EST,42.0,8.08,8.3,10.5,2.08,+34.67%,82,0,226.56,1
16,CCL200228P00042500,2020-02-26 11:49AM EST,42.5,7.7,8.7,10.9,1.15,+17.56%,138,0,218.36,1
17,CCL200228P00043000,2020-02-26 10:31AM EST,43.0,7.27,9.3,11.5,0.17,+2.39%,37,171,241.41,1
18,CCL200228P00043500,2020-02-24 12:46PM EST,43.5,5.19,8.5,12.2,0.0,-,186,0,399.41,1
19,CCL200228P00044000,2020-02-25 11:59AM EST,44.0,7.5,10.0,12.6,0.0,-,3,0,239.06,1
20,CCL200228P00044500,2020-02-26 10:40AM EST,44.5,9.2,10.1,13.2,1.2,+15.00%,1,199,215.63,1
21,CCL200228P00045000,2020-02-24 1:25PM EST,45.0,8.48,11.3,13.4,0.0,-,5,0,260.94,1
22,CCL200228P00045500,2020-02-25 10:57AM EST,45.5,8.8,11.0,14.3,0.0,-,1,0,227.73,1
23,CCL200228P00046000,2020-02-21 12:43PM EST,46.0,9.89,11.1,14.6,0.0,-,1,0,429.88,1
24,CCL200228P00046500,2020-02-24 12:33PM EST,46.5,8.18,11.3,15.2,0.0,-,61,0,447.85,1
25,CCL200228P00047000,2020-02-25 12:56PM EST,47.0,10.8,11.8,15.7,0.0,-,1,0,455.47,1
26,CCL200228P00047500,2020-02-20 11:18AM EST,47.5,5.67,12.5,16.2,0.0,-,1,0,462.89,1
27,CCL200228P00048000,2020-02-12 2:19PM EST,48.0,9.9,12.9,16.8,0.0,-,1,0,480.47,1
28,CCL200228P00048500,2020-02-12 9:43AM EST,48.5,4.9,13.5,17.3,0.0,-,28,0,487.5,1
29,CCL200228P00049000,2020-02-07 9:30AM EST,49.0,5.8,13.8,17.8,0.0,-,5,0,494.53,1
30,CCL200228P00049500,2020-01-30 10:50AM EST,49.5,6.15,14.6,18.0,0.0,-,10,0,469.53,1
31,CCL200228P00050000,2020-02-06 3:39PM EST,50.0,6.38,15.0,18.7,0.0,-,2,0,497.85,1
33,CCL200228P00051000,2020-02-14 3:38PM EST,51.0,8.88,15.9,19.7,0.0,-,-,0,511.13,1
35,CCL200228P00052500,2020-02-07 11:45AM EST,52.5,9.94,17.5,21.2,0.0,-,4,0,530.27,1
0,CCL200306P00034000,2020-02-26 1:17PM EST,34.0,2.4,2.4,2.65,1.27,+112.39%,2100,-,91.31,8
1,CCL200306P00035000,2020-02-26 1:16PM EST,35.0,3.0,2.9,3.4,1.6,+114.29%,950,0,90.63,8
2,CCL200306P00035500,2020-02-26 1:15PM EST,35.5,3.1,3.2,3.4,1.5,+93.75%,542,0,80.76,8
4,CCL200306P00036500,2020-02-26 1:06PM EST,36.5,3.5,3.7,4.4,1.5,+75.00%,94,0,80.27,8
5,CCL200306P00037000,2020-02-26 12:22PM EST,37.0,3.61,4.1,4.8,1.34,+59.03%,167,0,80.08,8
6,CCL200306P00037500,2020-02-26 11:58AM EST,37.5,4.0,4.5,4.9,1.41,+54.44%,46,0,67.97,8
7,CCL200306P00038000,2020-02-26 11:41AM EST,38.0,3.3,5.0,6.2,0.35,+11.86%,19,0,100.39,8
8,CCL200306P00038500,2020-02-26 9:31AM EST,38.5,4.13,5.3,6.1,0.83,+25.15%,34,0,77.25,8
9,CCL200306P00039000,2020-02-26 11:42AM EST,39.0,4.5,5.7,7.5,0.96,+27.12%,107,0,110.94,8
10,CCL200306P00039500,2020-02-26 10:34AM EST,39.5,4.5,6.2,7.0,0.5,+12.50%,5,0,75.78,8
11,CCL200306P00040000,2020-02-26 9:40AM EST,40.0,4.6,6.7,7.3,0.19,+4.31%,9,0,64.84,8
12,CCL200306P00040500,2020-02-26 11:22AM EST,40.5,5.43,7.1,8.7,0.63,+13.12%,19,0,111.33,8
13,CCL200306P00041000,2020-02-26 12:22PM EST,41.0,6.4,7.4,9.0,1.12,+21.21%,3,0,98.44,8
14,CCL200306P00041500,2020-02-26 12:33PM EST,41.5,7.2,7.9,9.9,1.73,+31.63%,1,0,119.92,8
15,CCL200306P00042000,2020-02-26 12:32PM EST,42.0,7.6,8.5,10.0,1.5,+24.59%,9,0,111.13,8
16,CCL200306P00042500,2020-02-24 3:05PM EST,42.5,7.1,9.1,11.1,0.6,+9.23%,126,0,143.46,8
17,CCL200306P00043000,2020-02-25 12:12PM EST,43.0,7.36,9.3,11.4,0.46,+6.67%,13,0,127.93,8
18,CCL200306P00044000,2020-02-25 9:37AM EST,44.0,6.33,10.6,12.9,0.0,-,6,0,166.5,8
19,CCL200306P00044500,2020-02-24 12:35PM EST,44.5,6.2,10.8,13.2,0.0,-,1,153,152.05,8
20,CCL200306P00045000,2020-02-25 10:03AM EST,45.0,8.4,11.5,13.5,0.0,-,2,0,155.86,8
21,CCL200306P00045500,2020-02-25 10:46AM EST,45.5,8.6,10.7,14.2,0.0,-,1,0,78.13,8
22,CCL200306P00046000,2020-02-13 1:08PM EST,46.0,3.4,12.1,14.8,0.0,-,-,0,158.98,8
23,CCL200306P00046500,2020-02-13 3:56PM EST,46.5,8.4,12.7,15.3,0.0,-,1,0,166.8,8
24,CCL200306P00047000,2020-02-07 9:46AM EST,47.0,11.76,12.0,15.7,6.56,+126.15%,1,0,249.41,8
25,CCL200306P00047500,2020-02-21 12:24PM EST,47.5,5.69,12.5,16.3,0.0,-,1,0,259.08,8
26,CCL200306P00048000,2020-01-28 10:46AM EST,48.0,2.96,13.0,16.8,0.0,-,1,0,263.09,8
29,CCL200306P00049500,2020-02-21 12:36PM EST,49.5,7.6,14.3,18.3,0.0,-,1,0,274.71,8
30,CCL200306P00050000,2020-02-03 9:56AM EST,50.0,6.6,14.9,18.9,0.0,-,10,0,284.18,8
31,CCL200306P00056500,2020-02-03 12:22PM EST,56.5,13.8,21.5,25.4,0.0,-,1,0,121.88,8
