,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CE200320P00070000,2020-02-25 1:32PM EST,70.0,0.05,0.0,0.4,0.0,-,1,136,72.46,22
1,CE200320P00075000,2019-07-22 9:49AM EST,75.0,1.2,0.6,4.9,0.0,-,-,2,120.61,22
2,CE200320P00085000,2020-02-25 3:23PM EST,85.0,0.7,0.45,0.6,0.0,-,2,0,47.12,22
3,CE200320P00090000,2020-02-24 12:11PM EST,90.0,1.3,0.95,1.15,0.0,-,1,39,41.99,22
4,CE200320P00095000,2020-02-25 12:04PM EST,95.0,2.18,2.0,2.25,0.88,+67.69%,22,317,37.62,22
5,CE200320P00097500,2020-02-25 10:12AM EST,97.5,3.1,2.85,3.1,0.06,+1.97%,2,0,35.44,22
6,CE200320P00100000,2020-02-25 3:35PM EST,100.0,4.18,4.0,4.2,-0.62,-12.92%,13,0,33.14,22
7,CE200320P00105000,2020-02-25 3:05PM EST,105.0,6.75,7.2,7.6,-1.2,-15.09%,7,1318,32.18,22
8,CE200320P00110000,2020-02-21 3:21PM EST,110.0,12.45,11.6,12.0,0.0,-,2,0,34.08,22
9,CE200320P00115000,2020-02-03 11:29AM EST,115.0,8.05,14.8,17.1,0.0,-,4,0,45.8,22
10,CE200320P00120000,2020-02-25 1:15PM EST,120.0,19.5,20.4,21.8,0.0,-,3,60,45.8,22
14,CE200320P00140000,2020-02-21 9:41AM EST,140.0,32.5,38.9,43.5,0.0,-,5,0,114.84,22
0,CE200619P00075000,2019-10-21 2:54PM EST,75.0,0.5,0.15,0.8,0.0,-,-,10,37.09,113
1,CE200619P00080000,2019-12-10 3:34PM EST,80.0,0.6,0.25,1.0,0.0,-,1,0,32.23,113
2,CE200619P00085000,2020-02-25 6:47PM EST,85.0,1.94,2.0,2.25,0.29,+17.58%,-,1,34.28,113
3,CE200619P00090000,2020-02-21 11:28AM EST,90.0,2.99,3.1,3.4,1.54,+106.21%,1,2,32.31,113
4,CE200619P00095000,2020-02-25 3:48PM EST,95.0,5.25,4.8,5.0,0.0,-,1,0,30.41,113
5,CE200619P00100000,2020-02-21 10:33AM EST,100.0,7.02,7.1,7.3,3.89,+124.28%,11,14,29.25,113
6,CE200619P00105000,2020-02-21 12:24PM EST,105.0,9.6,9.9,10.2,0.4,+4.35%,1,0,28.11,113
7,CE200619P00110000,2020-02-26 9:30AM EST,110.0,13.62,13.5,13.8,6.27,+85.31%,11,0,27.64,113
8,CE200619P00115000,2020-02-12 12:17PM EST,115.0,9.1,17.5,18.6,0.0,-,4,17,32.03,113
0,CE200918P00075000,2020-02-12 1:31PM EST,75.0,0.8,1.65,1.85,0.0,-,10,0,35.65,204
1,CE200918P00080000,2020-01-30 3:19PM EST,80.0,1.8,2.35,2.65,0.0,-,1,0,33.99,204
2,CE200918P00085000,2020-02-21 3:42PM EST,85.0,1.81,3.3,3.6,0.0,-,2,0,31.87,204
3,CE200918P00090000,2020-02-18 9:45AM EST,90.0,2.17,4.7,4.9,0.0,-,2,15,30.04,204
4,CE200918P00095000,2020-01-30 10:11AM EST,95.0,3.03,6.3,6.6,0.0,-,12,0,28.37,204
5,CE200918P00100000,2020-02-03 11:03AM EST,100.0,6.55,8.4,9.2,0.0,-,4,0,28.3,204
6,CE200918P00105000,2020-02-12 11:50AM EST,105.0,5.96,11.7,12.0,0.0,-,3,0,27.33,204
7,CE200918P00110000,2020-02-20 11:50AM EST,110.0,8.8,14.6,15.5,0.0,-,32,0,27.3,204
8,CE200918P00115000,2020-02-12 12:33PM EST,115.0,10.8,18.2,19.1,0.0,-,-,4,26.16,204
9,CE200918P00125000,2020-01-28 10:58AM EST,125.0,17.0,27.4,28.1,0.0,-,-,1,28.35,204
10,CE200918P00130000,2020-01-30 11:11PM EST,130.0,20.4,31.0,33.7,0.0,-,-,0,34.69,204
