,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CF200228C00033500,2020-02-26 10:34AM EST,33.5,4.6,3.95,4.0,-0.05,-1.08%,10,32,82.81,1
1,CF200228C00034000,2020-02-26 10:40AM EST,34.0,4.1,3.45,3.55,-1.7,-29.31%,-,10,78.91,1
2,CF200228C00035000,2020-02-19 9:58AM EST,35.0,3.2,2.47,2.52,0.0,-,2,0,59.77,1
3,CF200228C00036000,2020-02-25 3:45PM EST,36.0,1.86,1.58,1.62,0.0,-,25,0,52.34,1
4,CF200228C00036500,2020-02-24 1:29PM EST,36.5,2.16,1.18,1.22,0.0,-,2,2,51.27,1
5,CF200228C00037000,2020-02-04 2:56PM EST,37.0,2.41,0.84,0.87,0.0,-,10,0,48.83,1
6,CF200228C00037500,2020-02-24 12:14PM EST,37.5,1.32,0.55,0.59,0.27,+25.71%,10,0,47.46,1
7,CF200228C00038000,2020-02-26 9:38AM EST,38.0,0.92,0.34,0.36,-0.15,-14.02%,2,148,45.31,1
8,CF200228C00039000,2020-02-26 11:32AM EST,39.0,0.2,0.08,0.1,-0.02,-9.09%,65,141,42.19,1
9,CF200228C00039500,2020-02-25 9:33AM EST,39.5,0.25,0.04,0.05,0.12,+92.31%,2,0,42.19,1
10,CF200228C00040000,2020-02-26 11:28AM EST,40.0,0.04,0.02,0.03,-0.03,-42.86%,7,0,44.53,1
11,CF200228C00040500,2020-02-25 1:44PM EST,40.5,0.04,0.0,0.03,0.0,-,44,125,50.78,1
12,CF200228C00041000,2020-02-24 3:18PM EST,41.0,0.08,0.0,0.02,0.0,-,1,0,53.13,1
13,CF200228C00041500,2020-02-24 2:13PM EST,41.5,0.01,0.0,0.03,0.0,-,32,64,56.25,1
14,CF200228C00042000,2020-02-24 3:00PM EST,42.0,0.04,0.0,0.02,0.0,-,2,0,57.81,1
15,CF200228C00042500,2020-02-24 10:21AM EST,42.5,0.01,0.0,0.09,0.0,-,1,60,80.08,1
16,CF200228C00043000,2020-02-21 9:37AM EST,43.0,0.01,0.0,0.01,0.0,-,3,0,62.5,1
17,CF200228C00043500,2020-02-10 1:14PM EST,43.5,0.61,0.0,0.09,0.0,-,7,0,91.41,1
18,CF200228C00044000,2020-02-24 3:00PM EST,44.0,0.04,0.0,0.09,0.0,-,2,70,96.88,1
19,CF200228C00044500,2020-02-19 2:50PM EST,44.5,0.03,0.0,0.01,0.0,-,34,36,75.0,1
20,CF200228C00045000,2020-02-18 10:52AM EST,45.0,0.01,0.0,0.1,0.0,-,9,23,110.16,1
21,CF200228C00045500,2020-02-13 3:04PM EST,45.5,0.03,0.0,0.08,0.0,-,4,0,110.94,1
22,CF200228C00046000,2020-02-13 3:04PM EST,46.0,0.03,0.04,0.08,0.0,-,1,8,124.22,1
23,CF200228C00046500,2020-01-15 9:35AM EST,46.5,1.42,0.01,0.05,0.0,-,-,1,115.63,1
24,CF200228C00047500,2020-02-24 11:40AM EST,47.5,0.03,0.0,0.09,0.0,-,2,0,132.81,1
25,CF200228C00048000,2020-01-24 3:30PM EST,48.0,0.1,0.0,0.05,0.0,-,-,0,126.56,1
26,CF200228C00049000,2020-01-22 11:21AM EST,49.0,0.14,0.0,0.04,0.0,-,1,0,131.25,1
27,CF200228C00050000,2020-01-21 12:10AM EST,50.0,0.37,0.05,0.0,0.0,-,-,0,143.75,1
0,CF200306C00033500,2020-02-25 6:47PM EST,33.5,4.4,4.7,4.8,0.0,-,-,-,98.93,8
1,CF200306C00035000,2020-02-25 6:47PM EST,35.0,3.65,3.25,3.35,0.0,-,-,-,78.52,8
2,CF200306C00036000,2020-02-25 6:47PM EST,36.0,2.84,1.97,2.01,0.0,-,-,2,49.32,8
3,CF200306C00036500,2020-02-24 11:06AM EST,36.5,2.12,2.05,2.08,0.0,-,-,-,65.04,8
4,CF200306C00037000,2020-02-25 3:07PM EST,37.0,1.53,1.31,1.34,0.0,-,13,13,46.39,8
5,CF200306C00037500,2020-02-24 9:45AM EST,37.5,1.32,1.02,1.06,0.0,-,3,4,45.26,8
6,CF200306C00038000,2020-02-26 9:54AM EST,38.0,0.92,0.77,0.8,-0.44,-32.35%,21,34,43.46,8
7,CF200306C00038500,2020-02-25 12:42PM EST,38.5,0.95,0.57,0.6,0.0,-,1,1,42.68,8
8,CF200306C00039000,2020-02-26 12:10PM EST,39.0,0.47,0.42,0.43,-0.09,-16.07%,3,37,41.5,8
9,CF200306C00039500,2020-02-25 12:58PM EST,39.5,0.49,0.29,0.31,0.0,-,14,58,41.21,8
10,CF200306C00040000,2020-02-26 12:37PM EST,40.0,0.22,0.18,0.2,-0.08,-26.67%,24,89,39.75,8
11,CF200306C00040500,2020-02-24 10:54AM EST,40.5,0.21,0.12,0.13,-0.32,-60.38%,2,0,39.06,8
12,CF200306C00041000,2020-02-21 9:37AM EST,41.0,0.16,0.07,0.09,-0.22,-57.89%,3,0,39.45,8
13,CF200306C00041500,2020-02-26 10:41AM EST,41.5,0.07,0.04,0.05,-0.1,-58.82%,1,9,38.09,8
14,CF200306C00042000,2020-02-25 9:36AM EST,42.0,0.15,0.02,0.05,0.0,-,1,187,41.41,8
15,CF200306C00042500,2020-02-20 9:36AM EST,42.5,0.18,0.01,0.03,0.02,+12.50%,1,110,41.02,8
16,CF200306C00043000,2020-02-12 1:27PM EST,43.0,0.75,0.0,0.03,0.0,-,8,19,43.75,8
17,CF200306C00043500,2020-02-06 3:58PM EST,43.5,0.98,0.0,0.03,0.0,-,16,0,46.88,8
18,CF200306C00044500,2020-02-12 1:27PM EST,44.5,0.36,0.0,0.04,0.0,-,1,504,55.08,8
19,CF200306C00045000,2020-02-11 2:08PM EST,45.0,0.45,0.09,0.03,0.0,-,120,110,62.11,8
20,CF200306C00045500,2020-02-06 3:58PM EST,45.5,0.43,0.0,0.04,0.0,-,-,0,54.69,8
21,CF200306C00046000,2020-02-06 3:58PM EST,46.0,0.34,0.14,0.06,0.0,-,-,2,75.0,8
22,CF200306C00049000,2020-01-30 3:12PM EST,49.0,0.1,0.0,0.04,0.0,-,-,1,71.88,8
0,CF200313C00036000,2020-02-25 11:31AM EST,36.0,2.96,2.17,2.22,0.0,-,4,14,45.12,15
1,CF200313C00036500,2020-02-25 6:47PM EST,36.5,2.57,1.82,1.91,0.0,-,-,1,44.87,15
2,CF200313C00038000,2020-02-18 12:07AM EST,38.0,1.56,1.01,1.04,0.0,-,12,0,40.92,15
3,CF200313C00039000,2020-02-26 11:06AM EST,39.0,0.77,0.61,0.65,0.03,+4.05%,15,11,39.65,15
4,CF200313C00039500,2020-02-18 2:42PM EST,39.5,0.49,0.45,0.49,-0.03,-5.77%,1,0,38.67,15
5,CF200313C00040000,2020-02-18 3:04PM EST,40.0,0.42,0.34,0.37,0.0,-,15,66,38.28,15
6,CF200313C00040500,2020-02-25 1:57PM EST,40.5,0.38,0.22,0.29,0.0,-,2,0,38.57,15
7,CF200313C00041000,2020-02-25 11:38AM EST,41.0,0.4,0.17,0.22,0.0,-,4,5,38.67,15
8,CF200313C00041500,2020-02-21 11:30AM EST,41.5,0.58,0.12,0.16,0.0,-,2,13,38.28,15
9,CF200313C00042000,2020-02-24 10:09AM EST,42.0,0.26,0.08,0.12,0.0,-,2,0,38.48,15
10,CF200313C00042500,2020-02-13 12:15PM EST,42.5,0.57,0.05,0.09,0.0,-,4,17,38.67,15
11,CF200313C00043000,2020-02-19 2:15PM EST,43.0,0.17,0.06,0.07,0.0,-,-,1,39.26,15
12,CF200313C00043500,2020-02-20 3:21PM EST,43.5,0.12,0.01,0.09,0.0,-,-,4,44.14,15
13,CF200313C00044500,2020-02-13 10:23AM EST,44.5,0.18,0.01,0.08,0.0,-,-,1,48.05,15
14,CF200313C00045000,2020-02-18 12:07AM EST,45.0,0.43,0.0,0.09,0.0,-,-,0,51.56,15
15,CF200313C00045500,2020-02-10 12:15PM EST,45.5,0.42,0.0,0.09,0.0,-,10,0,53.91,15
0,CF200320C00032500,2020-02-21 10:44AM EST,32.5,7.45,5.2,5.25,0.0,-,1,44,51.66,22
1,CF200320C00034000,2020-02-24 10:46AM EST,34.0,4.5,3.85,3.95,0.0,-,-,1,48.54,22
2,CF200320C00034500,2020-02-26 9:34AM EST,34.5,4.25,4.0,4.05,-0.4,-8.60%,2,-,62.79,22
3,CF200320C00035000,2020-02-19 10:25AM EST,35.0,4.45,3.1,3.15,0.0,-,1,0,46.0,22
4,CF200320C00035500,2020-02-25 12:57PM EST,35.5,3.25,2.74,2.77,0.0,-,2,2,44.68,22
5,CF200320C00036000,2020-02-25 3:23PM EST,36.0,2.46,2.39,2.4,0.0,-,7,7,43.12,22
6,CF200320C00036500,2020-02-26 9:32AM EST,36.5,2.49,2.41,2.46,-0.03,-1.19%,1,-,52.0,22
7,CF200320C00037500,2020-02-19 9:56AM EST,37.5,1.87,1.49,1.53,0.0,-,2,0,41.5,22
8,CF200320C00038000,2020-02-25 2:38PM EST,38.0,1.44,1.52,1.56,0.0,-,-,-,48.1,22
9,CF200320C00038500,2020-02-25 3:08PM EST,38.5,1.16,1.25,1.29,0.0,-,-,-,46.29,22
10,CF200320C00039000,2020-02-26 11:08AM EST,39.0,0.93,0.83,0.85,-0.24,-20.51%,7,10,39.06,22
11,CF200320C00039500,2020-02-25 10:56AM EST,39.5,0.97,0.83,0.87,0.0,-,-,-,43.95,22
12,CF200320C00040000,2020-02-26 11:17AM EST,40.0,0.64,0.52,0.54,0.06,+10.34%,8,749,37.89,22
13,CF200320C00040500,2020-02-26 11:06AM EST,40.5,0.49,0.41,0.43,0.02,+4.26%,10,13,37.74,22
14,CF200320C00041000,2020-02-26 10:09AM EST,41.0,0.47,0.4,0.43,0.04,+9.30%,5,-,41.02,22
15,CF200320C00041500,2020-02-26 11:06AM EST,41.5,0.3,0.25,0.27,-0.01,-3.23%,1,3,37.7,22
16,CF200320C00042000,2020-02-25 11:51AM EST,42.0,0.31,0.23,0.25,0.0,-,-,-,39.55,22
17,CF200320C00042500,2020-02-26 11:08AM EST,42.5,0.17,0.14,0.16,0.02,+13.33%,1,0,37.4,22
18,CF200320C00043000,2020-02-25 10:54AM EST,43.0,0.16,0.1,0.12,0.0,-,17,22,37.11,22
19,CF200320C00043500,2020-02-26 10:17AM EST,43.5,0.11,0.09,0.11,-0.01,-8.33%,5,20,38.67,22
20,CF200320C00044000,2020-02-24 3:55PM EST,44.0,0.1,0.05,0.08,0.0,-,-,24,38.28,22
21,CF200320C00045000,2020-02-24 3:04PM EST,45.0,0.06,0.04,0.06,0.0,-,64,0,40.23,22
22,CF200320C00047500,2020-02-10 12:03PM EST,47.5,0.22,0.04,0.03,0.0,-,2,81,44.14,22
23,CF200320C00050000,2020-01-22 2:19PM EST,50.0,0.07,0.01,0.0,0.0,-,-,0,25.0,22
0,CF200327C00034500,2020-02-20 12:52PM EST,34.5,5.45,3.55,3.75,0.0,-,10,14,47.61,29
1,CF200327C00036000,2020-02-18 12:07AM EST,36.0,3.19,2.51,2.63,0.0,-,-,0,43.6,29
2,CF200327C00036500,2020-02-19 9:48AM EST,36.5,3.6,2.13,2.29,0.0,-,-,0,42.33,29
3,CF200327C00038000,2020-02-20 9:43AM EST,38.0,3.2,1.37,1.45,0.0,-,-,47,39.8,29
4,CF200327C00038500,2020-02-18 2:20PM EST,38.5,1.14,1.14,1.25,0.0,-,-,0,39.77,29
5,CF200327C00040000,2020-02-21 9:45AM EST,40.0,1.1,0.64,0.71,0.0,-,5,0,38.04,29
6,CF200327C00041000,2020-02-20 11:19AM EST,41.0,0.72,0.39,0.47,0.0,-,39,0,37.4,29
7,CF200327C00041500,2020-02-24 2:04PM EST,41.5,0.5,0.31,0.38,0.0,-,25,0,37.21,29
8,CF200327C00042500,2020-02-24 10:22AM EST,42.5,0.29,0.18,0.23,0.0,-,1,0,36.33,29
9,CF200327C00043000,2020-02-20 10:18AM EST,43.0,0.42,0.13,0.18,0.0,-,1,0,36.13,29
10,CF200327C00043500,2020-02-19 2:31PM EST,43.5,0.29,0.09,0.15,0.0,-,-,0,36.62,29
11,CF200327C00044000,2020-02-21 11:17AM EST,44.0,0.13,0.06,0.12,-0.15,-53.57%,1,0,36.72,29
12,CF200327C00045500,2020-02-19 10:06AM EST,45.5,0.05,0.0,0.07,0.0,-,-,0,38.09,29
0,CF200403C00036000,2020-02-18 12:07AM EST,36.0,3.2,2.65,2.83,0.2,+6.67%,3,0,43.8,36
1,CF200403C00037500,2020-02-24 12:01AM EST,37.5,2.96,1.76,1.84,0.0,-,1,1,39.45,36
2,CF200403C00038000,2020-02-24 11:28AM EST,38.0,1.86,1.53,1.59,0.0,-,1,0,38.87,36
3,CF200403C00039500,2020-02-20 3:12PM EST,39.5,1.47,0.91,0.99,0.0,-,5,0,37.65,36
4,CF200403C00040000,2020-02-24 3:17PM EST,40.0,1.45,0.75,0.82,0.0,-,1,0,37.01,36
5,CF200403C00041000,2020-02-18 2:44PM EST,41.0,0.47,0.51,0.57,0.0,-,-,0,36.52,36
6,CF200403C00041500,2020-02-24 9:50AM EST,41.5,0.59,0.41,0.46,0.0,-,12,15,36.04,36
7,CF200403C00042000,2020-02-18 12:07AM EST,42.0,0.75,0.32,0.37,0.0,-,-,0,35.65,36
8,CF200403C00043000,2020-02-24 1:32PM EST,43.0,0.33,0.20,0.25,0.0,-,8,20,35.65,36
9,CF200403C00047000,2020-02-13 9:38AM EST,47.0,0.36,0.00,0.16,0.0,-,-,13,45.7,36
10,CF200403C00048000,2020-02-18 12:08AM EST,48.0,0.45,-,0.11,0.0,-,-,0,45.31,36
11,CF200403C00048500,2020-02-18 12:08AM EST,48.5,0.1,-,0.12,0.0,-,-,0,47.56,36
