,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CHTR200228P00370000,2020-02-14 1:25PM EST,370.0,0.08,0.0,4.3,0.0,-,-,0,235.35,1
1,CHTR200228P00410000,2020-02-14 1:25PM EST,410.0,0.14,0.0,4.3,0.0,-,-,0,175.98,1
2,CHTR200228P00420000,2020-01-31 12:41PM EST,420.0,0.43,0.0,4.3,0.0,-,15,5,161.72,1
3,CHTR200228P00425000,2020-02-25 2:42PM EST,425.0,0.15,0.0,4.3,0.0,-,2,0,154.64,1
4,CHTR200228P00430000,2020-02-25 2:48PM EST,430.0,0.15,0.0,4.3,0.0,-,2,3,147.61,1
5,CHTR200228P00435000,2020-01-31 12:41PM EST,435.0,0.63,0.0,4.2,0.0,-,-,3,139.8,1
6,CHTR200228P00450000,2020-02-10 3:02PM EST,450.0,0.13,0.0,3.9,0.0,-,1,1,116.8,1
7,CHTR200228P00455000,2020-01-21 12:13AM EST,455.0,3.7,0.0,0.0,0.0,-,-,0,25.0,1
8,CHTR200228P00460000,2020-01-21 2:25PM EST,460.0,3.7,0.0,0.0,0.0,-,-,0,25.0,1
9,CHTR200228P00465000,2020-01-30 3:17PM EST,465.0,1.07,0.0,3.9,0.0,-,1,0,96.31,1
10,CHTR200228P00470000,2020-01-28 9:33AM EST,470.0,5.41,0.0,3.9,0.0,-,1,0,89.48,1
11,CHTR200228P00472500,2020-02-07 3:58PM EST,472.5,0.58,0.0,2.0,0.0,-,1,0,72.71,1
12,CHTR200228P00475000,2020-01-31 3:00PM EST,475.0,1.55,0.0,1.05,0.0,-,1,3,60.64,1
13,CHTR200228P00477500,2020-02-06 12:36PM EST,477.5,0.95,0.0,0.95,0.0,-,-,0,56.69,1
14,CHTR200228P00480000,2020-02-10 1:05PM EST,480.0,0.65,0.0,0.6,0.0,-,3,4,56.54,1
15,CHTR200228P00485000,2020-02-11 10:23AM EST,485.0,0.85,0.0,0.65,0.0,-,3,0,51.71,1
16,CHTR200228P00487500,2020-02-06 1:26PM EST,487.5,1.3,0.0,1.05,0.0,-,2,1,54.74,1
17,CHTR200228P00492500,2020-02-07 1:26PM EST,492.5,1.88,0.15,1.5,0.0,-,3,3,53.49,1
