,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CINF200320C00080000,2020-01-13 3:21PM EST,80.0,25.47,32.8,37.5,0.0,-,-,1,225.27,22
1,CINF200320C00085000,2020-02-24 1:56PM EST,85.0,23.3,19.2,21.4,0.0,-,19,20,69.53,22
2,CINF200320C00090000,2020-02-25 3:01PM EST,90.0,15.4,14.4,15.7,0.0,-,4,54,50.44,22
3,CINF200320C00095000,2020-01-27 11:20AM EST,95.0,18.2,9.9,10.6,0.0,-,1,0,44.78,22
4,CINF200320C00100000,2020-02-24 2:27PM EST,100.0,6.8,5.6,6.0,0.0,-,5,0,33.2,22
5,CINF200320C00105000,2020-02-24 12:12PM EST,105.0,2.5,2.35,2.6,-0.9,-26.47%,5,0,27.66,22
6,CINF200320C00110000,2020-02-26 12:34PM EST,110.0,0.7,0.5,0.75,-0.15,-17.65%,6,294,24.71,22
7,CINF200320C00115000,2020-02-26 12:27PM EST,115.0,0.1,0.0,0.15,-0.05,-33.33%,10,0,23.73,22
8,CINF200320C00120000,2020-02-25 1:24PM EST,120.0,0.16,0.0,0.35,0.0,-,2,185,37.7,22
9,CINF200320C00125000,2020-02-11 2:12PM EST,125.0,0.15,0.0,0.15,0.0,-,4,0,38.67,22
10,CINF200320C00130000,2019-10-22 2:30PM EST,130.0,1.1,0.0,0.75,0.0,-,1,4,53.86,22
11,CINF200320C00135000,2019-09-25 2:59PM EST,135.0,0.95,0.2,0.35,0.0,-,2,0,57.32,22
12,CINF200320C00140000,2019-12-27 9:46AM EST,140.0,0.15,0.0,0.5,0.0,-,2,10,62.5,22
0,CINF200417C00110000,2020-02-24 11:29AM EST,110.0,3.4,1.2,1.4,0.0,-,-,3,22.08,50
0,CINF200619C00085000,2019-10-25 2:26PM EST,85.0,28.07,22.6,23.7,0.0,-,30,30,51.95,113
1,CINF200619C00095000,2020-02-14 11:21AM EST,95.0,20.4,11.3,11.7,0.0,-,1,0,26.8,113
2,CINF200619C00100000,2020-02-14 10:17AM EST,100.0,15.9,7.6,8.0,0.0,-,2,3,24.6,113
3,CINF200619C00105000,2020-02-21 2:08PM EST,105.0,9.02,4.7,5.1,0.0,-,1,0,23.34,113
4,CINF200619C00110000,2020-02-25 10:57AM EST,110.0,3.3,2.5,2.8,0.0,-,2,0,21.58,113
5,CINF200619C00115000,2020-02-24 11:16AM EST,115.0,2.61,1.15,1.4,0.0,-,10,116,20.63,113
6,CINF200619C00120000,2020-02-25 1:05PM EST,120.0,0.6,0.45,0.65,0.0,-,1,161,20.17,113
7,CINF200619C00125000,2020-02-12 12:29PM EST,125.0,1.0,0.1,0.35,0.0,-,2,0,20.87,113
8,CINF200619C00130000,2020-02-11 1:34PM EST,130.0,0.37,0.0,0.75,0.0,-,2,20,28.87,113
9,CINF200619C00135000,2019-10-28 8:43AM EST,135.0,0.8,0.0,0.75,0.0,-,-,2,32.37,113
0,CINF200918C00080000,2020-02-11 12:13PM EST,80.0,35.3,24.6,27.7,0.0,-,-,1,43.25,204
1,CINF200918C00085000,2020-02-10 12:00AM EST,85.0,24.0,20.2,21.5,0.0,-,-,20,30.77,204
2,CINF200918C00100000,2020-02-18 12:12AM EST,100.0,15.6,8.8,9.2,0.0,-,-,0,22.46,204
3,CINF200918C00105000,2020-02-24 11:37AM EST,105.0,9.3,6.5,7.1,0.0,-,-,-,23.84,204
4,CINF200918C00110000,2020-02-14 1:11PM EST,110.0,9.06,3.7,4.1,0.0,-,5,6,20.51,204
5,CINF200918C00115000,2020-02-03 11:08AM EST,115.0,2.65,2.15,2.5,0.0,-,-,1,19.85,204
6,CINF200918C00120000,2020-02-11 2:38PM EST,120.0,3.97,1.15,1.3,0.0,-,21,0,18.68,204
7,CINF200918C00125000,2020-02-06 12:50PM EST,125.0,2.2,0.55,0.75,0.0,-,1,0,18.75,204
8,CINF200918C00130000,2020-02-18 12:12AM EST,130.0,1.13,0.2,0.4,0.0,-,-,0,18.63,204
