,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CINF200320P00060000,2019-08-18 11:07PM EST,60.0,0.32,0.0,4.4,0.0,-,-,0,184.47,22
1,CINF200320P00070000,2019-09-22 11:14PM EST,70.0,0.55,0.05,0.6,0.0,-,-,0,89.36,22
2,CINF200320P00075000,2020-02-06 2:51PM EST,75.0,0.05,0.0,0.45,0.0,-,4,0,71.09,22
3,CINF200320P00080000,2020-01-03 11:20AM EST,80.0,0.3,0.0,1.45,0.0,-,2,12,76.37,22
4,CINF200320P00085000,2019-12-02 3:55PM EST,85.0,0.65,0.0,0.7,0.0,-,10,0,52.25,22
5,CINF200320P00090000,2019-11-19 12:09PM EST,90.0,0.95,0.65,0.8,0.0,-,20,167,50.49,22
6,CINF200320P00095000,2020-02-24 1:16PM EST,95.0,0.35,0.45,0.75,0.0,-,5,118,35.91,22
7,CINF200320P00100000,2020-02-12 2:18PM EST,100.0,1.25,1.35,1.5,0.0,-,1,0,30.49,22
8,CINF200320P00105000,2020-02-11 9:41AM EST,105.0,0.45,3.0,3.4,0.0,-,1,0,28.13,22
9,CINF200320P00110000,2020-02-20 3:45PM EST,110.0,5.7,6.3,6.6,0.0,-,13,0,26.0,22
10,CINF200320P00115000,2020-02-25 1:24PM EST,115.0,9.31,10.5,11.4,0.0,-,2,8,34.47,22
11,CINF200320P00120000,2020-02-18 12:44PM EST,120.0,6.27,15.0,17.3,0.0,-,2,6,58.25,22
0,CINF200417P00095000,2020-02-25 6:52PM EST,95.0,0.7,1.0,1.2,0.0,-,-,2,29.0,50
0,CINF200619P00070000,2019-12-23 1:19PM EST,70.0,0.34,0.05,0.55,0.0,-,2,16,45.41,113
1,CINF200619P00075000,2019-11-06 10:14AM EST,75.0,0.65,0.6,0.75,0.0,-,-,4,41.8,113
2,CINF200619P00080000,2020-01-07 3:42PM EST,80.0,0.57,0.05,0.6,0.0,-,2,3,33.28,113
3,CINF200619P00085000,2020-01-02 1:41PM EST,85.0,0.9,0.55,1.6,0.0,-,-,0,36.4,113
4,CINF200619P00090000,2020-02-03 10:43AM EST,90.0,0.95,1.2,1.4,0.0,-,10,0,27.78,113
5,CINF200619P00095000,2020-01-23 3:36PM EST,95.0,1.55,0.8,1.0,0.0,-,5,224,18.19,113
6,CINF200619P00100000,2020-01-31 11:14AM EST,100.0,1.5,3.3,3.7,0.0,-,4,0,24.38,113
7,CINF200619P00105000,2020-02-10 2:03PM EST,105.0,2.2,5.5,5.8,0.0,-,1,0,23.15,113
8,CINF200619P00115000,2020-02-20 9:30AM EST,115.0,5.82,11.5,12.7,0.0,-,2,3,23.72,113
9,CINF200619P00120000,2019-10-22 11:05AM EST,120.0,11.6,15.9,16.3,0.0,-,-,20,19.31,113
10,CINF200619P00130000,2019-11-07 3:57PM EST,130.0,22.2,24.3,26.2,0.0,-,-,4,25.64,113
0,CINF200918P00085000,2020-02-06 12:19PM EST,85.0,0.8,1.4,1.65,0.0,-,10,0,27.49,204
1,CINF200918P00095000,2020-02-18 10:12AM EST,95.0,1.36,3.2,3.5,0.0,-,20,22,24.17,204
2,CINF200918P00100000,2020-02-24 12:02PM EST,100.0,3.8,4.8,5.1,0.0,-,1,0,22.98,204
3,CINF200918P00105000,2020-02-13 10:42AM EST,105.0,3.3,6.9,7.4,0.0,-,11,16,22.42,204
4,CINF200918P00110000,2020-02-14 9:30AM EST,110.0,4.6,9.7,10.1,0.0,-,1,7,21.36,204
5,CINF200918P00115000,2020-02-25 6:52PM EST,115.0,12.5,12.1,12.9,0.0,-,-,-,18.52,204
