,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CI200228P00155000,2020-02-03 12:32PM EST,155.0,0.64,0.0,1.44,0.0,-,-,1,151.86,1
1,CI200228P00160000,2020-02-04 10:39AM EST,160.0,0.04,0.02,0.1,0.0,-,-,17,85.16,1
2,CI200228P00165000,2020-02-25 3:46PM EST,165.0,0.22,0.0,1.12,0.0,-,-,-,107.42,1
3,CI200228P00170000,2020-02-24 1:44PM EST,170.0,0.09,0.17,0.24,0.0,-,1,0,71.78,1
4,CI200228P00172500,2020-02-24 1:19PM EST,172.5,0.17,0.15,0.24,0.0,-,-,-,63.38,1
5,CI200228P00175000,2020-02-24 11:26AM EST,175.0,0.56,0.36,0.42,0.0,-,25,0,64.99,1
6,CI200228P00177500,2020-02-24 11:26AM EST,177.5,0.51,0.47,0.57,0.32,+168.42%,1,0,60.84,1
7,CI200228P00180000,2020-02-25 3:47PM EST,180.0,0.67,0.72,0.8,-0.43,-39.09%,5,0,58.2,1
8,CI200228P00182500,2020-02-26 11:39AM EST,182.5,0.49,0.96,1.04,-0.6,-55.05%,157,18,53.32,1
9,CI200228P00185000,2020-02-26 11:46AM EST,185.0,0.82,1.5,1.62,-1.0,-54.95%,55,24,52.2,1
10,CI200228P00187500,2020-02-26 12:07PM EST,187.5,2.16,2.16,2.29,-0.79,-26.78%,40,109,50.29,1
11,CI200228P00190000,2020-02-26 12:21PM EST,190.0,2.8,2.87,3.05,-1.2,-30.00%,66,0,45.09,1
12,CI200228P00192500,2020-02-25 12:43PM EST,192.5,2.76,4.25,4.45,-2.24,-44.80%,56,0,44.87,1
13,CI200228P00195000,2020-02-26 10:16AM EST,195.0,5.2,5.7,6.0,-0.8,-13.33%,57,0,41.92,1
14,CI200228P00197500,2020-02-25 2:08PM EST,197.5,4.95,7.15,7.8,-3.05,-38.13%,20,118,36.62,1
17,CI200228P00205000,2020-02-25 10:10AM EST,205.0,11.2,13.3,14.9,-2.35,-17.34%,10,0,25.0,1
25,CI200228P00225000,2020-02-24 1:50PM EST,225.0,23.8,32.0,35.3,0.0,-,25,0,110.74,1
28,CI200228P00232500,2020-02-19 12:58PM EST,232.5,12.35,39.5,42.8,0.0,-,-,0,127.44,1
29,CI200228P00235000,2020-02-18 12:13AM EST,235.0,12.95,41.7,45.05,0.0,-,-,0,112.89,1
0,CI200306P00155000,2020-02-26 10:40AM EST,155.0,0.29,0.33,0.41,-0.19,-39.58%,1,5,72.17,8
1,CI200306P00160000,2020-02-25 2:16PM EST,160.0,0.53,0.53,0.65,0.0,-,1,1,69.39,8
2,CI200306P00165000,2020-02-25 12:28PM EST,165.0,0.36,0.38,0.71,0.0,-,-,-,58.3,8
3,CI200306P00170000,2020-02-24 3:53PM EST,170.0,0.49,1.19,1.34,0.0,-,3,0,61.4,8
4,CI200306P00172500,2020-02-26 12:48PM EST,172.5,1.34,1.44,1.62,-0.43,-24.29%,4,2,59.4,8
5,CI200306P00175000,2020-02-25 1:04PM EST,175.0,1.78,1.82,2.07,0.0,-,2,8,58.55,8
6,CI200306P00180000,2020-02-26 12:53PM EST,180.0,2.76,2.77,3.0,-0.44,-13.75%,46,44,55.2,8
7,CI200306P00182500,2020-02-24 11:00AM EST,182.5,1.11,2.25,2.87,0.0,-,-,-,47.8,8
8,CI200306P00185000,2020-02-26 11:06AM EST,185.0,3.05,4.15,4.35,-1.76,-36.59%,12,0,52.1,8
9,CI200306P00187500,2020-02-24 12:36PM EST,187.5,4.85,5.0,5.3,2.77,+133.17%,3,25,50.77,8
10,CI200306P00190000,2020-02-26 9:48AM EST,190.0,4.49,6.05,6.4,-0.81,-15.28%,4,25,51.06,8
11,CI200306P00192500,2020-02-26 12:48PM EST,192.5,6.94,7.15,7.5,5.3,+323.17%,1,37,48.91,8
12,CI200306P00195000,2020-02-26 9:59AM EST,195.0,7.8,8.5,8.9,3.72,+91.18%,47,0,47.86,8
13,CI200306P00197500,2020-02-26 9:44AM EST,197.5,7.7,10.0,10.4,4.01,+108.67%,4,14,46.27,8
14,CI200306P00200000,2020-02-24 10:35AM EST,200.0,9.45,11.6,11.9,-2.05,-17.83%,32,0,42.94,8
15,CI200306P00202500,2020-02-21 3:11PM EST,202.5,13.93,13.25,13.85,0.0,-,3,0,42.36,8
16,CI200306P00205000,2020-02-24 9:33AM EST,205.0,6.9,14.45,16.6,0.0,-,29,0,50.27,8
17,CI200306P00207500,2020-02-26 10:34AM EST,207.5,15.68,16.85,18.35,14.04,+856.10%,35,47,45.02,8
18,CI200306P00210000,2020-02-26 10:34AM EST,210.0,17.78,19.15,20.2,6.41,+56.38%,13,7,35.4,8
19,CI200306P00212500,2020-02-21 3:46PM EST,212.5,20.06,20.45,23.1,0.0,-,1,0,48.73,8
20,CI200306P00215000,2020-02-21 3:46PM EST,215.0,22.38,23.1,25.55,0.0,-,1,0,51.39,8
22,CI200306P00220000,2020-02-24 11:51AM EST,220.0,18.6,27.5,30.25,0.0,-,19,28,50.0,8
23,CI200306P00222500,2020-02-20 12:59PM EST,222.5,7.1,29.9,32.5,0.0,-,2,0,34.38,8
24,CI200306P00225000,2020-02-24 1:59PM EST,225.0,23.42,32.5,35.2,0.0,-,18,0,54.1,8
0,CI200313P00160000,2020-02-25 12:25PM EST,160.0,0.51,0.71,1.11,0.0,-,-,-,59.06,15
1,CI200313P00170000,2020-02-06 1:38PM EST,170.0,1.56,1.49,1.95,0.0,-,3,0,52.15,15
2,CI200313P00172500,2020-02-25 12:25PM EST,172.5,1.25,1.51,2.11,0.0,-,-,-,51.29,15
3,CI200313P00175000,2020-02-25 1:41PM EST,175.0,2.25,2.2,2.72,0.0,-,7,43,51.66,15
4,CI200313P00177500,2020-02-10 12:04PM EST,177.5,0.94,2.57,3.3,0.0,-,5,0,50.98,15
5,CI200313P00180000,2020-02-24 12:36PM EST,180.0,3.9,3.15,3.95,0.0,-,7,0,50.11,15
6,CI200313P00182500,2020-02-26 10:05AM EST,182.5,3.65,4.15,4.55,2.08,+132.48%,30,7,48.24,15
7,CI200313P00185000,2020-02-24 12:36PM EST,185.0,2.06,4.9,5.45,0.0,-,20,21,47.71,15
8,CI200313P00187500,2020-02-26 9:30AM EST,187.5,6.0,5.8,6.25,3.42,+132.56%,3,32,45.79,15
9,CI200313P00190000,2020-02-26 12:02PM EST,190.0,6.47,7.05,7.55,-0.93,-12.57%,9,0,46.2,15
10,CI200313P00192500,2020-02-26 12:01PM EST,192.5,7.3,8.25,8.6,5.8,+386.67%,39,0,44.28,15
11,CI200313P00195000,2020-02-26 12:02PM EST,195.0,8.59,9.4,9.95,0.6,+7.51%,16,250,43.35,15
12,CI200313P00197500,2020-02-24 3:55PM EST,197.5,5.82,10.55,11.15,0.0,-,-,5,40.52,15
13,CI200313P00200000,2020-02-26 12:59PM EST,200.0,12.32,12.1,12.9,1.57,+14.60%,1,55,40.31,15
14,CI200313P00202500,2020-02-26 12:59PM EST,202.5,14.07,13.55,14.6,-0.73,-4.93%,1,9,38.77,15
15,CI200313P00205000,2020-02-25 3:48PM EST,205.0,15.25,15.9,16.75,0.0,-,9,0,39.87,15
16,CI200313P00207500,2020-02-13 2:55PM EST,207.5,16.64,17.55,18.55,14.04,+540.00%,2,0,36.77,15
17,CI200313P00210000,2020-02-24 9:56AM EST,210.0,10.15,19.6,20.35,0.0,-,2,5,30.37,15
18,CI200313P00212500,2020-02-24 12:04PM EST,212.5,13.45,21.45,22.65,0.0,-,3,62,28.27,15
19,CI200313P00215000,2020-02-11 3:57PM EST,215.0,13.0,23.8,25.2,0.0,-,4,0,32.18,15
20,CI200313P00217500,2020-02-24 2:44PM EST,217.5,16.43,25.6,27.8,0.0,-,24,25,37.21,15
22,CI200313P00222500,2020-02-26 11:38AM EST,222.5,27.6,30.4,33.25,7.58,+37.86%,33,0,50.88,15
23,CI200313P00225000,2020-02-24 1:50PM EST,225.0,24.2,32.7,35.0,0.0,-,46,33,28.13,15
24,CI200313P00227500,2020-02-24 1:58PM EST,227.5,26.2,35.05,37.6,0.0,-,25,7,39.55,15
25,CI200313P00240000,2020-02-20 2:18PM EST,240.0,20.45,46.85,50.75,0.0,-,-,0,68.36,15
0,CI200320P00145000,2020-02-25 3:42PM EST,145.0,0.79,0.49,0.64,0.0,-,350,0,64.01,22
1,CI200320P00150000,2020-02-25 3:40PM EST,150.0,0.89,0.68,0.82,0.0,-,68,109,60.96,22
2,CI200320P00155000,2020-02-25 3:37PM EST,155.0,1.13,0.9,1.05,0.0,-,149,154,57.64,22
3,CI200320P00160000,2020-02-26 10:37AM EST,160.0,1.05,1.21,1.3,-0.22,-17.32%,11,52,54.18,22
4,CI200320P00165000,2020-02-24 12:14PM EST,165.0,1.2,1.62,1.71,0.25,+26.32%,1,0,51.12,22
5,CI200320P00170000,2020-02-26 1:16PM EST,170.0,2.28,2.29,2.4,0.32,+16.33%,1149,0,49.6,22
6,CI200320P00175000,2020-02-26 12:02PM EST,175.0,2.79,3.15,3.2,-0.01,-0.36%,54,209,46.8,22
7,CI200320P00180000,2020-02-26 11:58AM EST,180.0,3.5,4.35,4.5,-0.7,-16.67%,12,387,45.45,22
8,CI200320P00185000,2020-02-26 10:41AM EST,185.0,4.85,5.9,6.1,-1.7,-25.95%,268,482,43.65,22
9,CI200320P00190000,2020-02-26 1:11PM EST,190.0,7.85,7.9,8.1,-0.4,-4.85%,52,0,41.72,22
10,CI200320P00195000,2020-02-26 12:58PM EST,195.0,10.2,10.05,10.25,-0.48,-4.49%,7,0,38.06,22
11,CI200320P00197500,2020-02-26 9:45AM EST,197.5,10.14,11.75,12.0,-1.76,-14.79%,7,23,38.78,22
12,CI200320P00200000,2020-02-26 1:12PM EST,200.0,13.3,13.1,13.4,-0.22,-1.63%,23,527,36.88,22
13,CI200320P00202500,2020-02-25 10:34AM EST,202.5,12.9,14.9,14.85,3.25,+33.68%,1,37,34.27,22
14,CI200320P00205000,2020-02-24 12:04PM EST,205.0,12.35,14.6,15.0,0.0,-,-,-,11.72,22
15,CI200320P00210000,2020-02-25 3:20PM EST,210.0,20.42,20.1,20.55,0.0,-,22,581,28.35,22
17,CI200320P00217500,2020-02-25 9:33AM EST,217.5,17.35,26.6,27.55,0.0,-,2,0,24.02,22
0,CI200327P00160000,2020-02-20 2:26PM EST,160.0,0.25,1.52,2.08,0.0,-,-,0,53.03,29
1,CI200327P00175000,2020-02-14 11:08AM EST,175.0,0.64,3.65,4.4,0.0,-,2,0,48.12,29
2,CI200327P00180000,2020-02-25 12:21PM EST,180.0,4.7,4.9,5.7,1.19,+33.90%,4,396,46.13,29
3,CI200327P00185000,2020-02-14 9:36AM EST,185.0,1.11,6.5,7.6,0.0,-,1,10,45.47,29
4,CI200327P00187500,2020-02-18 12:13AM EST,187.5,2.02,7.4,8.4,0.0,-,-,0,43.79,29
5,CI200327P00190000,2020-02-24 1:49PM EST,190.0,4.5,8.45,9.3,0.0,-,5,0,42.15,29
6,CI200327P00192500,2020-02-18 12:13AM EST,192.5,2.72,9.55,10.85,0.0,-,-,0,42.99,29
7,CI200327P00195000,2020-02-26 11:35AM EST,195.0,9.33,10.85,11.75,-1.87,-16.70%,1,0,40.41,29
8,CI200327P00200000,2020-02-26 11:43AM EST,200.0,11.75,14.05,14.95,-2.75,-18.97%,1,2,40.16,29
9,CI200327P00202500,2020-02-26 11:16AM EST,202.5,14.2,15.55,16.5,-1.63,-10.30%,1,12,39.03,29
10,CI200327P00205000,2020-02-25 3:04PM EST,205.0,16.45,16.8,18.55,0.0,-,12,0,39.99,29
11,CI200327P00210000,2020-02-18 12:13AM EST,210.0,4.45,20.5,22.25,0.0,-,-,0,38.36,29
12,CI200327P00212500,2020-02-26 11:34AM EST,212.5,20.2,22.45,23.85,15.76,+354.95%,1,0,34.58,29
13,CI200327P00215000,2020-02-24 11:11AM EST,215.0,15.22,24.5,25.95,0.0,-,-,0,33.47,29
14,CI200327P00217500,2020-02-19 10:59AM EST,217.5,6.75,26.55,28.5,0.0,-,10,0,36.16,29
15,CI200327P00220000,2020-02-19 11:07AM EST,220.0,8.72,28.95,30.7,0.0,-,10,0,35.08,29
16,CI200327P00222500,2020-02-21 12:13PM EST,222.5,9.6,31.05,33.35,0.0,-,5,9,38.82,29
17,CI200327P00225000,2020-02-18 12:13AM EST,225.0,9.35,32.7,35.8,0.0,-,-,0,40.26,29
18,CI200327P00227500,2020-02-18 12:13AM EST,227.5,12.3,35.1,38.15,0.0,-,-,0,40.28,29
0,CI200403P00165000,2020-02-24 10:17AM EST,165.0,1.29,2.05,2.64,0.0,-,-,-,47.64,36
1,CI200403P00170000,2020-02-26 11:35AM EST,170.0,2.57,3.15,4.2,1.04,+67.97%,308,10,49.96,36
2,CI200403P00175000,2020-02-26 10:07AM EST,175.0,3.15,4.2,5.35,2.64,+517.65%,1,1,48.2,36
