,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CL200228C00067000,2020-01-16 6:34PM EST,67.0,3.72,9.2,9.55,0.0,-,-,1,211.04,1
1,CL200228C00068000,2020-01-10 1:50PM EST,68.0,3.25,8.55,8.9,0.0,-,1,0,210.74,1
2,CL200228C00068500,2020-02-24 12:08PM EST,68.5,6.75,5.0,6.55,0.0,-,17,0,88.38,1
3,CL200228C00069000,2020-01-30 12:10PM EST,69.0,5.27,4.8,5.0,-0.43,-7.54%,3,0,57.42,1
4,CL200228C00069500,2020-02-06 1:48PM EST,69.5,6.91,4.35,4.55,0.0,-,2,13,56.64,1
5,CL200228C00070000,2020-02-04 12:11PM EST,70.0,4.05,3.75,4.05,-1.92,-32.16%,2,0,58.4,1
6,CL200228C00070500,2020-02-20 9:43AM EST,70.5,3.56,2.82,3.5,-1.64,-31.54%,1,0,50.0,1
7,CL200228C00071000,2020-02-20 10:27AM EST,71.0,4.02,2.8,3.05,0.0,-,5,0,47.56,1
8,CL200228C00071500,2020-02-10 2:18PM EST,71.5,5.69,2.39,2.73,0.0,-,15,81,50.88,1
9,CL200228C00072000,2020-02-25 11:58AM EST,72.0,2.37,1.95,2.04,0.0,-,2,5,35.65,1
10,CL200228C00072500,2020-01-31 12:41PM EST,72.5,2.44,1.52,1.6,0.0,-,1,730,32.32,1
11,CL200228C00073000,2020-02-19 3:59PM EST,73.0,1.31,1.18,1.21,-1.39,-51.48%,1,69,30.08,1
12,CL200228C00073500,2020-02-20 10:44AM EST,73.5,0.88,0.84,0.84,0.0,-,8,0,27.25,1
13,CL200228C00074000,2020-02-26 1:13PM EST,74.0,0.57,0.53,0.56,-0.26,-31.33%,73,0,25.88,1
14,CL200228C00074500,2020-02-25 12:43PM EST,74.5,0.33,0.32,0.35,-0.13,-28.26%,26,0,24.95,1
15,CL200228C00075000,2020-02-26 9:55AM EST,75.0,0.2,0.19,0.21,-0.21,-51.22%,48,0,24.61,1
16,CL200228C00075500,2020-02-26 10:58AM EST,75.5,0.11,0.1,0.13,-0.06,-35.29%,23,0,25.2,1
17,CL200228C00076000,2020-02-26 9:58AM EST,76.0,0.1,0.06,0.07,-0.03,-23.08%,36,0,25.0,1
18,CL200228C00077000,2020-02-24 12:15PM EST,77.0,0.03,0.0,0.03,-0.03,-50.00%,7,0,27.34,1
19,CL200228C00078000,2020-02-24 2:06PM EST,78.0,0.04,0.03,0.06,-0.05,-55.56%,2,0,38.67,1
20,CL200228C00079000,2020-02-24 12:07PM EST,79.0,0.05,0.0,0.75,0.0,-,8,615,72.27,1
21,CL200228C00080000,2020-02-18 1:46PM EST,80.0,0.05,0.0,0.75,0.0,-,10,0,80.86,1
22,CL200228C00081000,2020-02-10 2:12PM EST,81.0,0.07,0.0,0.35,0.0,-,1,0,72.66,1
23,CL200228C00081500,2020-02-06 12:49PM EST,81.5,0.07,0.0,0.36,0.0,-,-,1,76.76,1
0,CL200306C00069500,2020-01-30 3:52PM EST,69.5,5.65,4.45,4.7,0.0,-,1,0,39.84,8
1,CL200306C00070000,2020-02-05 2:51PM EST,70.0,5.94,4.00,4.2,0.0,-,4,0,36.77,8
2,CL200306C00071000,2020-01-29 3:38PM EST,71.0,4.15,3.05,3.25,0.0,-,1,0,31.79,8
3,CL200306C00071500,2020-02-19 11:29AM EST,71.5,3.03,2.64,2.92,-1.42,-31.91%,4,6,32.67,8
4,CL200306C00072000,2020-02-06 2:01PM EST,72.0,2.16,2.33,2.39,0.0,-,10,0,28.27,8
5,CL200306C00072500,2020-02-10 9:30AM EST,72.5,3.96,1.81,2.02,0.0,-,1,61,27.37,8
6,CL200306C00073000,2020-02-18 12:12PM EST,73.0,3.47,1.45,1.62,0.0,-,1,15,25.32,8
7,CL200306C00073500,2020-02-10 3:17PM EST,73.5,3.92,1.28,1.31,0.0,-,1,0,24.61,8
8,CL200306C00074000,2020-02-26 12:31PM EST,74.0,1.09,1.00,1.05,-0.55,-33.54%,3,0,24.29,8
9,CL200306C00074500,2020-02-25 12:15PM EST,74.5,0.99,0.78,0.82,0.13,+15.12%,38,0,23.88,8
10,CL200306C00075000,2020-02-25 3:25PM EST,75.0,0.78,0.58,0.61,0.11,+16.42%,9,0,23.15,8
11,CL200306C00075500,2020-02-25 2:18PM EST,75.5,0.63,0.43,0.45,0.13,+26.00%,9,54,22.8,8
12,CL200306C00076000,2020-02-25 2:23PM EST,76.0,0.36,0.31,0.34,-0.03,-7.69%,1,0,22.95,8
13,CL200306C00076500,2020-02-25 2:46PM EST,76.5,0.3,0.23,0.25,0.0,-,5,156,22.95,8
14,CL200306C00077000,2020-02-26 11:59AM EST,77.0,0.17,0.15,0.17,-0.08,-32.00%,98,179,22.56,8
15,CL200306C00078000,2020-02-26 11:59AM EST,78.0,0.09,0.08,0.1,-0.12,-57.14%,57,0,23.73,8
16,CL200306C00079000,2020-02-21 2:57PM EST,79.0,0.18,0.03,0.07,0.0,-,3,0,25.59,8
17,CL200306C00080000,2020-02-25 2:37PM EST,80.0,0.03,0.00,0.33,0.0,-,7,0,42.58,8
18,CL200306C00085000,2020-02-10 12:03AM EST,85.0,0.01,-,0.11,0.0,-,1,0,49.61,8
0,CL200313C00070500,2020-02-03 12:11AM EST,70.5,3.7,3.7,3.9,0.0,-,-,1,30.03,15
1,CL200313C00072000,2020-02-03 10:49AM EST,72.0,3.72,2.47,2.72,0.0,-,1,1,27.49,15
2,CL200313C00072500,2020-02-05 1:06PM EST,72.5,3.67,2.16,2.4,0.0,-,-,0,27.34,15
3,CL200313C00073000,2020-02-20 10:02AM EST,73.0,2.72,1.68,1.97,0.0,-,3,8,25.07,15
4,CL200313C00073500,2020-02-21 3:16PM EST,73.5,3.05,1.52,1.66,0.0,-,1,0,24.41,15
5,CL200313C00074000,2020-02-26 10:20AM EST,74.0,1.58,1.25,1.33,0.21,+15.33%,1,0,23.05,15
6,CL200313C00074500,2020-02-21 9:33AM EST,74.5,1.4,0.98,1.08,0.0,-,1,10,22.51,15
7,CL200313C00075000,2020-02-19 11:13AM EST,75.0,0.96,0.79,0.88,0.0,-,15,0,22.34,15
8,CL200313C00075500,2020-02-25 2:44PM EST,75.5,0.81,0.63,0.68,0.0,-,6,13,21.68,15
9,CL200313C00076000,2020-02-25 10:11AM EST,76.0,0.8,0.47,0.55,0.0,-,1,83,21.83,15
10,CL200313C00076500,2020-02-24 3:57PM EST,76.5,0.4,0.37,0.41,0.0,-,1,46,21.29,15
11,CL200313C00077500,2020-02-25 2:56PM EST,77.5,0.31,0.2,0.24,0.0,-,5,0,21.19,15
12,CL200313C00078000,2020-02-25 2:56PM EST,78.0,0.26,0.15,0.2,0.0,-,23,16,21.78,15
13,CL200313C00078500,2020-02-24 10:50AM EST,78.5,0.33,0.1,0.15,0.0,-,24,13,21.78,15
14,CL200313C00079000,2020-02-25 9:59AM EST,79.0,0.19,0.08,0.12,0.0,-,1,114,22.17,15
15,CL200313C00080000,2020-02-13 2:39PM EST,80.0,0.11,0.05,0.08,0.0,-,7,0,23.05,15
16,CL200313C00081000,2020-02-18 12:00AM EST,81.0,0.21,0.0,0.32,0.0,-,-,0,35.74,15
17,CL200313C00081500,2020-02-11 11:34AM EST,81.5,0.17,0.0,0.3,0.0,-,-,22,36.72,15
18,CL200313C00082000,2020-02-20 12:24PM EST,82.0,0.02,0.0,0.29,0.0,-,1,0,37.94,15
0,CL200320C00065000,2020-02-03 11:41AM EST,65.0,10.2,8.8,9.25,0.0,-,2,0,44.29,22
1,CL200320C00067500,2020-02-20 9:51AM EST,67.5,7.9,6.45,6.75,0.0,-,1,0,34.67,22
2,CL200320C00070000,2020-02-25 1:23PM EST,70.0,4.4,4.25,4.5,0.0,-,3,129,29.2,22
3,CL200320C00072500,2020-02-25 12:18PM EST,72.5,2.72,2.35,2.44,0.08,+3.03%,1,0,23.58,22
4,CL200320C00074000,2020-02-24 10:45AM EST,74.0,2.36,1.67,1.75,0.0,-,-,-,24.98,22
5,CL200320C00074500,2020-02-25 3:46PM EST,74.5,1.64,1.41,1.47,0.0,-,-,-,24.2,22
6,CL200320C00075000,2020-02-26 1:08PM EST,75.0,1.03,0.97,1.02,-0.11,-9.65%,55,0,20.75,22
7,CL200320C00076000,2020-02-24 2:35PM EST,76.0,1.05,0.62,0.72,0.0,-,-,37,21.02,22
8,CL200320C00076500,2020-02-24 2:35PM EST,76.5,0.6,0.48,0.6,0.0,-,5,18,21.17,22
9,CL200320C00077000,2020-02-26 10:35AM EST,77.0,0.53,0.49,0.54,-0.02,-3.64%,6,-,22.07,22
10,CL200320C00077500,2020-02-26 9:45AM EST,77.5,0.43,0.3,0.37,0.01,+2.38%,3,1696,20.66,22
11,CL200320C00078000,2020-02-24 10:00AM EST,78.0,0.5,0.23,0.29,0.0,-,-,1,20.56,22
12,CL200320C00078500,2020-02-25 6:55PM EST,78.5,0.27,0.18,0.23,0.0,-,-,10,20.61,22
13,CL200320C00079000,2020-02-24 10:50AM EST,79.0,0.36,0.13,0.18,0.0,-,-,1,20.61,22
14,CL200320C00079500,2020-02-24 10:38AM EST,79.5,0.28,0.14,0.41,0.0,-,-,-,27.88,22
15,CL200320C00080000,2020-02-25 3:31PM EST,80.0,0.12,0.07,0.12,-0.04,-25.00%,2,0,21.14,22
16,CL200320C00082500,2020-02-25 3:31PM EST,82.5,0.05,0.0,0.37,0.0,-,1,0,35.5,22
17,CL200320C00085000,2020-02-04 1:31PM EST,85.0,0.05,0.0,0.23,0.0,-,-,0,37.4,22
0,CL200327C00069000,2020-02-18 12:00AM EST,69.0,8.07,5.3,5.45,0.0,-,-,0,28.71,29
1,CL200327C00071500,2020-02-18 5:46PM EST,71.5,5.38,3.25,3.4,0.0,-,-,3,24.95,29
2,CL200327C00072500,2020-02-24 10:01AM EST,72.5,3.59,2.49,2.8,0.0,-,1,0,25.12,29
3,CL200327C00073000,2020-02-25 11:58AM EST,73.0,2.51,2.11,2.45,0.0,-,2,0,24.27,29
4,CL200327C00074000,2020-02-10 2:53PM EST,74.0,3.99,1.68,1.81,0.0,-,-,1,22.68,29
5,CL200327C00074500,2020-02-25 3:40PM EST,74.5,1.61,1.43,1.54,0.0,-,11,11,22.1,29
6,CL200327C00075000,2020-02-25 10:35AM EST,75.0,1.53,1.2,1.31,0.0,-,3,14,21.75,29
7,CL200327C00075500,2020-02-24 1:06PM EST,75.5,1.39,1.02,1.12,0.0,-,45,0,21.63,29
8,CL200327C00076000,2020-02-25 3:41PM EST,76.0,1.04,0.83,0.94,0.0,-,5,31,21.39,29
9,CL200327C00076500,2020-02-24 2:35PM EST,76.5,0.86,0.65,0.76,0.0,-,5,0,20.87,29
10,CL200327C00077000,2020-02-21 3:12PM EST,77.0,0.71,0.56,0.62,0.0,-,1,0,20.61,29
11,CL200327C00077500,2020-02-24 3:56PM EST,77.5,0.6,0.44,0.51,0.0,-,1,11,20.53,29
12,CL200327C00078000,2020-02-25 2:44PM EST,78.0,0.46,0.35,0.42,0.0,-,11,21,20.51,29
13,CL200327C00078500,2020-02-21 1:51PM EST,78.5,0.76,0.27,0.34,0.0,-,16,0,20.46,29
14,CL200327C00079000,2020-02-24 11:08AM EST,79.0,0.53,0.23,0.28,0.0,-,3,95,20.51,29
15,CL200327C00080000,2020-02-24 12:11PM EST,80.0,0.3,0.14,0.18,0.0,-,51,344,20.51,29
