,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CMA200320C00050000,2020-02-26 12:49PM EST,50.0,6.72,6.35,6.5,-0.38,-5.35%,1,9,45.51,22
1,CMA200320C00055000,2020-02-26 1:14PM EST,55.0,2.4,2.35,2.48,-1.95,-44.83%,49,6,34.69,22
2,CMA200320C00060000,2020-02-24 3:27PM EST,60.0,0.62,0.45,0.48,-0.74,-54.41%,7,62,31.01,22
3,CMA200320C00062500,2020-02-25 12:30PM EST,62.5,0.2,0.16,0.2,-0.1,-33.33%,12,738,32.03,22
4,CMA200320C00065000,2020-02-26 11:30AM EST,65.0,0.1,0.06,0.09,-0.05,-33.33%,5,1287,33.89,22
5,CMA200320C00067500,2020-02-26 12:35PM EST,67.5,0.03,0.0,0.09,-0.03,-50.00%,21,0,40.63,22
6,CMA200320C00070000,2020-02-25 12:08PM EST,70.0,0.03,0.0,0.05,0.0,-,5,88,42.58,22
7,CMA200320C00072500,2020-02-07 10:19AM EST,72.5,0.03,0.0,0.11,0.0,-,52,96,54.49,22
0,CMA200417C00050000,2020-02-26 11:19AM EST,50.0,7.32,6.55,6.75,-0.43,-5.55%,6,3,35.55,50
1,CMA200417C00052500,2020-02-21 10:04AM EST,52.5,9.74,4.6,4.8,0.0,-,2,1,33.5,50
2,CMA200417C00055000,2020-02-26 11:19AM EST,55.0,3.47,2.99,3.15,-0.46,-11.70%,6,19,31.69,50
3,CMA200417C00057500,2020-02-25 12:44PM EST,57.5,2.72,1.76,1.87,0.0,-,24,43,30.08,50
4,CMA200417C00060000,2020-02-25 12:02PM EST,60.0,1.39,0.96,1.02,0.0,-,17,0,29.2,50
5,CMA200417C00062500,2020-02-26 1:08PM EST,62.5,0.5,0.47,0.52,-0.44,-46.81%,200,0,28.86,50
6,CMA200417C00065000,2020-02-26 12:44PM EST,65.0,0.25,0.21,0.26,-0.1,-28.57%,3,208,29.0,50
7,CMA200417C00067500,2020-02-25 12:09PM EST,67.5,0.18,0.09,0.13,0.0,-,3,143,29.49,50
8,CMA200417C00070000,2020-02-26 11:46AM EST,70.0,0.05,0.01,0.08,-0.03,-37.50%,3,319,31.15,50
9,CMA200417C00072500,2020-02-07 11:04AM EST,72.5,0.13,0.0,0.13,0.0,-,1,5205,38.09,50
10,CMA200417C00075000,2020-02-24 11:58AM EST,75.0,0.04,0.0,0.07,0.0,-,1,5260,37.99,50
11,CMA200417C00077500,2020-01-24 3:37PM EST,77.5,0.08,0.0,0.23,0.0,-,1,0,50.78,50
12,CMA200417C00080000,2020-02-13 9:33AM EST,80.0,0.07,0.0,0.05,0.0,-,3,1103,42.77,50
13,CMA200417C00085000,2020-02-24 3:30PM EST,85.0,0.05,0.0,0.05,0.0,-,1,1156,48.83,50
0,CMA200717C00045000,2020-01-07 1:55PM EST,45.0,24.35,16.8,17.8,0.0,-,-,2,88.45,141
1,CMA200717C00050000,2020-02-21 12:54PM EST,50.0,8.17,7.3,7.5,-4.36,-34.80%,3,2,28.85,141
2,CMA200717C00055000,2020-02-25 12:36PM EST,55.0,5.36,4.05,4.25,0.0,-,19,22,27.14,141
3,CMA200717C00060000,2020-02-24 12:07PM EST,60.0,3.47,1.86,2.0,0.0,-,1,71,25.42,141
4,CMA200717C00062500,2020-02-21 12:00PM EST,62.5,3.45,1.13,1.25,0.0,-,8,101,24.54,141
5,CMA200717C00065000,2020-02-21 11:05AM EST,65.0,1.45,0.63,0.71,0.0,-,1,135,23.49,141
6,CMA200717C00067500,2020-02-20 10:07AM EST,67.5,0.8,0.28,0.45,0.0,-,1,52,23.76,141
7,CMA200717C00070000,2020-02-24 9:41AM EST,70.0,0.26,0.1,0.31,-0.07,-21.21%,2,221,24.56,141
8,CMA200717C00072500,2020-01-23 3:54PM EST,72.5,0.95,0.48,0.63,0.0,-,4,0,32.62,141
9,CMA200717C00075000,2020-02-19 10:57AM EST,75.0,0.12,0.02,0.41,0.0,-,2,14,31.96,141
10,CMA200717C00077500,2019-12-27 10:24AM EST,77.5,2.87,0.07,0.29,0.0,-,1,0,32.08,141
