,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CMA200320P00050000,2020-02-26 12:58PM EST,50.0,0.44,0.45,0.49,0.19,+76.00%,7,33,43.7,22
1,CMA200320P00055000,2020-02-26 1:17PM EST,55.0,1.75,1.75,1.8,0.09,+5.42%,201,0,39.55,22
2,CMA200320P00060000,2020-02-26 12:58PM EST,60.0,4.74,4.9,5.05,0.59,+14.22%,8,1085,42.63,22
3,CMA200320P00062500,2020-02-25 2:53PM EST,62.5,6.45,7.05,7.25,0.0,-,15,0,47.22,22
4,CMA200320P00065000,2020-02-26 11:22AM EST,65.0,8.55,9.4,9.75,2.31,+37.02%,1,169,52.0,22
5,CMA200320P00067500,2020-02-24 12:38PM EST,67.5,11.13,11.9,12.1,2.53,+29.42%,4,0,58.01,22
6,CMA200320P00070000,2020-02-24 12:52PM EST,70.0,12.76,14.45,14.6,0.0,-,2,30,66.7,22
7,CMA200320P00072500,2020-02-19 1:24PM EST,72.5,10.0,16.85,17.15,0.0,-,-,0,72.95,22
8,CMA200320P00077500,2020-01-29 10:32AM EST,77.5,14.8,21.9,22.1,0.0,-,-,1,86.23,22
0,CMA200417P00035000,2020-02-18 11:15AM EST,35.0,0.06,0.0,0.42,0.0,-,1,33,72.36,50
1,CMA200417P00037500,2020-01-21 10:56AM EST,37.5,0.04,0.0,0.0,0.0,-,1,0,25.0,50
2,CMA200417P00040000,2020-02-19 1:56PM EST,40.0,0.06,0.03,0.51,0.0,-,-,6,57.52,50
3,CMA200417P00047500,2020-02-14 2:44PM EST,47.5,0.5,0.55,0.66,0.0,-,1,655,42.48,50
4,CMA200417P00050000,2020-02-25 3:59PM EST,50.0,0.94,0.91,1.01,-0.02,-2.08%,50,67,39.26,50
5,CMA200417P00052500,2020-02-25 3:41PM EST,52.5,1.53,1.54,1.6,0.0,-,2,84,37.01,50
6,CMA200417P00055000,2020-02-26 10:25AM EST,55.0,2.05,2.42,2.53,-0.28,-12.02%,3,243,35.74,50
7,CMA200417P00057500,2020-02-25 2:21PM EST,57.5,3.42,3.7,3.85,0.0,-,7,142,35.33,50
8,CMA200417P00060000,2020-02-26 9:50AM EST,60.0,4.67,5.35,5.5,-0.36,-7.16%,2,165,35.11,50
9,CMA200417P00062500,2020-02-24 12:34PM EST,62.5,5.9,7.35,7.55,0.0,-,10,274,37.01,50
10,CMA200417P00065000,2020-02-25 2:53PM EST,65.0,8.92,9.2,9.8,0.0,-,4,94,39.77,50
11,CMA200417P00067500,2020-02-26 10:25AM EST,67.5,11.16,11.85,12.2,-0.24,-2.11%,2,58,43.95,50
12,CMA200417P00070000,2020-02-25 2:54PM EST,70.0,13.7,14.4,14.7,0.0,-,8,45,49.51,50
0,CMA200717P00037500,2020-02-05 10:01AM EST,37.5,0.2,0.0,0.0,0.0,-,24,0,12.5,141
1,CMA200717P00040000,2020-02-10 10:06AM EST,40.0,0.54,0.49,0.65,0.0,-,2,4,43.12,141
2,CMA200717P00045000,2020-01-21 9:38AM EST,45.0,0.08,0.31,0.39,0.0,-,-,8,26.91,141
3,CMA200717P00047500,2020-02-24 9:41AM EST,47.5,0.65,1.37,1.47,0.0,-,4,36,34.86,141
4,CMA200717P00050000,2020-02-19 10:07AM EST,50.0,0.69,1.97,2.1,0.0,-,1,15,33.8,141
5,CMA200717P00055000,2020-02-25 1:55PM EST,55.0,3.62,3.8,3.95,0.0,-,60,540,31.89,141
6,CMA200717P00060000,2020-02-24 12:28PM EST,60.0,6.54,6.65,6.8,1.59,+32.12%,10,115,31.07,141
7,CMA200717P00062500,2020-02-26 11:50AM EST,62.5,8.06,8.45,8.6,0.91,+12.73%,2,0,31.21,141
8,CMA200717P00065000,2020-02-10 10:04AM EST,65.0,6.41,10.45,10.65,0.0,-,2,0,32.15,141
9,CMA200717P00067500,2020-02-24 12:38PM EST,67.5,9.71,12.6,13.0,0.0,-,2,0,34.95,141
10,CMA200717P00070000,2020-02-24 12:52PM EST,70.0,13.39,13.85,14.35,0.0,-,-,0,24.41,141
15,CMA200717P00090000,2020-01-30 11:17PM EST,90.0,28.8,34.4,35.2,0.0,-,-,5,52.34,141
16,CMA200717P00095000,2020-01-30 11:17PM EST,95.0,33.8,39.35,40.05,0.0,-,-,3,54.74,141
0,CMA201016P00045000,2020-02-25 6:52PM EST,45.0,1.23,1.56,1.71,0.0,-,-,3,34.67,232
1,CMA201016P00055000,2020-02-25 1:00PM EST,55.0,4.4,4.9,5.15,0.0,-,139,123,31.76,232
0,CMA210115P00032500,2020-02-07 10:03AM EST,32.5,0.42,0.6,0.73,0.0,-,40,96,43.24,323
1,CMA210115P00035000,2020-01-21 9:40AM EST,35.0,0.78,0.27,0.71,0.0,-,6,0,38.11,323
2,CMA210115P00037500,2020-02-13 12:12PM EST,37.5,0.66,1.0,1.13,0.0,-,2,37,38.55,323
3,CMA210115P00040000,2020-01-27 2:22PM EST,40.0,0.81,1.31,1.45,0.0,-,2,47,36.85,323
4,CMA210115P00042500,2020-02-24 2:51PM EST,42.5,1.25,1.72,1.87,0.0,-,20,0,35.45,323
5,CMA210115P00045000,2020-02-25 11:57AM EST,45.0,1.84,2.24,2.42,0.0,-,4,28,34.36,323
