,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CMI200228C00149000,2020-02-25 2:02PM EST,149.0,12.55,11.4,12.4,0.0,-,-,-,103.81,1
1,CMI200228C00150000,2020-02-19 11:41AM EST,150.0,17.87,9.2,9.7,0.0,-,-,0,62.06,1
2,CMI200228C00152500,2020-02-24 3:14PM EST,152.5,10.9,6.9,7.2,0.0,-,5,5,52.2,1
3,CMI200228C00157500,2020-02-19 2:45PM EST,157.5,5.05,2.95,3.1,0.0,-,5,0,42.53,1
4,CMI200228C00160000,2020-02-26 12:35PM EST,160.0,2.05,1.6,1.7,-1.55,-43.06%,27,0,39.5,1
5,CMI200228C00162500,2020-02-26 12:03PM EST,162.5,0.75,0.55,0.7,-1.25,-62.50%,114,134,35.4,1
6,CMI200228C00165000,2020-02-26 11:40AM EST,165.0,0.23,0.1,0.25,-0.67,-74.44%,65,75,34.03,1
7,CMI200228C00167500,2020-02-25 10:28AM EST,167.5,0.1,0.0,0.1,-0.4,-80.00%,5,0,35.25,1
8,CMI200228C00170000,2020-02-26 10:22AM EST,170.0,0.1,0.0,0.05,0.02,+25.00%,2,0,38.09,1
9,CMI200228C00172500,2020-02-26 11:16AM EST,172.5,0.04,0.0,0.1,-0.06,-60.00%,6,36,50.2,1
10,CMI200228C00175000,2020-02-20 2:27PM EST,175.0,0.05,0.0,0.05,0.0,-,4,0,51.17,1
11,CMI200228C00177500,2020-02-12 3:59PM EST,177.5,0.2,0.0,0.05,0.0,-,1,0,52.34,1
12,CMI200228C00180000,2020-02-04 9:37AM EST,180.0,0.23,0.0,0.1,0.0,-,3,6,63.67,1
13,CMI200228C00182500,2020-01-28 1:43PM EST,182.5,0.41,0.0,0.05,0.0,-,1,5,63.28,1
14,CMI200228C00185000,2020-01-27 11:57AM EST,185.0,0.35,0.0,0.1,0.0,-,1,0,75.0,1
15,CMI200228C00187500,2020-01-29 3:48PM EST,187.5,0.15,0.0,0.1,0.0,-,2,0,80.86,1
0,CMI200306C00160000,2020-02-21 1:13PM EST,160.0,6.9,3.2,3.5,0.0,-,2,0,38.98,8
1,CMI200306C00162500,2020-02-24 12:17PM EST,162.5,3.4,2.0,2.15,0.0,-,23,0,35.21,8
2,CMI200306C00165000,2020-02-26 9:31AM EST,165.0,1.75,1.15,1.3,-0.7,-28.57%,13,0,33.67,8
3,CMI200306C00167500,2020-02-25 1:37PM EST,167.5,1.25,0.55,0.7,0.0,-,3,0,32.01,8
4,CMI200306C00170000,2020-02-25 2:35PM EST,170.0,0.53,0.2,0.35,-0.21,-28.38%,25,49,30.88,8
5,CMI200306C00172500,2020-02-24 2:04PM EST,172.5,0.45,0.05,0.2,0.0,-,3,0,31.4,8
6,CMI200306C00175000,2020-02-12 2:10PM EST,175.0,0.65,0.05,0.1,0.0,-,8,32,31.35,8
7,CMI200306C00177500,2020-02-07 11:41AM EST,177.5,0.15,0.0,0.15,0.0,-,1,6,37.6,8
8,CMI200306C00180000,2020-02-18 12:14PM EST,180.0,0.02,0.0,0.3,0.0,-,6,5,47.17,8
9,CMI200306C00182500,2020-01-28 11:03AM EST,182.5,0.55,0.0,0.05,0.0,-,6,0,38.09,8
10,CMI200306C00185000,2020-02-03 2:28PM EST,185.0,0.35,0.0,0.1,0.0,-,-,0,45.51,8
0,CMI200313C00152500,2020-02-13 1:09PM EST,152.5,15.2,8.8,9.1,0.0,-,-,0,40.48,15
1,CMI200313C00155000,2020-02-18 12:00AM EST,155.0,9.9,7.0,7.3,0.0,-,-,0,38.67,15
2,CMI200313C00157500,2020-02-18 10:19AM EST,157.5,8.57,5.4,5.7,0.0,-,5,0,37.16,15
3,CMI200313C00160000,2020-02-18 11:52AM EST,160.0,6.05,3.9,4.2,0.0,-,4,0,35.03,15
4,CMI200313C00162500,2020-02-20 9:35AM EST,162.5,5.9,2.75,3.0,0.0,-,2,0,33.57,15
5,CMI200313C00165000,2020-02-26 11:40AM EST,165.0,2.46,1.75,2.0,-0.94,-27.65%,9,14,31.93,15
6,CMI200313C00167500,2020-02-26 9:31AM EST,167.5,1.55,1.05,1.25,-0.25,-13.89%,15,0,30.47,15
7,CMI200313C00170000,2020-02-20 2:12PM EST,170.0,1.35,0.55,0.75,0.0,-,11,0,29.49,15
8,CMI200313C00172500,2020-02-20 10:51AM EST,172.5,2.05,0.3,0.4,0.0,-,1,109,28.25,15
9,CMI200313C00175000,2020-02-24 11:44AM EST,175.0,0.39,0.1,0.25,0.0,-,2,101,28.61,15
10,CMI200313C00177500,2020-02-04 3:14PM EST,177.5,0.32,0.0,0.15,0.0,-,-,5,28.81,15
