,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CNC200228P00050000,2020-02-25 12:49PM EST,50.0,0.15,0.15,0.25,0.06,+66.67%,5,0,71.88,1
1,CNC200228P00051000,2020-02-25 3:32PM EST,51.0,0.09,0.25,0.4,-0.04,-30.77%,7,134,68.95,1
2,CNC200228P00051500,2020-02-25 1:41PM EST,51.5,0.14,0.35,0.45,0.0,-,26,26,66.6,1
3,CNC200228P00052000,2020-02-26 12:57PM EST,52.0,0.45,0.4,0.55,0.26,+136.84%,500,41,63.38,1
4,CNC200228P00052500,2020-02-25 1:17PM EST,52.5,0.19,0.35,0.5,0.0,-,-,-,51.56,1
5,CNC200228P00053000,2020-02-25 3:32PM EST,53.0,0.35,0.5,0.6,0.0,-,-,-,52.34,1
6,CNC200228P00053500,2020-02-25 3:33PM EST,53.5,0.6,0.65,0.75,0.0,-,-,-,49.81,1
7,CNC200228P00054000,2020-02-25 3:48PM EST,54.0,0.55,0.8,0.95,0.0,-,-,-,47.85,1
8,CNC200228P00054500,2020-02-26 12:28PM EST,54.5,1.15,1.25,1.4,0.45,+64.29%,29,9,52.93,1
9,CNC200228P00055000,2020-02-26 1:06PM EST,55.0,1.5,1.5,1.7,0.58,+63.04%,95,0,50.88,1
10,CNC200228P00055500,2020-02-26 10:33AM EST,55.5,1.55,1.45,1.75,0.41,+35.96%,28,-,37.89,1
15,CNC200228P00058000,2020-02-24 3:15PM EST,58.0,2.2,3.6,4.2,0.0,-,5,0,64.26,1
18,CNC200228P00059500,2020-02-26 10:13AM EST,59.5,4.27,3.7,5.7,2.97,+228.46%,101,0,80.08,1
20,CNC200228P00060500,2020-02-24 3:10PM EST,60.5,1.45,5.9,6.8,0.0,-,3,9,101.37,1
21,CNC200228P00061000,2020-02-24 3:01PM EST,61.0,1.78,6.6,7.1,0.0,-,13,74,78.13,1
24,CNC200228P00062500,2020-02-25 2:38PM EST,62.5,6.7,7.6,9.7,0.0,-,4,38,100.39,1
25,CNC200228P00063000,2020-02-24 3:01PM EST,63.0,3.18,8.5,10.0,0.0,-,2,101,119.92,1
26,CNC200228P00063500,2020-02-26 12:26PM EST,63.5,8.94,8.0,11.2,8.46,"+1,762.50%",2,0,98.44,1
27,CNC200228P00064000,2020-02-21 1:01PM EST,64.0,0.8,9.3,11.3,0.0,-,97,278,135.35,1
28,CNC200228P00064500,2020-02-21 12:58PM EST,64.5,3.3,10.1,11.8,0.0,-,1,0,156.84,1
29,CNC200228P00065000,2020-02-25 3:11PM EST,65.0,8.3,10.3,12.2,0.0,-,50,191,137.5,1
