,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CNP200320P00021000,2020-02-21 12:52PM EST,21.0,0.03,0.0,0.1,0.0,-,2,2,42.97,22
1,CNP200320P00023000,2020-02-25 3:32PM EST,23.0,0.15,0.1,0.2,-0.04,-21.05%,1,1,28.03,22
2,CNP200320P00024000,2020-02-26 11:54AM EST,24.0,0.4,0.4,0.45,0.0,-,1,0,25.1,22
3,CNP200320P00025000,2020-02-25 3:42PM EST,25.0,0.95,0.85,0.95,0.0,-,3025,3210,23.34,22
4,CNP200320P00026000,2020-02-26 12:15PM EST,26.0,1.7,1.55,1.65,0.05,+3.03%,102,0,16.6,22
0,CNP200417P00023000,2020-02-24 1:20PM EST,23.0,0.24,0.25,0.35,0.0,-,-,6,24.46,50
1,CNP200417P00024000,2020-02-24 3:16PM EST,24.0,0.45,0.55,0.65,0.0,-,1,9,22.71,50
2,CNP200417P00025000,2020-02-25 10:37AM EST,25.0,0.75,0.95,1.1,0.0,-,-,-,20.17,50
3,CNP200417P00026000,2020-02-26 9:30AM EST,26.0,1.8,1.55,1.7,0.45,+33.33%,1,-,14.45,50
0,CNP200821P00021000,2020-02-05 9:44AM EST,21.0,0.2,0.35,0.45,0.0,-,-,15,25.49,176
1,CNP200821P00022000,2020-02-20 12:09PM EST,22.0,0.35,0.55,0.7,0.0,-,20,21,25.12,176
2,CNP200821P00023000,2020-02-21 3:40PM EST,23.0,0.59,0.85,1.0,0.0,-,2,0,24.22,176
3,CNP200821P00024000,2020-02-21 11:10AM EST,24.0,1.3,1.25,1.4,0.05,+4.00%,1,0,23.54,176
4,CNP200821P00025000,2020-02-25 2:09PM EST,25.0,1.85,1.8,1.9,0.0,-,221,218,22.88,176
5,CNP200821P00026000,2020-02-24 9:30AM EST,26.0,2.05,2.4,2.55,0.0,-,1,80,23.02,176
6,CNP200821P00027000,2020-02-20 1:49PM EST,27.0,2.23,3.1,3.3,0.0,-,3,50,23.44,176
8,CNP200821P00029000,2020-02-03 1:16PM EST,29.0,4.05,4.8,5.0,0.0,-,24,0,24.81,176
9,CNP200821P00030000,2020-02-18 12:02AM EST,30.0,3.65,5.7,6.0,0.0,-,-,0,27.78,176
