,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,COF200228C00085000,2020-02-21 12:25PM EST,85.0,16.36,8.3,9.15,0.0,-,2,2,82.13,1
1,COF200228C00090000,2020-02-25 2:19PM EST,90.0,3.9,3.95,4.05,0.0,-,22,0,54.79,1
2,COF200228C00094000,2020-02-26 1:12PM EST,94.0,1.09,1.05,1.12,-0.09,-7.63%,152,69,41.31,1
3,COF200228C00095000,2020-02-26 12:20PM EST,95.0,0.78,0.66,0.71,-0.09,-10.34%,55,0,40.04,1
4,COF200228C00095500,2020-02-26 10:32AM EST,95.5,0.92,0.92,0.99,0.29,+46.03%,30,-,53.13,1
5,COF200228C00096000,2020-02-26 10:37AM EST,96.0,0.75,0.65,0.74,-0.45,-37.50%,8,-,50.78,1
6,COF200228C00096500,2020-02-18 12:03AM EST,96.5,0.42,0.23,0.29,0.03,+7.69%,2,0,37.5,1
7,COF200228C00097000,2020-02-26 12:31PM EST,97.0,0.28,0.16,0.2,-0.07,-20.00%,24,44,36.62,1
8,COF200228C00097500,2020-02-25 2:48PM EST,97.5,0.24,0.24,0.33,0.0,-,-,-,46.88,1
9,COF200228C00098000,2020-02-26 10:37AM EST,98.0,0.19,0.07,0.09,-0.07,-26.92%,23,18,35.35,1
10,COF200228C00098500,2020-02-25 12:16PM EST,98.5,0.24,0.1,0.15,0.0,-,-,-,43.16,1
11,COF200228C00099000,2020-02-25 3:43PM EST,99.0,0.2,0.0,0.04,0.1,+100.00%,14,29,35.16,1
12,COF200228C00099500,2020-02-25 2:11PM EST,99.5,0.08,0.0,0.03,0.0,-,2,7,35.55,1
13,COF200228C00100000,2020-02-24 9:49AM EST,100.0,0.11,0.0,0.03,0.0,-,4,0,37.89,1
14,COF200228C00101000,2020-02-26 11:35AM EST,101.0,0.03,0.0,0.03,-0.02,-40.00%,1,194,42.58,1
15,COF200228C00102000,2020-02-24 2:48PM EST,102.0,0.04,0.0,0.03,0.0,-,1,0,47.27,1
16,COF200228C00103000,2020-02-24 3:58PM EST,103.0,0.05,0.0,0.03,0.0,-,4,0,51.56,1
17,COF200228C00104000,2020-02-25 11:05AM EST,104.0,0.03,0.0,0.03,0.0,-,3,513,50.78,1
18,COF200228C00105000,2020-02-24 10:18AM EST,105.0,0.04,0.0,0.01,0.0,-,2,0,51.56,1
19,COF200228C00106000,2020-02-21 3:55PM EST,106.0,0.01,0.0,0.03,-0.08,-88.89%,1,185,58.59,1
20,COF200228C00107000,2020-02-21 12:00PM EST,107.0,0.05,0.0,0.13,0.0,-,1,0,76.56,1
21,COF200228C00108000,2020-02-21 3:09PM EST,108.0,0.03,0.0,0.18,0.0,-,4,0,85.16,1
22,COF200228C00109000,2020-02-21 3:19PM EST,109.0,0.03,0.0,0.1,0.0,-,1,51,81.64,1
23,COF200228C00110000,2020-02-12 2:04PM EST,110.0,0.06,0.03,0.04,0.0,-,2,0,81.25,1
24,COF200228C00111000,2020-02-18 9:59AM EST,111.0,0.01,0.0,0.19,0.0,-,22,186,99.02,1
25,COF200228C00112000,2020-01-22 2:20PM EST,112.0,0.07,0.0,0.07,0.0,-,2,0,89.06,1
26,COF200228C00113000,2020-01-24 12:26PM EST,113.0,0.11,0.0,0.06,0.0,-,-,0,90.63,1
27,COF200228C00115000,2020-01-28 9:56AM EST,115.0,0.01,0.0,0.12,0.0,-,-,21,107.81,1
28,COF200228C00118000,2020-02-21 3:52PM EST,118.0,0.02,0.0,0.13,0.0,-,2,0,120.31,1
0,COF200306C00094000,2020-02-25 6:58PM EST,94.0,2.22,2.56,2.65,0.0,-,-,-,47.53,8
1,COF200306C00095000,2020-02-26 12:18PM EST,95.0,1.51,1.56,1.62,0.0,-,10,4,37.5,8
2,COF200306C00095500,2020-02-24 12:12AM EST,95.5,2.17,1.35,1.4,0.0,-,2,0,36.87,8
3,COF200306C00096000,2020-02-26 12:11PM EST,96.0,1.37,1.17,1.22,-1.93,-58.48%,22,0,36.62,8
4,COF200306C00097000,2020-02-25 10:55AM EST,97.0,0.94,0.84,0.88,0.0,-,18,48,35.55,8
5,COF200306C00098000,2020-02-26 10:57AM EST,98.0,0.87,0.59,0.62,-0.43,-33.08%,35,63,34.72,8
6,COF200306C00098500,2020-02-25 9:31AM EST,98.5,0.71,0.67,0.76,0.0,-,-,-,40.04,8
7,COF200306C00099000,2020-02-24 3:51PM EST,99.0,0.91,0.38,0.4,0.0,-,7,0,33.4,8
