,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CPB200228P00044000,2020-01-10 12:48PM EST,44.0,0.35,0.0,0.0,0.0,-,54,0,25.0,1
1,CPB200228P00044500,2020-01-29 9:33AM EST,44.5,1.15,0.0,0.3,0.0,-,-,0,53.13,1
2,CPB200228P00045000,2020-01-10 12:48PM EST,45.0,0.5,0.0,0.15,0.0,-,54,54,45.31,1
3,CPB200228P00045500,2020-02-20 12:22PM EST,45.5,0.05,0.0,0.15,0.0,-,-,0,37.11,1
4,CPB200228P00046000,2020-02-26 1:13PM EST,46.0,0.15,0.05,0.15,-0.61,-80.26%,18,1,28.42,1
5,CPB200228P00046500,2020-02-25 3:18PM EST,46.5,0.15,0.2,0.3,0.0,-,3,0,28.71,1
6,CPB200228P00047000,2020-02-26 12:55PM EST,47.0,0.4,0.35,0.45,0.21,+110.53%,35,170,24.41,1
7,CPB200228P00047500,2020-02-26 10:21AM EST,47.5,0.35,0.55,0.7,0.05,+16.67%,4,0,20.02,1
8,CPB200228P00048000,2020-02-25 2:09PM EST,48.0,0.58,0.9,1.1,0.0,-,2,0,17.97,1
11,CPB200228P00049500,2020-01-28 1:56PM EST,49.5,1.35,2.3,2.65,0.0,-,29,0,43.75,1
0,CPB200306P00041500,2020-02-24 3:02PM EST,41.5,0.1,0.1,0.25,0.0,-,1,0,55.86,8
1,CPB200306P00042000,2020-02-25 1:12PM EST,42.0,0.12,0.15,0.4,0.0,-,1,0,58.89,8
2,CPB200306P00042500,2020-02-04 12:21PM EST,42.5,0.1,0.2,0.4,0.0,-,5,0,55.96,8
3,CPB200306P00043000,2020-02-24 11:46AM EST,43.0,0.2,0.3,0.45,0.0,-,3,0,55.47,8
4,CPB200306P00043500,2020-02-20 9:57AM EST,43.5,0.25,0.4,0.55,0.0,-,24,0,55.47,8
5,CPB200306P00044000,2020-02-26 12:39PM EST,44.0,0.5,0.5,0.65,0.25,+100.00%,6,20,54.69,8
6,CPB200306P00044500,2020-02-26 12:39PM EST,44.5,0.6,0.6,0.75,0.1,+20.00%,4,-,53.22,8
7,CPB200306P00045000,2020-02-26 1:17PM EST,45.0,0.8,0.7,0.8,0.35,+77.78%,45,0,50.24,8
8,CPB200306P00045500,2020-02-25 3:37PM EST,45.5,0.75,0.85,1.0,0.0,-,5,0,50.29,8
9,CPB200306P00046000,2020-02-26 11:11AM EST,46.0,0.85,1.05,1.15,-0.05,-5.56%,25,0,51.22,8
10,CPB200306P00046500,2020-02-26 10:36AM EST,46.5,0.95,1.2,1.35,-0.02,-2.06%,8,0,50.44,8
11,CPB200306P00047000,2020-02-26 12:30PM EST,47.0,1.5,1.4,1.55,0.3,+25.00%,75,0,48.83,8
12,CPB200306P00047500,2020-02-26 1:05PM EST,47.5,1.65,1.65,1.8,0.26,+18.71%,38,0,48.05,8
13,CPB200306P00048000,2020-02-26 12:50PM EST,48.0,1.9,1.9,2.0,0.35,+22.58%,64,0,44.73,8
14,CPB200306P00048500,2020-02-25 2:05PM EST,48.5,1.75,2.2,2.4,0.0,-,5,0,47.17,8
15,CPB200306P00049000,2020-02-25 1:37PM EST,49.0,1.89,2.05,2.25,0.0,-,-,-,26.47,8
16,CPB200306P00049500,2020-02-04 10:22AM EST,49.5,1.6,2.85,3.1,0.0,-,-,0,46.24,8
17,CPB200306P00050000,2020-02-04 9:52AM EST,50.0,1.95,3.2,3.4,0.0,-,-,0,41.99,8
0,CPB200313P00045000,2020-02-24 12:24PM EST,45.0,0.6,0.7,0.85,0.0,-,4,0,41.41,15
1,CPB200313P00045500,2020-02-20 12:06PM EST,45.5,0.7,0.85,1.0,0.0,-,3,0,40.63,15
2,CPB200313P00046000,2020-02-14 12:04PM EST,46.0,0.7,1.0,1.15,0.0,-,1,0,39.31,15
3,CPB200313P00046500,2020-02-24 2:18PM EST,46.5,0.95,1.2,1.35,0.0,-,4,0,38.67,15
4,CPB200313P00047000,2020-01-31 3:47PM EST,47.0,1.05,1.35,1.6,0.0,-,2,0,38.72,15
5,CPB200313P00047500,2020-02-25 11:22AM EST,47.5,1.22,1.65,1.85,0.0,-,9,41,38.09,15
6,CPB200313P00048000,2020-02-26 12:18PM EST,48.0,2.01,1.95,2.1,0.41,+25.62%,4,0,36.82,15
7,CPB200313P00048500,2020-02-25 2:19PM EST,48.5,1.83,2.2,2.4,0.0,-,3,0,36.13,15
8,CPB200313P00049000,2020-02-26 1:11PM EST,49.0,2.58,2.5,2.65,0.28,+12.17%,6,25,33.3,15
9,CPB200313P00049500,2020-02-18 9:59AM EST,49.5,2.3,2.85,3.1,0.39,+20.42%,-,0,35.45,15
0,CPB200320P00040000,2020-02-20 11:55AM EST,40.0,0.13,0.0,0.2,0.0,-,-,0,45.61,22
1,CPB200320P00042000,2020-02-05 3:52PM EST,42.0,0.15,0.2,0.35,0.0,-,1,0,41.02,22
2,CPB200320P00043000,2020-02-20 2:34PM EST,43.0,0.26,0.35,0.5,0.0,-,10,0,39.89,22
3,CPB200320P00044000,2020-02-20 2:34PM EST,44.0,0.43,0.55,0.7,0.0,-,10,0,38.67,22
4,CPB200320P00045000,2020-02-24 1:10PM EST,45.0,0.65,0.8,0.95,0.0,-,1,0,37.21,22
5,CPB200320P00046000,2020-02-26 10:44AM EST,46.0,0.95,1.1,1.25,0.0,-,1600,0,35.25,22
6,CPB200320P00046500,2020-02-25 3:46PM EST,46.5,1.1,1.05,1.15,0.0,-,-,-,28.35,22
7,CPB200320P00047000,2020-02-26 12:13PM EST,47.0,1.55,1.55,1.7,0.26,+20.16%,5,0,34.67,22
8,CPB200320P00047500,2020-02-24 11:03AM EST,47.5,1.4,1.45,1.55,0.0,-,-,-,25.78,22
9,CPB200320P00048000,2020-02-25 3:41PM EST,48.0,1.8,2.0,2.2,0.0,-,38,0,33.15,22
10,CPB200320P00049000,2020-02-24 3:22PM EST,49.0,2.05,2.6,2.85,0.0,-,13,0,32.76,22
11,CPB200320P00050000,2020-02-24 9:49AM EST,50.0,2.7,3.3,3.6,0.0,-,1,0,32.76,22
0,CPB200327P00043000,2020-02-13 3:10PM EST,43.0,0.25,0.45,0.55,0.0,-,-,0,36.43,29
1,CPB200327P00044000,2020-02-18 12:08AM EST,44.0,0.38,0.6,0.75,0.0,-,-,0,35.21,29
2,CPB200327P00045000,2020-02-18 12:08AM EST,45.0,0.55,0.85,1.05,0.0,-,-,0,34.77,29
3,CPB200327P00045500,2020-02-14 12:04PM EST,45.5,0.5,1.0,1.2,0.0,-,-,0,34.03,29
4,CPB200327P00046000,2020-02-18 12:08AM EST,46.0,0.6,1.15,1.3,0.0,-,-,0,31.93,29
5,CPB200327P00046500,2020-02-18 9:46AM EST,46.5,0.7,1.4,1.55,0.0,-,-,15,32.37,29
6,CPB200327P00047000,2020-02-19 2:11PM EST,47.0,1.15,1.6,1.8,0.0,-,-,0,32.32,29
7,CPB200327P00047500,2020-02-25 6:48PM EST,47.5,1.3,1.8,2.0,0.0,-,-,-,30.98,29
8,CPB200327P00048000,2020-02-11 9:33AM EST,48.0,1.14,2.1,2.3,0.0,-,-,2,31.06,29
9,CPB200327P00050000,2020-02-11 9:33AM EST,50.0,2.14,3.4,3.6,0.0,-,-,2,28.86,29
0,CPB200403P00046000,2020-02-19 10:16AM EST,46.0,0.95,1.3,1.45,0.0,-,-,0,31.42,36
1,CPB200403P00046500,2020-02-18 9:55AM EST,46.5,0.8,1.45,1.65,0.0,-,-,0,30.91,36
0,CPB200417P00045000,2020-02-25 6:48PM EST,45.0,0.98,0.9,1.05,0.0,-,-,-,26.86,50
1,CPB200417P00047000,2020-02-25 3:34PM EST,47.0,1.8,1.6,1.75,0.0,-,-,-,24.27,50
2,CPB200417P00049000,2020-02-24 2:58PM EST,49.0,2.48,2.65,2.8,0.0,-,-,-,21.49,50
0,CPB200515P00030000,2020-01-16 11:40AM EST,30.0,0.03,0.0,0.05,0.0,-,1,6,45.31,78
1,CPB200515P00033000,2020-01-16 12:50PM EST,33.0,0.05,0.0,0.05,0.0,-,20,10,36.72,78
2,CPB200515P00034000,2020-01-22 9:45AM EST,34.0,0.05,0.0,0.0,0.0,-,-,0,12.5,78
3,CPB200515P00035000,2020-02-10 9:38AM EST,35.0,0.05,0.0,0.15,0.0,-,7,0,38.09,78
4,CPB200515P00036000,2019-10-24 11:58AM EST,36.0,0.65,0.45,0.65,0.0,-,-,104,50.83,78
5,CPB200515P00038000,2019-12-26 10:16AM EST,38.0,0.19,0.05,0.2,0.0,-,40,350,31.06,78
6,CPB200515P00039000,2019-12-04 10:13AM EST,39.0,0.25,0.25,0.35,0.0,-,1,0,32.42,78
7,CPB200515P00040000,2020-01-30 3:39PM EST,40.0,0.17,0.3,0.45,0.0,-,5,0,31.45,78
8,CPB200515P00041000,2020-01-07 11:51AM EST,41.0,0.37,0.2,0.3,0.0,-,20,116,24.61,78
9,CPB200515P00042000,2020-02-14 2:59PM EST,42.0,0.35,0.6,0.75,0.0,-,10,0,29.81,78
10,CPB200515P00043000,2020-02-19 2:16PM EST,43.0,0.55,0.8,0.95,0.0,-,43,0,28.91,78
11,CPB200515P00044000,2020-02-19 2:17PM EST,44.0,0.75,1.05,1.2,0.0,-,1,0,28.1,78
12,CPB200515P00045000,2020-02-19 2:54PM EST,45.0,1.05,1.35,1.55,0.0,-,5,0,27.88,78
