,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CPRT200320C00060000,2020-02-19 1:08PM EST,60.0,45.0,27.9,31.5,0.0,-,2,2,124.41,22
1,CPRT200320C00065000,2019-11-21 10:11AM EST,65.0,25.35,25.1,28.9,0.0,-,2,1,151.56,22
2,CPRT200320C00070000,2020-01-24 2:38PM EST,70.0,30.23,24.0,27.3,0.0,-,4,102,182.74,22
3,CPRT200320C00075000,2020-02-20 3:57PM EST,75.0,20.9,14.2,15.3,0.0,-,1,101,67.87,22
4,CPRT200320C00080000,2020-02-21 10:25AM EST,80.0,9.3,9.9,10.3,0.0,-,8,0,54.86,22
5,CPRT200320C00085000,2020-02-24 2:22PM EST,85.0,6.85,5.7,6.1,0.45,+7.03%,1,0,46.8,22
6,CPRT200320C00090000,2020-02-26 11:54AM EST,90.0,2.5,2.35,2.55,-0.03,-1.19%,385,4288,35.79,22
7,CPRT200320C00095000,2020-02-25 3:44PM EST,95.0,1.0,0.65,0.8,0.2,+25.00%,136,0,32.06,22
8,CPRT200320C00100000,2020-02-26 1:21PM EST,100.0,0.15,0.15,0.2,-0.05,-25.00%,632,0,31.06,22
9,CPRT200320C00105000,2020-02-26 10:49AM EST,105.0,0.05,0.0,0.05,0.0,-,132,1711,31.84,22
10,CPRT200320C00110000,2020-02-25 3:45PM EST,110.0,0.15,0.0,0.2,0.0,-,26,543,48.63,22
11,CPRT200320C00115000,2020-02-25 3:52PM EST,115.0,0.04,0.0,0.2,0.0,-,3,0,50.29,22
12,CPRT200320C00120000,2020-02-25 3:52PM EST,120.0,0.03,0.0,0.0,0.0,-,6,0,25.0,22
13,CPRT200320C00125000,2020-02-21 9:31AM EST,125.0,0.01,0.0,0.8,0.0,-,1,758,79.79,22
14,CPRT200320C00130000,2020-02-20 10:03AM EST,130.0,0.15,0.0,0.05,0.0,-,4,168,58.2,22
15,CPRT200320C00135000,2020-02-19 11:04AM EST,135.0,0.05,0.0,1.8,0.0,-,30,34,110.06,22
0,CPRT200417C00085000,2020-02-25 3:01PM EST,85.0,8.08,6.60,7.0,0.58,+7.73%,3,1,39.01,50
