,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CSCO200228C00039000,2020-02-26 1:08PM EST,39.0,3.49,3.4,3.6,0.04,+1.16%,86,0,90.63,1
1,CSCO200228C00040000,2020-02-26 11:45AM EST,40.0,2.85,2.6,2.59,0.21,+7.95%,54,174,79.69,1
2,CSCO200228C00041000,2020-02-24 10:36AM EST,41.0,2.3,1.67,1.68,0.54,+30.68%,5,34,63.67,1
3,CSCO200228C00041500,2020-02-26 12:47PM EST,41.5,1.27,1.25,1.27,-0.08,-5.93%,55,0,57.23,1
4,CSCO200228C00042000,2020-02-26 12:46PM EST,42.0,0.84,0.87,0.89,-0.26,-23.64%,147,196,50.98,1
5,CSCO200228C00042500,2020-02-26 10:35AM EST,42.5,1.1,1.02,1.04,0.21,+23.60%,71,-,76.66,1
6,CSCO200228C00043000,2020-02-26 1:20PM EST,43.0,0.36,0.34,0.35,-0.25,-40.98%,388,39,43.95,1
7,CSCO200228C00043500,2020-02-26 1:21PM EST,43.5,0.2,0.19,0.2,-0.17,-45.95%,478,594,42.19,1
8,CSCO200228C00044000,2020-02-26 1:14PM EST,44.0,0.09,0.09,0.1,-0.14,-60.87%,1348,1193,40.43,1
9,CSCO200228C00044500,2020-02-26 1:20PM EST,44.5,0.05,0.04,0.06,-0.08,-61.54%,1659,0,41.8,1
10,CSCO200228C00045000,2020-02-26 12:55PM EST,45.0,0.04,0.03,0.04,-0.04,-50.00%,903,0,44.14,1
11,CSCO200228C00045500,2020-02-26 12:44PM EST,45.5,0.02,0.0,0.03,-0.03,-60.00%,28,1836,47.27,1
12,CSCO200228C00046000,2020-02-26 9:49AM EST,46.0,0.01,0.0,0.03,-0.02,-66.67%,264,2061,52.73,1
13,CSCO200228C00046500,2020-02-26 1:01PM EST,46.5,0.01,0.01,0.02,-0.01,-50.00%,28,2759,51.56,1
14,CSCO200228C00047000,2020-02-26 1:11PM EST,47.0,0.01,0.0,0.01,-0.01,-50.00%,328,0,50.0,1
15,CSCO200228C00047500,2020-02-26 11:16AM EST,47.5,0.02,0.0,0.02,-0.01,-33.33%,49,0,57.81,1
16,CSCO200228C00048000,2020-02-26 10:26AM EST,48.0,0.01,0.01,0.01,0.0,-,29,1981,62.5,1
17,CSCO200228C00048500,2020-02-25 2:19PM EST,48.5,0.01,0.0,0.02,0.0,-,2,0,67.19,1
