,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CTAS200320P00190000,2020-02-21 3:00PM EST,190.0,0.48,0.0,1.2,0.0,-,3,0,83.45,22
1,CTAS200320P00200000,2020-02-18 12:35PM EST,200.0,0.15,0.0,1.85,0.0,-,1,0,80.37,22
2,CTAS200320P00220000,2020-01-28 12:18PM EST,220.0,0.41,0.25,1.5,0.0,-,2,0,60.91,22
3,CTAS200320P00230000,2020-02-25 2:54PM EST,230.0,0.85,0.55,1.0,0.0,-,5,0,50.71,22
4,CTAS200320P00240000,2020-02-10 3:54PM EST,240.0,1.15,0.9,1.5,0.0,-,1,0,49.49,22
5,CTAS200320P00250000,2020-02-24 10:24AM EST,250.0,1.1,0.45,2.3,-0.4,-26.67%,2,0,45.64,22
6,CTAS200320P00260000,2020-02-25 3:54PM EST,260.0,2.66,1.4,2.25,-0.84,-24.00%,1,0,35.07,22
7,CTAS200320P00270000,2020-02-25 3:36PM EST,270.0,6.0,2.7,3.8,0.0,-,8,0,31.28,22
8,CTAS200320P00280000,2020-02-25 3:04PM EST,280.0,7.5,6.2,6.9,-0.5,-6.25%,1,0,29.0,22
9,CTAS200320P00290000,2020-02-26 10:40AM EST,290.0,10.99,10.2,11.6,-1.91,-14.81%,1,0,26.1,22
10,CTAS200320P00300000,2020-02-25 2:54PM EST,300.0,19.5,16.8,18.1,0.0,-,2,0,21.34,22
0,CTAS200417P00250000,2020-02-25 11:14AM EST,250.0,2.6,2.45,3.0,0.0,-,-,-,33.94,50
1,CTAS200417P00260000,2020-02-25 12:28PM EST,260.0,4.2,4.2,4.4,0.0,-,3,0,31.23,50
2,CTAS200417P00270000,2020-02-25 3:29PM EST,270.0,8.06,6.5,6.8,0.0,-,5,0,29.43,50
3,CTAS200417P00280000,2020-02-26 11:31AM EST,280.0,9.63,9.8,10.3,0.43,+4.67%,11,0,27.8,50
4,CTAS200417P00290000,2020-02-25 3:00PM EST,290.0,15.5,13.4,14.4,0.0,-,-,-,24.54,50
5,CTAS200417P00300000,2020-02-25 2:54PM EST,300.0,21.7,20.2,21.5,0.0,-,3,0,25.17,50
6,CTAS200417P00310000,2020-02-25 6:56PM EST,310.0,28.9,27.3,28.7,0.0,-,-,-,22.31,50
7,CTAS200417P00320000,2020-02-25 2:54PM EST,320.0,37.4,36.3,37.2,0.0,-,2,0,17.95,50
0,CTAS200515P00145000,2020-01-22 11:58AM EST,145.0,0.36,0.0,1.0,0.0,-,6,0,70.02,78
1,CTAS200515P00150000,2019-12-19 10:11AM EST,150.0,0.6,0.0,1.0,0.0,-,36,18,66.85,78
2,CTAS200515P00165000,2019-12-13 12:17PM EST,165.0,1.13,0.1,1.6,0.0,-,54,0,63.18,78
3,CTAS200515P00170000,2019-12-19 10:08AM EST,170.0,0.69,0.05,1.55,0.0,-,18,9,59.47,78
4,CTAS200515P00180000,2020-01-09 9:51AM EST,180.0,0.74,0.1,1.6,0.0,-,1,5,54.25,78
5,CTAS200515P00185000,2020-01-22 11:58AM EST,185.0,0.82,0.05,0.7,0.0,-,4,0,49.66,78
6,CTAS200515P00190000,2019-12-19 10:11AM EST,190.0,1.23,0.2,1.7,0.0,-,24,12,56.08,78
7,CTAS200515P00195000,2020-01-16 3:56PM EST,195.0,0.5,0.05,0.8,0.0,-,3,31,45.44,78
8,CTAS200515P00200000,2020-02-18 3:59PM EST,200.0,0.35,0.1,2.4,0.0,-,1,0,54.46,78
9,CTAS200515P00210000,2020-02-18 9:36AM EST,210.0,0.55,0.75,2.55,0.0,-,1,0,49.13,78
10,CTAS200515P00220000,2020-02-24 1:30PM EST,220.0,1.35,1.3,1.5,0.0,-,2,0,37.62,78
11,CTAS200515P00230000,2019-12-26 11:02AM EST,230.0,3.0,1.7,2.0,0.0,-,1,8,34.84,78
12,CTAS200515P00240000,2020-02-26 10:50AM EST,240.0,2.75,2.65,2.9,0.05,+1.85%,3,0,32.88,78
13,CTAS200515P00250000,2020-02-26 10:15AM EST,250.0,3.8,3.8,4.1,-0.1,-2.56%,2,0,30.74,78
14,CTAS200515P00260000,2020-02-25 12:23PM EST,260.0,6.0,5.5,5.9,-1.0,-14.29%,1,0,28.9,78
15,CTAS200515P00270000,2020-02-25 3:00PM EST,270.0,8.9,7.9,8.4,0.0,-,6,0,27.09,78
16,CTAS200515P00280000,2020-02-25 11:25AM EST,280.0,12.5,11.5,12.0,0.0,-,18,0,25.67,78
17,CTAS200515P00290000,2020-02-26 12:54PM EST,290.0,16.03,16.0,16.9,-1.17,-6.80%,2,0,24.6,78
18,CTAS200515P00300000,2020-02-20 12:20PM EST,300.0,23.2,21.8,23.0,0.0,-,3,0,23.54,78
19,CTAS200515P00310000,2020-02-25 2:54PM EST,310.0,30.3,28.9,30.3,0.0,-,4,0,22.58,78
20,CTAS200515P00320000,2020-02-10 1:57PM EST,320.0,38.1,37.0,38.3,0.0,-,3,0,20.53,78
23,CTAS200515P00350000,2019-11-07 10:11AM EST,350.0,85.72,91.5,96.2,0.0,-,1,0,92.25,78
0,CTAS200821P00175000,2020-01-22 11:02AM EST,175.0,0.99,0.0,1.4,0.0,-,-,0,42.19,176
1,CTAS200821P00180000,2020-02-10 3:22PM EST,180.0,0.92,0.0,2.95,0.0,-,84,0,47.56,176
2,CTAS200821P00190000,2020-02-25 10:19AM EST,190.0,1.29,0.2,3.5,0.0,-,1,0,44.95,176
3,CTAS200821P00200000,2020-02-25 11:56AM EST,200.0,1.95,0.65,4.1,0.0,-,1,0,42.27,176
4,CTAS200821P00210000,2020-02-25 11:56AM EST,210.0,2.55,1.2,4.8,0.0,-,2,0,39.65,176
5,CTAS200821P00220000,2020-02-21 2:36PM EST,220.0,2.85,2.3,5.7,0.0,-,20,0,37.25,176
6,CTAS200821P00230000,2020-02-20 11:06AM EST,230.0,2.9,3.6,6.9,0.0,-,2,0,35.14,176
7,CTAS200821P00240000,2020-02-13 1:47PM EST,240.0,4.3,6.2,7.4,0.0,-,9,0,31.34,176
8,CTAS200821P00250000,2020-02-24 1:20PM EST,250.0,7.6,8.1,9.7,0.0,-,7,0,30.37,176
9,CTAS200821P00260000,2020-02-19 3:49PM EST,260.0,6.2,10.4,11.8,0.0,-,16,0,28.34,176
10,CTAS200821P00270000,2020-02-25 10:43AM EST,270.0,12.3,13.4,15.0,0.0,-,10,0,27.17,176
11,CTAS200821P00280000,2020-02-25 2:57PM EST,280.0,18.0,17.2,19.0,0.0,-,1,0,26.18,176
12,CTAS200821P00290000,2020-02-20 12:40PM EST,290.0,22.7,21.8,23.9,0.0,-,25,0,25.42,176
13,CTAS200821P00300000,2020-02-20 11:01AM EST,300.0,19.1,27.2,29.1,0.0,-,13,0,24.03,176
14,CTAS200821P00310000,2020-02-25 6:56PM EST,310.0,34.4,32.2,33.8,0.0,-,-,-,20.71,176
15,CTAS200821P00350000,2020-02-06 3:52PM EST,350.0,57.8,65.2,68.9,0.0,-,-,0,22.44,176
