,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CTVA200320P00019000,2019-12-16 12:04AM EST,19.0,0.1,0.0,0.1,0.0,-,-,0,82.03,22
1,CTVA200320P00020000,2019-12-10 1:27PM EST,20.0,0.3,0.0,0.1,0.0,-,5,7,73.05,22
2,CTVA200320P00021000,2020-02-13 10:52AM EST,21.0,0.03,0.05,0.05,0.0,-,5,0,64.45,22
3,CTVA200320P00022000,2020-02-11 1:54PM EST,22.0,0.03,0.0,0.1,0.0,-,3,0,55.86,22
4,CTVA200320P00023000,2020-02-19 1:11PM EST,23.0,0.08,0.0,0.1,0.0,-,10,0,55.08,22
5,CTVA200320P00024000,2020-02-21 2:33PM EST,24.0,0.04,0.05,0.15,0.0,-,4,0,51.17,22
6,CTVA200320P00025000,2020-02-25 3:26PM EST,25.0,0.15,0.1,0.2,-0.1,-40.00%,40,0,45.51,22
7,CTVA200320P00026000,2020-02-21 1:38PM EST,26.0,0.08,0.2,0.3,0.0,-,8,0,41.21,22
8,CTVA200320P00027000,2020-02-26 12:40PM EST,27.0,0.47,0.45,0.55,-0.06,-11.32%,7,0,40.82,22
9,CTVA200320P00028000,2020-02-25 3:09PM EST,28.0,0.8,0.75,0.85,-0.25,-23.81%,7,0,37.94,22
10,CTVA200320P00029000,2020-02-26 11:50AM EST,29.0,1.05,1.2,1.3,-0.13,-11.02%,20,0,35.74,22
11,CTVA200320P00030000,2020-02-26 11:00AM EST,30.0,1.6,1.75,1.9,-0.2,-11.11%,27,0,33.5,22
12,CTVA200320P00031000,2020-02-25 2:58PM EST,31.0,2.55,2.5,2.65,-0.03,-1.16%,8,135,31.25,22
13,CTVA200320P00032000,2020-02-20 11:16AM EST,32.0,1.03,3.3,3.5,0.0,-,10,0,25.98,22
14,CTVA200320P00033000,2019-08-12 10:55AM EST,33.0,3.8,5.0,5.3,0.0,-,50,153,71.58,22
15,CTVA200320P00034000,2019-09-15 11:04PM EST,34.0,5.6,7.9,8.3,0.0,-,-,0,154.25,22
16,CTVA200320P00035000,2020-02-20 1:32PM EST,35.0,3.4,6.1,6.7,0.0,-,12,0,61.91,22
17,CTVA200320P00037000,2019-09-15 11:04PM EST,37.0,7.9,10.7,11.7,0.0,-,-,0,183.11,22
0,CTVA200417P00026000,2020-02-25 2:53PM EST,26.0,0.59,0.45,0.55,0.0,-,-,-,36.23,50
1,CTVA200417P00027000,2020-02-24 10:29AM EST,27.0,0.4,0.75,0.9,0.0,-,-,0,37.06,50
2,CTVA200417P00029000,2020-02-24 9:48AM EST,29.0,1.2,1.4,1.55,0.0,-,-,-,30.13,50
3,CTVA200417P00030000,2020-02-25 11:24AM EST,30.0,1.75,1.9,2.05,0.0,-,-,-,26.71,50
0,CTVA200619P00019000,2020-01-27 11:59AM EST,19.0,0.25,0.1,0.15,0.0,-,40,0,46.19,113
1,CTVA200619P00020000,2020-01-21 12:07AM EST,20.0,0.25,0.0,0.0,0.0,-,-,0,12.5,113
2,CTVA200619P00021000,2020-02-24 2:01PM EST,21.0,0.13,0.15,0.25,0.0,-,8,0,41.5,113
3,CTVA200619P00022000,2020-02-04 9:52AM EST,22.0,0.2,0.25,0.35,0.0,-,1,0,40.28,113
4,CTVA200619P00023000,2020-02-24 10:30AM EST,23.0,0.25,0.35,0.5,0.0,-,9,0,39.6,113
5,CTVA200619P00024000,2020-02-05 10:35AM EST,24.0,0.35,0.55,0.65,0.0,-,5,0,37.89,113
6,CTVA200619P00025000,2020-02-25 3:40PM EST,25.0,0.95,0.75,0.85,0.0,-,17,0,36.43,113
7,CTVA200619P00026000,2020-02-25 1:44PM EST,26.0,0.95,1.0,1.15,0.0,-,3,0,35.94,113
8,CTVA200619P00027000,2020-02-25 10:27AM EST,27.0,1.3,1.35,1.5,0.33,+34.02%,2,0,35.16,113
9,CTVA200619P00028000,2020-02-21 1:47PM EST,28.0,0.88,1.75,1.9,0.0,-,70,0,34.13,113
10,CTVA200619P00029000,2020-02-07 11:53AM EST,29.0,1.4,2.25,2.4,0.0,-,3,11,33.59,113
11,CTVA200619P00030000,2020-02-21 9:57AM EST,30.0,2.01,2.8,2.95,0.0,-,11,0,32.69,113
12,CTVA200619P00031000,2020-02-10 1:59PM EST,31.0,2.5,3.4,3.6,0.0,-,3,0,32.28,113
13,CTVA200619P00032000,2020-02-06 9:47AM EST,32.0,2.3,4.1,4.3,0.0,-,8,0,31.59,113
14,CTVA200619P00033000,2020-02-18 2:07PM EST,33.0,3.1,4.8,5.1,0.0,-,2,0,31.69,113
0,CTVA200918P00023000,2020-02-20 11:29AM EST,23.0,0.45,0.8,0.95,0.0,-,25,0,37.99,204
1,CTVA200918P00024000,2020-02-12 3:14PM EST,24.0,0.75,1.05,1.2,0.0,-,2,0,37.26,204
2,CTVA200918P00025000,2020-02-04 1:16PM EST,25.0,0.97,1.35,1.45,0.0,-,3,0,35.91,204
3,CTVA200918P00026000,2020-02-06 3:23PM EST,26.0,1.05,1.65,1.8,0.0,-,1,0,35.38,204
4,CTVA200918P00027000,2020-01-30 11:08PM EST,27.0,2.05,2.0,2.15,0.0,-,-,0,34.23,204
5,CTVA200918P00029000,2020-02-18 12:03AM EST,29.0,2.1,2.9,3.1,0.0,-,-,0,33.08,204
6,CTVA200918P00030000,2020-02-04 1:43PM EST,30.0,2.55,3.4,3.6,0.0,-,2,0,31.89,204
7,CTVA200918P00032000,2020-02-05 3:02PM EST,32.0,3.28,4.7,4.9,0.0,-,-,0,31.13,204
0,CTVA201218P00020000,2020-02-20 10:36AM EST,20.0,0.4,0.6,0.75,0.0,-,-,0,40.28,295
1,CTVA201218P00023000,2020-01-29 9:51AM EST,23.0,1.5,1.2,1.35,0.0,-,-,14,37.21,295
2,CTVA201218P00025000,2020-02-21 10:13AM EST,25.0,1.25,1.8,1.95,0.0,-,20,0,35.72,295
3,CTVA201218P00027000,2020-02-06 2:32PM EST,27.0,1.75,2.55,2.7,0.0,-,-,0,34.18,295
4,CTVA201218P00030000,2020-02-20 3:25PM EST,30.0,2.75,4.0,4.2,0.0,-,-,0,32.42,295
5,CTVA201218P00037000,2020-01-30 11:30AM EST,37.0,8.7,9.0,9.2,0.0,-,-,0,28.93,295
0,CTVA210115P00020000,2020-02-20 1:07PM EST,20.0,0.65,0.7,0.85,0.0,-,4,0,40.28,323
1,CTVA210115P00023000,2020-02-20 2:56PM EST,23.0,0.9,1.3,1.5,0.0,-,5,0,37.5,323
2,CTVA210115P00025000,2020-02-14 11:00AM EST,25.0,1.4,1.9,2.05,0.0,-,183,0,35.25,323
3,CTVA210115P00027000,2020-02-06 3:51PM EST,27.0,1.9,2.65,2.85,0.0,-,3,0,34.16,323
4,CTVA210115P00030000,2020-02-25 1:25PM EST,30.0,3.9,4.1,4.3,0.0,-,1,0,31.92,323
5,CTVA210115P00032000,2020-02-18 3:02PM EST,32.0,3.9,5.3,5.6,0.0,-,1,0,31.62,323
6,CTVA210115P00035000,2020-02-12 11:01AM EST,35.0,5.98,7.4,7.7,0.0,-,5,0,29.86,323
7,CTVA210115P00040000,2020-02-25 9:45AM EST,40.0,10.5,11.6,11.8,0.0,-,2,0,25.78,323
0,CTVA220121P00015000,2019-12-30 3:00PM EST,15.0,0.84,0.65,0.95,0.0,-,-,3,44.63,694
1,CTVA220121P00020000,2020-01-24 10:21AM EST,20.0,1.76,1.15,1.6,0.0,-,10,0,35.69,694
2,CTVA220121P00023000,2020-02-20 10:00AM EST,23.0,2.1,2.55,3.0,0.0,-,2,0,37.96,694
3,CTVA220121P00025000,2020-02-06 9:51AM EST,25.0,2.6,3.3,3.8,0.0,-,5,0,36.9,694
4,CTVA220121P00030000,2019-12-26 11:17AM EST,30.0,6.12,3.5,7.0,0.0,-,3,7,39.11,694
5,CTVA220121P00032000,2020-01-21 10:19AM EST,32.0,7.3,5.4,5.9,0.0,-,1,0,23.57,694
6,CTVA220121P00040000,2019-10-01 8:47AM EST,40.0,14.2,14.7,15.7,0.0,-,-,0,47.86,694
