,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,CVX200228P00093000,2020-02-25 2:21PM EST,93.0,0.12,0.0,0.07,-0.02,-14.29%,2,-,41.02,1
1,CVX200228P00094000,2020-02-26 9:46AM EST,94.0,0.07,0.1,0.12,-0.13,-65.00%,6,4,39.75,1
2,CVX200228P00095000,2020-02-26 11:37AM EST,95.0,0.14,0.16,0.17,-0.11,-44.00%,94,0,36.62,1
3,CVX200228P00096000,2020-02-26 1:22PM EST,96.0,0.27,0.26,0.27,-0.15,-35.71%,115,114,34.57,1
4,CVX200228P00097000,2020-02-26 10:20AM EST,97.0,0.25,0.25,0.27,-0.28,-52.83%,394,-,26.61,1
5,CVX200228P00098000,2020-02-26 1:08PM EST,98.0,0.6,0.66,0.68,-0.11,-15.49%,45,225,30.71,1
6,CVX200228P00098500,2020-02-26 1:20PM EST,98.5,0.77,0.8,0.82,-0.03,-3.75%,59,0,28.96,1
7,CVX200228P00099000,2020-02-26 1:23PM EST,99.0,1.0,0.97,0.99,0.0,-,1749,825,27.1,1
8,CVX200228P00100000,2020-02-26 1:11PM EST,100.0,1.36,1.48,1.5,0.03,+2.26%,579,1238,24.61,1
9,CVX200228P00101000,2020-02-26 1:06PM EST,101.0,1.82,2.08,2.11,0.01,+0.55%,179,129,17.19,1
0,CVX200306P00095000,2020-02-26 1:21PM EST,95.0,0.68,0.7,0.72,-0.02,-2.86%,213,486,33.45,8
1,CVX200306P00098000,2020-02-26 12:18PM EST,98.0,1.57,1.46,1.48,0.07,+4.67%,355,0,29.57,8
2,CVX200306P00098500,2020-02-26 11:51AM EST,98.5,1.45,1.67,1.66,-0.17,-10.49%,6,5,28.86,8
3,CVX200306P00099000,2020-02-26 12:18PM EST,99.0,1.84,1.84,1.87,0.16,+9.52%,99,0,28.32,8
4,CVX200306P00100000,2020-02-26 11:47AM EST,100.0,1.98,2.31,2.33,-0.02,-1.00%,224,0,26.81,8
5,CVX200306P00101000,2020-02-26 10:09AM EST,101.0,2.71,2.85,2.88,0.11,+4.23%,31,0,25.22,8
6,CVX200306P00102000,2020-02-26 11:59AM EST,102.0,3.2,3.45,3.55,0.0,-,44,0,23.93,8
7,CVX200306P00103000,2020-02-26 1:18PM EST,103.0,4.19,4.2,4.25,0.2,+5.01%,44,239,20.8,8
0,CVX200313P00095000,2020-02-26 10:58AM EST,95.0,0.81,0.99,1.05,-0.07,-7.95%,2,24,30.64,15
1,CVX200313P00098000,2020-02-26 11:43AM EST,98.0,1.59,1.86,1.91,-0.08,-4.79%,28,0,27.83,15
2,CVX200313P00098500,2020-02-13 10:30AM EST,98.5,0.85,1.94,2.12,0.0,-,10,0,27.56,15
3,CVX200313P00099000,2020-02-26 10:17AM EST,99.0,1.77,2.09,2.33,-0.4,-18.43%,1,235,27.11,15
4,CVX200313P00099500,2020-02-26 12:23PM EST,99.5,2.48,2.32,2.55,1.43,+136.19%,9,14,26.56,15
5,CVX200313P00100000,2020-02-26 12:45PM EST,100.0,2.66,2.72,2.77,0.31,+13.19%,284,306,25.83,15
6,CVX200313P00101000,2020-02-24 3:13PM EST,101.0,2.41,3.15,3.35,0.59,+32.42%,2,0,25.34,15
7,CVX200313P00102000,2020-02-26 11:55AM EST,102.0,3.7,3.8,3.85,0.28,+8.19%,22,54,22.75,15
8,CVX200313P00103000,2020-02-25 1:06PM EST,103.0,2.96,4.45,4.65,0.0,-,38,0,23.24,15
9,CVX200313P00104000,2020-02-25 11:29AM EST,104.0,4.38,5.1,5.3,0.0,-,59,67,19.78,15
10,CVX200313P00105000,2020-02-26 10:58AM EST,105.0,5.24,6.0,6.15,0.02,+0.38%,19,167,18.07,15
0,CVX200320P00065000,2019-10-13 11:09PM EST,65.0,0.19,0.0,0.1,0.0,-,-,0,70.7,22
1,CVX200320P00070000,2019-11-04 11:16AM EST,70.0,0.08,0.02,0.06,0.0,-,1,5,57.81,22
2,CVX200320P00075000,2020-01-30 2:24PM EST,75.0,0.04,0.03,0.04,0.01,+33.33%,103,28,47.27,22
3,CVX200320P00080000,2020-02-20 3:06PM EST,80.0,0.06,0.07,0.09,0.02,+50.00%,2,0,42.19,22
4,CVX200320P00085000,2020-02-26 11:31AM EST,85.0,0.17,0.2,0.21,-0.04,-19.05%,13,509,37.35,22
5,CVX200320P00090000,2020-02-26 12:37PM EST,90.0,0.48,0.5,0.52,-0.08,-14.29%,39,658,32.91,22
6,CVX200320P00095000,2020-02-26 11:15AM EST,95.0,1.27,1.28,1.32,0.03,+2.42%,81,1868,29.0,22
7,CVX200320P00097500,2020-02-26 12:36PM EST,97.5,1.95,2.01,2.05,-0.1,-4.88%,32,335,27.05,22
8,CVX200320P00098000,2020-02-26 10:34AM EST,98.0,1.72,1.76,1.79,-0.34,-16.50%,5,-,22.22,22
9,CVX200320P00099000,2020-02-26 12:50PM EST,99.0,2.4,2.6,2.64,0.0,-,11,37,25.88,22
